ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
773 123 100 108 120 106 122 133 115 111 93 91 86 65 100 121 0.499634
775 123 99 107 120 105 122 132 114 109 92 91 86 64 99 120 0.834952
772 122 99 107 119 105 121 132 113 108 92 90 84 63 99 120 1.16102
773 122 99 107 119 105 121 131 113 109 92 90 85 63 98 119 1.58373
773 123 99 107 119 105 122 132 114 109 92 91 85 63 99 120 1.95463
776 123 99 107 119 105 122 132 114 109 92 91 85 63 99 120 2.31464
771 122 98 107 119 105 121 132 114 109 91 91 85 63 99 120 2.73995
773 122 98 107 119 105 121 132 113 109 92 90 85 63 99 120 3.04926
775 122 98 107 119 104 121 132 113 109 91 90 85 64 99 119 3.45717
776 123 99 108 121 106 122 133 116 109 91 91 84 63 99 119 3.81959
773 122 99 107 119 105 121 132 113 109 91 90 85 63 99 120 4.16826
770 122 98 107 119 105 121 131 113 109 92 90 84 64 98 119 4.58418
769 122 98 108 119 105 121 132 114 109 92 90 85 64 99 120 4.85235
775 123 99 107 119 105 121 132 114 109 91 90 85 64 99 119 5.21661
771 122 99 107 119 106 121 132 114 109 92 90 85 64 99 120 5.59631
773 123 99 107 119 105 120 132 114 109 92 90 84 64 98 120 6.04823
765 123 99 107 119 106 121 132 114 109 92 90 85 63 99 120 6.37855
774 123 99 108 119 106 122 133 114 110 92 91 85 64 100 120 6.71959
768 122 99 107 118 105 120 132 114 109 91 90 85 63 99 120 6.98657
773 122 99 107 119 105 121 132 113 109 92 90 84 64 99 119 7.15815
777 122 99 107 118 104 120 132 114 109 92 90 84 63 98 120 7.57865
774 122 99 107 119 105 121 132 114 109 92 91 85 64 99 120 7.86189
770 122 99 107 119 105 121 132 114 109 92 90 85 64 99 120 8.22919
775 123 99 107 119 105 121 132 114 109 92 91 85 64 99 120 8.58361
801 122 99 106 118 104 121 131 114 109 91 90 85 63 98 119 8.88338
777 123 99 107 119 106 121 132 114 110 92 91 85 64 99 120 9.34216
778 123 99 107 119 105 121 132 114 109 92 91 86 64 99 119 9.70364
763 122 100 107 120 106 122 133 114 109 92 91 85 64 99 120 10.0716
771 123 99 107 119 105 122 133 114 109 92 91 85 64 98 120 10.461
771 122 99 108 119 105 121 132 113 109 92 91 85 64 99 120 10.8326
777 122 99 108 119 104 121 132 114 109 92 90 85 64 99 120 11.1991
773 122 99 107 119 105 120 132 114 109 92 90 85 63 99 121 11.5255
780 122 99 107 118 104 121 132 114 109 92 91 85 63 98 120 11.8809
776 122 99 108 119 105 122 132 114 110 92 91 85 64 99 121 12.3414
777 123 99 107 119 106 122 132 114 109 92 90 85 63 98 120 12.7086
769 123 98 107 119 105 121 132 114 109 91 91 85 64 98 120 13.0797
778 123 99 107 119 105 122 132 114 110 92 91 85 63 98 120 13.4409
771 122 98 107 119 105 121 132 114 109 92 90 85 64 99 119 13.8315
771 123 98 107 119 106 121 132 114 110 92 90 85 63 98 120 14.1096
776 122 98 107 119 105 121 132 113 110 92 91 85 63 98 120 14.4697
777 122 99 107 119 105 121 132 114 110 92 90 85 64 99 120 14.8346
773 123 99 107 120 105 121 133 114 109 92 91 85 64 99 120 15.1855
769 122 99 107 119 106 121 132 114 110 92 91 86 64 99 120 15.6522
775 122 99 108 119 106 122 132 115 110 92 91 85 64 99 120 16.0409
772 122 99 107 119 105 121 132 115 109 92 90 85 64 99 120 16.405
773 121 99 107 119 104 121 132 114 110 92 91 85 64 99 120 16.8797
777 122 99 108 119 105 122 133 115 110 92 91 85 63 99 120 17.228
772 123 99 108 119 105 121 133 114 110 92 91 85 64 99 120 17.5886
773 123 99 107 119 105 121 132 114 109 91 91 85 64 99 120 17.8622
773 122 99 107 119 105 121 132 115 110 92 90 85 64 99 120 18.214
776 123 99 108 120 106 122 133 114 110 92 91 85 64 99 120 18.5695
778 123 99 107 119 106 122 132 114 110 92 90 85 64 99 120 18.9352
778 123 99 107 119 105 122 133 114 110 92 91 85 64 99 120 19.29
775 122 99 107 119 104 122 132 114 109 92 90 85 64 99 119 19.7079
766 122 99 107 119 105 121 132 114 109 92 90 85 64 99 120 20.0615
773 122 99 106 119 104 121 131 114 108 91 90 85 63 98 119 20.4203
776 122 99 107 119 105 121 132 114 109 92 89 86 63 99 119 20.8429
772 122 99 107 119 104 121 131 114 109 92 90 85 63 99 119 21.2143
777 122 98 106 119 105 121 131 114 109 92 90 85 63 98 119 21.5646
775 122 99 106 119 104 121 131 114 109 91 89 84 63 98 119 21.9653
774 122 99 106 119 105 121 132 114 109 92 90 85 64 99 119 22.3205
772 122 99 107 119 105 121 132 114 108 92 90 85 63 99 119 22.7031
773 122 99 107 119 104 121 131 114 108 92 90 85 63 99 119 22.9863
769 121 99 107 119 104 121 131 114 109 92 90 84 63 98 119 23.1627
773 122 98 107 119 105 121 131 114 108 92 90 85 63 98 119 23.5275
775 122 99 107 119 105 121 132 113 108 91 90 85 63 98 119 23.9543
773 122 99 107 119 105 122 131 115 110 92 90 86 63 99 119 24.2068
778 123 99 106 119 105 121 131 114 108 91 90 84 63 99 119 24.5662
780 122 99 107 119 105 121 131 114 109 92 90 85 63 99 119 24.8446
771 122 99 107 119 105 121 131 114 109 92 90 85 63 98 119 25.1964
777 122 99 107 119 104 121 131 114 109 91 90 85 63 98 119 25.4717
772 122 99 107 119 105 121 131 114 109 91 90 85 63 99 119 25.8112
