ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
496 122 844 107 120 105 122 132 114 110 92 91 85 64 100 120 0.416386
678 121 970 106 119 104 122 131 114 108 91 90 85 63 98 118 0.749737
484 121 632 106 119 104 121 131 113 108 91 90 84 63 98 119 1.1651
501 121 708 106 119 104 121 131 113 108 92 89 85 63 98 118 1.44838
533 122 668 106 118 104 121 131 113 108 91 90 84 62 98 119 1.7938
484 121 849 107 119 104 121 131 114 108 92 90 85 62 99 119 2.14043
655 121 573 106 119 105 121 131 113 109 91 89 85 62 98 119 2.45724
833 121 810 106 119 104 121 132 114 108 92 90 85 62 98 119 2.80841
518 121 562 106 119 104 121 131 113 108 91 90 84 63 98 119 3.15207
470 121 798 106 118 104 121 131 113 108 91 89 84 62 98 119 3.50319
704 121 565 106 118 104 121 131 113 108 91 89 84 62 97 118 3.9114
551 122 553 107 119 104 122 131 113 108 92 90 84 63 98 119 4.06876
1360 121 664 107 119 104 121 131 113 109 92 90 85 63 99 119 4.40942
910 122 634 106 118 103 121 132 113 108 91 89 85 62 98 119 4.67625
511 122 648 106 119 105 122 131 113 109 91 90 85 62 98 118 5.02312
1047 121 654 107 120 104 122 131 114 109 91 89 85 63 99 119 5.36413
518 122 621 106 119 104 122 132 114 109 92 90 85 63 99 119 5.67543
1002 122 765 106 119 104 121 131 113 109 91 89 84 63 98 118 5.98439
342 120 648 105 116 102 121 130 111 107 90 89 83 62 96 118 6.33119
685 121 588 106 118 104 121 131 113 108 91 89 85 62 98 118 6.79465
531 121 1151 107 119 105 121 131 114 109 91 90 84 63 98 119 7.15011
480 122 872 106 118 103 121 131 113 108 91 90 84 62 97 119 7.49225
446 121 828 106 118 103 121 131 113 108 90 89 83 62 97 118 7.83999
494 121 546 105 118 104 121 131 113 108 91 89 84 62 98 119 8.29952
841 121 678 105 119 104 121 130 113 108 91 89 84 61 98 118 8.61214
488 121 962 106 119 104 121 131 113 108 91 89 84 63 97 118 9.05258
633 121 632 106 119 104 121 132 113 108 91 90 84 63 98 118 9.41483
1410 122 640 106 119 104 121 131 114 109 91 89 85 63 98 119 9.76257
838 121 657 106 119 104 121 132 114 108 91 89 85 63 98 118 10.1724
687 121 712 106 119 104 121 131 113 108 91 90 85 63 99 119 10.5329
647 122 641 107 119 104 121 131 113 108 91 90 85 63 98 119 10.9238
513 121 681 106 119 105 121 131 113 108 91 90 84 62 98 119 11.2784
668 121 674 106 118 103 121 131 113 108 91 89 84 62 98 119 11.6383
473 121 994 106 119 104 121 131 114 109 91 90 84 62 98 119 11.9694
962 122 846 106 119 104 121 131 113 108 91 89 84 62 98 119 12.1281
720 121 1107 106 119 104 121 131 114 109 91 89 84 62 98 118 12.5444
1136 121 967 106 119 104 121 131 113 108 91 89 84 62 98 118 12.8135
761 121 678 106 118 104 121 131 113 108 91 89 84 62 98 119 13.1503
532 121 900 106 119 105 121 131 113 109 91 90 84 63 98 119 13.4876
695 121 654 106 119 105 121 132 114 109 91 90 85 63 98 119 13.8364
530 121 1535 106 120 104 121 131 114 109 91 90 84 63 98 119 14.1764
467 121 1504 106 119 104 121 131 113 108 91 89 84 62 98 119 14.4782
718 121 676 106 117 104 121 131 114 108 91 89 84 63 98 119 14.8294
616 121 816 106 119 104 122 131 114 109 92 90 85 63 99 120 15.1732
781 121 779 107 119 104 121 131 113 109 91 89 84 62 98 119 15.5159
744 121 652 107 118 104 122 131 114 109 91 89 84 62 98 118 15.8828
1218 122 650 107 119 103 121 131 114 109 91 90 85 63 98 119 16.296
561 121 534 106 118 105 121 131 114 109 91 90 85 62 98 119 16.5583
510 121 785 107 119 104 121 131 114 108 91 90 84 63 98 118 16.8966
2003 122 649 106 119 104 121 131 114 109 92 90 85 63 99 119 17.2302
467 121 809 106 118 104 120 131 114 109 91 89 84 62 98 119 17.5444
509 121 1002 106 118 104 121 132 114 108 91 89 84 62 98 118 17.8794
532 122 1017 107 119 104 121 132 113 110 91 90 85 63 99 119 18.2987
892 122 663 106 119 104 122 132 114 109 91 90 84 63 98 119 18.65
498 121 698 107 119 105 121 131 113 109 91 89 85 63 98 118 18.9953
712 121 658 107 118 104 120 131 113 108 91 89 85 62 98 119 19.2562
1534 122 677 107 119 104 121 131 114 109 91 89 84 63 98 119 19.5332
465 121 659 106 119 104 121 132 114 109 91 90 85 63 98 118 19.8692
704 122 680 107 119 104 121 131 114 109 91 89 85 63 99 119 20.0783
1322 121 823 107 119 104 122 131 114 108 91 89 84 63 98 119 20.4147
523 121 648 106 119 104 121 131 113 109 91 90 84 63 98 119 20.7528
566 121 748 106 119 104 121 132 114 109 91 90 84 63 98 118 21.1704
1238 122 620 106 119 103 122 131 113 108 91 89 84 63 98 118 21.5239
1031 122 618 106 119 104 121 131 113 108 91 90 84 63 98 119 21.8016
709 121 569 107 118 104 121 131 114 109 91 90 84 63 98 119 22.1047
411 121 681 106 118 104 121 132 113 109 91 90 84 63 98 119 22.4136
521 122 649 106 118 104 121 131 113 108 91 90 84 63 98 119 22.6377
423 121 1900 105 120 104 121 130 114 108 91 90 84 62 98 118 22.9811
483 121 835 106 119 105 121 131 113 109 91 89 84 63 98 119 23.3287
862 121 652 106 119 104 122 131 114 109 92 90 85 63 98 119 23.7492
488 121 798 106 118 104 121 131 114 109 91 89 84 62 98 118 24.1807
522 121 646 106 119 104 121 131 114 108 91 90 84 62 98 118 24.5406
467 121 694 107 119 104 121 131 113 109 91 90 85 63 98 119 24.8867
473 122 705 107 119 104 121 131 114 109 91 90 84 63 98 119 25.2984
2009 121 683 106 119 104 122 132 113 108 91 90 84 63 98 119 25.657
564 121 670 107 118 104 121 131 114 109 91 90 84 62 98 120 26.041
789 121 666 106 118 105 121 131 113 109 92 90 85 63 98 119 26.3644
514 122 888 106 119 104 121 132 114 109 90 90 84 63 98 119 26.7056
511 122 659 107 120 105 122 132 114 110 92 90 85 64 99 119 27.0071
897 121 657 107 119 105 121 131 114 109 91 90 85 63 99 120 27.4222
645 121 632 106 118 104 122 131 114 109 92 89 85 63 99 120 27.7556
432 121 555 106 118 104 120 131 113 108 91 89 84 62 97 118 28.0484
514 121 553 106 119 105 122 131 114 109 91 90 85 63 98 119 28.3015
649 122 667 106 119 104 121 131 114 109 91 89 85 63 98 118 28.5933
826 121 639 106 119 104 120 131 113 109 91 90 84 62 97 119 29.0495
576 121 781 107 120 104 121 131 114 109 91 90 85 63 98 119 29.3631
532 122 849 106 118 104 120 131 114 108 91 89 84 63 98 119 29.698
653 121 1112 106 119 105 121 131 114 109 91 89 84 63 98 119 30.039
511 121 967 106 119 104 121 132 114 109 91 89 84 62 98 119 30.3737
439 120 632 105 117 103 120 130 113 108 91 89 83 63 97 118 30.7913
635 121 663 106 118 104 121 131 113 109 90 90 84 62 98 120 31.1461
580 121 665 106 118 104 121 131 114 109 91 90 84 63 98 118 31.5426
498 120 682 106 118 104 121 131 113 109 91 89 84 63 97 119 31.864
678 122 1121 106 119 104 122 131 113 109 92 90 84 62 98 119 32.2926
478 121 865 106 118 104 121 131 113 108 91 89 84 63 97 119 32.5702
570 121 1023 106 119 104 121 131 113 108 90 89 84 62 98 119 32.858
1451 122 883 107 120 104 121 132 113 108 91 90 84 63 98 119 33.1898
678 121 637 106 118 104 121 130 114 109 91 89 84 62 97 119 33.5479
731 121 642 106 119 104 121 131 114 109 91 90 85 63 99 119 33.9011
784 122 583 106 119 104 121 132 114 109 91 90 84 62 98 119 34.2539
537 121 963 107 119 104 121 131 113 109 91 90 85 63 98 119 34.6728
741 121 792 107 119 104 121 131 113 109 91 90 84 63 98 119 34.9875
