ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
745 123 608 108 120 106 123 133 116 111 93 92 87 65 100 121 0.246183
550 123 597 107 120 105 122 132 114 109 93 91 85 64 99 120 0.412311
2320 123 2445 107 121 105 122 132 114 109 92 90 85 63 99 120 0.577884
654 123 579 107 119 106 122 132 114 109 92 90 86 64 99 120 0.746217
2736 123 9999 107 122 105 123 132 114 109 92 90 85 63 99 120 0.911686
1169 123 509 108 120 106 122 133 114 110 93 91 85 64 100 120 1.07834
1740 122 773 107 120 105 122 132 114 109 92 90 85 63 99 120 1.24628
585 122 559 107 120 106 122 132 114 110 92 90 86 64 99 120 1.41187
740 122 570 107 119 105 122 132 114 109 92 90 86 64 99 120 1.57573
3100 122 3895 107 122 105 125 133 113 109 92 91 85 64 98 120 1.73802
834 129 702 114 128 112 129 139 121 117 99 97 92 71 106 127 1.90186
3343 123 2583 107 122 105 123 132 114 109 92 90 85 63 99 120 2.06601
909 123 554 107 119 105 122 132 114 110 92 91 86 64 99 120 2.23408
9999 122 1350 107 121 105 122 132 114 109 92 90 85 64 99 119 2.39818
1231 123 470 107 119 105 122 132 114 109 92 91 85 63 99 120 2.56124
9999 123 1522 107 120 105 122 133 114 109 92 91 85 64 98 120 2.72533
712 123 568 107 119 105 122 132 114 109 92 91 86 63 99 120 2.88887
3201 122 1945 108 121 105 122 132 114 109 92 91 86 64 99 120 3.05322
580 123 566 108 120 106 122 133 114 109 92 91 85 64 99 120 3.21744
3001 122 1060 107 120 105 122 132 114 110 92 90 86 64 99 120 3.38105
9999 123 2087 107 121 105 122 132 114 109 92 91 85 64 99 120 3.54542
519 123 571 107 119 105 122 133 113 109 92 91 84 64 99 120 3.70647
882 123 574 107 120 106 122 132 114 109 92 91 85 63 99 120 7.07912
734 122 610 107 119 104 121 132 114 109 91 90 84 63 98 119 7.25371
576 123 812 107 119 105 122 132 114 109 92 91 86 64 99 120 7.41295
9999 123 1384 108 121 106 123 133 115 109 92 91 86 64 99 120 7.57853
475 122 588 107 119 104 122 133 113 109 92 90 85 63 99 119 7.74442
581 122 557 108 120 105 122 132 114 110 92 90 85 64 99 120 7.90787
726 122 576 108 119 105 121 132 114 110 91 90 85 64 99 120 8.07053
963 123 586 108 120 105 121 132 114 109 91 90 85 63 99 119 8.2356
492 123 497 108 120 106 122 133 114 110 92 91 86 64 99 120 8.40073
9999 122 3877 108 121 105 123 132 114 109 92 91 85 64 99 119 8.56645
3491 123 1496 107 120 106 123 132 115 109 92 91 85 64 99 120 8.7379
2451 123 937 108 119 106 123 132 114 110 92 91 85 64 99 120 8.90443
665 123 611 107 119 106 122 133 114 110 92 91 86 64 100 120 9.07072
620 122 862 107 120 106 122 132 114 110 92 90 85 63 99 120 9.24031
2860 122 1770 108 121 105 122 133 115 110 92 91 85 64 99 120 9.40531
9999 123 1461 108 121 105 121 133 114 110 91 91 85 65 99 119 9.57035
753 122 590 108 119 105 122 132 115 110 92 90 85 64 100 120 9.73423
9999 122 1338 107 120 105 122 132 115 110 92 90 85 64 99 120 9.89819
587 122 876 107 119 105 122 132 114 110 91 91 85 63 99 120 10.0619
817 122 866 107 119 105 122 132 114 110 92 90 86 64 98 120 10.2268
2216 123 1139 106 120 105 122 132 114 109 92 91 85 63 98 120 10.3902
707 122 596 107 119 105 122 132 114 109 92 90 85 63 99 120 10.5563
833 123 592 107 119 105 122 132 114 109 91 91 86 63 99 120 10.7225
2034 122 885 107 118 104 122 132 114 109 92 90 85 63 98 120 10.8873
681 122 617 107 119 105 122 132 114 110 92 90 85 64 99 121 11.0517
9999 122 1248 108 120 105 121 133 114 109 92 91 85 64 98 120 11.2162
3792 123 2863 107 122 105 123 133 115 109 92 91 85 64 98 120 11.3758
945 123 774 107 120 106 123 132 115 110 92 91 85 64 100 121 11.5395
2583 122 1397 107 120 105 122 132 115 110 92 91 85 63 99 120 11.7054
1705 122 884 107 120 105 122 132 114 109 92 91 85 63 98 120 11.8708
1484 123 2000 107 120 105 122 132 115 110 92 90 86 64 100 120 12.035
2801 122 1648 108 121 105 122 133 114 110 92 91 86 64 99 120 12.1993
9999 123 1448 108 120 105 122 133 115 110 92 91 86 64 99 120 12.3637
2836 122 1884 107 120 105 122 132 114 109 92 90 85 64 99 120 12.5293
588 122 566 107 120 105 121 132 114 110 92 90 85 64 98 120 12.6905
667 123 609 108 120 105 122 133 115 110 92 91 86 64 99 120 12.8567
862 123 515 107 119 105 122 132 114 110 92 91 85 64 99 120 13.021
889 123 858 108 120 105 122 132 115 110 92 91 85 64 99 120 13.1858
1162 123 607 108 120 105 122 132 114 110 92 90 85 64 99 120 13.3518
743 122 587 107 119 105 122 132 114 109 92 91 85 64 99 120 13.5145
701 122 730 107 120 105 122 133 114 110 92 90 86 64 99 120 13.6801
9999 122 2221 108 121 105 122 133 114 110 92 91 86 64 99 120 13.846
536 123 1052 107 119 105 122 132 114 109 92 90 85 63 99 119 14.0067
1018 122 659 108 120 105 122 132 114 110 92 91 85 64 99 120 14.169
786 122 575 108 119 105 122 132 115 110 92 91 86 64 100 120 14.3327
993 122 457 108 119 105 122 132 114 110 92 90 84 64 98 120 14.4945
3645 122 1740 108 121 105 122 133 115 110 92 91 85 64 100 120 14.6606
9999 122 1667 107 121 105 121 132 114 110 92 90 85 64 99 120 14.8221
863 122 440 108 119 105 121 132 114 109 92 90 85 64 99 120 14.9783
736 122 456 107 119 105 122 133 114 109 92 90 85 64 99 120 15.1391
9999 123 1184 106 120 105 122 132 114 109 91 90 85 63 98 120 15.2927
610 123 989 107 120 105 123 132 114 109 92 90 85 64 99 120 15.4681
9999 122 2499 107 121 104 122 132 114 109 92 90 85 63 99 119 15.625
575 122 729 107 120 104 122 132 114 109 92 90 85 63 99 119 15.792
593 122 577 107 119 105 122 132 114 109 92 90 85 63 99 120 15.9479
1223 121 555 107 119 105 122 132 114 110 91 90 85 63 99 119 16.1084
3133 122 1774 107 121 104 122 131 114 109 92 90 85 63 98 119 16.2681
9999 122 1519 106 120 105 122 131 114 109 91 90 85 63 99 119 16.4346
1983 121 845 106 120 104 122 132 114 109 91 90 85 62 98 119 16.5989
3395 121 1494 107 121 105 122 132 114 109 92 90 85 63 99 119 16.7648
9999 122 2460 106 120 104 122 132 114 109 92 90 85 63 98 119 16.9284
2040 122 1313 107 120 104 122 132 115 109 92 90 85 63 99 119 17.0929
1045 122 531 106 119 105 121 132 115 109 92 90 85 63 99 120 17.2567
448 122 577 107 119 104 121 132 114 109 92 90 85 63 99 120 17.4228
556 122 749 107 119 104 122 132 114 109 92 90 85 63 99 119 17.5861
9999 122 1482 107 121 105 122 132 114 109 92 91 85 64 99 119 17.7451
3926 121 2704 106 121 104 122 131 114 109 92 90 85 63 98 119 17.914
491 122 476 107 120 105 122 132 114 109 92 90 85 64 99 119 18.0798
1080 123 736 107 120 105 123 132 114 110 92 91 85 63 100 120 18.2382
806 122 578 107 120 105 122 132 115 110 92 91 85 63 99 120 18.4042
3378 122 1678 107 120 105 122 131 115 109 92 90 85 63 98 119 18.5692
436 122 630 107 120 105 122 131 114 110 92 90 85 64 99 119 18.7334
818 122 597 107 119 105 122 132 114 110 92 90 84 64 99 120 18.9
9999 122 2213 107 120 105 122 132 114 109 92 90 85 62 99 119 19.0655
549 121 594 106 119 105 122 132 114 109 92 89 84 63 98 119 19.2297
3296 122 2165 107 121 105 123 132 115 109 92 90 85 63 99 119 19.3943
3877 122 2018 106 121 104 122 132 114 109 92 90 85 63 99 119 19.5548
610 121 601 107 119 104 121 132 114 109 91 90 85 63 98 120 19.7217
3353 122 1871 107 121 105 122 132 115 109 92 90 85 63 99 119 19.886
972 122 605 107 119 105 122 132 114 110 93 91 85 64 99 120 20.0505
492 122 490 106 118 105 121 131 114 109 91 89 85 63 99 119 20.2143
2885 123 2431 107 121 105 122 132 114 109 92 90 85 63 99 120 20.3694
594 123 769 108 120 106 122 133 115 109 93 91 86 64 99 120 20.5392
2494 122 2138 108 121 105 122 132 115 110 92 91 85 64 99 120 20.7018
3524 122 2116 107 122 105 123 133 115 110 92 90 86 64 100 120 20.8663
510 121 703 106 119 105 121 131 114 109 91 90 85 63 98 119 21.0311
9999 122 1843 107 120 105 122 131 114 109 91 90 84 64 98 120 21.1974
2423 122 717 107 120 105 122 132 115 110 92 90 85 64 99 120 21.3625
1465 122 579 107 119 104 122 131 114 109 92 90 85 63 99 119 21.5274
535 123 556 107 120 105 122 132 114 109 92 91 86 63 99 120 21.691
3983 121 1525 107 121 105 122 131 115 110 92 90 85 63 99 119 21.855
9999 122 1497 107 121 105 121 132 114 109 92 90 86 64 99 119 22.0225
9999 122 2790 107 121 105 122 132 114 110 92 90 86 63 99 119 22.2343
668 122 705 107 120 105 122 132 115 110 93 90 85 63 99 119 22.4577
943 122 1005 107 120 105 122 132 114 109 92 90 85 64 99 120 22.6451
603 122 580 107 119 104 122 132 114 109 92 90 85 63 99 120 22.8321
3397 123 1954 108 122 105 123 133 115 109 92 91 86 64 100 120 23.031
710 122 1027 107 120 105 122 131 114 110 92 90 85 63 99 120 23.3257
682 122 778 107 119 105 122 132 114 109 92 91 85 63 99 120 23.4995
590 122 428 108 119 105 122 133 114 109 92 90 85 64 99 120 23.6651
893 122 717 107 119 105 123 132 115 109 92 91 85 63 98 119 23.8294
3147 122 3219 107 122 105 122 132 115 109 92 91 85 63 99 119 23.9976
913 122 714 107 120 105 121 132 115 110 92 90 85 63 99 119 24.1678
3313 121 1363 106 120 104 121 131 115 108 91 90 85 63 98 119 24.3338
838 122 582 107 120 105 121 132 115 110 92 90 85 63 99 119 24.4935
614 122 572 107 119 105 122 132 114 109 92 90 86 63 99 119 24.6589
970 123 577 107 119 105 122 132 114 109 93 90 85 63 99 120 24.8238
912 121 551 107 119 105 122 132 114 109 92 91 86 63 98 119 24.991
2479 121 2053 107 120 104 121 132 114 108 92 90 84 63 98 119 25.1555
1078 122 534 107 119 105 122 132 114 109 92 90 85 64 99 120 25.3213
2058 123 1909 107 120 105 122 132 114 109 92 90 85 64 99 119 25.478
2494 121 2573 107 121 105 122 132 114 109 92 91 85 63 99 120 25.6472
2449 122 3223 107 122 105 122 132 114 110 92 90 85 64 99 119 25.8121
635 122 709 107 119 105 122 131 114 109 92 90 85 63 99 119 25.969
717 121 459 107 119 105 122 132 114 109 92 90 85 63 98 120 26.1831
552 122 1214 107 119 105 121 132 114 109 92 90 85 63 99 119 26.3629
504 122 496 107 119 105 122 131 114 109 92 91 85 63 99 119 26.5344
1071 122 564 107 119 105 122 131 114 109 91 90 85 63 99 120 26.7038
557 122 730 107 119 105 122 132 115 109 92 90 86 63 100 120 26.8738
607 122 600 108 119 105 122 132 114 110 92 91 86 64 99 119 27.0436
3520 122 1180 107 121 105 123 132 115 110 92 91 86 64 99 119 27.2128
3967 122 2681 107 122 105 122 132 114 109 92 90 85 63 99 120 27.3785
981 122 569 107 119 104 122 131 114 109 92 90 86 63 99 119 27.5475
616 122 776 107 120 105 122 132 114 109 91 90 85 63 99 120 27.719
455 122 847 107 120 105 122 131 114 109 92 90 85 63 99 119 27.8883
666 122 468 106 119 105 122 131 114 109 92 90 85 63 99 119 28.0596
1471 121 590 107 119 105 122 132 115 109 92 90 85 64 99 120 28.228
778 123 883 107 120 105 122 132 115 110 92 90 86 64 100 120 28.3976
1897 122 2908 107 122 106 123 132 115 110 92 90 86 63 100 120 28.5678
3529 121 3527 108 122 105 122 132 115 110 92 90 86 63 99 119 28.7579
906 122 561 107 119 105 121 132 114 109 92 90 85 63 99 120 28.9255
760 122 551 107 120 105 122 132 115 110 93 90 86 64 100 120 29.0981
9999 121 3520 107 121 105 122 131 114 110 92 90 85 63 99 119 29.2705
778 121 551 107 119 105 121 131 114 109 92 90 85 63 98 119 29.4364
795 122 561 107 119 105 122 132 114 109 91 90 85 63 99 120 29.6041
1010 122 592 107 119 105 122 132 114 109 92 90 85 63 99 120 29.772
706 121 563 107 119 105 122 132 114 110 92 90 85 63 98 120 29.9374
3909 122 1689 107 121 105 123 132 115 109 92 91 85 64 99 119 30.1598
2627 122 1522 107 121 105 122 132 114 109 93 91 85 63 100 120 30.3538
602 122 658 107 120 105 122 132 114 110 93 91 86 64 100 120 30.5301
774 122 885 108 120 105 122 133 114 110 92 91 85 64 99 119 30.7055
725 123 450 107 119 105 122 132 114 110 92 90 85 64 99 119 30.8835
597 122 564 107 119 105 121 132 114 109 92 90 85 63 99 119 31.0631
713 121 710 107 120 105 122 132 115 109 92 91 85 63 99 120 31.2376
577 122 542 107 119 105 122 132 114 109 92 90 84 64 99 119 31.4081
1177 122 563 107 120 105 122 131 114 109 92 90 85 64 100 120 31.5787
3456 122 2189 107 121 105 123 132 115 109 93 91 86 64 99 120 31.7491
834 122 470 107 120 105 122 132 114 110 92 91 85 63 99 120 31.9181
9999 122 1304 107 120 105 122 132 114 109 92 90 85 63 98 120 32.0955
