ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
1063 122 568 108 120 106 123 133 116 110 92 91 86 65 100 121 0.24933
766 122 874 108 120 105 122 132 114 109 92 90 86 64 100 120 0.417825
1279 122 1189 107 120 105 122 132 114 109 92 90 85 63 99 119 0.583054
843 122 618 107 119 105 122 132 114 109 92 90 85 64 99 120 0.747924
1175 122 745 107 120 105 122 132 114 109 92 90 85 63 99 120 0.910278
553 122 587 107 119 105 122 132 114 108 91 91 85 63 98 119 1.07493
719 123 950 107 120 105 122 132 114 109 92 91 85 63 99 120 1.24446
551 122 546 107 120 105 122 132 114 109 92 90 85 63 99 120 1.40591
779 123 754 107 120 105 122 132 114 109 92 90 85 64 99 120 1.57
791 122 1064 107 119 104 121 132 114 108 91 90 85 62 99 119 1.7336
531 121 400 106 118 103 122 130 113 108 90 90 83 63 97 119 1.89562
792 123 588 106 119 105 122 132 114 109 92 90 85 63 99 120 2.06052
585 122 1042 107 120 105 122 132 114 109 92 90 85 63 99 120 2.22444
714 122 598 107 119 104 121 132 114 109 92 89 84 63 99 119 2.38812
953 122 561 106 120 105 121 131 114 108 92 90 85 63 98 119 2.5531
547 122 569 108 120 105 122 132 114 110 92 90 85 63 99 120 2.71633
1073 122 615 107 120 105 122 132 114 109 92 90 85 63 99 120 2.88636
593 123 540 107 119 105 122 132 114 109 92 90 85 64 100 120 3.05232
712 123 552 106 119 105 121 132 114 109 91 90 85 63 99 120 3.23857
570 123 574 108 120 106 122 132 114 110 92 90 86 64 99 120 3.72439
707 123 751 106 119 105 122 131 114 109 91 90 85 63 99 120 3.89924
772 122 482 108 120 105 122 132 114 109 92 90 86 64 99 120 4.06895
607 122 577 107 119 105 122 132 114 109 92 90 85 63 98 119 4.37291
844 123 600 108 121 105 122 132 116 109 93 91 85 64 101 120 4.64775
852 123 1043 107 120 105 122 132 114 109 92 90 85 64 98 119 4.81275
464 123 539 107 119 105 122 132 114 109 92 90 85 64 99 120 4.97327
556 122 616 107 119 105 122 131 113 109 91 90 85 64 98 120 9.32186
581 122 861 107 119 105 121 132 114 109 92 90 85 63 99 120 9.52975
742 123 554 107 119 105 122 132 113 109 92 90 85 63 99 120 9.69414
1090 122 846 107 120 105 122 132 114 109 92 90 85 64 99 120 9.85585
750 122 477 108 119 105 121 132 114 110 92 90 84 64 99 120 10.0208
1002 123 475 108 120 105 122 133 114 109 92 90 85 64 99 120 10.1843
628 122 733 107 119 105 121 132 113 109 92 90 85 64 98 120 10.3511
904 122 569 107 119 105 122 132 114 108 92 90 85 63 98 120 10.5184
441 122 710 107 119 105 121 132 114 109 92 90 85 63 98 119 10.6827
938 123 753 107 120 106 122 132 114 110 92 91 85 63 99 120 10.8498
743 122 1807 107 120 105 122 132 114 110 91 90 85 63 98 119 11.0198
820 121 602 107 119 105 121 132 114 109 92 90 85 63 99 119 11.1829
2146 122 450 108 119 104 122 132 114 109 92 90 85 63 99 120 11.3504
441 122 766 107 120 105 122 132 115 110 92 90 86 64 100 120 11.5193
763 122 570 107 119 105 121 132 114 109 92 90 85 63 98 119 11.6829
610 122 574 107 120 105 121 132 115 109 92 91 85 63 99 120 11.8515
806 121 472 107 119 105 121 131 114 109 91 90 84 63 98 119 12.019
629 123 1321 107 120 105 122 132 114 109 92 90 85 63 98 120 12.1796
611 122 545 107 119 105 121 132 113 109 91 90 85 62 99 119 12.3491
735 122 601 106 119 105 121 132 114 109 91 90 85 63 98 119 12.5205
510 123 461 107 119 105 121 132 114 109 92 90 85 64 99 120 12.6853
690 122 524 107 119 105 121 131 114 109 92 90 85 63 98 119 12.8519
441 122 574 108 119 105 121 132 114 110 91 90 85 64 99 120 13.0213
729 122 1632 107 120 105 122 132 115 109 92 90 85 64 99 120 13.1843
3025 122 1051 107 120 105 122 132 114 110 92 90 85 64 99 120 13.3522
468 122 608 107 120 105 121 132 115 110 92 90 85 64 99 119 13.5176
1045 122 570 106 120 104 121 132 115 110 92 91 85 63 99 120 13.6796
660 122 585 107 119 105 122 132 114 109 92 91 86 64 99 120 13.843
