ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
622 122 462 108 120 106 123 133 116 110 93 91 86 64 100 121 0.247711
513 122 441 107 119 105 122 132 114 110 92 90 85 63 99 119 0.415937
700 122 434 107 120 105 122 132 114 109 92 91 85 63 99 120 0.578224
653 121 428 107 119 105 122 132 114 109 93 90 85 64 99 120 0.741708
680 122 442 107 119 105 122 132 114 108 92 91 85 63 98 119 0.904525
522 122 438 107 120 105 122 132 114 109 92 90 85 63 99 120 1.06488
544 121 468 107 120 104 122 131 114 109 91 90 85 62 98 119 1.22823
952 122 434 107 120 105 122 133 114 110 92 90 85 63 99 120 1.38818
824 122 443 107 119 105 121 132 115 109 92 90 85 64 99 120 1.55028
551 122 461 107 119 105 122 132 114 109 92 90 86 64 99 119 1.70196
668 121 457 106 118 104 121 131 113 108 91 90 85 62 98 119 1.87095
512 122 440 107 119 105 122 131 114 108 92 90 85 62 99 119 2.0324
504 123 452 108 120 106 122 132 115 110 92 91 86 64 100 120 2.19701
1659 123 426 108 120 106 122 133 115 110 93 91 86 64 100 120 2.35723
876 122 460 107 119 105 122 131 114 109 92 90 85 63 99 119 2.52135
1190 121 427 108 119 105 122 132 114 109 93 90 85 64 99 120 2.68336
728 122 440 107 119 104 122 132 114 109 92 90 85 63 98 119 2.84136
683 122 469 107 119 104 121 132 113 108 91 90 85 63 98 119 3.00734
885 122 450 107 119 105 122 132 114 109 92 91 85 63 99 119 3.1732
688 122 437 107 119 106 122 132 114 109 92 91 85 63 99 119 3.33062
502 122 429 107 119 105 123 132 114 109 93 90 85 63 99 119 3.49479
495 122 452 107 120 105 122 132 114 109 93 90 85 63 100 120 3.65859
532 122 433 107 120 106 122 132 114 109 92 91 86 63 99 119 3.822
668 122 424 107 118 105 121 132 114 109 93 91 85 64 99 120 3.98536
327 124 451 109 122 107 124 134 115 111 93 91 87 65 101 120 5.40813
540 121 450 106 119 104 121 131 114 108 91 91 85 63 98 119 5.57491
526 122 436 107 119 105 122 132 114 110 92 90 86 64 100 120 5.73849
682 121 460 107 120 104 121 131 113 109 92 90 85 63 99 119 5.89793
563 122 435 107 119 104 121 132 114 109 92 90 85 63 99 119 6.06163
812 123 435 109 120 106 123 133 115 110 92 91 86 65 100 120 6.21855
506 123 436 108 120 106 123 132 114 109 92 91 86 64 99 120 7.33495
790 123 421 109 119 106 123 133 115 110 93 91 86 65 101 121 7.52818
666 122 420 107 119 105 121 132 114 109 92 91 85 64 98 120 7.7058
821 122 427 107 119 105 122 132 115 109 92 90 86 63 99 120 7.88162
617 122 467 107 119 105 122 132 115 109 92 90 85 63 99 120 8.05745
508 122 425 107 119 105 121 132 114 109 92 90 85 63 99 120 8.22602
1620 122 464 107 119 105 122 132 115 109 92 90 85 63 98 120 8.39955
536 122 458 107 120 105 123 132 115 110 92 91 86 63 100 120 8.57566
