ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
246 123 797 109 121 106 124 134 116 111 93 92 87 65 100 121 0.256273
272 121 773 107 119 104 121 132 113 109 91 90 84 63 98 119 0.428266
261 122 581 107 120 105 122 133 114 110 92 90 86 64 99 120 0.592712
237 123 1425 107 120 106 122 132 114 109 92 91 85 64 99 119 0.758363
257 123 596 108 119 106 122 132 114 110 92 91 85 63 99 120 0.923604
263 122 616 107 119 105 121 132 114 109 91 90 84 63 98 119 1.08689
250 122 593 108 120 105 122 133 114 110 92 91 85 64 99 120 1.25634
250 122 577 108 119 106 122 133 114 110 92 91 86 64 99 120 1.425
237 122 557 108 120 106 122 133 114 110 93 91 85 65 100 121 1.59162
278 123 933 109 120 107 123 133 115 110 92 91 86 64 100 121 1.75538
271 123 759 107 119 106 122 132 114 109 92 90 85 64 99 119 1.91987
257 122 553 108 119 105 121 133 114 109 93 91 86 65 99 120 2.08359
260 123 582 107 121 106 124 133 116 109 94 91 86 65 99 121 2.24675
277 122 773 107 119 105 123 132 114 109 92 90 85 63 100 120 2.4085
260 122 1068 108 119 106 123 133 115 109 93 91 86 65 100 121 2.57487
250 121 639 108 120 104 122 132 114 109 92 90 85 63 99 119 2.73607
267 122 915 107 119 104 122 132 114 109 91 90 84 63 99 119 2.90171
251 123 544 107 121 106 123 133 115 110 93 91 86 65 100 121 3.0639
253 122 612 107 119 105 122 132 114 109 91 90 85 63 99 120 3.22519
239 123 554 109 121 107 124 134 115 110 94 92 86 65 100 121 3.37958
249 123 1536 109 121 107 123 134 115 111 92 92 86 65 100 121 3.54794
259 122 597 107 119 106 122 132 114 110 92 91 85 63 99 119 3.70955
261 122 761 108 120 105 122 133 114 110 92 90 85 64 99 120 3.87174
294 123 626 108 119 105 122 133 114 110 92 91 85 64 99 119 4.03446
269 123 640 107 119 105 122 132 114 109 92 91 85 64 99 120 4.1974
268 123 618 109 119 106 122 134 115 110 93 92 86 65 100 121 8.59168
238 122 616 106 119 105 122 132 115 109 91 91 84 63 97 120 8.7595
243 123 421 109 122 106 123 134 115 111 93 91 86 65 101 121 8.92745
240 122 607 107 119 104 121 132 114 109 92 90 85 64 99 119 9.08397
231 122 580 107 119 105 122 132 114 109 92 91 85 63 99 120 9.24995
275 122 611 107 119 105 121 131 113 109 91 90 84 63 99 119 10.7396
242 122 602 108 119 105 121 132 114 110 92 90 85 63 99 120 10.8979
268 121 606 108 120 106 121 133 114 109 92 90 85 64 99 120 11.058
281 122 920 108 120 106 122 132 115 110 92 91 85 64 99 121 11.2253
248 123 1187 108 119 105 122 132 114 110 92 90 85 64 99 120 11.3917
256 121 1205 108 119 105 122 133 114 109 92 90 85 63 98 119 11.5488
253 122 729 108 119 105 122 132 115 109 92 90 86 64 99 120 11.714
273 122 599 107 119 105 121 132 115 109 91 91 84 63 99 120 11.8799
288 122 597 107 119 106 122 133 115 110 92 91 86 63 99 120 12.0393
310 122 497 108 120 106 123 133 116 111 92 91 86 64 100 120 12.2038
286 122 701 107 119 105 122 132 115 110 91 90 85 64 99 120 12.3609
275 122 612 107 120 106 122 132 115 111 92 90 85 64 99 120 12.5208
259 121 541 107 119 105 122 132 114 110 92 91 85 64 98 120 12.6805
248 121 555 106 118 104 121 132 114 110 92 90 84 64 98 120 12.8509
223 122 535 107 119 105 122 132 115 111 92 91 85 64 99 120 13.0548
279 122 1050 107 119 105 122 132 115 110 92 91 85 64 99 120 13.2428
270 122 697 107 119 105 122 132 114 110 92 90 85 64 99 120 13.4153
264 122 552 107 119 105 122 132 114 110 92 90 85 64 99 120 13.5806
245 121 522 107 119 105 122 132 114 109 92 90 85 64 99 119 13.7482
262 122 582 107 119 105 121 132 114 109 91 90 84 64 98 119 13.9139
240 122 846 107 119 105 122 132 114 110 92 90 85 63 98 120 14.0798
252 122 529 107 118 105 121 132 114 109 91 90 85 63 98 120 14.2472
230 123 518 108 119 106 122 132 115 110 92 91 86 64 99 121 14.4143
238 122 981 107 119 105 122 132 115 110 92 90 85 63 98 120 14.5795
237 122 547 108 119 105 121 132 114 109 92 90 85 64 99 119 14.7509
241 121 1018 107 119 105 121 132 114 110 92 90 85 63 99 120 14.9232
246 122 697 107 119 105 121 132 114 110 92 91 85 64 98 119 15.0945
250 121 719 107 119 105 122 132 114 109 92 90 84 64 98 119 15.2646
234 121 754 108 120 105 122 132 114 110 92 91 85 64 99 119 15.435
281 122 729 108 119 105 122 133 115 110 92 91 84 64 99 120 15.6056
279 123 613 108 119 106 123 133 114 111 92 91 85 63 99 120 15.7761
282 122 580 107 119 105 122 132 114 110 92 91 86 64 99 120 15.9525
265 122 702 108 120 105 122 133 115 110 92 91 86 64 99 120 16.1183
261 122 751 107 120 105 122 132 114 110 92 90 85 64 99 120 16.291
225 122 557 108 119 105 121 133 114 110 92 91 85 64 99 121 16.4633
238 123 548 107 119 106 122 133 114 110 92 91 85 64 99 121 16.6282
216 122 545 107 119 105 122 131 115 110 92 91 85 64 98 120 16.7986
215 122 861 107 120 106 122 133 115 110 93 91 85 64 99 120 16.9683
242 122 575 107 119 105 122 132 114 110 92 90 85 63 99 120 17.1397
250 122 1203 107 120 104 122 132 115 109 92 90 86 63 99 120 17.3019
259 121 612 106 119 104 121 131 114 109 92 90 84 63 98 119 17.4697
240 122 574 106 119 105 121 132 114 109 92 90 85 63 98 119 17.6411
240 121 895 107 119 104 121 132 113 109 91 90 85 63 98 118 17.8062
224 121 554 107 120 105 122 131 115 109 92 90 85 63 99 119 17.9839
241 122 565 107 119 105 122 131 115 110 92 90 85 63 99 120 18.1648
271 121 623 107 119 105 121 132 114 109 91 90 85 63 98 119 18.3409
234 121 765 107 119 105 122 132 114 109 92 90 85 63 99 119 18.5073
276 121 597 107 119 105 121 132 115 109 92 90 84 63 99 119 18.6744
278 121 586 107 119 105 122 131 114 109 91 90 85 63 98 119 18.8401
252 121 572 107 119 105 122 132 114 109 92 90 85 63 98 120 19.0069
280 121 693 106 119 104 122 132 114 109 92 90 85 63 99 119 19.1707
266 122 573 107 119 105 123 131 115 109 92 90 85 63 99 120 19.3363
219 121 551 107 119 105 122 132 114 109 92 90 85 63 99 119 19.5026
272 122 596 107 120 106 122 133 114 110 91 90 85 63 99 119 19.6701
258 121 575 106 119 104 122 131 115 109 92 90 85 63 99 119 19.8385
285 121 602 107 119 104 121 131 115 109 92 90 84 63 99 119 20.0048
287 122 578 107 119 105 122 132 115 110 91 90 85 63 99 119 20.1699
271 121 773 107 119 105 122 131 114 109 92 89 85 63 98 119 20.3367
255 122 682 107 120 105 122 133 115 110 92 91 86 63 100 120 20.4987
231 122 573 107 119 105 121 131 114 109 92 90 85 63 99 120 20.6612
256 121 559 107 119 105 122 132 114 110 91 90 85 63 98 119 20.8289
272 121 556 106 119 104 122 131 114 109 92 89 85 63 99 119 21.0065
262 122 584 107 119 104 121 132 114 109 91 90 85 63 98 119 21.179
252 121 563 106 118 104 121 131 114 109 92 90 84 63 99 119 21.3477
257 121 557 106 119 105 121 132 114 109 91 90 85 63 98 119 21.517
252 122 563 107 119 105 122 132 115 109 92 90 86 64 99 119 21.6827
249 122 541 107 120 105 122 132 115 109 92 90 86 63 99 119 21.8548
271 122 718 107 119 105 122 132 115 110 92 90 86 64 99 120 22.0253
294 122 573 106 119 104 121 132 114 109 91 90 84 62 98 119 22.1945
273 121 563 107 119 104 122 132 114 109 92 90 85 63 98 119 22.3654
263 121 577 106 118 104 122 132 114 109 91 89 84 63 98 119 22.5429
264 121 794 106 119 103 121 131 114 108 92 90 84 63 98 119 22.7143
259 121 564 107 119 104 122 132 114 109 91 89 85 63 99 119 22.8862
246 122 552 107 120 106 123 133 115 110 91 90 86 63 100 120 23.0605
265 122 731 107 120 105 122 132 115 109 92 91 85 63 99 119 23.2307
272 122 583 107 119 105 122 131 115 109 92 90 85 63 98 120 23.3956
261 121 605 106 119 105 122 132 114 109 91 90 85 63 99 119 23.5603
270 121 738 107 120 105 122 132 114 110 92 90 85 63 98 119 23.726
257 122 560 107 119 105 122 132 115 110 92 90 85 64 99 119 23.8908
234 122 564 107 119 105 122 132 115 109 92 91 85 64 99 119 24.0506
255 122 555 107 120 105 122 132 115 110 93 91 86 63 99 120 24.2166
247 122 587 108 119 105 123 132 115 110 92 91 86 63 99 119 24.3825
222 122 750 108 120 105 122 133 115 110 93 91 86 63 99 120 24.5467
246 122 591 107 119 105 122 132 114 109 92 91 85 63 99 120 24.7123
282 121 779 107 119 105 122 132 115 110 92 91 85 63 99 120 24.8766
247 122 616 108 119 105 122 132 114 110 92 90 86 64 100 120 25.0414
252 121 744 106 119 105 122 132 114 109 91 90 85 63 98 119 25.206
267 122 603 107 119 105 122 132 115 110 92 90 86 64 99 120 25.3711
234 122 578 106 119 104 121 131 115 109 91 90 85 62 99 120 25.5315
254 121 884 107 119 104 122 131 114 109 91 89 85 63 99 119 25.6981
275 121 686 107 119 104 121 131 114 109 92 90 84 63 99 119 25.8638
271 121 742 106 119 105 122 132 114 109 92 90 85 62 99 119 26.0547
256 122 862 107 119 105 122 132 114 110 92 90 85 64 99 120 26.2208
266 122 752 107 120 106 121 132 115 110 92 91 86 64 99 120 26.3859
284 122 600 108 119 105 122 132 115 110 92 90 85 63 98 120 26.5458
247 122 553 107 119 105 122 132 115 110 92 90 85 63 99 120 26.71
306 121 563 107 119 105 122 131 114 110 92 90 85 63 99 119 26.8762
285 122 1010 107 119 105 121 132 114 109 92 90 85 63 99 119 27.0419
265 121 546 107 119 105 121 131 115 110 91 90 85 63 99 119 27.2064
242 121 974 107 119 105 122 131 114 109 92 90 85 63 99 119 27.3707
269 122 1067 108 120 106 122 132 115 110 93 91 86 64 100 121 27.5374
255 121 527 107 119 105 121 131 114 110 92 90 85 63 99 120 27.7031
265 122 555 107 119 105 122 132 115 110 92 90 85 63 99 120 27.8671
