ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
557 124 579 109 121 106 123 133 116 111 93 92 87 65 100 121 0.246395
599 122 577 107 120 106 122 133 114 110 92 91 86 64 100 120 0.418351
613 121 1101 107 119 105 121 131 114 108 92 90 84 63 99 119 0.579358
586 123 626 108 120 105 122 132 114 110 92 91 86 64 100 120 0.74498
624 122 1248 108 120 105 121 132 114 109 92 91 85 63 99 120 0.910498
570 123 1138 108 120 105 123 132 115 110 92 91 85 64 99 120 1.07582
719 123 598 107 119 105 122 132 114 109 92 90 85 63 99 120 1.23951
580 123 583 108 120 106 123 132 115 109 92 91 85 64 100 120 1.41175
584 123 1271 107 120 105 122 132 114 109 92 91 86 63 99 120 1.57929
1406 122 796 107 120 105 122 132 114 109 92 90 86 63 99 120 1.74533
632 122 1139 107 120 105 122 132 114 109 92 90 85 64 99 120 1.91037
536 122 615 107 120 105 122 132 115 109 92 91 86 64 99 120 2.07784
840 123 608 108 119 105 122 132 114 109 92 90 86 64 99 120 2.24665
561 122 529 107 119 105 123 132 115 109 92 90 85 63 99 120 2.41547
549 122 595 107 120 105 122 132 114 110 92 90 85 64 99 119 2.57997
1227 122 640 107 120 105 121 132 114 109 92 90 85 63 99 120 2.74056
652 122 657 108 120 105 122 132 115 110 92 90 86 64 100 120 2.90657
590 122 589 107 120 105 122 131 114 109 92 90 85 63 99 120 3.06615
550 122 772 107 119 105 122 132 114 110 92 90 85 63 99 120 3.23303
472 123 1067 107 120 105 121 131 114 109 92 91 85 63 99 119 3.39993
2009 122 774 107 120 105 122 132 114 109 92 90 85 63 99 120 3.57681
1142 122 1100 106 119 105 121 131 114 108 92 90 84 63 98 119 3.74379
481 122 566 107 119 105 122 132 114 109 92 90 85 63 98 119 3.91115
696 122 757 107 119 105 122 132 114 109 92 90 86 64 99 119 4.07001
562 122 585 107 119 105 122 132 114 109 92 90 85 64 99 119 4.23597
1065 122 649 106 118 104 122 132 114 109 92 91 85 63 99 120 4.40208
797 122 933 107 119 105 122 132 113 109 91 90 85 63 99 120 4.57031
568 122 513 107 119 105 122 131 113 109 92 91 85 64 99 120 4.73888
1050 122 628 107 119 105 122 132 114 109 92 90 85 64 99 119 4.9067
1597 122 601 107 119 105 122 132 114 109 92 90 85 63 98 119 5.06781
652 123 594 107 119 105 122 132 113 109 92 91 85 63 99 119 5.23283
640 122 597 107 119 105 122 132 113 109 92 90 85 63 99 120 5.40015
488 122 609 107 119 105 122 132 113 108 92 90 85 63 98 119 5.56292
1256 123 602 107 119 105 122 132 114 109 92 91 85 64 99 120 9.01537
637 122 577 107 119 105 122 132 114 109 92 90 85 63 99 120 9.20615
840 122 604 107 119 105 121 132 113 110 92 91 85 64 99 120 9.37433
1240 122 890 107 119 105 122 132 114 109 92 90 85 63 99 120 9.53952
1277 122 568 107 120 105 123 132 115 110 93 91 86 64 100 120 9.70701
716 122 545 107 119 105 122 132 114 110 92 90 85 64 99 120 9.87273
598 122 437 107 119 105 121 132 114 109 92 90 85 64 99 120 10.0407
793 123 845 107 119 104 122 132 114 109 91 90 86 63 98 119 10.2025
713 122 509 107 119 105 122 132 114 110 92 90 85 63 99 120 10.3733
574 122 576 106 119 105 122 132 114 110 92 90 86 63 100 119 10.5429
719 122 697 108 119 105 122 132 115 110 92 90 86 64 99 120 10.7054
1035 122 536 107 119 105 121 132 115 110 91 91 85 63 99 120 10.8808
453 122 557 107 119 105 121 132 114 109 91 90 85 63 98 120 11.059
525 122 523 107 119 104 122 132 114 108 92 90 84 63 98 119 11.2641
952 122 587 107 119 105 121 132 115 110 91 90 85 63 99 119 11.44
1054 122 462 107 119 104 122 132 115 109 92 90 85 63 99 120 11.6471
568 122 728 108 120 105 122 132 114 110 92 90 86 63 99 120 11.8432
1227 123 536 107 120 106 122 132 114 109 92 90 85 64 99 120 12.0149
737 122 690 107 119 105 122 132 115 109 92 91 85 63 99 120 12.1812
574 123 563 107 119 105 122 132 114 109 92 90 85 64 99 120 12.3488
565 122 547 107 119 105 122 132 114 109 92 90 85 63 99 120 12.5106
1482 122 887 107 120 105 122 132 114 109 92 90 85 63 100 120 12.6824
621 122 547 107 120 105 122 132 114 109 92 90 85 63 99 120 12.8478
1161 122 581 107 119 105 122 132 115 110 92 90 85 63 99 119 13.0112
444 122 1039 106 119 105 122 132 114 109 91 90 85 63 99 119 13.4309
1127 123 600 107 119 105 122 132 114 109 92 90 85 63 99 120 13.6089
441 122 1103 107 119 105 122 132 114 109 91 90 85 64 99 119 13.7808
554 123 1207 107 120 105 122 132 114 109 91 90 85 63 99 120 13.9463
687 122 902 107 119 105 122 132 114 109 92 89 85 63 99 119 14.1117
722 122 549 106 119 105 121 132 114 109 91 89 85 63 98 119 14.2785
568 122 732 106 119 105 121 132 114 109 92 90 85 63 99 119 14.4452
633 122 758 107 119 105 121 131 114 109 92 90 85 64 98 120 14.6217
602 122 618 107 119 105 122 132 115 110 92 90 85 63 99 120 14.7929
622 122 538 107 119 104 122 132 114 109 92 91 85 63 99 120 14.9557
431 122 525 107 119 106 122 132 114 110 92 91 86 64 99 120 15.1231
633 123 560 108 119 104 122 133 114 109 92 91 85 64 99 120 15.2871
864 122 722 107 119 105 122 132 114 109 92 90 85 63 98 120 15.4479
560 122 584 107 119 105 122 132 114 109 92 90 85 63 99 120 15.6139
