ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
580 123 654 107 120 106 122 132 114 110 92 91 86 64 100 121 0.525939
526 122 657 107 119 105 121 132 114 109 92 90 85 63 98 119 0.753128
698 122 656 107 118 104 121 132 113 108 91 90 84 63 98 119 0.972641
347 121 498 106 118 105 121 131 113 109 91 90 84 63 98 119 1.40021
547 122 680 107 120 105 121 132 114 109 91 90 84 64 99 120 1.71193
986 122 809 107 119 105 122 132 114 109 91 90 85 63 99 120 2.03072
702 123 576 107 119 105 122 131 114 109 92 90 85 63 99 120 2.29297
311 123 508 108 120 105 122 133 114 110 91 91 85 64 99 119 2.65399
484 122 661 107 119 105 121 132 113 108 91 90 84 63 98 119 3.00401
567 123 574 108 120 105 122 133 114 109 92 91 86 63 99 119 3.28019
964 123 652 107 119 105 122 132 114 109 92 91 85 63 99 120 3.54593
661 122 820 108 119 106 122 133 114 110 92 90 85 64 99 121 3.89923
1015 122 819 107 119 105 122 132 114 109 92 91 85 63 99 120 4.16587
512 122 819 107 119 105 122 132 114 108 91 90 84 63 99 119 4.52027
553 123 651 107 119 105 122 132 114 109 92 90 86 63 99 119 4.76926
675 122 817 107 119 105 121 132 114 110 92 90 85 64 98 120 5.10417
508 122 645 107 118 104 122 132 114 109 91 91 84 63 98 120 5.56505
462 122 978 107 118 104 121 131 114 109 93 90 84 64 98 120 5.91946
1143 122 674 107 119 105 122 132 114 109 92 90 84 64 98 119 6.28007
695 122 808 108 121 104 124 132 114 109 90 91 85 64 99 120 6.63747
437 123 677 107 119 105 121 132 113 109 91 91 85 64 99 120 6.98622
1293 122 692 107 119 105 121 132 114 109 91 90 85 63 98 119 7.43266
568 122 971 107 119 104 121 132 113 108 91 90 84 63 98 119 7.79117
418 122 682 107 119 105 122 132 114 109 92 91 85 63 98 120 8.15662
840 122 669 107 119 104 121 132 113 109 91 90 85 63 98 120 8.43177
457 121 666 106 118 105 120 132 113 109 91 90 84 63 98 119 8.70405
1136 123 1421 107 120 105 121 132 114 108 91 90 85 63 98 119 8.86388
640 123 704 106 119 104 121 132 113 108 91 90 84 63 98 119 9.26439
840 122 977 107 119 104 121 132 114 109 91 90 85 64 98 119 9.60857
718 122 587 106 119 105 121 132 114 109 91 90 85 63 99 119 9.89142
1052 122 823 107 119 104 121 132 114 109 91 90 84 64 98 119 10.2386
805 122 832 107 119 105 121 132 114 109 92 90 85 63 98 120 10.6469
831 122 681 107 119 105 121 131 114 108 91 90 85 63 98 119 10.9514
664 123 678 106 119 104 122 131 114 109 92 90 85 63 99 120 11.2981
548 122 688 107 119 105 121 132 114 109 91 90 84 63 98 119 11.5675
648 122 677 107 119 105 121 132 114 109 91 90 85 63 98 119 11.908
678 122 838 107 119 105 121 131 114 109 91 89 85 63 98 120 12.2268
515 122 788 107 119 105 121 132 114 109 91 90 85 63 98 119 12.6459
733 121 662 106 118 104 121 131 113 108 91 89 84 62 98 119 12.9185
760 122 1104 107 119 105 121 132 114 109 92 91 85 63 98 120 13.2731
516 123 802 107 119 105 121 132 114 109 91 90 85 64 98 119 13.5473
702 122 729 107 119 105 121 132 114 110 92 91 85 63 99 120 13.8939
580 122 695 107 119 105 122 132 114 109 92 91 85 63 99 120 14.3036
512 123 664 106 119 104 121 131 114 109 91 90 85 63 99 119 14.6433
718 121 661 107 119 105 121 132 114 110 92 90 85 63 99 119 15.0247
524 122 652 107 119 104 121 131 113 109 91 90 84 63 98 120 15.3079
973 122 686 107 119 104 121 132 114 109 92 90 85 63 99 119 15.649
672 123 621 107 120 105 122 132 114 110 92 90 85 63 99 120 15.9292
543 123 783 107 119 104 122 132 114 109 92 90 85 63 99 119 16.2715
568 122 602 107 119 105 121 132 114 109 91 90 85 63 98 119 16.556
721 122 627 106 118 104 121 132 113 109 92 90 85 63 98 119 16.7732
884 122 960 108 120 105 122 132 114 109 92 90 85 64 99 119 17.0411
562 123 660 107 118 105 122 132 114 109 91 90 85 63 98 119 17.3451
654 122 587 107 119 104 121 132 114 109 91 90 84 63 99 120 17.685
543 123 653 107 119 105 121 131 114 110 91 91 85 63 98 120 18.1202
509 122 722 107 119 105 121 132 113 108 92 90 85 63 98 119 18.4731
1631 123 752 107 119 105 122 132 114 109 92 90 85 63 99 119 18.828
677 122 1011 107 120 105 122 132 115 110 92 90 86 63 99 120 19.2847
1150 122 674 108 119 105 122 132 114 110 91 90 85 63 99 119 19.64
508 122 669 107 119 105 121 132 114 109 91 91 85 63 98 120 20.0292
524 122 682 107 119 105 121 132 113 109 91 90 85 64 98 120 20.3855
1263 122 639 108 120 105 122 132 114 110 92 91 85 64 99 120 20.7379
445 122 955 107 119 105 121 132 114 110 92 90 85 63 98 119 21.1519
582 122 655 107 119 104 121 132 114 109 91 89 85 63 99 120 21.4703
526 123 664 107 119 105 121 132 114 109 91 90 85 64 99 120 21.8136
684 122 636 107 119 105 121 131 113 109 92 90 84 63 98 120 22.1633
515 122 646 107 119 105 121 132 114 109 91 90 85 63 98 119 22.5216
488 122 819 107 119 105 122 132 114 109 92 90 86 63 99 120 22.7981
893 122 659 107 119 105 121 132 114 110 92 90 85 64 99 120 23.1367
680 123 834 107 119 106 121 132 114 109 92 90 85 63 99 119 23.4875
749 122 826 107 119 105 121 132 113 109 92 90 85 63 99 119 23.8666
525 122 1275 107 119 105 121 132 114 109 92 91 86 63 99 119 24.2668
847 122 647 107 119 105 121 132 114 109 91 90 84 64 98 119 24.6555
546 122 676 107 119 105 121 132 113 109 91 90 84 63 98 120 24.82
556 122 1459 107 120 105 122 132 114 109 91 90 85 64 99 120 25.1024
689 123 719 108 119 104 121 133 114 110 91 90 85 64 99 120 25.4415
506 123 811 107 119 105 122 132 114 109 92 90 85 64 99 120 25.7918
901 122 707 107 119 105 122 132 114 109 92 90 84 63 99 119 26.1528
1011 122 695 107 119 105 121 132 114 109 92 90 85 63 99 120 26.4794
535 123 715 107 119 105 121 132 114 109 92 90 85 63 99 119 26.9062
646 122 597 107 119 104 121 132 113 109 91 90 85 64 99 119 27.2563
750 122 768 108 119 105 121 132 114 110 92 90 85 64 99 119 27.581
545 123 661 107 119 106 121 132 114 109 92 91 85 64 99 120 27.8905
473 123 713 107 119 106 122 133 114 110 92 91 86 64 99 120 28.1627
546 123 624 108 119 105 122 132 114 109 91 91 85 64 98 119 28.5095
850 123 790 107 119 105 122 132 114 109 91 90 85 63 98 120 28.8679
1005 122 778 107 119 105 121 132 114 109 91 90 85 63 98 119 29.3206
1369 122 1392 106 120 105 122 133 114 109 91 90 85 63 99 120 29.6568
510 123 638 107 119 105 122 132 114 110 91 90 85 64 99 120 29.8692
439 123 803 107 119 105 122 132 114 109 92 90 85 64 98 119 30.2752
436 123 644 107 118 105 121 132 113 109 91 91 85 63 98 120 30.5516
654 123 677 107 120 105 121 132 114 109 92 91 85 63 98 120 30.8927
529 123 2226 107 120 105 121 132 114 109 92 91 85 63 99 120 31.2407
907 122 1415 108 120 105 122 132 114 109 92 90 85 64 99 119 31.652
554 122 715 107 119 105 121 132 115 110 92 90 85 64 99 120 31.9293
799 123 863 108 119 105 121 133 114 109 92 90 85 64 99 120 32.2726
895 122 595 107 119 104 121 133 114 110 92 90 85 63 99 120 32.5502
523 122 578 106 119 105 121 132 114 109 91 90 84 63 98 119 32.77
528 122 829 107 119 105 122 133 114 110 91 90 85 64 99 120 32.9397
512 123 867 107 119 104 121 131 114 110 91 90 84 63 98 119 33.291
549 123 694 107 119 105 121 132 114 109 92 91 85 64 99 120 33.6454
580 123 684 108 119 106 121 132 114 110 92 91 85 64 99 120 33.9634
689 122 564 108 119 105 122 132 114 110 92 90 85 64 99 120 34.3014
928 122 651 107 119 105 121 132 114 109 91 90 85 64 98 120 34.5372
691 122 662 107 119 105 121 132 114 109 91 90 85 64 98 119 34.8025
508 122 621 107 119 104 122 133 114 110 92 91 85 64 98 120 35.1496
670 122 1104 107 119 105 122 133 114 109 92 91 85 63 99 120 35.4306
528 122 642 107 119 105 121 133 114 109 92 90 85 64 99 120 35.7019
677 123 901 108 119 105 121 132 113 109 91 91 85 64 99 120 36.1595
721 122 645 108 119 105 121 132 114 110 92 91 85 64 99 121 36.5148
526 123 667 106 119 105 121 132 114 109 91 90 85 64 98 119 36.9016
516 122 839 107 119 105 121 132 114 109 91 90 84 64 98 120 37.1785
534 121 760 106 118 105 121 131 113 108 91 90 85 63 98 119 37.527
968 122 657 107 119 104 121 132 113 108 91 89 84 63 99 119 37.8793
618 121 577 107 119 104 121 132 114 109 91 90 85 64 99 119 38.2304
495 121 676 107 119 104 121 131 114 108 91 89 84 63 98 119 38.5664
817 122 621 106 119 104 122 132 114 108 91 89 85 64 99 119 38.916
489 122 661 106 118 104 121 131 114 109 92 89 85 63 98 119 39.2721
594 121 688 106 119 104 121 131 114 108 91 90 85 63 99 119 39.5955
685 122 660 106 119 105 121 132 114 108 91 90 85 63 99 119 39.9418
529 122 1135 106 119 104 121 132 114 108 91 90 84 62 98 119 40.2982
567 122 661 106 119 104 121 131 114 108 91 90 85 62 98 119 40.6341
604 121 947 107 119 104 121 131 113 109 91 90 84 63 99 119 40.7872
530 122 679 107 119 105 122 131 114 109 91 90 85 64 99 119 41.0004
758 122 680 107 119 104 121 131 114 109 92 89 84 63 98 119 41.4025
778 122 647 107 119 105 121 131 113 109 91 89 84 63 98 119 41.7211
555 121 1029 107 119 104 121 131 113 108 92 89 84 62 99 119 42.0704
520 121 650 106 118 105 122 131 114 109 91 90 84 62 98 119 42.4204
558 122 687 107 119 105 121 132 114 109 91 90 84 63 98 119 42.7752
538 122 653 107 119 105 121 131 113 109 92 90 85 62 98 119 43.0536
542 122 789 107 119 104 121 131 113 108 91 90 85 63 99 119 43.3946
937 122 655 107 118 105 122 132 114 108 92 90 85 63 98 119 43.7128
518 122 634 106 119 104 121 132 114 109 92 90 85 63 99 119 44.0469
682 122 852 107 120 104 121 132 114 108 91 90 84 63 99 119 44.2867
535 122 829 107 119 105 121 131 114 109 91 90 85 63 99 119 44.6331
528 121 999 107 119 105 121 131 113 109 92 90 85 63 98 119 44.9593
603 122 670 107 119 105 121 132 114 109 92 90 85 64 99 119 45.3921
522 122 681 107 119 105 122 131 114 109 91 90 85 63 98 119 45.7013
562 122 680 107 119 104 121 132 114 109 91 90 85 63 98 119 46.1552
545 122 1014 107 120 105 122 132 114 109 91 90 85 63 99 120 46.4259
730 122 1297 107 119 104 121 131 114 109 91 90 85 63 99 119 46.7294
672 122 1110 107 120 104 121 131 114 109 92 90 85 63 99 119 47.0365
611 122 951 106 118 104 121 132 113 109 91 90 85 63 98 119 47.3667
650 122 662 107 119 105 121 132 114 109 92 91 85 63 98 119 47.7811
819 121 637 107 119 104 122 131 114 108 91 90 85 63 99 119 48.1434
848 122 539 107 120 104 121 132 114 109 92 90 86 63 99 119 48.5287
719 121 633 106 119 104 121 131 113 109 91 90 84 63 98 119 48.7605
695 122 677 107 119 104 121 132 113 109 92 90 84 63 99 119 48.9916
655 122 525 106 119 104 121 131 114 108 91 90 85 63 98 119 49.4147
496 122 672 106 119 104 120 131 114 108 92 90 84 62 99 119 49.774
471 122 638 107 119 105 122 131 114 108 91 90 85 63 99 119 50.1523
815 122 666 107 119 104 121 132 114 109 91 90 85 64 99 119 50.429
864 123 685 107 120 105 122 132 115 109 92 91 86 63 99 120 50.7421
565 122 828 106 119 104 122 132 113 109 91 90 85 63 99 119 51.1549
613 122 641 107 119 105 121 131 114 109 92 90 85 63 99 120 51.493
806 121 651 107 120 104 121 131 114 109 92 89 85 63 99 119 51.9769
656 121 709 106 119 104 121 131 114 110 91 90 85 63 98 119 52.2913
713 122 706 106 119 104 122 132 114 109 91 90 85 63 99 119 52.6521
1063 122 838 106 119 104 121 131 113 108 91 90 85 63 98 119 52.9219
533 122 962 107 120 105 122 132 114 110 92 90 85 63 99 120 53.2634
506 122 679 107 119 104 121 131 114 108 91 90 84 63 98 119 53.6127
514 122 654 107 119 105 121 132 114 109 92 90 84 63 98 119 54.0304
612 122 683 106 119 104 121 132 114 108 92 90 85 63 99 118 54.3854
711 122 664 106 119 105 122 132 113 109 91 90 85 63 98 119 54.7131
716 122 802 107 119 105 121 131 114 109 91 90 85 63 99 120 55.0363
504 122 562 107 119 105 121 132 114 109 91 89 84 63 98 119 55.3887
526 122 712 107 119 104 121 131 113 108 91 90 84 63 98 119 55.8119
524 122 795 107 119 104 121 132 114 109 92 89 85 63 99 120 56.1547
518 122 646 107 119 105 121 132 114 109 91 90 85 64 99 119 56.4293
517 121 706 106 119 105 121 131 114 109 92 90 85 63 99 120 56.7029
494 121 627 106 119 105 121 131 114 109 92 90 84 64 99 119 56.8673
877 122 788 108 120 105 122 132 114 109 92 90 85 63 99 120 57.3183
534 122 652 107 119 104 121 131 114 109 91 90 84 63 99 119 57.6581
562 122 665 107 119 104 121 131 114 108 91 90 84 63 99 119 58.0082
680 122 670 107 119 105 122 132 114 109 92 90 85 63 99 119 58.361
842 122 680 107 119 105 121 131 114 109 91 90 84 63 99 119 58.7779
1245 122 670 107 119 105 121 132 114 109 92 91 85 63 98 120 59.0526
1181 122 668 107 119 105 122 131 114 108 92 90 85 63 99 119 59.4033
462 123 682 107 119 105 121 132 114 109 91 90 85 63 99 119 59.6775
554 121 798 107 119 104 120 132 113 108 91 89 84 63 99 119 60.0164
