ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
577 123 542 108 120 106 122 133 115 110 92 91 86 64 99 121 8.04182
342 122 569 107 120 105 121 132 114 109 92 90 85 64 99 120 14.7333
606 123 789 108 121 106 121 133 114 110 92 91 86 64 100 120 57.5267
809 122 506 106 119 105 121 131 114 108 91 91 84 62 98 119 58.2771
413 123 718 107 120 106 121 132 114 109 91 90 85 64 99 120 58.6352
657 122 591 107 120 105 121 132 114 109 92 90 84 63 99 120 59.0297
376 122 571 107 120 106 121 132 114 109 92 90 85 64 99 120 59.4139
464 122 571 107 119 105 121 132 114 109 91 90 85 64 98 120 59.79
378 122 567 108 120 106 121 132 114 109 93 91 86 64 100 120 60.1607
489 121 499 107 119 104 121 131 113 108 91 90 84 63 98 119 60.5431
533 122 693 107 119 105 121 132 114 109 91 90 85 64 99 119 60.9109
336 122 564 107 119 104 121 132 113 108 92 90 84 63 98 119 61.3007
436 122 584 107 120 105 121 132 114 109 92 90 85 64 99 120 61.6631
486 123 533 107 120 106 121 133 114 110 92 91 85 64 99 120 62.0495
468 122 583 107 119 106 121 132 114 109 92 91 85 63 99 120 62.4223
653 122 557 107 120 105 121 132 114 109 92 90 85 63 99 120 62.8045
515 122 570 106 119 105 121 132 114 109 91 90 85 63 98 119 63.1785
573 122 572 106 119 105 120 131 113 109 91 90 84 63 98 120 69.0612
547 122 570 107 120 105 122 132 114 109 92 90 85 63 98 120 107.617
244 121 407 106 118 104 119 131 113 108 92 90 83 62 98 119 151.644
519 122 910 107 121 105 121 132 114 109 92 90 85 64 99 120 152.032
1009 122 887 108 119 106 121 133 114 109 92 91 85 64 99 120 152.288
455 122 562 107 119 105 121 132 113 109 91 90 85 63 99 120 175.957
279 123 1172 107 121 106 121 132 114 109 92 90 85 64 99 120 216.746
530 123 509 107 120 105 122 132 114 109 92 91 85 63 99 120 223.918
416 122 1037 107 120 105 121 132 114 109 92 90 84 63 99 120 248.361
758 122 686 107 119 106 121 132 114 108 92 91 84 63 99 120 271.152
846 123 725 107 119 105 121 132 114 109 91 90 85 63 99 120 363.815
417 123 726 108 120 105 121 132 114 109 92 91 85 64 99 120 369.486
455 122 549 107 120 105 121 133 114 110 92 90 85 64 99 120 424.044
405 122 618 107 119 105 121 132 114 109 92 91 85 63 99 121 469.794
