ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
511 123 614 108 120 106 122 133 115 111 93 91 85 64 100 121 0.52959
547 122 654 107 119 104 120 132 113 108 91 90 85 63 99 120 0.804393
506 122 596 107 120 105 121 131 114 109 92 90 85 63 99 120 1.06171
581 122 739 107 120 105 121 132 114 109 92 90 85 64 100 120 1.42266
359 122 402 106 118 104 121 131 113 108 91 89 84 63 98 119 1.77876
658 123 905 107 120 105 121 132 114 109 92 90 85 63 99 120 1.93565
537 122 589 108 120 105 121 132 113 109 92 90 85 64 99 119 2.28837
514 122 813 107 119 105 121 132 114 109 92 90 85 63 99 120 2.64174
556 123 612 107 120 105 121 132 114 109 91 91 85 64 99 120 2.97828
693 122 901 107 120 105 120 131 114 109 91 90 85 63 98 120 3.32595
373 121 469 106 118 103 119 131 113 109 91 89 83 63 98 119 3.68745
517 121 574 107 120 105 120 131 113 109 92 90 85 63 99 120 4.04248
577 122 594 107 119 105 121 131 113 109 91 90 84 63 99 119 4.3707
440 122 483 106 119 104 120 132 113 109 92 90 84 63 99 119 4.7877
721 121 501 107 119 104 121 132 113 109 92 90 84 63 98 119 5.06208
730 122 598 107 120 104 121 132 113 109 92 90 85 63 99 120 5.41026
519 122 777 107 119 104 121 132 113 108 91 91 85 63 99 120 5.73127
664 121 487 107 119 104 120 131 114 109 92 90 84 63 98 119 6.07908
530 123 422 107 120 105 121 132 114 109 91 90 84 64 99 120 6.43452
372 121 440 106 118 105 122 132 114 108 91 89 84 63 99 119 6.7656
1029 122 642 107 119 105 120 132 113 108 91 90 84 62 97 119 7.11572
990 123 893 106 120 104 121 132 114 109 92 90 84 63 99 120 7.57301
975 122 603 107 119 104 121 131 113 109 92 90 85 64 99 119 7.92986
900 122 613 107 119 104 121 132 113 108 92 90 84 64 98 120 8.29026
520 122 603 107 119 105 120 132 113 109 91 90 84 63 98 120 8.64761
666 122 484 107 119 104 121 132 114 109 91 90 85 62 98 120 9.039
349 120 631 106 118 104 118 131 112 107 90 89 83 62 97 119 9.39502
503 122 1783 107 120 105 121 132 113 109 91 90 84 64 98 119 9.78565
659 122 900 107 119 105 121 132 113 108 92 90 85 63 98 119 9.95237
1011 122 589 107 120 104 120 132 114 108 91 90 85 63 98 119 10.2368
457 130 542 114 128 111 129 140 120 116 100 97 93 70 106 127 10.5524
849 122 514 107 119 105 121 132 114 109 92 90 86 63 99 120 10.9119
914 122 759 107 119 105 121 131 114 109 91 90 85 63 98 120 11.2665
760 123 1143 107 120 105 121 132 114 109 92 91 85 63 99 120 11.6229
900 122 914 107 120 105 121 132 114 109 92 90 85 63 99 120 12.0805
673 122 585 106 120 105 120 131 114 109 91 90 84 63 98 120 12.3964
821 122 571 106 119 104 121 132 114 109 91 91 85 63 99 120 12.7769
555 121 596 107 120 104 121 132 114 109 92 90 85 63 99 120 13.1077
702 122 583 107 119 105 121 132 114 109 91 90 84 63 98 120 13.5293
544 122 482 106 119 104 121 131 114 108 92 90 85 63 98 119 13.8597
513 122 574 107 119 105 121 132 113 108 91 90 85 63 99 119 14.2828
558 122 473 107 119 106 121 132 114 109 91 90 85 63 98 120 14.5872
598 122 540 107 119 105 121 132 114 109 91 90 85 63 99 120 14.9346
1265 123 704 107 120 106 122 133 114 110 92 91 86 64 99 121 15.2762
490 122 456 107 119 105 121 132 114 109 92 90 85 63 99 120 15.6127
1340 121 445 107 119 104 121 132 114 109 92 90 85 63 99 119 16.0429
510 122 918 107 120 104 121 131 114 109 91 90 85 63 99 119 16.4116
501 122 879 107 119 104 120 132 113 108 91 90 84 63 98 120 16.7762
1307 123 575 107 119 105 121 132 114 109 92 90 85 63 99 120 17.1632
450 122 557 107 119 105 121 132 113 108 91 90 85 63 99 119 17.5226
679 122 570 107 119 105 121 132 114 109 91 90 84 63 99 120 17.8389
516 122 1022 107 119 105 121 132 113 109 91 90 85 64 99 120 17.9973
806 122 663 107 119 104 121 132 114 109 92 90 85 64 99 119 18.4117
506 122 572 107 119 104 121 132 113 109 92 90 85 63 98 119 18.7678
550 122 753 107 119 104 121 132 114 108 91 90 84 63 98 119 19.1202
542 122 718 107 120 105 121 132 113 109 92 90 85 63 98 119 19.5519
1255 122 1361 107 121 105 121 132 114 109 92 91 85 64 99 120 19.9143
475 122 565 107 119 105 121 132 113 109 91 90 84 63 98 119 20.239
725 123 684 107 119 105 121 132 113 109 92 90 85 64 100 121 20.494
516 122 1340 107 119 105 121 132 113 109 91 90 85 63 98 120 20.8698
581 122 594 107 119 104 121 131 114 109 92 90 85 63 98 120 21.1743
569 122 558 107 119 105 121 132 113 109 92 91 84 63 98 120 21.5206
550 123 541 107 120 105 120 132 113 109 92 91 85 63 99 120 21.916
662 122 1579 107 120 105 121 132 114 109 91 90 85 63 99 120 22.2774
895 122 548 107 119 105 121 132 114 109 92 90 85 63 98 119 22.6623
863 122 554 107 119 105 121 132 113 109 91 90 85 63 99 119 23.0258
556 122 547 107 119 105 122 131 113 109 92 90 85 63 98 120 23.4169
515 122 540 106 119 105 120 131 113 108 91 90 84 62 98 119 23.7843
1024 122 599 107 120 105 121 132 114 110 92 91 85 64 99 120 24.1007
994 122 597 107 120 105 120 132 113 109 92 90 85 64 99 120 24.4635
535 122 578 107 119 105 121 132 114 109 92 91 86 63 99 120 24.9167
547 122 574 107 119 105 121 132 113 109 92 90 85 64 99 120 25.2817
1018 122 632 108 119 105 120 132 113 109 91 90 85 64 98 119 25.5614
691 122 715 107 120 105 121 132 114 109 92 90 85 63 99 119 25.8388
550 123 539 107 120 105 121 132 114 110 91 90 85 64 99 120 26.0002
657 122 849 107 119 105 121 132 114 109 92 90 85 64 99 119 26.4111
531 122 576 107 119 105 120 132 113 109 91 91 85 63 98 120 26.771
492 122 746 107 119 105 121 132 114 109 91 90 85 63 99 119 26.9371
551 122 540 106 119 105 120 132 113 109 91 90 85 63 99 120 27.2892
786 121 812 107 120 105 121 132 115 109 92 90 85 64 99 120 27.653
507 122 707 107 120 105 120 133 113 109 91 90 85 63 98 120 28.015
515 122 468 107 119 104 120 131 113 109 91 90 84 63 98 119 28.3276
957 122 1856 107 120 105 121 132 114 108 92 90 85 64 98 119 28.6592
544 122 557 107 119 105 121 132 113 108 91 90 85 63 98 119 28.9371
515 122 472 107 119 105 121 132 113 109 92 91 85 64 99 120 29.2853
524 122 486 107 119 105 121 132 114 109 91 90 84 63 99 120 29.6395
697 122 734 107 119 104 120 132 113 109 91 90 84 63 98 119 29.9959
539 121 923 106 119 104 120 131 113 108 91 89 84 63 98 119 30.4206
693 122 752 107 120 105 120 132 113 109 92 90 85 63 99 120 30.7852
543 122 593 107 119 105 121 132 114 109 91 90 85 63 99 120 31.1609
813 121 583 107 119 105 121 131 114 109 92 90 85 63 99 120 31.5179
576 123 598 107 120 105 122 132 114 110 92 91 86 64 100 121 31.8622
828 122 665 107 119 105 121 132 113 108 92 90 85 63 98 119 32.2069
605 122 823 107 119 105 121 132 114 109 91 90 84 64 99 120 32.6686
1513 122 614 107 119 105 121 132 114 109 92 90 85 63 99 120 33.0269
604 122 478 108 120 105 122 133 115 109 92 91 86 64 100 120 33.4151
440 122 572 106 119 105 121 132 114 110 91 90 84 63 98 120 33.7691
1065 122 754 107 120 105 121 132 114 109 91 90 84 63 98 120 33.9421
731 122 542 107 120 105 121 132 114 109 92 90 85 63 99 120 34.3225
855 122 544 107 120 105 121 132 114 109 91 91 85 63 99 120 34.6759
512 122 547 107 119 105 120 132 113 109 91 90 84 63 98 120 35.0381
495 122 440 106 119 104 121 131 113 108 91 90 84 63 98 119 35.3926
522 122 554 107 119 104 120 131 113 109 91 90 85 63 98 119 35.7464
518 122 567 107 119 104 121 132 114 109 91 90 85 63 99 119 36.1728
1539 122 480 107 119 105 121 132 113 109 91 90 84 64 98 120 36.5326
508 122 579 107 118 104 121 132 113 108 91 90 84 63 98 119 36.8549
476 122 483 107 119 105 121 132 113 109 91 90 85 63 98 120 37.1746
527 122 751 106 119 104 121 131 112 109 91 89 84 63 98 119 37.5188
536 122 594 107 119 104 121 132 113 109 91 90 85 63 98 120 37.8668
617 122 967 107 119 104 121 132 114 109 92 90 84 63 99 119 38.3252
925 123 487 106 119 104 121 132 113 108 91 90 84 63 98 119 38.6834
1093 122 560 107 119 105 121 132 114 109 91 90 84 63 98 120 39.0452
820 122 578 107 119 105 121 132 114 109 92 91 85 63 98 120 39.4138
