ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
95 123 503 108 120 106 122 133 115 110 92 91 86 65 100 121 0.518344
95 122 501 107 119 104 120 131 114 109 91 90 84 63 98 119 0.78255
95 122 505 108 119 105 121 132 114 109 91 90 85 64 99 120 1.13616
95 123 503 107 119 105 121 132 114 109 92 90 85 63 99 120 1.49208
95 122 502 107 119 105 120 132 113 109 91 90 85 63 98 120 1.76625
95 123 500 107 118 105 121 132 113 109 92 91 84 63 100 120 2.12355
95 122 498 107 119 105 120 132 113 109 92 90 84 63 98 119 2.50901
95 122 501 106 119 104 120 131 113 108 91 90 84 63 98 119 2.78338
95 121 497 106 118 105 120 131 113 108 91 90 84 63 98 119 3.04693
95 122 505 107 119 105 121 132 113 109 91 90 85 64 99 119 3.20974
95 123 506 107 119 105 121 132 114 109 92 90 86 64 99 120 3.41621
96 123 490 108 120 105 122 133 113 109 92 91 85 64 99 120 3.76247
95 123 505 107 119 105 121 132 114 109 92 91 85 63 99 119 4.08004
95 122 505 107 119 105 121 132 113 108 92 90 85 63 98 119 4.39056
95 122 499 107 119 105 121 131 113 109 92 90 85 64 99 120 4.74597
95 129 581 115 127 111 127 139 121 117 99 98 92 71 107 127 5.10497
95 122 502 107 119 105 121 132 113 109 92 90 85 64 99 120 5.51062
95 122 506 107 119 105 121 132 113 109 92 90 85 63 99 120 5.81839
94 122 510 107 119 105 121 131 114 109 91 90 85 63 98 120 6.13944
94 122 507 107 119 105 121 132 113 109 92 90 84 63 99 119 6.49377
95 122 504 106 119 104 121 132 114 109 91 90 85 64 99 119 6.83594
95 122 506 107 119 105 121 132 113 109 91 90 85 63 98 120 7.29668
95 122 498 107 119 105 121 132 114 109 91 91 85 63 99 120 7.53393
95 124 506 108 122 106 122 133 116 111 92 91 88 65 101 121 7.83106
95 123 506 106 119 105 121 132 113 108 91 90 85 63 98 120 8.17423
95 122 508 107 119 105 120 132 113 109 91 90 85 63 99 120 8.52619
95 122 507 107 119 105 121 132 113 109 92 91 85 63 98 120 8.8848
95 122 505 107 118 105 120 132 114 109 92 90 85 64 99 120 9.2045
95 122 502 107 119 105 120 132 113 108 91 90 85 63 98 119 9.54957
95 123 507 107 119 106 121 132 114 109 91 91 85 64 98 120 9.90291
94 122 504 107 119 105 121 131 114 109 92 90 85 64 98 120 10.2605
95 123 506 107 119 105 121 131 114 108 91 90 85 63 99 120 10.6173
95 122 508 107 119 105 121 132 113 108 91 90 84 63 98 119 10.9701
95 122 503 106 118 104 120 132 114 109 91 90 85 63 98 119 11.1837
94 122 509 108 119 105 120 131 113 109 92 90 85 63 99 120 11.4696
94 122 509 107 119 105 120 132 114 109 91 90 84 63 99 120 11.8076
94 122 502 107 119 104 120 132 114 109 91 90 84 63 98 120 12.1603
95 123 501 107 119 105 121 132 113 109 92 90 85 64 99 120 12.5168
95 122 501 107 119 105 121 132 113 109 92 90 85 64 99 119 12.8747
95 122 505 107 119 105 121 132 114 109 92 90 85 64 98 119 13.2266
95 123 508 107 120 105 121 132 113 109 92 91 85 64 99 120 13.6463
95 122 501 107 119 105 120 132 114 110 92 90 84 63 99 119 13.9185
95 122 498 107 119 105 120 131 113 109 91 90 84 63 98 119 14.2575
95 122 508 107 119 105 120 132 114 109 91 90 85 64 98 119 14.539
95 123 504 108 118 105 120 132 114 109 92 91 84 64 99 120 14.8826
95 123 505 107 119 105 121 132 113 109 91 90 85 63 99 119 15.2658
95 123 499 107 119 105 121 133 114 109 92 91 85 63 99 120 15.6213
95 122 500 107 119 105 121 131 114 109 91 90 85 64 99 120 15.9757
95 122 503 107 119 105 121 132 114 109 92 90 85 64 98 119 16.3943
94 122 502 107 119 105 121 132 114 109 91 90 84 63 99 120 16.7506
94 122 502 107 118 105 121 131 113 109 91 90 84 63 98 120 17.141
95 122 503 107 119 104 121 132 113 109 92 89 84 63 98 119 17.4955
94 122 510 107 119 105 121 132 114 109 91 90 85 64 99 120 17.9222
95 122 504 107 119 105 121 133 114 109 91 91 85 64 99 119 18.2664
95 122 500 107 119 105 120 132 113 109 92 90 84 63 98 119 18.6211
95 122 503 107 119 104 121 132 113 109 91 90 85 63 99 119 19.0148
94 122 499 107 119 105 120 132 113 109 91 89 84 63 98 119 19.1803
95 123 502 107 119 105 121 132 113 109 91 90 84 64 98 119 19.4609
94 122 503 107 119 104 121 132 114 109 92 90 84 63 99 120 19.8004
94 122 503 107 119 105 120 132 113 109 91 90 84 63 98 119 20.1548
94 122 504 107 119 105 121 132 114 109 91 90 85 63 99 120 20.5064
