ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
391 104 441 90 102 89 106 115 97 91 75 73 68 47 82 103 0.403893
378 104 548 89 102 88 104 115 96 90 74 72 67 45 80 102 0.736892
371 104 452 90 102 88 104 115 96 90 74 72 67 46 80 103 1.05187
362 104 447 90 102 88 104 115 96 90 75 72 67 46 80 102 1.40357
430 104 504 89 102 87 104 114 96 91 75 72 67 46 80 102 1.73424
241 101 306 87 98 85 101 112 94 87 74 70 64 43 77 100 2.05168
368 104 485 90 102 88 103 114 95 91 75 72 67 46 80 102 2.38191
416 104 464 90 102 88 104 115 96 91 75 73 67 46 80 102 2.64693
491 104 381 90 102 87 104 115 96 90 75 72 67 45 80 103 2.99922
497 104 437 89 102 88 104 114 96 90 74 72 67 45 80 103 3.33683
352 104 470 90 102 88 104 115 96 91 75 72 67 46 81 103 3.67362
471 104 601 90 102 88 104 115 96 91 75 73 67 46 81 103 4.02773
378 104 431 90 101 88 104 114 96 91 75 71 67 45 81 102 4.39061
384 104 456 90 102 88 105 115 96 90 75 72 67 45 81 102 4.74323
470 104 586 90 102 87 104 115 96 90 75 72 67 46 81 102 5.10344
325 104 447 90 102 88 104 115 96 91 74 73 67 46 80 102 5.51625
398 103 569 89 102 87 103 114 95 90 74 72 66 45 80 102 5.84582
274 103 326 89 100 87 103 114 94 89 73 71 66 45 79 102 6.2918
378 104 373 90 102 88 104 115 96 90 75 72 67 45 80 102 6.46319
492 104 484 90 101 88 104 115 96 91 75 72 67 46 81 103 6.88674
705 104 399 90 102 87 104 114 96 90 74 72 67 46 80 102 7.24567
370 104 478 90 102 88 104 114 96 90 74 72 67 45 80 102 7.52686
392 104 401 90 102 88 105 115 96 91 75 73 67 46 81 102 7.88807
484 105 439 90 102 88 104 115 96 91 75 73 67 45 80 102 8.2175
944 104 447 90 102 88 104 115 96 91 75 72 67 46 80 102 8.55346
308 104 751 90 102 88 105 116 96 91 75 73 67 46 81 103 9.01538
525 103 394 90 102 88 104 114 96 91 74 72 67 45 80 102 9.34917
380 104 462 90 102 88 104 115 96 90 74 72 67 46 80 102 9.76837
485 105 435 90 102 88 103 115 96 91 74 72 67 46 80 102 10.1273
782 104 401 89 102 88 104 114 96 91 75 72 67 45 81 102 10.4121
475 105 472 90 102 88 104 115 96 90 75 72 67 46 81 103 10.7451
1056 104 444 90 102 88 104 115 97 91 75 72 67 46 80 102 11.1221
406 103 455 90 102 87 104 114 95 90 74 72 66 45 81 102 11.3168
401 104 561 90 102 88 104 115 96 91 75 72 67 45 81 102 11.6258
435 104 663 90 102 88 104 114 96 91 74 72 67 45 81 102 11.9461
466 104 429 90 102 89 104 115 96 91 75 72 67 46 81 103 12.2941
485 104 438 90 102 89 104 115 96 91 75 73 67 46 81 103 12.6521
