ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
597 128 920 112 125 110 127 137 119 114 97 96 90 69 104 125 0.480959
517 127 797 111 124 108 125 137 117 113 96 95 89 67 103 124 0.765413
959 127 893 111 125 110 125 136 118 114 96 95 90 68 103 125 1.00442
394 124 825 109 121 105 122 133 117 110 95 93 87 66 100 122 1.34295
758 127 684 111 123 109 125 136 118 113 96 94 89 68 103 124 1.62736
643 128 1022 112 125 109 126 137 119 114 96 96 90 68 104 125 1.96413
543 126 719 111 124 109 126 136 118 114 96 94 89 67 103 124 2.21664
708 127 661 111 125 109 124 137 118 113 96 95 90 68 103 124 2.48118
601 127 679 111 124 109 126 137 118 114 95 94 89 68 103 124 2.83501
868 127 615 111 124 109 125 135 119 113 96 95 90 68 103 124 3.10348
706 127 1398 111 124 109 125 137 118 114 95 95 90 68 103 124 3.40874
1271 126 665 111 124 109 125 136 118 113 96 95 89 67 103 124 3.75379
555 127 679 111 123 109 125 136 118 113 96 95 89 68 103 123 4.03126
849 127 822 111 124 109 125 136 118 114 96 95 89 68 103 125 4.26385
1036 126 635 111 124 109 125 136 118 114 96 94 89 68 103 124 4.71765
557 127 677 111 124 109 126 137 118 113 96 94 89 68 103 124 4.96715
576 126 618 112 123 109 125 136 118 114 96 94 90 68 103 124 5.31527
552 127 723 111 124 110 125 135 118 113 96 95 89 68 103 124 5.64036
553 126 1381 111 124 109 125 135 118 113 96 94 89 67 103 124 5.97331
442 125 520 111 121 108 124 135 115 113 94 94 88 68 102 123 6.24453
674 126 926 111 124 108 125 136 117 113 96 95 89 68 103 124 6.5927
605 127 887 111 124 109 125 135 118 114 96 95 89 68 103 124 6.94951
753 127 674 111 124 109 126 136 118 114 96 95 89 68 103 124 7.29593
542 126 718 112 124 110 125 136 118 113 96 95 90 68 103 124 7.71596
693 127 708 111 124 109 126 136 119 113 96 95 89 68 103 125 8.03951
382 126 546 111 123 109 124 135 118 113 94 94 88 67 103 123 8.38394
531 127 709 111 124 109 125 136 119 113 96 94 89 68 103 124 8.7379
1015 128 669 113 125 111 127 138 119 115 97 96 91 70 105 125 9.08422
536 127 674 111 124 109 125 136 118 114 96 95 89 68 103 124 9.42515
526 127 678 111 124 109 126 136 118 113 96 95 89 68 103 124 9.83846
718 127 661 111 124 109 125 136 118 114 96 95 89 67 103 124 10.1152
821 127 683 111 124 109 125 136 118 113 96 94 89 69 103 124 10.3664
708 127 680 112 124 109 126 136 117 113 95 95 89 67 103 124 10.715
746 126 573 112 124 109 125 137 118 114 96 94 89 68 103 124 10.9901
557 127 1298 111 124 109 125 136 118 113 96 95 89 67 103 124 11.3383
505 127 1007 111 124 109 125 136 118 113 95 95 89 68 103 124 11.6143
541 128 790 110 124 109 126 137 118 114 96 95 89 68 104 124 11.9607
