ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
137 123 757 108 120 106 123 134 116 111 93 91 85 65 100 120 0.411165
137 122 618 107 119 105 121 132 114 110 92 90 85 64 98 119 0.762112
137 122 873 107 119 105 121 132 113 109 91 90 84 64 98 120 1.09241
137 122 575 107 119 105 121 132 114 109 91 90 85 64 98 119 1.39382
137 123 675 107 120 105 121 132 114 109 92 91 85 63 99 120 1.67663
137 122 605 107 119 105 122 132 114 110 91 90 85 64 99 120 1.95245
138 122 658 108 119 105 122 133 113 109 91 90 85 64 99 120 2.11443
137 123 593 107 119 105 122 132 114 109 92 91 84 64 99 120 2.4161
138 122 948 107 119 105 122 132 114 109 91 90 85 64 99 120 2.76626
137 122 678 107 119 105 122 132 114 109 91 90 85 63 98 120 3.10913
139 123 704 107 119 105 121 131 113 108 91 90 84 62 98 119 3.52942
137 121 696 106 118 104 121 131 114 108 90 89 84 62 98 119 3.86103
137 122 758 106 119 104 121 131 114 108 91 90 84 63 98 119 4.27305
137 122 616 106 119 105 122 131 114 109 91 90 85 62 98 120 4.63786
138 122 711 106 119 105 122 132 114 108 92 91 85 63 98 119 5.01972
137 121 671 107 119 105 121 131 114 108 92 89 84 63 99 120 5.35881
135 119 601 104 117 101 119 128 111 107 89 87 82 60 95 116 5.77472
138 122 605 107 119 105 122 132 114 109 92 90 85 64 99 120 6.13406
137 122 641 107 119 104 121 131 113 108 91 89 84 62 98 119 6.51607
138 122 912 107 119 104 122 132 114 109 92 90 85 63 99 119 6.84146
137 122 679 106 118 104 121 131 114 108 91 90 84 62 98 119 7.18174
137 122 729 106 119 105 122 132 115 109 92 90 86 64 99 119 7.53341
138 122 549 108 120 105 122 132 114 109 92 90 85 64 99 120 7.88623
137 122 634 107 119 104 121 132 113 108 91 90 85 63 98 119 8.2356
137 122 783 106 119 104 121 131 113 108 92 90 85 62 98 119 8.65461
137 122 853 107 120 105 121 131 114 108 91 90 85 63 98 119 9.01988
138 122 634 108 119 105 122 133 115 109 93 91 85 64 99 121 9.34011
138 122 791 107 120 104 122 132 113 109 92 90 84 63 99 119 9.68075
137 122 685 107 119 105 122 131 114 109 92 90 85 64 99 119 9.95696
138 122 675 107 120 105 122 132 114 109 92 90 85 63 98 119 10.116
137 122 703 107 119 105 121 132 114 108 92 90 85 63 98 119 10.3989
136 121 631 106 118 104 121 131 113 108 91 89 84 62 98 119 10.7691
138 122 1214 107 120 106 122 132 114 109 92 90 85 63 99 119 11.112
138 122 662 107 119 104 122 132 114 109 92 91 84 63 99 119 11.5259
137 121 578 106 119 104 121 132 114 109 92 90 85 63 99 119 11.8915
137 122 888 107 118 105 121 132 114 109 91 90 84 63 98 119 12.2365
137 122 662 107 119 105 121 132 114 109 92 90 85 64 99 119 12.6515
137 122 653 107 118 105 121 132 115 109 91 89 84 64 99 119 12.9757
137 121 571 107 119 105 122 132 114 110 92 90 85 64 99 119 13.3968
137 121 584 107 119 104 121 131 114 109 91 89 85 63 98 119 13.704
136 121 648 106 119 104 121 132 114 109 92 90 84 63 99 119 14.0574
137 122 600 107 119 105 122 132 115 110 92 90 85 63 99 120 14.3506
137 121 997 107 119 105 122 131 115 109 92 90 85 63 99 119 14.6874
137 122 734 107 119 105 122 132 114 110 92 90 85 64 98 119 15.1537
137 122 678 106 119 105 121 131 114 109 92 90 84 63 98 119 15.4162
137 122 626 106 119 105 122 132 114 109 92 90 84 63 99 119 15.7717
137 121 823 107 119 105 122 132 114 110 92 90 85 63 99 119 16.107
137 122 942 107 120 105 123 133 115 110 92 90 86 63 99 119 16.5293
138 122 626 107 120 105 122 132 114 110 92 90 85 63 99 120 16.8756
136 122 795 107 119 105 122 132 114 109 92 90 85 63 98 120 17.2169
137 121 931 107 120 104 121 132 114 109 91 90 85 64 99 119 17.6436
137 121 575 107 119 105 122 132 114 109 92 90 85 63 98 119 17.9191
137 122 650 106 119 104 121 131 114 109 91 90 85 63 99 119 18.0792
137 122 620 107 119 105 122 132 114 109 92 90 85 63 99 120 18.3944
137 122 690 107 119 105 123 132 115 110 92 90 86 63 99 120 18.735
136 121 667 106 118 105 121 131 114 109 92 90 85 63 98 119 19.146
137 122 667 107 119 105 121 132 115 110 91 90 85 63 99 119 19.4168
137 121 618 106 119 104 122 131 114 109 91 90 85 63 98 119 19.755
137 122 535 107 119 104 121 132 114 109 92 90 85 63 98 119 20.0851
138 122 558 107 120 105 122 133 115 110 92 91 86 63 99 120 20.3243
137 122 553 107 119 104 122 132 115 110 92 90 85 63 98 118 20.7767
137 121 870 107 120 105 121 132 114 109 92 91 85 64 99 119 21.1047
136 121 641 107 118 104 120 132 115 109 92 90 84 63 98 120 21.5184
137 121 832 107 120 105 122 132 114 110 92 90 85 63 99 119 21.7856
