ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
738 123 498 108 120 106 123 133 115 111 93 92 86 64 100 121 0.486138
857 122 501 106 119 104 121 131 114 108 91 90 85 63 98 119 0.833242
465 121 1241 106 120 104 121 131 114 108 91 90 85 63 98 119 1.19026
417 124 608 108 121 107 124 134 115 110 93 91 86 65 100 121 1.53849
450 122 628 106 119 105 121 132 114 109 92 90 84 63 98 120 1.95481
736 123 451 109 122 106 124 134 115 111 93 91 86 65 101 121 2.30939
1354 122 494 107 119 105 122 132 114 109 92 90 85 63 99 119 2.66789
451 122 677 107 120 105 121 132 113 109 92 90 84 63 98 120 3.05335
435 122 774 107 120 105 122 132 114 109 92 90 85 63 99 119 3.40919
602 122 686 108 120 106 123 132 114 110 92 91 85 64 99 120 3.82967
430 122 756 107 119 105 122 133 114 109 92 90 85 63 99 119 4.10734
478 122 663 107 119 105 122 132 114 109 91 90 85 63 99 119 4.45035
454 122 864 107 119 104 122 132 114 109 91 90 85 63 98 119 4.77398
458 122 866 107 120 105 122 131 114 109 92 90 84 63 98 119 5.14286
461 122 644 107 119 105 121 132 114 109 92 90 85 63 99 119 5.47139
812 122 540 107 119 104 122 131 113 109 91 90 84 62 98 119 5.7649
657 122 590 107 118 105 122 132 113 109 91 90 85 63 98 119 6.16187
450 121 848 107 120 106 122 131 114 109 92 90 85 63 99 120 6.57739
651 122 553 106 119 105 122 132 114 109 91 90 85 63 99 120 6.93547
1517 122 479 108 121 106 123 133 115 109 92 91 85 64 99 120 7.3292
407 122 845 108 120 106 122 133 114 110 92 90 85 63 99 120 7.64175
903 122 436 107 119 105 122 132 114 109 92 91 85 64 98 119 8.08615
467 122 678 107 119 104 122 131 114 109 91 89 84 63 98 119 8.33683
773 122 515 107 119 105 121 131 114 109 91 90 85 63 98 119 8.60458
448 121 700 107 119 104 122 132 114 108 91 90 85 63 99 119 8.94556
440 122 680 107 119 105 122 132 114 109 92 90 85 63 98 120 9.28823
452 122 643 106 119 105 121 131 113 108 91 90 84 63 98 119 9.71244
469 121 705 106 119 104 121 131 114 109 91 90 84 62 98 119 9.97607
743 121 500 107 118 105 122 131 114 109 92 90 84 63 98 119 10.3225
793 123 509 107 120 105 122 133 114 109 92 91 85 63 99 120 10.6549
767 122 695 106 119 104 121 131 113 109 91 89 84 62 98 119 11.0017
453 122 702 107 119 105 122 132 114 109 92 90 85 64 99 120 11.3337
433 122 645 107 119 105 122 133 114 110 92 91 85 63 99 120 11.6898
555 122 582 107 119 105 122 131 115 110 92 91 85 63 99 120 12.0831
533 123 586 107 120 106 122 133 115 110 92 91 86 64 100 121 12.3643
480 122 720 107 120 105 122 132 115 110 92 90 85 64 99 120 12.7061
503 122 703 107 119 105 122 132 114 109 92 90 85 63 99 120 13.0648
456 122 690 107 120 106 122 132 114 110 92 90 85 63 99 119 13.4516
477 122 694 107 119 105 121 132 114 109 92 90 85 63 99 120 13.7756
462 122 636 107 120 105 122 133 115 110 91 90 85 63 99 120 13.9974
439 122 676 107 119 105 122 132 114 109 92 90 85 63 99 120 14.2841
659 123 512 107 119 105 122 132 115 110 92 90 85 64 99 119 14.5338
555 122 699 107 120 105 122 133 115 109 92 91 85 63 99 120 14.8786
563 122 784 107 119 105 122 132 114 109 91 90 85 63 98 119 15.3401
690 121 482 107 119 105 122 132 115 110 92 90 85 63 99 120 15.6914
887 121 520 107 118 104 120 131 114 109 92 90 84 63 98 119 16.0468
1103 122 796 107 119 105 122 132 115 110 91 90 85 63 99 119 16.4545
936 122 524 106 119 105 122 132 114 110 92 90 84 63 98 119 16.7321
1245 158 1056 142 155 139 156 166 150 147 126 126 121 99 136 155 17.078
471 122 692 107 119 105 122 132 115 109 92 90 85 63 99 120 17.3495
937 122 473 108 119 105 122 132 114 110 92 90 85 63 98 120 17.6491
466 121 625 106 119 104 122 132 114 109 92 90 85 63 99 119 17.9956
506 123 604 107 119 106 122 132 114 110 92 90 85 63 99 120 18.3351
573 122 608 107 119 106 122 132 114 109 92 91 85 63 99 120 18.6925
766 121 483 106 118 104 120 132 114 108 92 89 84 63 98 119 18.986
468 122 678 107 119 105 121 132 114 109 92 90 85 63 98 120 19.3328
561 122 616 107 119 105 122 132 115 109 92 91 86 64 99 120 19.646
771 122 697 107 119 106 122 132 114 110 92 91 85 64 99 119 19.9141
941 122 545 107 119 106 122 132 115 110 92 90 85 63 99 119 20.3331
1551 122 518 107 119 105 121 132 114 109 92 90 85 64 98 119 20.8132
