ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
713 122 726 108 120 105 122 133 115 110 92 90 85 64 100 120 0.449003
975 122 725 107 120 105 122 132 113 109 92 90 85 64 99 120 0.781094
763 122 645 107 120 104 122 132 114 109 92 90 85 63 99 120 1.17781
909 123 763 107 120 105 122 132 114 109 92 91 85 63 99 120 1.44332
1435 122 673 107 120 105 122 132 114 108 92 90 85 63 99 119 1.79018
745 123 602 107 120 105 122 132 114 109 92 90 85 64 98 120 2.13365
631 122 654 106 119 104 121 131 114 108 91 90 85 63 98 119 2.47897
780 124 747 109 122 107 123 134 116 110 93 92 87 65 101 121 2.64038
889 123 654 107 120 105 122 132 114 109 92 90 85 63 99 120 3.10168
917 123 627 107 119 105 122 132 114 109 92 90 85 63 98 120 3.42951
935 123 767 107 119 104 122 131 114 109 91 90 85 63 99 120 3.78109
852 124 876 108 121 107 123 134 116 111 93 92 87 65 100 121 4.18775
779 122 754 107 120 105 123 132 114 110 92 91 85 64 99 120 4.50122
714 122 633 107 119 105 121 132 114 109 92 90 85 63 99 120 4.84323
771 123 748 107 119 105 122 132 114 109 92 90 85 63 99 120 5.20408
798 122 627 107 119 105 122 132 114 109 92 91 85 63 99 119 5.49892
813 123 857 107 118 104 122 131 114 109 91 89 85 63 99 119 5.84068
976 123 662 107 119 105 122 132 114 108 91 91 85 63 99 119 6.19224
779 122 701 107 120 105 121 132 114 109 92 90 84 64 99 120 6.54002
798 122 1048 107 119 105 121 132 113 109 92 90 84 63 99 119 6.8991
787 123 842 107 119 106 122 132 114 109 91 90 85 63 98 120 7.3213
780 122 625 107 119 105 122 132 114 109 92 89 85 64 99 119 7.67436
995 122 589 106 119 105 122 132 114 108 92 90 85 63 98 119 8.05774
912 123 600 108 120 106 123 133 115 110 92 91 86 64 99 120 8.31269
985 124 698 109 120 107 123 133 115 110 93 92 86 65 100 121 8.66508
1232 122 927 106 119 105 121 131 113 108 91 89 85 63 99 119 9.06009
774 123 663 108 119 106 123 132 115 110 92 90 85 64 99 121 9.41236
920 122 677 107 119 105 121 132 113 109 91 90 84 64 98 120 9.81348
690 123 690 107 119 105 121 133 114 109 92 91 85 63 98 120 10.1471
968 122 613 107 119 104 121 132 114 108 91 91 85 63 98 119 10.4952
1094 122 822 107 119 104 121 132 114 109 91 90 84 63 98 120 10.6576
652 123 955 108 120 106 123 133 115 110 93 91 85 64 100 121 11.0594
1070 122 811 107 119 105 122 132 114 109 92 91 85 63 99 120 11.3998
731 123 1212 107 120 106 122 133 114 109 92 91 85 64 99 120 11.815
899 123 800 107 120 105 121 132 114 109 92 91 85 63 99 119 12.1734
765 122 706 107 119 105 122 131 113 109 91 91 85 63 99 119 12.5562
852 123 1050 107 120 105 122 132 114 109 92 90 85 63 99 120 12.8754
1061 122 922 107 120 105 122 132 114 110 91 90 85 63 99 119 13.2201
1159 122 597 107 119 105 122 132 114 109 92 90 85 64 99 119 13.5593
756 122 700 107 119 105 122 132 114 109 91 90 85 64 99 120 13.8311
935 121 1006 107 120 105 121 132 114 109 91 90 84 63 98 119 14.1698
956 122 773 107 120 105 122 132 114 109 92 90 85 63 99 120 14.5103
848 123 703 107 120 105 122 133 114 109 92 91 85 64 99 120 14.9274
974 122 826 107 119 105 122 132 113 109 91 90 85 63 98 119 15.2527
908 122 611 107 119 105 122 132 113 109 92 90 85 63 98 120 15.6005
858 123 601 107 119 105 121 132 114 109 92 91 85 63 99 120 15.9553
1253 122 823 107 120 104 122 132 114 109 91 90 85 63 99 120 16.2801
783 122 966 107 120 105 121 131 114 109 91 90 85 63 99 120 16.6264
701 122 634 107 119 105 122 132 114 109 91 90 85 64 98 120 16.9564
900 122 789 107 119 105 122 132 114 109 92 91 85 63 99 119 17.3104
729 122 706 107 119 104 121 131 114 109 92 90 85 63 98 119 17.6553
771 123 1118 109 121 107 123 134 116 111 94 91 86 65 100 121 17.9995
749 122 955 106 119 105 121 132 114 109 91 91 85 63 99 120 18.2798
1486 123 627 107 119 105 121 131 114 110 92 90 85 63 99 119 18.614
1255 122 819 107 119 105 121 132 113 108 92 90 85 63 98 119 18.894
804 122 927 107 120 105 121 132 114 109 91 90 85 64 98 119 19.3164
894 123 680 108 119 105 121 132 114 109 92 90 85 64 99 119 19.6518
660 122 669 107 119 105 121 132 113 109 92 90 85 63 99 120 19.9351
755 122 614 108 120 104 122 132 114 109 92 90 85 64 99 119 20.2799
772 122 644 107 120 105 122 133 114 109 92 90 85 64 99 120 20.6907
792 121 1578 107 120 105 122 132 114 109 92 90 84 64 99 119 21.0383
830 122 1271 107 119 105 122 132 113 109 92 90 85 63 98 120 21.3667
571 122 621 107 119 105 121 132 114 110 92 91 85 64 99 120 21.817
770 122 732 107 120 105 122 131 114 110 92 90 85 64 99 120 22.1789
796 123 975 109 121 107 123 133 115 111 93 92 87 65 100 121 22.4553
816 122 605 107 118 105 121 132 114 109 91 90 85 64 98 119 22.8091
1110 123 715 107 120 105 122 132 114 109 91 91 85 64 99 120 23.1527
750 122 679 107 119 105 121 132 113 109 91 90 84 64 98 120 23.4969
642 123 638 108 120 106 123 133 115 111 93 91 86 65 100 121 23.8492
1964 122 570 107 120 105 121 132 114 109 92 90 85 64 98 119 24.1923
753 122 827 108 120 105 122 132 114 109 92 91 85 63 99 120 24.5462
905 123 690 107 119 106 122 132 114 109 91 90 85 63 98 120 24.9603
771 122 610 107 120 105 122 133 114 109 92 91 85 64 98 119 25.2046
643 123 738 107 119 105 121 132 114 109 92 90 85 64 98 120 25.5562
719 122 687 107 118 104 121 132 113 109 92 90 84 63 98 120 25.9024
929 122 755 107 119 105 121 132 114 109 91 90 84 63 98 119 26.3104
922 122 580 107 119 105 122 132 114 109 91 90 85 63 98 119 26.5423
921 122 686 107 119 105 121 132 114 109 92 90 85 64 99 119 26.7722
726 122 811 107 119 105 121 131 114 109 92 90 86 63 99 120 27.2233
1045 122 939 107 119 105 122 131 114 109 91 90 85 64 98 119 27.4577
763 122 835 107 119 105 121 132 114 109 92 90 85 64 98 119 27.8087
667 122 579 107 118 105 121 132 114 109 91 90 85 63 99 119 28.1216
811 122 798 107 120 105 121 132 114 110 92 90 85 64 99 120 28.4622
759 122 729 107 119 105 121 132 114 109 92 90 85 63 98 119 28.8136
735 122 822 107 119 105 122 132 114 109 91 90 85 63 99 120 29.1263
957 123 754 107 119 105 122 132 114 109 92 90 85 64 99 120 29.3313
766 123 708 107 119 105 122 132 114 109 91 91 85 63 98 120 29.6816
733 122 709 107 118 105 122 132 113 109 92 90 84 63 99 119 30.0679
792 122 915 107 119 104 121 132 114 109 92 90 85 64 98 119 30.3289
756 123 718 107 119 105 121 132 114 110 92 90 84 64 99 120 30.6701
1581 123 655 107 120 106 122 132 114 110 92 91 85 64 99 120 31.0185
970 122 725 106 119 105 122 132 114 109 92 90 85 64 98 119 31.4382
760 124 637 108 119 106 122 133 115 111 93 92 86 64 100 121 31.7508
636 123 1106 107 119 105 121 132 114 109 91 91 85 63 99 119 32.0964
1041 123 705 107 119 105 121 132 114 109 92 90 84 64 98 120 32.4337
1025 123 776 107 119 105 122 132 114 110 92 91 85 63 98 120 32.7419
678 123 801 107 119 105 122 132 114 109 92 90 85 64 99 120 33.0812
785 122 612 107 119 105 122 132 114 109 92 90 85 64 99 119 33.4319
909 122 799 107 119 105 122 132 113 109 92 90 84 63 99 120 33.7488
720 122 703 107 119 105 122 132 114 109 92 91 85 64 98 119 34.091
754 122 624 108 119 105 121 132 114 109 92 90 84 64 99 120 34.4343
955 122 803 107 120 105 121 132 114 109 91 90 85 64 99 119 34.5951
1121 123 911 107 119 105 121 131 113 109 92 91 85 63 99 120 34.9385
987 123 614 107 120 106 122 133 115 109 92 91 85 63 99 120 35.2546
810 122 683 107 119 105 121 132 114 109 92 90 85 63 99 120 35.5915
904 122 686 107 119 105 121 131 114 109 92 90 85 63 98 120 35.9429
709 122 903 107 120 105 122 132 114 109 92 90 84 63 99 120 36.2931
1410 122 610 107 119 105 121 132 114 109 91 90 85 64 98 120 36.6416
1723 124 1325 108 121 106 123 133 114 110 92 92 85 64 99 120 37.0615
792 123 832 108 119 105 122 132 114 110 92 90 85 64 99 120 37.4234
662 123 710 107 119 106 122 132 114 109 91 91 85 64 98 120 37.7776
994 122 864 107 119 105 121 132 114 109 92 90 85 63 98 119 38.188
934 124 620 107 119 105 122 132 114 109 91 91 85 64 99 120 38.5426
737 122 796 107 119 105 121 132 114 109 92 90 85 64 98 119 38.8557
765 122 694 107 119 105 121 132 114 109 91 90 84 63 98 119 39.1072
968 122 604 107 119 105 122 132 114 109 91 90 85 64 98 120 39.4514
1284 124 725 108 121 107 124 134 116 111 94 92 87 65 101 122 39.7903
769 123 1002 107 120 105 122 132 115 110 92 91 85 64 99 120 40.1366
776 122 607 107 119 105 122 132 114 109 92 90 85 64 99 119 40.5615
622 122 572 107 119 104 121 132 114 109 91 90 85 63 98 119 40.9034
627 123 735 108 119 105 121 132 114 109 91 90 85 64 98 119 41.3284
1149 123 817 107 120 105 122 133 114 110 92 91 85 64 99 120 41.682
1301 122 682 107 119 105 122 132 114 110 92 91 85 63 98 120 42.0049
805 123 608 108 119 105 121 133 114 110 91 91 85 64 99 120 42.3379
1146 123 888 107 119 104 122 132 114 109 92 91 85 64 99 120 42.5599
916 122 717 107 120 105 122 132 114 109 92 91 85 63 99 119 42.8152
761 122 828 107 119 104 121 132 114 108 92 90 84 63 99 119 43.1197
933 121 819 107 120 104 122 132 115 108 92 89 85 63 98 119 43.4671
1735 122 860 106 120 104 121 132 114 109 92 90 85 63 98 119 43.824
793 121 693 107 119 104 121 131 114 109 91 90 84 63 98 119 44.189
746 121 598 107 119 104 121 131 114 109 92 90 85 63 98 119 44.4996
803 122 708 108 120 105 122 132 114 110 92 90 85 64 99 119 44.8399
747 122 632 107 119 105 122 132 114 109 91 90 85 63 98 120 45.1918
1027 121 602 106 119 104 122 131 114 108 92 89 85 63 98 119 45.455
700 122 698 107 119 104 122 132 114 109 92 90 85 63 99 120 45.81
1349 122 705 106 120 105 122 131 114 108 91 89 84 62 98 119 46.1852
645 122 728 106 119 104 122 132 113 109 92 89 85 62 99 119 46.4554
610 122 786 107 119 104 121 131 114 108 91 90 85 63 99 119 46.8051
844 122 723 107 120 105 121 132 114 109 92 90 85 63 99 119 47.1066
675 123 766 108 120 105 123 132 115 109 92 91 85 64 100 120 47.5627
618 122 771 106 119 104 122 132 114 108 92 90 85 63 98 119 47.8302
832 122 718 107 119 105 122 131 114 109 91 90 85 63 98 119 48.1789
763 121 647 107 119 105 122 131 114 109 92 90 85 64 99 119 48.4999
671 122 733 107 119 104 121 132 114 109 92 90 85 64 99 119 48.8479
850 122 675 106 120 104 122 132 114 109 92 90 85 63 99 119 49.1917
782 122 1105 107 119 104 122 131 113 108 92 90 85 63 99 119 49.5404
755 122 859 106 119 104 121 131 114 108 92 90 84 63 99 119 49.8875
1760 121 606 106 119 104 121 132 114 109 91 90 84 63 98 119 50.2202
777 120 596 106 118 103 121 131 114 108 92 89 84 62 98 119 50.4435
814 122 643 107 120 105 122 132 115 109 92 90 85 63 99 119 50.6098
648 121 680 107 119 104 121 132 114 109 92 90 84 63 99 118 50.8879
1060 122 743 107 119 104 122 132 113 108 91 90 85 63 98 120 51.2271
711 121 786 107 120 105 122 132 114 109 92 90 85 63 99 120 51.5769
1711 122 771 107 120 105 122 132 114 109 92 90 85 63 99 120 51.9067
657 122 624 107 119 104 121 132 114 108 92 90 85 63 99 119 52.3511
798 122 643 107 120 105 122 132 114 109 92 90 85 63 99 120 52.7009
754 122 650 107 119 105 122 132 114 108 91 90 85 63 99 119 53.0446
1071 122 612 107 119 105 122 132 115 108 92 90 85 63 99 119 53.4403
819 123 745 107 119 105 121 132 113 109 92 90 85 64 99 120 53.7076
969 122 839 107 119 104 122 132 114 109 92 90 84 63 98 119 54.0434
768 121 711 106 119 104 121 131 114 109 92 90 84 63 98 119 54.305
703 122 810 107 119 105 122 131 114 109 92 91 85 63 99 120 54.6473
775 122 725 106 119 104 122 132 114 109 92 90 85 62 99 119 54.9532
784 122 620 107 119 105 121 131 114 108 92 89 86 63 98 119 55.2936
687 122 725 106 119 105 121 132 114 109 92 90 85 63 98 119 55.6469
1271 122 824 107 119 104 122 132 113 108 91 89 85 63 99 119 56.0696
667 122 635 107 119 104 122 132 114 109 92 90 85 63 99 120 56.4331
869 122 610 107 120 105 121 132 113 108 91 90 84 64 98 118 56.6999
1147 122 805 106 119 105 122 132 114 109 92 89 85 64 99 119 57.0485
1069 122 1346 107 120 105 122 132 113 109 91 90 84 62 98 120 57.3964
955 122 780 107 119 105 121 131 114 108 92 89 85 63 99 119 57.732
782 124 593 109 121 107 123 134 115 110 93 91 87 65 100 121 58.1875
849 121 876 107 119 104 122 132 113 109 91 90 85 63 98 120 58.4657
679 122 714 107 119 105 122 132 114 108 91 90 85 63 99 119 58.6277
1631 123 744 107 120 105 122 132 114 109 92 91 85 63 98 120 58.8302
903 122 940 106 120 105 121 131 114 108 91 90 84 63 98 119 59.1629
922 122 791 107 120 105 122 132 114 109 92 90 85 63 99 119 59.5065
1978 123 695 107 120 105 121 132 114 109 92 91 85 64 99 119 59.8554
743 122 817 107 119 105 121 131 114 109 91 90 85 63 98 119 60.2773
719 122 618 107 119 105 121 131 114 109 92 90 85 63 99 119 60.5719
1773 122 603 108 120 105 122 132 114 109 92 91 85 63 99 120 60.8331
769 123 802 107 119 105 121 132 114 109 92 91 85 63 99 119 61.1054
