ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
138 123 102 108 120 106 122 133 115 110 93 92 86 64 100 121 0.503334
136 121 101 107 118 105 121 132 114 109 92 90 85 64 99 120 0.832239
138 122 102 107 119 106 122 132 114 109 92 90 85 63 99 119 1.18295
138 123 103 108 119 106 122 133 115 110 92 91 86 64 100 120 1.4952
138 123 102 107 120 105 122 132 114 110 92 90 85 63 99 120 1.74942
137 123 102 108 119 105 122 132 114 109 92 91 85 63 99 121 2.109
136 121 101 106 119 104 121 132 114 109 91 90 84 62 98 119 2.46078
137 122 101 107 118 105 121 132 113 109 91 90 85 64 98 119 2.86845
137 123 102 106 118 105 122 132 114 109 92 90 85 63 98 119 3.19512
137 122 101 107 118 105 121 132 114 109 91 90 84 63 98 119 3.61453
137 122 102 107 119 105 121 132 114 109 91 90 85 64 98 120 3.95288
137 122 101 107 119 105 121 132 114 109 91 90 85 64 98 120 4.23019
137 122 101 107 118 105 121 131 114 109 91 90 85 63 98 120 4.56735
138 122 102 107 119 105 121 132 113 109 92 90 84 63 98 119 4.87131
137 122 101 107 119 106 122 132 114 109 92 90 85 63 99 120 5.13025
138 122 102 107 119 105 121 131 115 110 92 90 85 64 99 120 5.47074
137 122 101 107 119 106 122 132 114 110 92 90 85 64 98 120 5.74508
138 122 102 108 119 105 121 132 114 109 92 90 85 63 99 120 6.02501
138 122 101 107 119 105 121 132 114 109 91 90 85 62 98 120 6.43542
139 123 102 107 119 106 122 133 114 110 92 90 86 63 100 120 6.72243
136 122 102 107 118 105 121 131 113 109 91 90 84 63 98 119 7.10405
137 122 102 107 119 105 122 132 114 109 92 90 85 63 99 119 7.44698
138 122 102 107 119 105 122 132 114 109 92 90 85 64 99 120 7.78915
137 121 101 106 118 104 121 131 113 108 92 91 84 63 98 119 8.06746
137 122 101 107 119 105 121 132 114 109 92 90 85 64 99 119 8.47863
137 122 101 106 118 104 121 132 114 108 92 90 85 63 98 119 8.84061
136 122 101 107 118 105 121 132 114 108 91 90 84 63 98 120 9.18544
137 122 102 107 119 105 122 133 114 109 91 91 85 63 99 120 9.61472
137 122 102 106 119 104 122 132 114 109 91 90 85 63 98 120 9.939
137 122 102 107 119 105 121 132 114 109 92 90 84 63 99 119 10.1326
138 122 102 107 119 104 121 132 114 109 91 90 84 64 99 119 10.482
137 122 102 107 119 105 121 132 114 109 92 90 85 64 99 119 10.8382
138 122 102 107 119 106 122 132 115 110 92 90 85 63 99 120 11.1692
137 122 101 107 119 105 121 132 114 110 92 91 85 63 99 119 11.6096
137 122 102 107 119 105 122 132 115 109 92 91 85 63 98 120 11.8771
