ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
1019 122 103 107 118 105 121 132 114 110 92 91 85 63 99 120 0.44788
888 122 102 107 119 105 121 132 113 109 91 90 85 63 99 120 0.716649
920 122 102 106 119 105 121 132 113 109 92 90 85 63 99 120 1.06525
1006 122 103 107 119 105 122 132 114 109 93 91 86 64 99 121 1.34225
1384 121 103 107 119 104 121 131 113 108 92 90 85 63 98 119 1.69202
1531 122 103 106 119 104 121 131 113 108 91 90 84 63 98 119 1.96046
894 122 103 107 118 105 121 132 114 109 92 91 85 64 98 119 2.30576
1045 122 102 106 118 104 121 131 113 108 91 90 85 63 98 119 2.66213
1005 122 102 107 118 105 121 131 113 109 92 90 84 63 99 119 2.82021
769 122 102 106 119 105 121 132 113 108 91 91 85 63 98 120 3.0307
1135 122 102 106 119 104 120 131 114 109 91 90 85 63 98 119 3.45028
1149 121 102 106 119 104 121 132 114 108 91 90 85 63 98 119 3.72682
1219 121 103 107 119 104 121 132 113 109 91 89 85 63 99 119 4.08405
867 122 103 107 119 105 122 132 113 109 92 90 84 63 99 120 4.44677
870 122 102 106 119 105 121 132 113 109 92 90 85 63 98 120 4.7251
918 123 103 107 120 105 122 132 114 109 92 90 85 64 99 120 5.07757
878 121 103 106 119 105 122 132 113 108 92 90 85 63 99 119 5.43142
905 123 103 107 119 106 122 132 114 109 92 91 85 64 99 120 5.7867
1000 123 103 107 120 105 121 132 114 110 93 91 86 64 99 120 6.20649
1033 122 103 107 120 105 122 133 115 110 92 90 86 64 99 120 6.56206
1034 122 103 107 120 105 121 132 114 109 92 90 85 63 99 120 6.94979
880 123 103 108 120 106 122 133 115 110 92 91 86 64 100 121 7.31157
1046 122 102 107 119 105 122 132 113 109 92 90 85 63 99 120 7.70894
985 122 102 107 119 105 121 131 114 109 91 90 85 63 99 120 8.07062
1790 139 121 122 136 121 138 148 131 126 108 107 101 79 116 136 8.353
1082 122 103 107 119 105 121 132 113 110 91 90 85 64 99 121 8.70808
1013 122 103 107 119 105 121 132 114 109 91 90 85 63 99 119 9.06535
972 123 103 107 119 105 122 132 114 109 91 90 85 63 99 119 9.45334
1303 123 104 108 121 106 124 134 115 109 92 91 86 65 100 120 9.81249
927 122 103 106 119 104 121 132 114 108 91 90 85 63 99 119 10.201
1077 122 103 107 120 105 122 132 114 109 92 90 85 63 99 120 10.6673
1071 122 103 107 119 105 121 132 113 109 91 90 85 63 99 119 10.8631
899 122 102 107 119 105 121 132 114 109 92 91 84 63 99 120 11.1507
1018 122 102 107 119 105 121 131 114 109 91 90 84 63 99 120 11.5759
897 122 102 106 119 105 122 132 114 109 92 90 85 63 99 120 11.8552
762 122 103 107 119 105 121 132 114 109 92 90 85 64 99 120 12.2066
1028 122 102 106 119 104 121 131 113 109 91 90 84 62 98 119 12.6512
1452 122 103 107 119 105 121 132 114 110 91 90 85 63 98 120 13.0729
913 122 103 106 119 105 121 132 114 110 91 90 84 63 98 120 13.3947
1028 122 102 106 119 105 121 132 114 109 91 90 85 63 99 120 13.7098
738 122 103 107 120 105 122 132 114 110 91 90 85 63 99 119 14.0639
876 122 103 107 119 105 122 132 114 110 91 90 85 63 99 119 14.446
1050 122 103 107 119 105 122 132 114 109 91 90 85 63 98 119 14.7198
1242 122 103 107 119 105 121 132 115 110 92 90 85 64 98 120 15.0753
929 122 103 107 119 105 121 132 114 109 92 90 85 63 99 120 15.3968
1321 122 103 107 119 104 121 132 114 109 92 90 84 63 98 119 15.8244
762 122 102 107 118 105 122 132 114 109 92 90 85 63 98 120 16.1425
807 123 104 109 120 106 123 133 115 111 92 91 86 64 100 120 16.5046
874 122 102 107 119 105 121 132 114 109 91 90 85 63 98 120 16.9529
1051 122 103 107 119 105 121 132 115 110 92 90 86 63 99 120 17.2712
1004 122 104 107 119 106 122 132 115 110 92 91 85 63 99 120 17.6981
869 122 103 107 119 105 121 132 115 110 92 90 85 63 99 119 17.9753
1226 122 103 106 119 105 121 132 114 109 91 91 85 63 99 120 18.3321
899 121 102 107 119 105 121 131 114 109 91 90 85 63 98 119 18.6871
890 121 102 106 118 105 121 132 114 110 91 89 85 63 98 119 18.8521
1122 122 103 107 119 105 122 132 114 110 92 90 85 63 99 119 19.1982
867 122 103 107 119 105 121 132 114 110 92 90 85 64 99 120 19.5183
896 122 102 107 119 106 122 132 114 110 91 90 85 63 99 120 19.8728
1512 122 103 107 119 105 122 132 114 110 92 90 85 64 99 120 20.3298
909 122 102 106 119 105 121 132 114 109 91 90 85 63 99 119 20.6849
1052 122 102 107 118 104 121 131 114 109 91 90 84 63 98 119 21.0356
895 122 102 107 118 105 121 132 114 109 91 90 85 64 98 119 21.4547
877 122 102 107 119 105 121 132 114 109 91 90 85 64 99 119 21.8057
917 122 103 107 119 105 121 132 115 109 92 91 85 63 99 119 22.1588
902 123 103 106 119 105 121 132 114 109 91 90 84 63 99 119 22.575
883 121 102 106 118 105 122 132 114 109 91 90 84 63 98 120 22.8482
892 121 102 107 119 105 121 132 114 110 91 90 84 63 98 120 23.2022
976 122 103 107 119 104 121 131 114 109 92 91 85 63 98 120 23.5219
1196 122 103 107 118 105 121 132 113 109 91 90 85 63 98 120 23.9482
1501 122 103 107 119 105 122 132 114 109 91 90 85 64 99 120 24.2727
1543 122 102 107 119 105 122 132 115 109 91 90 86 63 99 119 24.6985
942 122 103 107 119 105 121 132 115 109 92 90 86 63 100 120 25.0194
892 122 103 107 119 105 122 132 115 109 91 91 85 64 99 120 25.4481
757 122 102 107 119 105 121 132 114 109 91 90 85 63 98 120 25.7719
895 122 102 107 118 105 121 132 114 109 91 90 85 63 99 120 26.1987
1485 122 103 108 119 106 121 132 114 110 91 91 86 63 99 119 26.5164
868 120 103 106 118 103 121 131 115 109 92 90 84 63 99 119 26.7975
884 122 102 107 119 105 121 132 114 109 91 90 85 64 98 119 27.0312
1263 122 102 107 119 105 121 132 114 110 91 90 85 63 98 119 27.4489
761 122 102 107 119 105 121 131 114 109 92 90 85 64 98 120 27.7691
