ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
564 123 1025 108 121 107 122 134 116 111 93 92 86 65 100 121 0.557477
1334 121 1008 107 120 105 121 132 114 109 92 90 85 63 99 119 0.906506
873 122 739 107 119 104 121 132 113 109 91 90 84 63 98 119 1.25256
784 123 590 108 120 105 122 132 114 109 92 90 86 64 100 120 1.60326
721 122 1146 106 119 105 121 132 113 109 92 91 85 63 99 120 1.9531
1006 123 766 108 121 106 122 133 115 109 92 91 86 65 100 121 2.30423
691 122 693 107 120 105 121 132 113 109 91 90 84 63 99 119 2.71438
434 122 1132 107 120 104 121 132 114 109 92 90 84 64 99 120 3.0226
544 122 9999 107 122 105 121 132 113 109 91 91 85 63 98 120 3.35293
730 121 1159 107 119 104 120 132 113 109 91 90 85 63 98 119 3.70185
619 123 611 108 120 105 121 133 114 109 92 90 85 64 99 120 4.08317
775 122 700 107 120 105 121 132 114 109 92 90 85 64 100 120 4.30743
1139 123 592 106 120 105 121 132 114 108 91 90 85 63 99 120 4.54038
676 122 1187 107 120 105 121 132 113 109 91 90 85 63 98 119 4.9576
429 123 617 108 119 106 122 133 115 110 92 91 85 64 99 121 5.22848
2112 123 574 107 121 105 121 132 114 109 92 91 84 63 100 120 5.57669
1453 122 725 107 120 105 121 132 113 108 91 90 85 63 99 119 5.97749
643 122 584 108 120 105 121 132 113 109 91 90 85 63 99 120 6.3388
1996 122 720 107 120 105 121 132 113 109 92 90 85 63 99 120 6.66163
666 122 1166 107 120 105 121 132 113 109 92 90 84 63 99 119 6.98534
1131 122 603 107 119 105 121 132 113 109 91 90 85 63 99 119 7.33983
554 124 888 108 121 106 122 134 115 110 93 92 86 65 100 121 7.69811
1136 122 607 107 119 105 121 132 113 109 92 90 85 63 99 120 8.0935
725 122 853 106 120 105 121 131 114 109 91 90 85 63 98 120 8.44706
908 122 9999 107 122 104 121 132 113 108 92 90 85 63 99 120 8.8032
781 122 993 107 120 104 121 132 114 108 91 90 85 63 98 119 9.23137
580 122 746 106 119 105 121 131 113 108 91 90 84 63 98 119 9.58805
743 122 1113 106 120 104 121 131 114 109 91 90 84 63 98 119 9.91495
1947 123 1102 107 121 105 121 132 114 109 92 90 85 64 99 119 10.2229
612 122 598 106 120 104 121 131 113 108 92 90 85 63 99 120 10.5712
649 122 880 107 120 104 121 132 113 108 91 90 85 63 98 119 10.9166
547 122 752 107 119 105 121 132 114 109 92 90 84 64 99 120 11.334
1000 122 1199 107 120 105 121 132 113 108 91 90 84 63 99 119 11.6504
689 122 841 106 119 104 121 131 114 109 91 90 84 63 98 119 12.0008
613 122 802 106 119 104 121 132 114 109 91 90 85 62 99 119 12.2742
695 122 991 107 119 104 120 132 113 109 91 90 85 62 99 120 12.4343
621 122 587 107 119 105 121 132 114 109 92 90 85 63 99 120 12.7185
721 122 601 107 119 105 121 132 114 109 92 91 85 64 99 120 12.9876
723 124 862 108 122 106 122 134 115 110 93 92 86 65 100 121 13.3361
1271 121 1156 107 120 104 121 132 113 109 91 90 84 63 98 119 13.6043
1599 122 856 107 120 105 121 132 114 110 92 90 85 64 100 120 13.9612
890 122 950 107 120 105 121 132 114 109 91 90 85 63 99 120 14.2361
1073 121 1367 107 120 104 121 132 115 110 92 90 85 64 99 119 14.5931
985 122 744 107 119 105 120 132 114 109 91 90 84 63 98 120 14.9517
678 122 727 107 119 105 121 132 114 109 91 91 85 63 98 119 15.3424
715 122 661 107 120 105 121 132 114 109 92 91 85 64 99 120 15.6195
2025 123 623 106 120 104 121 132 113 109 92 90 84 63 99 120 15.9741
510 122 610 107 120 105 121 132 114 109 92 90 85 64 99 120 16.3322
584 122 1323 107 120 105 121 132 114 109 92 91 85 63 99 120 16.7142
755 123 948 107 120 105 121 132 114 109 92 90 84 63 99 120 16.9914
616 123 960 107 120 105 121 132 113 109 91 90 85 63 99 120 17.3465
1031 122 575 106 119 105 120 132 114 109 91 90 85 63 99 119 17.7014
2314 122 1770 107 121 105 121 132 114 109 92 90 84 63 98 119 18.0603
630 122 2452 107 120 104 121 132 113 109 92 90 84 63 99 120 18.4742
1465 123 700 107 120 105 121 132 113 109 92 90 85 63 99 120 18.8318
686 122 1953 108 121 105 121 132 114 109 92 90 85 63 100 120 19.2186
609 122 842 107 119 105 121 132 113 109 91 90 84 63 99 120 19.4972
664 122 589 107 119 105 121 132 113 109 92 90 85 63 99 119 19.8461
515 123 1018 108 121 106 122 132 115 110 93 91 86 63 100 120 20.202
774 122 593 107 120 105 121 132 114 109 91 90 85 63 99 119 20.3685
860 122 701 107 119 105 120 131 113 109 91 90 85 64 99 119 20.7203
745 122 724 107 119 105 121 132 114 109 91 90 84 63 98 120 21.0775
640 122 731 107 120 105 121 132 114 109 92 90 86 63 99 119 21.4667
843 122 1236 108 120 105 121 132 113 109 92 90 84 63 98 120 21.7455
879 122 1581 107 120 105 121 132 114 109 92 91 85 63 98 120 22.0954
810 122 1312 107 120 105 121 132 113 109 91 90 84 63 99 119 22.4489
874 123 728 108 121 106 122 133 115 110 92 91 86 64 99 120 22.8377
828 122 620 106 119 105 120 132 113 109 91 90 84 63 98 119 23.1155
931 122 870 107 120 104 121 132 113 109 91 90 84 64 98 119 23.4633
640 121 2100 106 121 105 121 131 113 109 91 90 84 62 98 119 23.7317
1448 122 904 107 120 104 121 132 114 109 91 90 84 63 99 120 24.0793
