ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
692 123 102 108 120 106 122 133 115 111 93 91 86 64 100 121 0.536699
840 122 101 107 119 104 121 132 113 109 92 90 84 63 99 120 0.888132
552 122 101 107 119 105 121 132 113 109 92 90 85 64 99 120 1.2441
574 124 102 108 121 106 122 134 115 110 93 92 86 65 100 121 1.65596
1925 122 102 107 120 105 121 132 114 109 92 90 85 64 99 119 1.92199
580 122 101 107 120 105 121 132 114 109 92 90 85 64 99 120 2.26787
730 122 101 107 119 105 121 132 114 109 91 90 84 64 98 120 2.68682
645 122 101 107 120 105 121 132 113 109 92 91 85 64 99 120 2.95882
798 122 102 107 119 105 122 132 114 109 92 90 86 64 100 120 3.1246
1112 122 101 106 118 104 120 131 113 108 91 90 84 63 98 120 3.53016
657 123 102 107 119 105 121 132 113 109 92 91 85 63 99 120 3.84839
889 122 101 106 118 105 120 132 113 108 91 90 84 63 99 120 4.20368
1036 121 102 107 119 105 121 132 114 109 93 90 85 64 99 120 4.55828
870 123 102 107 120 106 121 132 114 109 92 91 85 64 99 121 4.91222
564 122 101 107 119 105 120 132 114 109 91 90 85 63 99 120 5.23024
738 121 101 107 119 105 121 132 114 109 91 90 85 63 98 119 5.58218
727 122 101 107 118 104 120 131 113 109 91 89 85 63 99 120 6.0422
980 122 102 107 120 105 121 131 113 108 92 90 84 63 99 120 6.3623
1015 122 101 107 119 105 120 132 113 109 93 90 84 64 99 120 6.71145
679 121 101 107 119 105 121 132 114 109 92 91 85 63 99 119 7.16164
689 123 101 107 119 105 121 132 114 109 92 90 85 64 99 119 7.48517
681 122 101 106 119 105 120 131 113 109 91 90 85 63 99 119 7.91436
832 122 101 107 119 105 120 131 113 109 91 90 84 63 99 119 8.2728
663 122 101 108 119 106 121 132 114 109 92 91 85 64 99 120 8.78916
845 123 101 107 119 106 121 132 114 109 91 90 85 63 99 119 9.10886
596 122 101 107 119 105 121 133 114 109 92 90 85 64 98 120 9.53505
804 121 101 107 119 105 120 131 113 109 91 90 85 63 98 119 9.8521
589 122 101 107 119 105 121 133 114 109 92 90 86 64 99 120 10.1793
660 122 101 107 119 105 121 132 113 109 92 90 85 64 99 119 10.6294
741 122 102 106 119 105 120 132 114 109 91 90 85 63 99 119 10.9151
1246 122 102 108 120 105 121 132 114 109 92 90 85 64 99 120 11.0814
1294 122 102 107 120 105 121 133 114 109 92 91 85 63 99 120 11.3672
943 122 101 107 119 104 121 132 114 109 91 90 85 63 99 119 11.7884
1599 123 103 108 120 106 122 133 115 110 92 91 86 64 100 120 12.0623
1084 121 101 107 119 105 120 132 114 109 91 90 84 64 99 120 12.416
679 122 101 107 119 105 121 132 114 109 91 90 85 63 99 120 12.7701
1084 122 102 107 119 105 121 132 114 110 91 90 85 64 99 120 13.1274
1190 122 101 107 119 105 121 132 114 109 92 91 85 63 99 120 13.5435
677 123 103 108 121 107 123 134 115 111 92 92 86 64 101 122 13.8968
1014 122 102 107 119 105 121 132 114 110 91 91 85 63 98 120 14.2517
918 121 101 107 119 105 121 132 114 110 92 90 85 63 98 120 14.6701
837 121 100 107 119 105 121 131 114 110 91 90 84 63 98 120 15.0303
813 121 101 107 119 105 121 132 114 109 92 90 85 63 99 120 15.418
583 123 101 107 119 105 121 133 115 110 92 91 86 64 100 120 15.7761
840 122 100 107 119 104 121 132 114 109 91 90 84 63 98 119 16.165
548 121 100 107 119 105 121 132 114 110 91 90 84 64 98 120 16.5283
733 122 101 107 119 105 120 132 114 109 91 90 84 63 98 119 16.9061
958 122 101 107 119 105 121 132 114 110 92 90 85 64 99 120 17.2182
712 122 101 106 119 105 120 132 114 109 92 90 84 63 98 120 17.5649
682 122 101 107 119 105 121 132 114 110 91 90 84 63 98 120 17.9132
1697 120 100 106 118 104 120 131 114 108 91 89 84 63 98 119 18.1807
1120 122 102 107 119 106 121 132 114 109 92 91 86 63 99 121 18.5285
658 122 101 107 120 105 121 133 115 110 92 91 86 64 100 120 18.8084
664 122 100 107 119 105 121 132 114 109 92 91 85 63 98 120 19.0363
793 122 101 107 119 105 121 133 114 110 91 90 85 63 99 119 19.2488
1020 122 102 108 120 106 121 132 114 110 92 90 85 64 99 120 19.6631
847 121 100 107 118 104 120 132 113 109 91 90 84 63 98 119 19.9385
1190 122 102 107 120 106 121 132 114 110 92 91 85 64 99 121 20.2965
970 122 102 107 120 106 121 132 115 110 91 91 86 63 99 120 20.6593
902 122 101 106 119 105 121 133 114 109 91 90 85 63 98 120 20.9851
1312 121 101 106 119 104 120 132 114 109 91 90 83 63 98 119 21.4141
663 122 101 107 119 104 120 132 113 109 91 91 85 64 99 120 21.7366
718 122 101 107 119 105 121 132 114 110 91 90 85 63 99 120 22.1618
679 121 101 106 119 104 121 131 114 109 92 90 84 63 98 120 22.4371
723 121 101 107 119 104 121 132 115 109 92 90 85 63 99 119 22.792
1228 122 101 107 119 105 121 132 114 109 92 90 85 62 99 120 23.1483
1338 122 102 106 119 104 121 132 114 109 92 90 85 63 99 119 23.5064
1269 121 101 106 119 104 121 131 114 109 91 89 84 63 98 119 23.9222
557 122 101 107 120 104 121 132 114 108 92 90 85 64 99 119 24.2818
667 121 101 106 119 104 121 131 114 109 91 90 85 63 98 119 24.5561
866 122 102 107 119 105 121 132 115 109 92 90 85 64 99 119 24.9127
1282 121 101 106 119 104 120 131 114 109 91 90 84 63 99 119 25.272
540 122 101 107 119 105 121 132 114 110 92 90 85 63 99 119 25.6622
825 121 101 107 119 105 121 131 114 110 91 90 85 63 99 119 26.0177
3100 121 104 107 119 104 121 131 114 109 92 90 84 63 99 119 26.4122
701 121 101 106 118 105 121 132 114 109 91 90 85 63 99 119 26.6864
1060 122 102 107 120 105 121 132 115 109 92 90 85 63 100 120 26.9687
952 138 117 122 135 120 136 148 130 126 107 106 101 79 115 136 27.1335
703 122 102 107 119 105 121 133 114 109 91 90 86 63 99 119 27.4904
851 121 101 107 119 104 121 132 114 109 91 89 84 63 98 119 27.9134
1000 121 101 107 119 105 121 131 113 109 91 90 86 63 99 119 28.1885
807 121 101 106 118 105 120 132 115 109 92 90 85 63 99 119 28.5462
888 121 102 108 119 105 121 132 114 109 91 90 85 62 98 119 28.9075
681 121 101 107 119 105 121 132 114 109 92 90 85 63 99 119 29.2302
830 121 100 106 119 104 120 131 114 109 91 90 85 63 98 119 29.587
2551 122 104 107 119 105 121 132 115 110 92 90 85 64 99 120 30.044
781 121 101 107 119 104 121 131 114 109 91 90 85 63 99 119 30.4087
1181 120 101 106 118 105 120 131 114 109 92 90 84 63 98 119 30.6865
619 121 101 107 119 105 121 132 114 109 91 90 85 63 99 120 31.0414
656 122 100 106 119 105 121 132 115 109 92 90 85 63 99 120 31.3941
676 121 102 107 119 105 121 132 114 110 91 90 85 63 99 119 31.7485
