ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
400 123 391 107 120 106 122 132 114 110 92 90 85 64 99 120 285.296
413 123 425 107 121 105 122 133 113 109 93 91 84 64 99 120 285.658
377 122 416 107 119 105 121 132 113 108 92 90 85 63 99 120 656.431
389 122 403 107 119 105 121 131 114 109 91 90 85 63 99 119 799.694
393 122 400 107 119 105 121 132 114 109 91 90 85 63 99 120 1177.42
397 122 420 107 120 104 121 131 114 109 91 89 85 63 98 120 1541.32
396 123 423 107 119 105 122 131 114 109 92 90 84 63 99 120 1541.67
402 122 415 107 118 106 121 132 114 109 93 90 85 64 99 120 1542.02
404 122 414 107 119 105 121 131 113 109 91 90 85 63 99 119 1543.53
389 122 414 107 119 104 121 132 114 108 91 90 84 63 99 120 1918.92
406 122 422 107 119 105 121 131 113 109 91 90 85 64 99 120 1920.28
392 122 428 107 120 105 121 132 114 109 92 91 85 64 100 121 2048.81
395 122 434 107 119 104 122 131 114 109 92 90 84 63 99 120 2049.16
410 122 418 107 119 104 121 132 114 109 92 90 85 63 99 120 2065.05
417 122 402 107 118 104 120 131 113 108 91 90 84 62 98 120 2364.8
725 171 831 153 167 150 167 178 162 158 139 139 134 112 148 167 2370.54
393 122 413 107 119 105 122 132 114 109 91 90 85 64 99 120 2377.16
410 122 426 106 118 104 121 131 113 108 91 90 84 63 98 119 2830.47
387 122 424 106 119 105 121 131 113 108 92 90 85 63 99 120 3096.29
401 122 434 106 119 104 121 132 114 109 92 90 85 63 99 119 3314.19
415 122 433 107 122 105 123 133 114 109 93 90 85 64 99 120 3314.54
369 122 406 107 119 105 121 132 114 109 92 90 85 63 99 120 3377.2
407 122 433 106 119 104 121 131 113 108 91 89 85 63 98 119 3451.2
366 122 432 107 119 105 121 132 114 108 92 91 85 63 100 119 3836.56
404 122 429 106 118 104 120 131 113 109 92 90 85 62 98 119 4208.7
411 122 420 107 119 105 121 132 113 108 92 90 85 64 99 119 4222.93
408 122 433 107 119 106 121 132 114 109 92 90 85 63 99 120 4223.21
403 122 425 107 119 104 121 131 114 109 91 90 85 64 98 119 4481.47
389 122 422 108 120 105 121 132 113 109 92 91 85 63 99 120 4556.2
406 122 421 106 117 103 120 131 112 108 90 89 84 62 98 118 4802.58
414 124 448 108 121 105 123 133 114 110 91 91 87 64 101 120 4802.93
384 122 402 107 119 104 121 132 114 109 91 90 85 63 98 119 5011.36
388 122 432 108 120 106 122 132 114 110 92 91 85 64 100 121 5698.89
408 122 415 107 119 105 121 132 113 109 91 90 85 63 99 120 5884.75
397 122 395 106 119 104 121 131 113 108 91 90 85 63 98 119 6208.61
379 123 434 107 119 105 121 132 114 109 91 90 84 63 99 120 6526.23
396 122 407 108 119 105 122 132 114 109 92 90 84 64 99 120 6894.76
402 123 445 109 121 105 122 133 115 110 91 91 87 65 101 120 6895.11
397 122 398 107 119 105 121 131 113 109 91 90 85 63 99 120 7105.27
408 122 419 106 119 105 121 131 113 108 92 91 84 63 99 120 7149.24
430 121 432 106 118 103 121 131 113 108 91 89 84 61 98 118 7149.59
399 122 420 107 119 105 121 131 113 108 91 90 85 63 99 120 7454.61
386 120 425 105 117 103 120 130 112 107 90 89 82 61 97 118 7454.96
407 122 430 107 119 105 121 132 113 109 91 90 84 63 98 120 7804.12
399 124 446 108 121 105 123 133 115 111 95 91 86 64 101 121 7804.28
401 122 419 107 119 105 121 131 114 109 92 91 85 63 98 120 8039.75
