ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
884 123 1427 109 122 107 123 134 116 111 93 91 86 65 101 121 0.41844
997 122 1313 107 120 105 121 131 114 109 92 91 85 63 99 120 0.776199
1365 122 1694 107 121 105 122 132 114 109 92 90 85 63 99 120 1.04632
1254 124 1175 108 122 107 123 134 115 110 93 92 87 65 101 121 1.40189
1188 122 1012 107 120 104 121 132 114 109 92 91 85 62 99 119 1.78379
847 122 1844 107 120 105 121 132 114 109 91 90 84 63 98 119 2.05773
1362 122 899 107 120 105 121 132 114 109 93 91 85 64 99 120 2.41247
1189 122 1441 108 121 104 121 132 114 109 92 90 85 63 99 120 2.76905
986 122 1110 107 120 105 122 132 114 109 92 90 85 63 100 120 3.12379
1692 122 1016 107 121 105 122 132 114 109 93 90 85 64 99 120 3.5432
1055 121 1506 107 120 104 121 132 113 109 91 90 84 63 98 119 3.89628
853 123 1001 108 121 106 122 133 115 111 93 91 86 65 100 121 4.18041
781 122 1577 107 120 104 120 131 113 108 91 90 85 63 98 120 4.34476
1652 122 1280 107 120 105 121 131 114 109 91 90 85 64 99 120 4.6634
1152 121 1268 107 120 105 121 132 113 109 91 90 85 63 99 120 4.93772
963 122 1991 107 121 105 121 132 114 109 92 90 85 63 99 120 5.29181
1103 124 1527 109 122 107 123 134 115 110 93 92 86 65 101 121 5.64853
976 122 1622 107 120 105 121 131 113 109 91 90 85 63 99 120 6.03532
1097 122 1849 107 120 105 122 132 114 109 92 90 85 63 99 119 6.30404
1415 122 1516 107 120 105 121 131 113 109 91 90 86 63 98 120 6.65564
1671 124 1359 108 121 106 122 133 114 110 92 91 86 63 100 120 6.92455
1060 122 1228 107 120 105 121 131 113 109 91 90 84 63 99 119 7.27537
904 123 1338 108 121 106 122 133 115 110 92 91 86 64 100 120 7.62068
1254 122 1201 107 120 105 121 132 113 109 92 90 84 63 99 119 8.03409
919 122 1578 108 121 106 122 132 114 110 92 91 85 64 99 120 8.30952
819 122 1995 106 120 105 121 132 113 108 92 89 84 63 98 120 8.66563
994 122 2263 107 121 104 122 132 114 108 91 90 84 64 99 120 9.01847
992 123 1151 107 120 105 121 131 114 109 92 91 85 64 99 120 9.3757
1179 121 1255 106 119 105 121 132 113 109 92 90 84 63 99 119 9.79098
944 123 1722 107 120 105 120 132 114 109 91 90 85 64 99 120 10.1502
803 123 904 108 120 106 122 133 113 109 91 90 85 63 100 120 10.5412
893 122 1139 107 120 105 121 132 114 109 91 90 85 63 99 120 10.8659
1262 123 935 107 121 106 121 132 113 109 92 91 85 64 99 120 11.2896
1362 121 1330 107 121 105 122 133 115 111 92 90 86 63 100 120 11.5571
729 121 1306 107 120 105 121 132 114 109 92 90 85 63 99 120 11.9078
778 122 1213 108 121 105 122 133 115 110 92 90 86 64 99 120 12.1525
965 122 907 108 121 105 122 132 115 111 93 91 86 64 100 120 12.3119
849 122 1051 107 120 105 121 132 113 109 92 90 84 63 98 120 12.7024
766 122 956 107 119 105 121 132 114 110 91 90 84 63 98 120 13.0637
714 121 951 108 120 104 121 132 114 110 91 90 84 64 99 120 13.4234
1401 122 768 107 120 105 121 132 114 110 92 90 84 63 99 120 13.7804
862 123 853 107 120 105 121 132 114 109 92 91 85 64 99 120 14.1627
1063 123 1233 108 121 106 122 133 115 110 93 91 86 65 100 121 14.4426
750 121 851 107 119 105 121 132 114 110 92 90 85 63 99 120 14.8002
776 124 800 109 121 106 123 133 116 111 93 92 86 65 100 121 15.1616
670 124 866 108 121 106 122 133 115 110 93 92 86 65 100 121 15.4811
778 123 920 108 121 106 122 133 115 111 93 91 86 64 100 121 15.8383
981 122 1126 107 119 104 121 132 113 109 92 90 85 63 98 119 16.2942
808 122 1508 108 120 105 121 133 115 110 91 91 85 64 99 120 16.6566
953 122 1407 107 120 105 121 132 114 109 92 90 85 63 99 119 16.9347
804 122 1333 107 120 104 121 132 114 109 92 90 85 64 99 119 17.2902
2435 122 1736 108 121 105 121 132 114 109 91 90 85 63 98 120 17.6519
1104 122 3642 107 122 105 122 132 115 110 92 90 85 63 99 120 18.0394
990 124 1323 108 121 106 122 133 115 111 92 92 86 64 100 121 18.3925
1638 122 1415 107 120 105 121 132 114 109 92 90 85 63 98 120 18.7481
1055 122 1664 107 120 105 121 132 114 110 91 90 85 64 98 120 19.1741
2984 122 1308 107 121 105 121 132 115 110 92 91 86 63 99 120 19.5374
902 123 1171 108 121 106 122 133 115 110 93 91 85 64 100 121 19.8138
1072 122 1430 107 120 105 121 132 115 110 91 91 85 63 99 120 20.1683
977 122 2059 107 120 105 121 132 115 109 92 91 85 63 99 120 20.3331
879 122 1358 107 120 105 121 132 114 109 91 90 84 64 98 119 20.6204
1241 122 1985 107 121 105 121 132 114 109 92 90 85 63 99 120 21.0379
838 124 1163 109 122 107 123 134 116 111 93 92 86 65 101 121 21.3134
691 124 1236 109 122 107 123 134 116 112 93 92 87 65 101 122 21.6718
1041 122 1083 107 120 104 121 132 114 109 91 90 85 64 99 119 22.0333
780 122 907 107 120 105 121 132 114 109 92 90 84 63 99 119 22.3101
