ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
722 123 102 108 120 107 122 134 116 111 93 92 86 65 100 121 0.482085
926 122 103 108 119 106 122 133 115 110 92 91 86 64 100 120 0.945541
1142 122 102 107 120 105 121 133 114 110 92 90 85 65 100 120 1.29283
810 122 102 107 120 106 122 133 114 109 93 91 86 65 100 121 1.63707
1179 123 104 109 121 107 122 134 115 110 93 91 86 65 100 121 1.98702
927 122 102 108 120 106 122 132 114 109 92 91 86 64 100 120 2.44405
919 122 101 107 118 104 120 131 113 108 91 90 84 63 99 119 2.79112
723 123 102 108 119 105 121 132 113 109 92 91 85 63 98 120 2.94457
873 122 101 107 119 105 121 132 114 109 91 90 85 64 99 119 3.15128
1163 123 103 108 120 106 122 133 114 110 94 91 86 64 100 121 3.56145
1317 124 105 110 122 107 124 135 116 112 94 92 87 66 102 122 3.83918
1123 123 102 107 119 105 121 132 114 109 92 91 85 64 99 120 4.18763
921 122 102 107 120 105 122 132 115 110 92 91 86 64 99 120 4.50796
987 122 103 108 119 106 121 133 114 110 93 91 86 64 100 120 4.82767
769 122 102 107 120 105 122 133 114 109 92 91 85 64 99 120 5.18319
863 122 101 107 119 105 121 132 114 109 91 90 84 63 99 119 5.46477
709 123 102 108 120 107 122 133 115 110 93 92 86 65 100 121 5.82376
902 122 100 107 119 105 120 131 113 108 92 90 84 63 98 119 6.18499
990 122 102 107 119 105 121 132 114 109 92 90 85 64 99 120 6.50536
827 123 102 108 119 106 121 133 115 110 92 91 86 64 100 121 6.83589
990 122 102 108 120 106 121 133 114 110 92 91 86 64 99 121 7.20046
756 122 102 107 120 105 122 132 114 109 92 90 85 64 99 120 7.55915
740 122 101 107 120 105 121 133 114 109 92 91 85 64 99 121 7.88555
1411 140 119 124 137 122 138 149 131 127 109 108 103 82 117 137 8.31885
993 122 102 107 119 105 121 132 114 110 92 90 85 64 99 120 8.67908
1453 160 139 143 157 142 158 169 152 149 128 129 123 101 138 157 9.0671
720 121 101 106 118 105 119 131 112 108 91 89 84 62 98 119 9.42745
922 121 101 107 119 105 121 131 113 109 91 89 84 63 99 119 9.82311
762 122 102 108 120 106 121 132 114 110 92 91 85 64 99 120 10.1774
988 121 101 106 119 104 120 132 113 109 91 89 84 63 98 119 10.6999
1009 122 101 107 119 105 121 131 114 109 92 90 85 63 99 120 10.9437
1273 123 103 108 120 106 122 133 114 110 93 91 86 65 100 121 11.2664
983 122 102 108 119 105 121 132 114 110 92 90 85 64 99 119 11.6897
963 122 101 107 119 105 121 132 114 109 91 91 85 64 99 120 12.0537
1092 122 102 107 119 105 121 132 115 110 91 90 85 63 99 120 12.4462
836 122 101 108 120 105 121 132 114 110 92 90 85 63 99 120 12.8064
714 122 101 107 119 105 120 132 114 110 92 90 85 64 99 119 13.1983
1979 123 103 107 119 105 121 132 114 110 92 91 85 64 100 120 13.5585
1997 123 103 108 120 106 122 133 115 111 92 91 85 65 100 120 13.8392
1083 121 100 107 118 104 121 131 114 109 92 90 85 64 98 119 14.2002
723 122 101 107 119 105 121 132 114 109 92 90 84 63 99 120 14.5595
899 123 102 107 120 105 121 133 115 110 92 91 86 64 99 120 14.8824
806 121 101 107 119 104 121 132 114 109 91 89 85 63 98 119 15.2097
1061 122 101 107 119 105 121 132 114 110 92 91 85 64 98 120 15.5672
898 122 100 106 118 105 120 131 114 109 92 90 85 63 99 120 15.9301
906 122 101 107 119 105 121 132 115 110 91 90 85 64 99 120 16.2184
852 122 101 107 119 105 121 132 114 109 92 90 85 63 99 120 16.579
1138 122 101 107 119 105 121 132 114 110 92 91 85 64 99 120 16.9469
1248 122 102 107 119 105 122 132 114 110 91 90 85 64 99 120 17.3066
1108 122 101 107 119 105 121 131 114 109 91 91 85 63 98 120 17.594
1484 123 102 107 120 105 121 132 114 110 91 91 85 63 99 120 17.9554
1475 122 102 107 119 104 121 132 114 109 91 90 85 64 99 119 18.3181
1350 122 102 107 120 105 121 132 114 110 92 90 86 64 100 120 18.677
1396 122 102 107 119 105 120 132 114 110 92 90 85 64 98 120 18.9585
1001 122 102 108 119 105 121 132 114 110 92 90 85 64 98 120 19.3173
1612 122 102 107 119 105 121 132 115 110 92 90 86 64 99 120 19.676
1109 122 102 107 119 105 121 132 115 110 92 91 85 64 99 120 20.0665
873 122 101 108 120 105 122 133 115 110 92 90 85 64 99 120 20.4273
1356 122 102 107 119 105 121 132 114 109 92 91 85 63 99 119 20.8199
824 122 101 107 119 105 121 132 114 110 92 90 85 64 99 120 21.1811
936 122 102 107 120 105 121 132 114 110 91 91 85 63 99 120 21.5692
892 122 101 107 119 105 121 132 114 110 92 90 85 64 99 120 21.93
1217 122 102 107 119 105 121 133 114 109 92 91 84 63 99 120 22.3162
1591 121 102 107 119 105 121 132 114 110 91 90 85 64 99 120 22.6807
1035 122 102 108 119 105 121 132 114 110 92 90 85 64 99 120 23.0743
713 123 102 107 119 106 121 132 115 110 92 90 85 64 99 119 23.4399
1091 122 102 106 119 105 121 131 114 109 92 90 85 63 98 119 23.803
736 121 101 107 119 105 121 131 114 109 91 90 84 64 99 120 24.1936
773 121 100 107 119 105 121 131 114 109 91 90 85 63 98 119 24.5535
742 121 101 106 118 104 121 132 114 108 91 90 84 62 98 119 24.9459
811 121 102 106 120 105 122 132 115 109 92 90 86 64 100 120 25.3131
963 120 101 106 119 104 120 131 114 109 92 89 85 63 98 118 25.5936
1528 121 102 106 119 105 121 131 114 109 91 90 85 64 99 119 25.9568
930 121 102 106 119 105 121 132 114 109 92 89 85 63 98 118 26.3189
722 121 101 106 119 104 121 131 115 109 92 90 84 63 98 119 26.6782
1656 122 103 107 120 105 122 133 116 110 92 90 86 64 100 120 26.9601
970 121 102 107 119 104 121 132 115 110 92 89 86 63 99 119 27.3615
2155 121 103 106 119 104 121 131 114 109 91 89 84 63 98 119 27.7188
1040 121 102 106 119 105 121 132 114 108 92 90 86 63 100 119 28.0744
1469 121 102 106 119 104 121 132 114 109 92 89 84 63 99 119 28.4329
943 122 102 107 120 105 122 132 114 110 92 90 85 63 99 120 28.7202
1460 122 102 107 120 104 121 133 115 110 92 90 85 63 99 120 29.0744
1100 121 102 107 119 105 121 131 114 109 92 90 85 63 99 119 29.433
1439 122 102 107 120 105 121 132 115 109 91 89 85 63 99 119 29.7585
1371 121 102 107 119 104 121 131 114 109 91 90 85 63 99 120 30.1192
815 123 103 108 120 105 122 133 116 110 93 91 86 64 100 121 30.5749
962 121 101 107 119 105 121 132 114 110 91 90 84 63 98 119 30.939
1288 121 101 106 118 104 121 132 114 109 92 90 84 63 99 119 31.2199
1159 122 101 106 118 105 121 132 114 109 92 90 85 63 98 119 31.5877
771 121 102 107 120 105 121 132 115 109 91 90 85 64 99 120 31.9494
1063 121 101 106 119 104 120 131 114 109 91 89 84 63 98 119 32.3112
893 121 101 107 119 104 121 132 115 109 92 90 85 63 99 119 32.595
906 122 102 107 120 105 122 133 115 110 91 90 86 63 99 119 32.9575
1432 122 102 106 120 105 121 132 114 109 92 90 85 63 99 120 33.3204
1345 122 102 107 119 105 121 132 114 109 92 90 86 63 99 119 33.6843
2857 122 104 107 119 104 121 132 114 109 91 89 85 62 99 119 33.9674
924 122 102 107 119 104 121 132 115 110 92 90 85 63 100 119 34.3258
1043 122 102 107 119 105 122 132 115 110 92 90 85 64 99 120 34.6908
734 122 102 107 120 104 121 132 114 109 92 90 85 63 99 119 34.9294
660 121 100 105 118 104 120 131 113 108 91 90 84 62 98 119 35.2055
762 121 101 106 119 105 121 132 114 109 92 90 85 62 99 119 35.5713
1128 121 102 107 119 104 122 132 114 109 92 91 84 64 99 120 35.9405
1124 120 100 106 118 104 120 130 114 109 92 89 84 62 98 119 36.2667
784 122 101 106 119 104 121 132 114 109 92 90 85 63 98 120 36.6946
971 121 101 107 119 104 121 131 115 109 92 90 85 63 99 119 37.0599
992 121 102 107 119 104 121 131 114 109 92 90 84 63 99 119 37.4373
996 122 102 107 120 105 121 132 115 109 92 90 85 63 99 120 37.7239
1115 122 101 107 119 104 121 132 114 109 91 89 85 63 99 119 38.0819
1078 121 101 106 119 105 121 131 114 109 92 90 84 63 98 119 38.4576
1705 121 102 107 119 105 121 131 114 109 92 90 85 63 99 119 38.8143
1259 121 102 107 120 105 121 132 114 109 92 90 85 63 99 119 39.1706
1191 121 101 106 119 105 122 132 114 109 92 90 84 63 99 119 39.452
1137 121 101 107 119 105 121 132 114 109 91 90 85 63 98 119 39.8211
1009 121 101 107 119 104 120 132 115 109 92 90 85 63 99 119 40.2587
1235 122 103 107 120 105 122 132 115 111 91 90 86 63 100 119 40.7059
1107 121 101 107 119 104 121 131 115 110 92 90 85 63 99 120 41.0778
926 122 101 107 119 105 121 132 114 109 92 90 86 63 99 119 41.4459
783 121 102 107 119 105 122 132 115 110 92 90 85 63 99 120 41.8159
743 122 101 107 119 105 121 132 115 109 92 90 85 63 99 120 42.2511
1045 122 103 107 120 106 122 132 116 110 92 91 85 64 100 120 42.7811
778 121 100 106 118 104 121 131 114 109 91 90 84 62 99 119 42.9945
1509 121 102 106 119 104 120 132 114 109 91 90 85 63 99 119 43.3219
