ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
562 124 557 108 120 106 122 133 114 110 92 91 85 64 100 121 0.479715
607 122 562 106 119 105 121 132 113 109 91 90 84 63 99 120 0.830326
585 122 918 107 119 105 120 132 113 109 91 90 85 64 98 119 1.1413
581 123 689 107 119 105 121 132 114 109 92 91 85 63 99 120 1.46269
813 122 1238 107 120 105 121 132 113 109 92 91 85 64 99 120 1.81546
698 123 576 106 119 105 121 131 113 109 92 90 85 63 98 121 2.16591
544 122 591 106 119 104 120 132 113 108 91 90 85 63 99 119 2.61922
668 122 586 107 119 104 121 132 113 109 91 91 85 64 99 120 2.89389
589 122 662 107 120 104 120 132 114 109 92 90 85 64 99 120 3.06535
650 122 581 107 119 105 121 132 114 110 91 90 85 64 99 120 3.34041
572 123 718 107 120 104 121 132 114 109 92 90 85 63 99 120 3.69219
658 122 684 107 119 104 121 131 114 109 91 90 85 63 98 119 4.04309
584 123 1273 106 119 105 122 132 114 109 92 91 85 63 98 120 4.46008
547 122 1276 107 120 105 121 132 113 109 92 90 85 63 98 120 4.73151
884 123 681 106 119 105 121 132 113 109 91 90 85 64 98 120 5.08196
596 123 669 107 120 105 121 132 114 109 91 91 85 63 98 120 5.35946
587 122 689 107 119 105 121 132 113 110 92 90 85 64 99 120 5.7177
709 122 590 106 119 105 121 132 113 109 91 91 84 63 99 120 6.08262
582 123 579 107 120 106 121 132 113 109 91 91 85 63 99 120 6.36448
1056 123 583 107 120 105 121 132 114 109 91 91 84 64 99 120 6.72626
774 122 728 107 120 105 121 132 113 109 91 90 85 64 99 120 7.08376
774 123 849 108 120 105 121 133 114 109 92 91 85 64 99 121 7.35978
727 122 551 107 119 105 121 132 113 108 91 91 85 63 99 120 7.71942
666 122 704 107 120 104 120 132 113 109 92 90 84 63 99 120 8.08746
726 122 713 107 119 104 121 132 114 108 91 90 85 64 99 119 8.44863
774 123 690 107 119 105 121 132 113 109 92 91 85 63 99 120 8.84078
556 122 847 106 119 105 120 132 114 109 91 91 84 63 98 120 9.19312
853 121 602 106 119 105 121 132 113 108 91 90 84 62 98 119 9.54605
690 122 708 106 119 104 121 131 113 108 91 90 84 63 99 119 9.96999
1167 121 601 106 119 104 121 131 113 108 92 89 84 63 98 119 10.3314
554 123 596 108 121 106 122 133 115 110 93 91 86 65 100 121 10.6075
1201 121 566 106 119 104 121 132 113 108 91 90 85 62 99 119 10.8877
749 122 622 107 120 105 121 132 113 108 91 90 85 63 99 119 11.0571
600 123 713 108 121 106 123 133 115 110 93 91 86 65 101 120 11.4148
589 122 725 106 120 104 121 131 113 108 91 90 85 62 99 119 11.8363
1027 122 691 106 120 104 121 132 114 108 92 90 85 63 99 119 12.1129
699 121 615 106 119 104 120 131 113 109 91 90 84 63 99 119 12.479
833 122 667 106 119 105 121 131 114 109 92 90 85 63 99 120 12.8351
713 121 903 106 119 104 121 131 113 108 91 89 85 63 98 119 13.1918
1754 121 699 107 120 104 121 131 114 109 92 90 85 63 99 119 13.5883
804 122 689 106 119 105 121 131 114 109 92 90 84 63 99 119 13.9701
645 122 1385 107 120 105 122 132 114 109 91 90 85 63 98 120 14.3329
615 121 1088 107 119 105 121 132 114 109 92 90 85 64 99 120 14.6542
616 122 1017 107 119 104 121 131 113 108 92 89 85 63 99 119 15.0872
675 121 563 106 119 104 121 132 114 108 92 89 85 63 99 119 15.4431
591 122 596 106 119 105 121 132 113 108 92 90 85 63 99 119 15.8051
703 122 560 106 119 104 121 131 113 108 92 89 84 63 99 119 16.2123
681 122 593 107 119 105 121 131 113 109 91 89 84 63 98 119 16.5677
614 121 725 106 119 104 121 131 114 109 91 89 84 63 98 119 16.9252
867 122 549 107 119 104 120 132 113 108 91 90 84 63 98 119 17.3451
848 121 689 107 120 105 121 132 115 110 92 90 85 63 99 120 17.7035
1067 122 946 107 120 104 121 132 114 109 92 90 85 63 99 119 17.9811
2375 121 682 106 120 104 120 131 113 108 92 90 84 63 99 119 18.3386
701 122 598 106 119 105 121 132 113 108 92 89 84 62 99 119 18.6952
1176 122 851 106 120 105 121 132 114 109 92 90 85 64 98 119 18.9264
826 122 574 107 119 104 120 131 113 108 91 90 84 63 99 119 19.1428
578 121 826 106 119 105 121 131 114 109 92 90 84 63 99 119 19.4714
734 122 992 106 119 104 121 131 113 109 91 90 85 63 98 120 19.8356
1060 122 798 106 119 104 121 132 114 108 91 89 85 63 99 119 20.1141
713 121 830 107 119 105 121 132 113 108 91 90 84 63 98 119 20.4694
560 122 918 107 120 105 121 131 114 110 92 90 85 64 99 120 20.8298
652 121 586 106 119 105 121 132 114 109 91 90 85 63 99 119 21.1079
1086 123 770 106 120 105 121 132 114 109 92 90 85 62 99 119 21.4669
741 122 576 106 119 105 120 131 113 109 91 90 85 63 99 120 21.8308
675 123 620 107 120 106 122 132 115 110 92 91 86 63 99 121 22.1582
765 121 577 106 119 104 121 131 113 108 92 90 85 62 99 119 22.5889
539 121 709 106 119 105 121 131 113 108 91 90 85 63 98 119 22.944
714 122 627 106 119 105 121 132 113 109 91 90 85 63 99 120 23.337
576 122 1713 106 120 104 121 132 113 108 91 89 84 63 98 119 23.6942
674 121 578 106 119 104 121 132 114 109 91 90 84 63 98 119 24.0493
598 122 564 106 119 104 121 132 114 109 92 90 84 63 99 119 24.4682
739 122 550 107 119 105 121 132 114 109 92 90 85 63 99 120 24.8315
716 122 556 106 119 104 121 132 114 108 91 90 85 63 99 119 25.1577
633 122 829 107 119 105 122 131 114 109 92 90 85 63 99 120 25.5849
716 123 688 108 120 105 122 133 114 110 92 90 85 64 99 120 25.8615
1432 121 999 107 119 104 121 132 114 109 92 89 85 63 99 119 26.2212
578 122 597 107 120 105 122 132 114 109 92 90 85 63 99 120 26.5777
907 121 1188 106 120 104 121 132 114 109 91 90 85 63 99 119 26.883
768 122 1062 106 120 105 121 131 113 109 91 90 84 63 99 119 27.1659
678 122 676 106 119 104 121 131 113 108 91 90 85 63 99 120 27.5854
586 122 706 106 119 105 121 131 113 109 92 90 85 63 99 120 27.9518
761 122 995 107 120 104 121 132 113 108 92 90 85 63 99 119 28.3328
558 122 800 107 120 105 121 132 114 109 92 90 85 63 99 119 28.6621
578 123 611 107 120 105 122 132 114 109 92 90 85 63 99 120 29.0867
1206 122 1139 107 120 105 122 131 114 110 92 90 85 63 99 119 29.4419
549 122 599 107 119 105 120 131 114 109 92 90 84 63 99 119 29.8013
1398 122 1190 107 121 105 122 133 115 110 93 91 86 65 100 121 30.221
677 122 713 107 119 104 121 131 113 109 92 90 85 63 99 120 30.5857
568 122 839 106 119 105 121 131 113 108 92 91 85 63 99 120 30.9426
640 123 712 108 121 106 122 133 115 110 93 91 86 64 100 120 31.3361
1004 122 1181 107 120 105 122 132 114 109 92 90 84 63 99 120 31.613
985 122 710 107 119 105 121 131 114 109 92 90 85 63 99 120 31.9708
618 123 683 108 121 105 122 132 115 110 92 91 86 64 100 121 32.326
657 122 719 106 120 104 121 132 114 108 91 90 84 63 98 120 32.7089
691 123 713 108 121 106 122 133 114 110 93 91 86 64 100 121 32.9847
684 122 583 107 120 105 121 131 113 108 92 90 85 63 99 120 33.3393
567 121 668 107 120 105 121 132 114 109 91 90 85 63 99 119 33.6992
632 122 575 106 119 104 121 132 113 109 91 90 84 63 99 119 33.9789
692 122 564 106 120 104 121 131 114 109 91 90 85 63 99 119 34.336
923 122 739 107 120 105 121 132 114 109 91 90 84 62 99 120 34.6568
670 122 893 107 120 104 121 132 114 109 92 90 85 63 99 119 35.0162
1248 122 592 106 120 105 121 131 114 109 91 90 85 63 98 119 35.3342
668 122 1536 107 120 105 121 132 114 109 92 90 84 63 99 120 35.6603
586 122 553 107 119 104 121 132 113 109 91 90 85 63 98 119 36.0864
550 121 577 107 119 104 120 132 114 109 91 89 85 63 99 119 36.4443
586 122 713 107 119 105 121 131 114 109 91 90 85 63 99 120 36.7997
623 122 591 107 120 105 121 131 114 109 92 90 85 64 99 120 37.2148
734 122 788 107 119 105 121 132 114 109 92 91 85 64 99 120 37.5759
1862 122 667 107 120 105 121 131 114 109 92 90 85 63 99 120 37.9588
942 122 596 107 120 105 121 132 114 109 92 91 85 63 99 120 38.2343
661 121 681 108 119 104 121 131 114 110 92 90 85 63 99 120 38.5858
1108 122 709 107 120 104 121 132 114 110 92 90 84 63 99 119 38.9483
1102 122 805 106 119 105 121 131 114 109 92 90 85 63 98 119 39.3426
563 121 567 106 119 104 121 132 113 109 92 90 85 63 98 119 39.6997
1059 122 567 106 120 105 121 132 114 109 91 89 84 63 99 119 40.0909
865 122 679 106 119 105 121 131 114 109 91 90 85 63 99 119 40.4612
772 122 570 107 120 105 122 133 114 110 92 91 86 64 100 120 40.8193
540 122 621 106 119 105 121 131 114 108 92 90 86 63 99 119 41.2144
697 121 871 106 120 104 121 131 114 109 92 90 84 63 99 120 41.5734
1058 122 596 106 120 105 121 132 114 109 91 90 84 63 98 119 41.9453
614 121 904 106 119 105 121 131 113 109 91 90 84 63 98 119 42.352
743 121 592 106 119 105 121 131 113 109 92 90 85 63 99 119 42.7081
835 122 578 107 120 105 120 132 114 108 92 90 85 64 99 119 42.9436
778 121 790 106 119 105 121 131 113 109 91 90 85 63 98 119 43.2188
554 122 774 106 120 104 121 131 114 108 91 90 84 63 99 119 43.576
625 122 598 106 119 104 120 132 113 108 92 90 85 62 98 119 43.9598
621 123 518 107 120 106 122 133 114 110 92 91 86 64 99 120 44.2361
668 122 782 107 120 104 121 132 113 109 91 90 85 64 99 120 44.5946
604 122 594 107 119 105 121 131 114 109 92 90 85 63 98 120 44.9523
623 122 846 107 119 105 121 132 114 108 92 91 85 63 99 120 45.3339
1060 122 602 107 120 104 121 132 113 109 92 90 85 64 99 120 45.6929
604 123 710 108 121 105 122 133 115 110 93 91 86 65 100 120 46.0851
766 121 712 107 119 104 121 132 114 109 92 89 85 63 99 119 46.443
805 122 611 107 120 105 121 131 114 109 92 90 85 63 99 120 46.8334
679 122 696 106 120 105 121 132 113 108 91 90 84 63 98 120 47.1928
680 123 820 106 120 105 121 132 114 109 92 91 85 63 100 120 47.548
789 121 654 107 120 104 121 131 114 110 91 90 85 63 99 120 47.9637
636 122 540 106 119 105 120 132 113 109 91 90 84 63 99 119 48.3258
820 122 715 106 120 104 121 132 114 109 91 90 84 63 98 119 48.6057
702 122 556 107 119 104 120 132 114 109 91 90 84 63 98 119 48.9604
588 123 591 108 120 105 122 133 114 109 93 92 85 64 99 120 49.2363
585 122 896 106 119 105 120 131 113 109 91 90 85 63 98 119 49.5995
735 122 733 107 120 104 121 132 114 109 92 90 85 64 98 119 49.9583
994 123 702 108 120 106 122 132 114 110 92 91 85 64 100 120 50.2336
704 122 731 106 120 105 121 132 114 109 92 90 85 63 98 120 50.5909
744 122 673 106 119 104 120 131 113 109 91 90 85 63 98 119 50.8803
804 123 680 107 120 105 121 133 114 109 92 91 85 64 99 120 51.0445
867 122 925 106 120 104 121 132 113 109 91 89 84 63 99 119 51.3515
587 122 1161 107 120 104 121 132 114 109 92 90 85 63 99 119 51.7025
720 122 579 107 119 104 121 132 113 109 91 90 84 63 98 120 52.0185
668 122 574 106 119 105 121 131 113 109 91 89 84 63 99 119 52.3814
597 123 601 107 119 105 121 132 113 109 91 90 84 63 99 119 52.7417
552 123 701 107 120 105 121 132 114 109 92 90 85 63 99 120 53.0961
1511 123 696 107 120 104 121 132 113 109 92 90 84 63 99 119 53.4581
551 122 746 107 119 105 121 131 113 109 91 90 84 63 99 120 53.7374
800 123 602 107 120 105 121 132 114 109 92 90 84 64 99 119 54.0907
815 122 950 107 120 105 122 132 113 109 92 90 84 63 99 120 54.4483
1863 122 1799 107 121 105 121 132 114 109 92 90 85 63 99 119 54.8379
558 122 1205 106 120 105 121 131 114 109 92 90 85 63 99 120 55.1959
542 122 3396 107 122 105 121 132 114 109 91 90 84 64 99 120 55.5877
924 122 1284 107 120 105 120 132 114 108 92 90 85 63 99 120 55.9454
665 123 685 107 120 105 121 132 114 109 92 91 85 63 99 120 56.3355
642 122 577 107 120 105 121 132 114 109 91 90 85 63 98 120 56.6122
944 122 533 106 119 105 121 131 113 109 91 90 84 63 98 120 56.9714
1205 123 607 107 120 104 121 131 114 109 91 90 84 64 99 120 57.3352
662 122 697 106 119 105 121 131 114 109 91 90 85 63 99 120 57.6994
795 121 590 106 119 104 121 131 113 109 92 89 84 63 98 119 58.0879
962 122 553 106 120 105 121 131 114 109 92 90 85 63 99 120 58.4462
525 122 799 107 120 104 121 132 114 110 91 90 84 63 98 120 58.8409
711 122 864 107 119 104 121 131 113 109 91 90 84 63 99 119 59.0056
779 122 714 107 120 104 120 131 113 109 91 90 84 63 98 119 59.2924
609 123 559 108 121 106 122 133 115 110 92 91 86 64 99 121 59.7099
604 122 702 107 119 105 122 132 114 109 91 90 84 63 99 119 59.9846
576 122 702 107 119 104 120 132 113 109 91 90 84 63 99 119 60.3446
710 122 577 107 119 105 120 132 114 109 92 90 85 63 99 120 60.7097
735 121 647 107 119 104 121 132 113 109 92 90 85 63 98 119 60.9886
689 122 1132 107 120 105 121 132 114 108 91 90 85 63 98 119 61.3452
778 122 831 107 120 105 121 132 114 109 92 90 85 64 99 119 61.7085
1216 123 697 108 120 106 122 133 115 110 92 91 86 64 100 120 61.9851
606 122 944 107 119 104 121 132 114 109 91 90 84 63 98 120 62.3401
637 122 897 107 120 104 121 132 113 108 91 90 84 63 99 119 62.7048
629 122 739 107 120 105 121 132 114 109 92 90 84 64 99 119 62.9799
1221 122 560 107 120 105 121 131 114 109 92 90 85 63 99 120 63.3429
634 122 587 107 119 105 121 132 114 109 92 91 85 63 99 120 63.7039
720 122 618 107 119 105 120 132 113 109 92 90 84 63 98 120 63.9822
801 122 608 107 119 105 121 132 114 109 92 90 85 63 99 120 64.3468
1637 123 594 107 120 105 121 132 114 109 92 90 84 63 99 120 64.7068
1532 122 857 107 120 105 121 132 114 109 92 90 84 63 98 120 64.9853
598 123 831 108 121 106 122 133 115 110 93 92 86 64 100 120 65.3403
659 122 772 107 120 105 122 132 114 109 91 90 84 63 99 119 65.6959
663 123 770 107 120 105 121 132 114 109 92 90 85 63 99 119 66.087
923 122 711 107 120 104 121 132 114 109 92 90 85 63 99 120 66.4426
802 123 1005 107 120 105 121 132 113 109 91 91 84 63 98 120 66.8017
564 123 1167 107 120 105 121 132 113 109 91 90 85 63 98 120 67.1695
1164 122 577 107 120 105 121 132 114 109 91 90 85 63 99 120 67.5842
1256 123 739 108 121 105 121 132 114 110 92 91 85 64 100 120 67.8614
879 122 579 107 119 105 121 132 114 109 92 90 84 64 98 120 68.217
915 122 617 107 120 105 121 132 114 109 91 90 85 63 99 120 68.5803
815 121 823 106 119 105 121 132 114 110 92 90 85 62 99 120 68.8555
1224 122 950 107 120 104 121 132 113 109 92 90 85 64 98 119 69.21
675 121 554 107 119 104 121 132 114 109 92 90 85 63 99 119 69.4881
663 122 988 107 119 104 121 132 114 109 92 90 85 63 99 120 69.8496
884 122 645 107 119 105 120 132 114 109 91 90 84 63 99 119 70.2066
587 122 820 107 120 105 121 132 114 109 92 90 85 63 99 120 70.5283
678 122 727 107 120 105 121 132 113 109 91 90 85 63 98 120 70.853
1139 122 726 107 119 105 121 132 113 109 91 90 84 63 99 119 71.2088
1300 122 719 107 119 105 121 132 113 109 91 90 85 63 98 120 71.4851
711 123 727 107 119 105 121 132 113 109 92 90 85 63 99 120 71.8417
586 122 642 106 119 104 121 131 113 108 91 90 84 62 98 119 72.2149
997 122 868 107 119 104 121 132 114 109 91 91 85 63 99 119 72.5794
1080 122 585 106 119 105 121 132 114 109 91 90 84 63 99 120 72.8546
671 122 839 107 119 105 121 133 114 109 91 90 85 63 99 119 73.2174
653 122 670 107 119 104 121 131 114 109 92 90 84 63 98 120 73.585
802 122 553 107 119 105 121 131 113 109 91 90 84 64 98 119 73.8593
555 122 635 107 120 105 121 132 114 110 91 89 85 64 99 120 74.2177
731 122 925 107 120 105 121 132 113 109 91 90 85 63 99 120 74.5761
566 122 591 107 119 105 121 132 114 109 92 90 86 64 99 120 74.8649
707 122 584 107 120 105 121 132 114 109 92 90 85 64 99 119 75.1655
1083 122 802 107 120 104 121 133 114 109 91 89 85 64 98 119 75.5903
797 122 892 108 120 105 121 132 113 110 92 91 85 64 99 120 75.943
1187 122 585 107 120 106 121 131 114 110 91 90 85 64 99 120 76.3024
939 122 681 107 120 105 121 132 114 109 92 90 85 63 99 120 76.7154
798 122 1240 106 120 105 121 132 113 109 91 90 84 63 98 120 77.0546
1118 123 943 107 120 105 121 132 114 110 92 91 85 63 99 120 77.4134
1339 122 813 107 120 104 121 131 113 109 91 89 84 63 98 119 77.8341
550 122 853 107 120 105 121 131 113 109 92 90 85 63 99 120 78.1918
772 122 742 107 120 105 121 132 114 109 92 91 84 63 99 120 78.5496
621 123 795 106 119 105 120 131 113 109 91 90 84 63 98 120 78.9646
984 123 909 107 120 105 121 132 114 109 91 91 85 64 99 120 79.3267
575 122 682 107 120 105 121 132 113 109 92 90 85 63 99 120 79.7128
785 122 694 107 119 105 121 132 113 109 91 90 85 63 99 120 79.9866
837 121 1096 107 120 104 121 132 114 110 92 90 84 63 99 120 80.3392
552 122 711 107 119 105 121 131 114 109 92 90 85 63 99 120 80.695
1093 122 592 107 119 104 120 132 113 109 91 90 85 63 98 119 81.0845
691 123 735 107 120 105 121 132 113 109 92 90 85 63 99 120 81.3613
655 122 592 107 119 104 121 132 113 108 91 90 84 63 98 119 81.7134
719 123 809 107 120 105 121 132 114 110 92 90 85 63 99 120 82.0678
1049 123 665 108 121 106 122 133 115 110 93 92 87 65 100 121 82.4287
1048 122 705 107 120 105 121 132 114 109 91 90 85 63 99 120 82.838
576 124 719 108 121 107 122 134 115 111 93 92 87 66 100 121 83.0044
704 121 710 107 119 105 121 132 114 109 92 90 85 63 99 120 83.2928
661 123 706 107 120 105 121 132 114 109 92 91 85 63 99 120 83.7121
587 122 1385 108 120 105 121 132 114 109 92 90 84 64 99 120 84.0889
584 122 677 107 120 106 121 132 114 110 92 90 85 64 99 120 84.4384
692 122 1017 108 120 105 121 132 113 109 92 91 85 64 98 120 84.7842
724 122 957 107 119 105 121 132 113 109 92 90 85 64 98 120 85.2034
649 122 691 107 119 105 121 132 113 109 92 90 85 63 99 119 85.475
605 123 586 109 121 106 122 133 115 111 93 92 86 65 101 121 85.8265
