ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
3185 122 3614 107 122 105 122 132 114 109 92 90 85 63 99 120 768.645
2217 122 2144 107 122 104 122 132 114 108 92 90 85 63 99 119 2072.51
2424 122 2596 107 121 104 121 131 113 108 92 90 84 63 99 119 2112.05
3088 122 2428 107 121 104 121 132 113 109 92 90 85 63 99 119 2775.8
2916 123 1990 108 122 105 122 133 115 109 93 91 86 64 100 121 4440.67
2625 123 2526 107 122 106 122 132 114 110 92 91 85 64 99 120 4568.94
3118 123 2334 107 122 105 122 132 114 109 92 90 85 63 98 119 4853.42
2116 122 2386 107 121 105 122 132 114 109 92 90 85 63 99 120 5077.83
2809 122 2568 107 122 105 121 131 114 109 92 91 85 64 100 119 5735.43
3121 122 3010 107 122 104 121 132 114 109 92 90 85 63 99 119 6089.73
3234 122 3339 107 123 105 122 131 114 109 92 90 85 63 99 119 6760.35
3158 121 3566 107 122 105 121 131 114 109 92 90 85 63 98 119 6982.09
2320 123 2270 107 121 105 121 132 114 109 92 91 85 64 99 120 7057.1
2617 122 2183 107 121 104 121 131 113 108 92 90 85 63 98 120 7276.83
1855 122 2710 107 122 105 121 131 113 108 92 90 85 63 99 120 8110.85
2054 122 2641 107 122 104 122 132 114 108 92 90 85 63 98 119 8491.35
2772 122 2225 107 122 105 122 131 114 109 92 90 85 63 99 120 8544.11
2122 122 2757 107 122 104 121 132 114 109 92 90 85 64 99 120 9611.25
2237 122 2443 107 121 105 121 131 114 109 91 90 84 63 99 119 9806.75
2601 122 2286 106 121 104 121 131 113 108 91 90 85 63 99 119 10000.4
3735 122 2713 107 122 105 121 132 114 109 92 90 85 64 99 120 10598.5
2896 122 2850 107 122 105 122 132 114 108 92 90 85 63 98 120 11302.9
3229 122 9999 106 123 105 122 132 113 108 91 90 85 63 99 120 12157.8
2300 122 2068 106 122 105 121 131 114 109 92 90 84 63 99 120 12762.5
2481 122 2562 107 121 105 121 132 113 109 91 90 85 63 99 119 14313.8
2081 123 2762 106 122 105 122 131 114 109 92 90 85 63 99 119 14527.7
2733 123 2490 106 122 104 121 131 113 109 91 90 85 63 99 120 15283.2
1986 122 2500 107 122 104 121 131 114 109 91 89 85 63 98 120 15622.5
3203 122 2406 107 122 104 121 131 114 109 92 90 85 63 99 119 15713.3
2673 122 2612 107 122 105 121 131 114 108 92 90 84 63 99 120 15728.5
2279 122 2619 107 122 105 122 131 114 109 92 90 85 63 99 120 16432.7
2423 122 2245 107 122 105 121 131 113 109 92 90 85 63 99 120 16625.4
2935 122 2510 107 122 105 122 132 114 109 92 91 86 63 99 120 16800.2
2174 122 2447 107 121 105 121 132 114 109 92 90 85 63 98 120 16823.3
3149 122 2466 106 121 105 121 132 113 109 91 90 85 63 99 119 18360.1
1645 122 2514 107 121 104 121 132 113 109 91 90 84 63 99 120 18439.5
2005 123 2367 107 122 105 121 132 114 109 92 90 85 63 99 119 18990.8
2460 122 2419 107 122 104 122 132 113 109 92 90 84 63 98 120 19018.3
2012 122 2353 107 121 105 122 132 114 109 91 90 85 63 99 120 20381
3090 122 3253 107 122 105 122 131 113 109 92 91 84 63 99 120 21504.4
2280 122 1717 107 121 104 121 132 114 109 91 89 84 63 99 119 21862.6
1426 121 3020 107 122 105 121 132 114 108 91 90 85 63 99 119 22445.8
2586 122 2292 107 121 104 121 132 114 109 91 90 85 63 99 120 23261.9
2429 122 1607 107 121 105 122 132 113 108 92 89 85 64 99 120 23917.9
2349 122 2579 107 122 105 122 132 114 109 92 90 85 63 100 120 24079.2
2213 122 2704 107 122 105 121 132 114 109 92 90 85 63 99 120 24543.8
1383 123 2556 107 122 106 122 133 114 110 93 91 86 64 100 121 25166.2
2306 122 2063 107 122 105 122 132 114 109 92 90 86 64 99 120 27333.5
2298 122 2651 107 121 105 122 132 114 109 92 90 85 63 99 120 27552.4
2374 122 2230 107 121 104 121 132 114 109 91 90 85 63 99 119 27916.4
2984 123 3207 107 122 105 121 133 114 109 92 90 85 64 99 120 28212
