ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
2802 124 104 107 121 106 122 133 115 110 93 91 86 64 100 120 1.31555
2731 122 103 106 119 104 121 131 114 109 91 90 84 63 99 120 1.76489
2989 122 104 107 119 105 121 131 113 108 92 90 85 63 99 119 2.29223
2459 122 103 107 119 105 120 132 114 108 91 90 85 63 99 119 2.45791
3918 123 104 106 119 105 121 131 113 109 91 90 85 63 98 120 2.7417
2776 122 103 107 119 105 121 132 113 109 91 90 85 63 99 119 3.08856
3090 122 104 106 119 104 121 131 113 108 91 90 84 63 98 119 3.51049
2978 122 103 106 119 104 121 131 113 109 91 90 84 62 98 119 3.77812
2721 122 103 106 119 105 120 132 113 108 91 90 84 63 98 119 4.13303
2504 122 103 107 119 105 121 132 114 109 91 90 84 63 98 119 4.40192
2451 122 103 107 119 104 121 131 113 109 92 90 85 63 99 120 4.76194
3242 122 103 106 118 104 120 131 113 108 91 89 83 63 98 119 5.04288
3067 122 103 107 119 105 120 132 113 109 91 89 84 63 98 120 5.40247
3478 123 104 106 120 105 121 131 113 109 92 90 85 63 99 120 5.76398
3366 122 104 107 120 105 121 131 114 109 92 90 84 64 98 119 6.03844
9999 122 105 106 119 104 120 132 113 108 91 90 84 63 98 119 6.39765
2601 122 103 106 119 104 121 132 113 108 92 90 85 63 99 120 6.75629
2521 122 103 107 120 104 121 132 114 109 92 90 85 63 99 120 7.14653
2553 122 103 107 119 104 121 132 114 109 91 90 84 63 98 120 7.50507
2463 122 103 107 119 104 121 132 114 109 92 90 85 63 99 120 7.90226
3586 122 104 107 120 104 122 132 114 109 92 90 84 63 98 120 8.27165
2467 122 103 107 119 105 121 132 114 109 92 90 85 63 99 120 8.63221
3054 122 104 106 120 105 121 131 113 108 92 90 85 63 99 120 9.02251
3710 122 105 107 120 105 122 132 114 110 92 90 86 64 100 120 9.38387
2594 122 103 107 120 104 121 132 114 109 92 90 85 63 99 120 9.89598
2892 123 103 107 119 105 121 132 114 109 92 90 84 63 99 120 10.2548
2557 123 104 107 119 105 121 132 113 109 92 90 85 63 98 119 10.4219
2495 122 103 107 120 105 120 132 114 110 92 90 86 64 100 120 10.771
2663 123 103 107 119 104 121 132 113 109 92 90 85 63 99 120 11.1303
2737 123 103 107 119 105 122 132 114 109 92 91 85 63 98 120 11.5225
2657 122 103 106 119 105 121 132 114 109 92 90 85 63 99 120 11.8837
2757 122 103 106 119 104 121 132 113 108 91 90 85 63 99 120 12.2682
2678 122 103 107 118 104 122 131 114 108 91 90 84 63 99 120 12.625
3218 123 103 106 119 104 121 132 114 108 91 90 85 63 98 120 12.9805
2745 122 103 107 119 104 120 131 113 109 91 90 84 63 98 119 13.4041
2433 122 103 107 120 105 121 131 114 109 92 90 85 63 99 120 13.7622
2442 122 103 107 119 105 122 132 113 110 92 90 85 64 99 120 14.0419
2466 122 103 107 119 105 121 132 114 109 91 90 85 63 98 120 14.4013
2494 122 103 107 119 105 121 132 114 108 91 89 85 63 99 120 14.7663
2980 122 103 106 120 104 121 131 113 109 92 90 84 63 99 119 15.0446
2962 122 103 107 119 104 120 132 114 109 91 90 85 63 98 120 15.405
2989 123 103 107 119 105 121 132 114 109 92 90 85 63 98 120 15.7637
2978 122 103 107 119 105 121 131 114 109 91 90 85 63 98 119 16.0392
2685 120 100 105 118 103 119 130 112 108 90 89 83 63 97 119 16.3969
2705 121 103 107 119 105 120 131 113 108 91 90 84 63 98 119 16.76
3712 123 104 106 120 105 121 132 114 109 92 90 85 63 99 120 17.1475
2794 122 103 106 119 105 121 131 113 109 92 90 85 63 99 120 17.5028
2794 122 102 106 119 105 121 132 113 108 91 90 84 63 98 119 17.8964
2801 122 102 106 118 104 120 131 112 108 91 90 84 63 97 119 18.2545
9999 122 105 106 119 104 120 132 113 108 90 90 84 63 99 119 18.4209
