ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
138 123 613 108 120 106 122 133 115 111 93 91 85 65 100 121 0.514141
138 122 662 108 119 106 121 133 114 110 92 90 85 64 99 120 0.874572
137 122 764 107 119 104 121 132 113 108 92 90 85 63 98 119 1.22264
137 122 917 107 120 105 121 132 113 108 91 90 84 63 98 119 1.64244
137 121 657 106 119 104 121 132 113 108 91 90 85 62 99 119 1.91182
137 122 766 107 120 104 121 132 114 109 91 90 85 63 98 119 2.25939
137 122 604 106 119 104 120 131 114 108 91 90 84 62 99 119 2.52874
137 122 575 106 119 104 121 131 113 108 91 90 85 63 99 119 2.88061
137 121 823 106 119 104 121 131 113 108 91 89 84 62 99 119 3.22904
137 121 550 106 119 105 121 131 113 109 91 90 85 63 99 120 3.64254
137 123 801 107 119 105 121 132 114 109 93 91 85 64 99 120 3.86538
138 123 594 108 121 105 122 133 114 109 93 90 85 64 100 120 4.14768
137 121 692 107 119 104 121 131 113 108 91 90 85 63 98 119 4.49669
138 123 621 109 120 106 122 133 115 110 92 91 86 64 100 121 4.84749
137 122 853 107 120 105 122 132 115 109 92 90 86 64 100 120 5.26562
137 122 974 107 120 105 121 132 114 109 92 90 86 63 99 120 5.5849
137 122 560 107 119 104 122 132 114 108 92 90 85 62 99 119 6.01742
137 122 807 107 119 105 121 132 114 109 92 91 85 64 99 120 6.29172
137 122 686 107 120 105 121 132 114 108 92 90 85 63 98 119 6.64464
136 121 894 107 119 104 120 131 113 108 91 89 84 62 98 119 6.92792
137 122 656 107 119 104 121 132 114 108 92 90 85 63 98 119 7.2861
137 122 697 106 120 105 122 131 114 108 91 89 84 62 99 119 7.6478
137 121 846 106 120 104 121 131 113 109 91 90 84 63 99 119 8.00009
138 122 803 107 120 105 121 132 114 109 92 90 85 63 99 119 8.36003
137 122 752 107 120 105 121 132 114 108 91 90 85 63 99 120 8.77527
137 122 696 107 119 104 121 131 113 108 92 90 84 63 98 119 9.13128
137 122 597 106 119 105 121 132 114 108 92 90 85 63 99 120 9.51836
139 123 705 108 122 106 124 134 115 110 93 91 86 65 100 120 9.84219
137 121 687 107 119 105 121 132 113 109 92 89 84 63 98 119 10.2655
136 121 488 106 119 104 121 131 113 109 91 89 84 63 98 119 10.5402
138 122 658 108 120 105 122 132 115 109 93 91 86 64 100 120 10.9008
137 121 541 107 119 104 121 132 113 108 91 90 85 63 98 119 11.2631
136 121 1410 106 120 104 121 131 114 109 92 89 84 63 99 120 11.5414
136 122 742 107 119 105 121 132 114 108 91 90 84 63 98 119 11.8261
136 121 679 107 119 105 121 132 114 109 92 90 84 63 99 120 11.9906
136 122 660 106 119 104 121 132 114 109 92 90 85 63 99 119 12.3485
137 121 783 106 119 105 121 132 114 109 91 90 84 63 98 119 12.7659
137 121 576 106 120 105 121 132 115 109 92 90 85 63 99 120 13.0437
137 121 686 107 120 104 121 132 114 109 91 90 85 63 99 119 13.3969
136 121 565 107 119 105 121 132 115 110 92 90 85 64 99 120 13.6789
137 121 1198 107 120 105 121 132 115 109 92 90 85 63 99 119 14.0352
138 122 547 107 119 105 121 132 115 109 92 90 86 64 100 120 14.3946
136 121 612 106 119 104 121 131 114 109 91 90 85 63 98 119 14.751
137 121 540 107 120 105 121 132 114 109 92 90 85 63 99 119 15.11
137 121 773 107 119 105 121 132 114 109 92 90 85 63 98 120 15.5233
136 121 520 106 120 104 121 132 114 109 92 90 85 63 99 119 15.8791
136 121 693 106 119 104 121 131 114 109 91 90 84 62 99 119 16.2669
137 122 1206 107 120 105 121 132 114 110 91 90 85 63 100 121 16.5447
136 121 633 106 119 104 120 131 114 109 91 90 85 62 98 119 16.9015
137 121 667 107 119 104 121 132 114 109 91 90 85 63 99 120 17.2599
137 121 671 106 119 105 121 132 114 109 91 90 84 63 98 120 17.643
137 122 618 106 119 105 121 132 114 109 92 90 85 63 99 119 17.9199
137 122 758 107 119 104 121 132 114 109 92 90 84 62 98 119 18.2719
137 121 755 107 119 105 121 132 114 109 92 91 85 63 99 119 18.6227
137 121 559 107 119 105 121 131 114 109 92 90 85 63 98 120 19.0133
136 122 662 107 119 104 121 132 114 109 92 90 85 63 99 120 19.3363
137 121 593 107 119 105 121 132 114 109 92 90 85 63 99 120 19.6873
137 121 1085 107 120 105 121 132 114 110 92 90 85 63 99 120 20.099
137 121 577 106 119 104 120 132 113 109 91 90 85 63 99 119 20.5163
136 121 1317 107 120 105 121 132 114 109 91 90 84 63 99 119 20.7969
137 122 620 107 119 105 121 132 114 110 92 90 85 64 99 119 21.1554
