ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
594 124 1420 109 122 106 123 134 116 111 94 92 87 65 101 121 0.542898
835 122 910 107 120 104 121 132 113 109 92 90 84 63 99 120 0.814379
738 122 585 107 119 105 121 132 113 108 91 90 85 63 99 119 1.16575
772 121 754 106 119 105 121 131 113 108 91 90 84 63 98 119 1.32029
864 123 711 107 121 106 122 132 114 110 92 91 86 64 100 121 1.66322
813 122 581 106 119 105 121 131 113 109 92 90 85 63 98 120 1.9359
1407 122 850 107 120 105 121 132 114 109 91 90 85 64 99 120 2.28269
630 122 649 106 119 105 121 131 113 108 92 89 84 63 98 119 2.55466
830 122 598 107 120 105 121 132 113 109 91 90 85 63 98 120 2.89908
708 122 665 107 120 105 121 132 114 108 92 90 85 63 100 120 3.34543
720 122 887 107 120 105 121 131 113 108 91 89 85 63 98 119 3.70297
729 122 669 107 120 105 121 133 113 108 91 90 85 63 98 119 4.06339
579 122 999 107 120 104 121 132 114 109 91 90 85 63 99 120 4.42021
1063 121 904 107 120 105 122 132 114 109 91 90 85 63 98 120 4.74468
660 122 917 107 120 105 120 132 113 109 91 90 85 64 99 119 5.17085
1029 121 1599 106 120 104 121 131 113 108 92 90 85 63 98 119 5.49377
740 122 709 107 120 104 121 132 114 109 92 90 85 63 99 120 5.92832
766 122 857 107 119 104 121 131 114 108 91 90 85 63 98 119 6.28411
1637 123 694 107 120 105 122 132 114 109 92 91 85 63 99 120 6.67165
869 122 672 107 119 104 121 132 113 108 91 90 84 63 98 120 6.93811
1068 123 555 106 119 106 123 132 114 110 92 90 85 64 99 121 7.28141
1304 122 1004 107 119 104 121 132 113 108 91 90 84 63 98 120 7.62923
874 122 581 106 119 105 122 132 114 109 92 91 85 63 100 120 8.04951
611 124 584 109 121 106 123 134 115 111 94 92 87 65 101 121 8.40309
1029 123 741 107 120 105 121 132 114 108 92 90 85 63 99 120 8.75563
774 122 713 106 119 104 121 131 113 108 91 90 85 63 98 119 9.17178
710 122 681 107 120 105 121 132 114 109 91 90 84 64 99 120 9.3359
1075 122 742 107 120 104 121 132 113 108 92 90 84 63 98 119 9.63033
823 122 580 107 120 105 121 132 113 109 91 90 85 63 99 120 10.0498
676 122 850 106 120 104 121 132 114 108 91 90 84 63 99 120 10.3981
669 123 582 106 119 105 120 131 113 109 91 90 85 63 99 120 10.7513
755 122 788 107 120 105 121 131 114 109 92 90 84 64 99 120 11.1738
994 122 578 107 120 105 121 131 113 108 91 90 84 63 98 119 11.5305
645 123 740 107 119 104 120 132 113 109 91 90 84 64 99 119 11.9254
617 122 583 107 119 104 121 132 113 109 92 90 84 63 99 119 12.28
751 121 825 106 120 105 121 131 114 109 91 90 84 63 99 120 12.6705
626 121 1098 106 120 105 121 131 113 109 91 90 85 63 99 119 12.9488
687 123 682 108 120 106 122 133 115 110 92 91 85 64 100 120 13.3012
590 122 583 107 119 104 121 131 114 109 92 90 85 63 99 120 13.656
612 122 624 107 120 105 121 132 114 110 91 90 85 63 99 120 14.044
676 122 702 107 120 105 122 132 115 110 92 90 86 63 99 120 14.3166
566 122 580 106 119 104 121 132 114 109 91 90 85 63 98 120 14.6723
611 122 835 107 120 105 121 131 114 109 91 90 85 63 99 120 14.9466
727 121 764 107 120 105 120 132 114 109 91 90 84 63 98 119 15.3031
761 121 574 106 119 104 120 132 114 110 91 90 84 63 98 120 15.6739
1193 121 735 107 120 105 121 132 114 109 92 90 84 63 99 119 16.0398
906 122 706 107 120 105 121 132 114 109 91 91 85 64 99 120 16.4213
924 122 721 107 119 104 121 132 114 109 92 90 85 63 99 119 16.6994
760 122 630 107 120 104 121 132 114 109 91 90 84 64 99 119 17.0486
1417 122 615 106 120 105 121 132 114 109 91 90 85 63 99 120 17.2717
1018 123 588 106 119 104 120 132 114 108 91 90 85 63 98 119 17.5477
1398 122 701 106 120 105 121 131 114 109 91 90 85 63 98 119 17.8544
1192 122 1106 107 119 104 121 132 114 109 92 90 85 63 99 120 18.1633
736 122 684 107 119 105 121 131 113 110 91 90 85 63 98 119 18.4326
815 122 577 107 119 105 121 132 114 109 91 90 85 63 99 120 18.7298
999 122 711 107 119 104 121 131 114 109 91 90 84 63 99 119 19.0788
994 122 611 107 120 105 121 132 114 109 91 90 85 63 99 120 19.4371
727 122 986 107 120 106 121 132 114 109 91 90 85 63 99 120 19.79
905 123 560 107 120 105 121 132 113 109 91 90 85 63 99 120 20.0667
573 122 582 107 119 104 121 132 114 109 91 90 84 63 99 119 20.4173
1007 122 727 106 119 104 120 131 113 108 91 90 84 63 98 120 20.6996
851 122 872 107 120 105 121 132 114 109 91 90 84 63 98 120 21.0588
1174 122 582 106 119 104 121 132 114 108 91 90 84 63 98 119 21.4194
568 122 639 107 120 105 121 132 113 109 91 90 85 63 98 119 21.695
575 122 730 107 120 105 121 132 113 109 91 90 84 64 98 119 22.0425
711 122 997 107 120 105 121 132 114 109 92 90 85 63 99 119 22.3252
925 122 715 107 120 105 121 132 113 109 91 90 84 63 98 119 22.679
891 123 800 107 120 105 120 132 114 110 91 90 85 63 99 119 23.0336
698 121 746 107 119 105 121 132 115 110 92 90 85 63 99 120 23.4217
2028 122 842 106 120 105 121 132 114 108 92 90 85 62 99 120 23.6994
839 122 697 107 120 105 121 132 114 109 92 90 85 64 99 119 24.0529
702 122 650 107 119 105 121 132 114 110 91 90 84 64 98 120 24.4114
605 122 568 107 119 105 120 132 114 109 91 90 85 63 99 120 24.7948
807 122 593 107 119 105 121 132 114 108 91 90 84 63 98 120 25.071
808 122 691 107 119 105 121 132 114 109 92 91 85 64 98 120 25.3055
566 122 1291 107 120 105 121 132 114 109 92 90 85 64 99 120 25.5133
759 122 616 107 119 105 121 131 114 109 91 90 84 63 99 120 25.867
693 122 871 107 119 104 121 132 114 109 92 90 84 63 98 119 26.2976
870 122 619 107 119 105 121 132 114 109 91 90 85 63 99 119 26.6584
619 122 738 107 119 105 121 131 113 109 91 90 85 63 99 119 27.0473
589 121 582 107 120 105 120 132 114 110 92 90 85 63 98 119 27.3281
861 122 756 107 120 105 121 132 114 109 91 90 85 63 99 120 27.6796
686 121 702 107 119 105 121 132 114 109 91 90 84 63 98 119 28.0331
2137 122 610 106 120 105 121 132 114 109 91 90 85 63 99 119 28.42
651 122 1188 107 119 105 121 132 114 109 91 90 85 63 99 119 28.6994
1663 123 610 107 120 105 121 132 113 109 91 90 85 63 99 120 29.0543
603 123 1601 107 120 105 121 133 113 108 91 91 84 63 99 120 29.4176
904 122 826 107 120 105 121 131 114 109 92 90 85 63 98 120 29.6992
892 122 564 107 119 105 120 131 114 109 91 90 85 64 99 119 30.0532
877 122 723 107 119 104 121 132 114 109 92 90 84 63 99 120 30.4037
593 123 891 107 120 105 120 132 114 109 92 90 85 63 99 120 30.7543
766 122 1609 107 120 105 121 131 114 109 92 90 85 63 98 120 31.1773
1309 122 712 106 119 105 121 131 113 109 91 90 84 63 98 119 31.5355
797 122 739 107 120 105 121 132 114 110 92 90 85 63 99 120 31.9205
810 124 708 108 121 106 122 133 115 110 93 92 86 65 101 121 32.197
590 123 956 107 120 106 121 132 114 109 92 90 85 63 98 120 32.5526
746 123 564 107 120 106 122 133 114 109 92 91 86 64 99 121 32.9075
589 122 1174 107 120 104 121 132 113 109 91 90 85 63 98 119 33.2276
637 123 740 107 120 105 121 132 113 109 91 91 85 63 99 120 33.3917
774 123 574 107 120 105 121 132 114 109 91 91 85 64 99 120 33.7445
659 123 831 108 121 106 122 133 115 110 93 92 85 64 100 121 34.1681
717 122 1580 107 120 105 121 132 113 109 91 90 84 63 98 120 34.4405
755 122 906 107 120 104 120 132 114 109 91 90 84 64 99 119 34.793
1144 124 691 109 121 106 123 134 115 111 93 92 87 65 101 121 35.0695
1028 122 871 107 120 105 121 132 113 108 91 90 84 63 98 119 35.4205
694 122 702 106 119 105 121 132 114 109 92 90 85 64 99 120 35.7374
743 123 748 107 119 105 121 132 114 109 92 91 86 63 99 120 36.0952
1033 122 865 107 119 105 121 132 113 109 92 90 84 63 98 119 36.5555
944 122 561 107 119 105 121 131 113 109 91 90 85 63 98 119 36.9131
886 122 968 107 121 105 121 132 114 110 92 91 85 64 99 120 37.3034
687 122 1378 107 120 105 121 132 113 110 92 91 85 64 99 120 37.662
551 122 583 107 120 105 121 132 114 109 92 91 85 63 99 120 38.0562
419 100 355 86 99 84 101 111 92 86 70 68 62 42 76 98 38.4246
765 122 684 107 119 105 121 132 114 109 91 90 84 63 99 120 38.7877
765 122 863 107 119 105 120 131 114 110 92 90 85 63 99 120 39.1703
1172 122 708 107 119 105 121 131 114 109 91 90 85 62 98 119 39.4469
664 122 789 107 120 106 121 132 113 110 92 90 85 63 98 120 39.7999
977 122 941 107 119 105 121 132 114 109 91 90 85 64 98 120 40.0743
582 123 578 107 120 105 121 132 114 109 92 91 85 64 99 120 40.4311
857 122 642 107 119 105 121 132 113 109 91 90 85 63 99 120 40.7931
1286 122 1546 107 120 105 121 132 114 109 92 90 84 63 99 120 41.0839
