ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
1302 122 103 108 120 106 122 133 115 111 92 91 86 65 100 121 0.542955
569 122 101 107 119 105 121 132 114 109 91 90 85 63 99 120 0.801097
700 122 102 107 119 105 121 132 114 109 92 91 85 64 99 119 1.1443
840 121 101 107 119 105 121 132 113 108 92 90 85 63 98 119 1.48028
652 122 102 107 119 104 120 132 113 109 91 90 84 63 98 120 1.82159
569 122 101 107 119 105 121 132 114 109 92 90 85 64 99 119 2.16353
712 123 101 107 119 105 121 132 114 109 92 90 85 63 98 120 2.48931
838 122 101 107 120 105 121 131 114 109 91 90 84 63 99 120 2.87682
2083 122 103 106 119 104 122 131 114 109 92 90 85 63 99 119 3.28413
499 122 101 107 119 105 120 133 114 109 92 90 85 64 99 120 3.61715
695 122 101 107 120 105 121 131 114 109 92 90 84 63 99 120 4.04253
677 121 101 106 118 104 120 132 113 108 90 90 84 63 98 120 4.34612
708 121 100 107 119 105 121 132 114 109 91 90 84 63 99 119 4.68546
578 122 101 107 120 105 122 132 114 109 92 90 85 64 99 120 5.03831
698 121 100 106 119 104 120 131 113 108 90 90 84 63 98 119 5.30732
753 121 101 107 119 105 121 131 114 109 91 89 84 63 98 119 5.66361
569 122 101 106 119 105 121 132 114 109 91 90 85 63 99 119 5.93817
825 121 101 106 119 105 120 131 113 109 92 90 84 62 98 120 6.36449
680 122 100 107 119 104 121 132 114 109 91 90 84 63 98 119 6.79666
644 122 101 107 119 105 120 132 113 109 91 90 84 63 98 120 7.15455
662 122 101 107 119 105 121 132 114 109 91 90 85 64 98 120 7.54575
1257 122 102 107 119 105 121 132 114 109 92 90 85 64 99 120 7.86201
672 122 101 107 120 105 121 132 113 109 92 90 85 63 99 119 8.21888
869 122 101 107 118 105 120 132 114 109 92 90 85 63 99 119 8.57305
1184 122 102 107 120 105 121 132 114 109 92 91 85 63 99 120 8.91111
715 122 102 107 119 105 121 132 113 109 91 90 84 63 99 119 9.16213
1346 121 101 107 119 104 120 131 113 108 91 90 84 63 98 119 9.51524
615 122 101 106 119 104 120 132 113 109 91 90 84 63 98 119 9.92277
817 122 101 107 119 106 120 132 114 109 92 90 84 64 99 120 10.2888
578 122 101 107 119 105 121 132 113 109 92 90 84 63 99 119 10.5566
671 122 101 107 119 105 121 131 114 109 92 90 85 63 99 120 10.7235
1271 123 102 107 120 106 121 133 114 109 92 90 85 64 99 120 11.0105
728 121 101 106 118 104 120 132 114 109 91 90 84 63 98 119 11.4207
1163 121 102 107 119 105 121 132 114 109 91 90 85 63 99 120 11.7378
653 121 101 107 119 105 121 132 114 109 91 90 85 63 98 120 12.1717
899 122 102 107 119 105 121 132 114 110 92 90 85 63 99 120 12.4404
701 122 101 107 119 105 121 132 114 110 92 90 86 63 99 120 12.7914
677 121 101 106 118 105 121 132 114 109 91 90 85 64 99 120 13.1745
669 122 101 107 119 104 121 132 114 109 91 90 85 64 98 120 13.4401
1428 151 131 135 147 133 149 160 143 140 119 119 114 93 129 149 13.7913
644 121 101 106 118 105 121 132 114 110 92 89 84 63 98 119 14.0696
691 122 101 107 119 105 121 132 114 110 92 90 85 63 99 119 14.3468
1623 122 102 107 119 104 121 132 114 109 92 90 85 63 99 120 14.6755
1068 121 101 107 119 105 121 132 114 109 92 90 84 64 99 119 14.9423
694 122 101 107 119 104 121 132 114 109 92 90 85 63 98 119 15.291
653 124 102 109 121 106 123 134 116 111 93 92 86 65 100 121 15.5698
1206 122 102 107 119 105 121 132 114 110 92 90 85 64 99 120 15.8464
725 122 101 107 119 104 121 132 114 109 92 90 85 64 99 119 16.1761
547 122 101 107 119 105 121 132 114 109 91 90 85 63 98 120 16.4438
588 122 101 108 119 106 121 133 114 110 92 91 85 64 99 120 16.8025
690 121 101 107 120 104 121 132 114 110 91 90 85 64 99 120 17.1661
659 122 101 107 120 105 121 132 114 109 92 91 84 64 99 119 17.4443
849 122 101 107 119 105 121 132 114 109 91 90 85 63 99 119 17.7948
616 121 101 107 119 105 121 132 114 110 91 91 85 63 98 120 18.0714
766 122 101 107 119 105 122 132 114 110 91 90 85 63 99 120 18.4281
702 122 101 107 120 105 121 132 115 110 92 91 85 63 100 120 18.6569
1261 121 101 107 119 105 120 132 115 110 92 91 85 63 99 120 18.9292
767 122 101 107 119 104 121 132 114 109 91 90 85 63 98 119 19.2825
850 122 102 107 119 105 121 132 114 109 92 90 85 63 99 120 19.6735
754 121 101 106 119 104 121 131 115 109 92 90 85 63 98 120 19.9403
992 122 101 107 119 106 121 132 115 110 91 90 85 63 99 119 20.2938
706 122 101 107 119 106 121 132 114 109 91 90 86 64 98 120 20.5644
709 123 102 107 120 106 121 132 115 110 92 91 85 63 99 120 20.9287
828 120 101 106 119 104 120 131 114 109 92 90 84 64 98 119 21.2894
749 121 100 106 118 105 120 131 113 109 91 90 84 63 98 120 21.6718
1176 122 102 107 119 105 121 132 114 110 92 90 84 64 99 120 22.0286
662 122 101 107 119 105 121 132 113 109 91 90 85 63 98 119 22.3807
