ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
137 123 456 107 120 105 122 133 114 110 92 90 85 64 99 120 0.547607
137 122 479 107 119 104 121 132 113 109 91 89 85 63 99 119 0.903689
137 123 473 107 120 105 120 131 113 109 91 91 84 64 100 120 1.30028
159 143 661 127 140 124 141 151 135 130 112 111 106 84 120 140 1.6598
137 122 474 106 117 104 121 131 112 107 92 89 84 63 98 119 1.9308
137 122 466 106 118 105 120 131 113 109 91 90 84 63 98 119 2.20712
136 122 458 106 118 104 120 131 115 108 90 90 84 63 98 119 2.37575
137 122 441 106 119 104 121 131 113 108 91 90 84 63 99 119 2.79602
141 122 467 108 119 105 122 132 115 109 95 90 86 63 100 120 3.15439
137 122 470 106 119 104 122 132 113 108 91 90 84 63 98 119 3.54435
163 148 699 132 143 129 145 156 139 135 117 116 111 89 125 145 3.90084
137 122 454 106 119 105 121 131 113 109 91 90 84 63 98 120 4.29471
138 123 453 107 120 105 121 132 114 109 91 90 85 64 99 120 4.66131
137 122 455 107 120 105 121 132 114 109 92 91 85 64 99 120 5.0001
137 122 466 106 118 105 119 131 114 108 92 89 84 63 98 120 5.30585
137 122 472 106 119 104 121 131 114 108 92 90 84 63 98 119 5.67925
150 135 579 119 132 117 134 144 125 121 102 102 97 75 112 132 6.04572
137 122 453 106 119 104 121 131 113 108 91 90 84 63 98 119 6.41317
137 122 476 107 118 105 120 131 111 108 92 90 84 63 98 120 6.79541
138 123 459 107 119 106 122 132 114 110 92 91 85 64 99 121 7.12158
135 121 470 105 117 104 120 131 113 106 89 89 83 62 97 118 7.55555
138 122 453 107 119 105 121 132 113 109 93 90 84 63 99 120 7.92181
137 122 481 107 119 105 121 131 114 109 91 90 84 63 98 119 8.28349
135 121 468 107 116 103 120 130 113 108 90 89 83 63 98 120 8.67087
137 122 472 106 119 105 121 132 113 108 91 89 84 63 98 120 8.9452
138 122 450 106 119 106 121 131 116 109 91 91 85 63 99 120 9.30331
137 122 474 107 119 105 121 131 113 108 91 90 84 63 99 120 9.66317
137 122 458 107 119 105 120 131 115 109 91 90 84 63 99 120 9.94318
139 124 485 108 120 106 123 133 115 110 93 92 87 65 100 121 10.2295
139 124 450 107 118 106 122 132 114 109 92 91 84 64 99 120 10.4359
138 123 459 107 119 105 121 132 114 109 92 90 85 64 98 120 10.7911
151 135 575 119 131 117 134 144 126 121 104 103 97 75 112 132 11.0723
137 122 459 106 119 104 120 132 113 108 91 90 84 63 98 119 11.4274
137 122 474 106 117 105 120 131 112 108 91 90 85 63 99 120 11.7886
137 123 476 107 119 105 122 132 114 109 92 91 85 64 99 120 12.0715
139 123 472 108 120 106 123 133 114 110 94 91 86 64 100 120 12.4273
137 122 469 106 119 104 120 131 114 108 91 90 84 63 98 119 12.7887
151 136 569 119 132 117 134 144 127 122 103 103 98 75 112 132 13.0652
137 122 467 106 119 104 120 131 113 109 91 89 83 62 98 119 13.4225
137 121 464 106 118 104 119 131 112 108 93 90 84 63 99 119 13.7797
139 124 483 108 121 106 122 133 115 110 93 91 86 65 100 121 14.1688
148 134 554 116 129 115 131 142 123 120 103 101 95 74 110 131 14.4953
137 122 465 107 119 105 121 131 114 108 92 90 84 63 98 119 14.9546
138 122 464 107 119 104 122 132 116 109 92 91 84 64 100 121 15.3085
137 122 465 107 119 104 120 132 114 108 91 89 85 62 98 119 15.6686
139 123 461 107 120 105 123 132 116 109 92 91 85 64 100 121 15.9483
137 122 471 106 117 104 121 131 114 107 91 90 84 63 98 120 16.3092
137 122 447 106 118 104 121 131 114 108 92 90 85 63 98 120 16.6674
139 122 474 108 119 106 120 132 113 109 93 90 86 63 100 120 16.9461
139 124 479 108 121 106 122 133 115 111 93 91 86 65 101 121 17.2994
136 121 460 106 117 103 118 131 112 107 90 88 82 62 97 119 17.6521
138 123 477 107 120 105 121 133 114 110 92 91 85 63 99 120 18.0071
138 122 459 107 118 105 121 131 111 108 93 90 84 63 99 120 18.3014
138 122 470 108 120 106 122 132 115 110 93 91 85 64 100 120 18.5096
138 121 474 107 119 105 121 131 112 109 93 90 84 63 99 120 18.917
137 122 462 106 119 105 121 131 113 108 92 90 84 63 99 119 19.1955
147 133 578 116 129 115 132 142 121 119 102 101 95 74 110 129 19.5509
136 122 460 107 119 104 121 131 113 109 92 90 85 63 99 119 19.9124
137 123 469 107 118 105 121 132 111 109 91 90 86 63 100 119 20.2922
138 122 461 106 119 105 121 132 114 109 92 90 85 63 99 119 20.5685
137 121 478 106 118 105 119 132 113 108 92 90 84 64 99 119 20.9237
138 123 467 107 120 105 122 132 114 109 93 91 86 64 100 120 21.2879
161 147 692 130 143 128 144 154 137 133 115 115 109 87 124 143 21.5678
137 121 471 106 119 104 121 131 113 109 92 90 85 63 99 119 21.9234
137 122 468 107 119 104 121 132 113 108 91 89 84 62 98 119 22.2749
137 122 475 107 119 104 121 132 113 108 91 90 84 63 98 119 22.6307
138 122 456 106 119 104 120 131 113 108 92 90 84 63 98 120 23.0482
138 123 470 107 120 105 122 132 114 109 92 91 85 64 99 120 23.4045
137 122 467 107 119 105 122 132 114 109 92 90 85 63 99 119 23.7921
137 122 457 107 118 104 121 131 113 108 91 90 85 63 99 119 24.0692
136 122 469 106 118 104 121 131 114 108 91 90 84 63 98 119 24.424
138 122 472 106 119 104 121 132 114 108 91 90 85 63 99 119 24.7771
137 122 460 107 119 105 121 131 114 109 91 90 84 63 99 120 25.0662
138 122 478 107 120 105 121 132 114 109 92 91 85 63 99 120 25.4344
159 144 677 127 140 125 142 152 135 131 112 111 105 84 120 141 25.795
138 122 467 106 119 105 121 131 114 109 92 90 85 63 99 119 26.1948
136 121 465 105 117 104 119 130 112 107 92 89 84 62 97 119 26.3621
138 123 482 108 119 105 122 133 114 109 92 91 85 64 99 120 26.6158
137 122 482 106 119 104 121 131 113 108 92 90 84 62 98 120 27.0429
137 122 448 106 119 105 120 131 113 108 91 90 84 63 98 119 27.3657
136 122 472 107 119 104 121 131 113 108 91 90 84 63 98 119 27.7929
151 135 584 120 133 117 134 144 127 122 104 102 98 76 113 133 28.1547
137 121 477 107 119 104 121 132 114 109 92 90 84 63 98 119 28.5456
135 121 481 105 118 104 120 130 112 107 89 89 83 62 97 118 28.9001
138 123 481 108 120 106 122 133 115 110 92 90 86 65 100 121 29.2537
136 122 464 106 118 103 120 131 114 108 91 90 84 63 98 119 29.6747
139 124 472 108 121 106 123 132 116 111 93 92 86 65 100 121 30.0244
139 123 484 107 120 106 122 132 114 109 93 90 85 64 99 119 30.3812
138 123 474 106 119 106 121 132 114 109 92 90 85 63 99 120 30.8049
137 122 464 107 120 105 122 132 114 109 92 90 84 64 98 119 31.1622
137 121 460 106 119 104 121 131 113 108 91 89 84 62 98 119 31.4819
137 122 465 106 119 104 120 131 113 108 91 89 85 63 98 119 31.8407
137 122 453 107 119 104 121 131 113 108 91 90 84 63 98 119 32.3019
138 123 461 108 120 105 122 133 115 110 93 92 86 65 100 120 32.6577
137 122 469 106 119 104 120 131 113 108 91 90 84 63 98 119 33.0461
139 123 484 107 120 106 122 133 115 110 93 91 85 64 99 121 33.4068
139 123 466 107 119 106 122 132 114 110 92 91 85 64 99 120 33.7945
136 122 445 107 119 104 121 132 114 109 92 90 85 63 99 119 34.0743
136 122 468 107 119 104 121 131 113 108 91 90 84 63 98 119 34.3045
138 123 465 107 120 105 122 132 114 109 93 91 85 64 99 120 34.4728
138 122 453 107 119 105 121 132 113 109 92 90 85 63 99 120 34.8356
138 123 457 108 120 106 122 132 115 110 92 91 85 64 99 120 35.3
137 123 451 107 119 105 121 132 113 109 92 90 85 63 99 120 35.6547
137 122 459 106 119 105 121 131 113 108 91 90 84 63 98 119 36.0418
138 123 465 108 120 107 121 133 115 110 92 91 86 64 99 121 36.3147
136 122 469 107 119 104 121 131 113 108 91 90 84 63 98 119 36.6665
137 122 466 106 119 104 120 131 113 108 91 90 84 63 98 120 36.9425
137 122 481 106 119 105 121 132 113 109 91 90 84 63 99 119 37.2976
137 122 471 106 119 105 120 131 113 109 91 90 84 63 98 119 37.6519
138 124 490 108 121 107 123 133 115 110 93 92 86 65 99 121 38.008
137 122 476 107 119 105 121 131 114 109 92 90 84 63 98 120 38.4233
138 122 471 106 119 105 121 131 113 109 92 90 84 64 98 119 38.7823
137 122 464 106 119 105 121 131 114 109 91 90 85 63 98 119 39.1748
139 124 472 108 120 106 123 133 115 110 93 91 85 65 100 121 39.5407
138 124 463 107 119 106 121 132 113 109 92 91 85 64 99 120 39.8148
137 122 480 107 119 105 121 132 113 109 91 90 84 63 98 120 40.1777
139 124 463 109 120 106 122 133 115 111 93 92 86 65 100 122 40.5329
158 144 648 128 140 125 142 152 135 131 111 112 106 85 120 140 40.9167
138 123 472 108 121 106 122 133 115 110 93 91 86 65 100 121 41.1939
151 135 602 119 132 118 133 144 126 122 103 102 98 76 112 132 41.551
137 122 470 106 119 105 120 132 113 108 91 90 84 63 98 119 41.9272
137 122 467 107 119 104 121 131 114 109 91 90 84 63 98 120 42.2159
137 123 453 106 119 105 121 132 113 108 91 90 84 63 98 119 42.3815
138 122 466 107 119 105 121 132 114 109 92 90 84 63 99 120 42.8301
138 122 460 106 119 104 121 132 114 109 91 90 85 63 99 120 43.1868
137 122 457 106 118 105 121 131 113 108 91 90 85 63 98 119 43.5486
136 122 461 106 118 104 118 130 113 108 89 90 84 63 98 120 43.9092
138 123 487 108 120 106 122 133 115 110 93 91 86 65 100 121 44.2931
138 124 478 108 120 106 122 133 115 110 93 92 86 64 100 121 44.5677
136 122 467 106 118 104 120 131 112 108 90 89 83 63 98 119 44.9215
137 123 477 107 120 105 123 132 114 110 92 90 86 64 100 120 45.2736
137 122 453 107 119 104 120 132 113 108 91 90 85 64 98 119 45.63
137 122 473 107 119 105 121 132 113 109 92 90 85 63 98 119 46.0489
137 123 461 107 119 105 121 132 114 109 92 90 85 63 99 119 46.4094
138 122 472 107 119 105 121 132 114 109 92 91 85 64 99 120 46.7931
137 123 478 107 119 105 121 132 113 109 92 90 84 63 98 120 47.0698
138 123 472 108 120 106 121 133 115 110 93 91 85 64 100 121 47.4265
137 123 470 107 120 106 122 132 114 110 92 91 85 63 99 120 47.7859
137 121 468 107 119 104 121 131 113 109 91 89 84 63 98 119 48.0651
138 124 477 108 121 106 122 133 115 110 93 92 86 65 100 121 48.4264
149 134 598 118 131 117 132 143 125 121 103 101 96 75 110 131 48.7885
158 144 684 127 140 125 141 152 135 130 112 111 106 85 120 141 49.1687
138 123 467 106 119 105 121 132 114 109 92 90 85 63 98 120 49.527
136 121 481 106 117 104 120 131 113 107 88 89 83 62 97 118 49.8855
138 123 471 108 120 106 122 132 114 110 92 91 86 64 100 121 50.226
136 123 464 107 119 104 121 132 113 109 92 90 84 63 99 120 50.3913
136 122 467 107 119 104 120 131 113 108 91 90 84 63 98 119 50.7452
137 122 454 107 119 105 121 131 114 109 92 89 85 63 99 119 51.1731
138 123 473 107 119 105 121 131 114 109 91 90 84 63 98 120 51.5279
137 122 453 107 118 105 121 132 114 108 91 90 84 63 98 119 51.8512
137 122 463 107 119 105 121 132 114 109 92 90 84 63 98 120 52.1797
138 123 479 107 120 105 122 133 114 109 92 91 85 63 99 120 52.5393
138 122 468 107 119 105 120 132 114 108 91 90 85 63 98 119 52.8601
137 123 458 107 119 105 121 132 114 109 91 90 84 64 98 120 53.1829
137 122 440 106 119 105 121 131 113 109 91 90 84 63 98 119 53.5366
137 123 477 106 119 105 121 132 113 109 92 91 85 63 99 120 53.9176
138 123 479 108 120 106 122 133 115 110 92 91 85 65 100 121 54.1937
138 123 468 108 120 106 122 133 115 110 93 92 86 65 99 121 54.5487
137 123 449 107 119 105 120 131 113 109 91 91 84 63 98 120 54.9003
138 122 447 107 119 105 121 132 114 109 92 90 85 63 99 119 55.2544
138 123 445 108 119 105 122 133 114 110 92 91 85 65 99 120 55.6733
137 122 467 107 118 105 121 132 113 109 91 90 85 63 98 119 56.031
137 122 467 106 118 105 120 132 113 109 91 90 84 63 98 120 56.4184
150 135 598 119 130 117 135 144 126 122 102 102 98 76 112 131 56.6946
137 122 458 106 119 105 121 132 113 109 91 90 84 63 98 120 57.0507
137 123 473 107 119 105 121 132 114 109 92 90 85 64 99 120 57.403
137 123 462 107 119 105 121 132 113 109 92 90 84 63 99 120 57.7922
139 125 485 109 121 107 123 133 115 111 93 92 86 65 100 122 58.0692
138 123 467 106 119 105 122 132 114 109 92 91 85 63 99 121 58.3033
139 123 458 107 120 106 122 132 115 110 93 91 85 64 99 121 58.5109
137 122 467 107 119 105 121 132 113 109 91 91 84 63 98 120 58.9159
135 120 459 105 116 103 119 130 110 106 90 89 83 61 97 118 59.1953
