ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
1166 122 627 107 120 105 122 132 115 110 92 90 86 64 99 120 0.485385
1152 121 499 106 119 104 120 131 113 108 91 89 84 63 98 118 0.841256
834 122 458 106 119 104 121 132 113 109 91 89 85 63 98 119 1.18722
1098 121 497 107 119 104 121 132 114 109 92 90 84 63 99 119 1.60272
2004 121 562 107 120 104 121 131 113 109 91 89 84 63 99 119 1.87967
1386 121 479 107 119 104 120 132 114 108 91 90 84 63 98 119 2.23375
980 122 698 107 120 104 122 132 114 109 92 90 85 63 99 119 2.46831
1139 122 1094 106 120 105 121 132 113 108 92 90 85 63 99 120 2.73755
770 122 486 107 119 104 120 132 114 108 91 90 85 63 99 119 3.08795
1395 122 503 107 119 104 120 131 114 109 91 90 85 63 98 119 3.43839
1742 122 467 107 119 104 121 131 113 108 92 90 85 63 99 119 3.85876
957 121 444 107 119 104 121 131 113 108 91 90 85 62 98 119 4.21503
2199 122 1184 107 120 105 121 131 114 108 92 90 85 63 99 120 4.60226
1601 121 487 107 120 105 121 131 114 108 92 90 85 62 100 119 4.87929
1223 122 1055 106 120 105 121 132 114 109 92 90 85 63 99 119 5.23229
1125 122 2030 107 121 105 122 132 114 109 92 91 85 63 99 119 5.58369
1485 122 443 106 119 104 121 132 114 108 92 90 85 63 99 119 5.94015
1095 122 511 107 120 105 121 132 114 108 92 90 85 63 100 120 6.36051
1475 123 607 108 121 106 122 133 115 109 93 91 86 65 100 120 6.71373
1420 122 675 107 121 105 122 132 114 109 92 90 85 63 100 120 7.06795
1847 121 521 107 120 104 120 131 114 109 91 89 85 63 99 119 7.49009
849 122 706 106 120 104 121 132 113 109 91 90 85 63 99 119 7.84788
1491 121 604 107 120 104 121 131 113 108 92 90 85 63 99 119 8.1796
1550 122 957 106 120 104 121 131 114 108 91 90 84 62 98 119 8.58827
787 122 468 107 120 105 122 132 114 109 92 90 86 63 99 120 8.97903
918 122 481 107 120 105 121 132 114 109 92 90 85 63 99 119 9.25599
940 122 605 106 120 105 121 131 113 108 91 90 85 63 99 119 9.60917
1198 122 579 107 120 105 121 132 114 109 92 90 85 63 99 120 9.96268
715 122 493 106 121 105 120 132 114 109 92 90 85 63 99 119 10.394
1772 122 611 106 120 105 122 132 114 109 92 90 86 63 99 120 10.5595
2420 123 716 108 121 106 122 133 115 110 93 91 87 64 100 120 10.9795
1022 122 585 107 120 105 122 132 114 109 92 90 85 63 99 120 11.2961
908 122 581 107 119 105 121 131 113 108 92 90 85 63 99 119 11.6474
1573 123 557 107 121 105 122 133 115 109 92 90 86 64 100 120 12.1279
851 122 574 107 120 105 121 132 115 109 91 90 85 63 99 120 12.4949
1059 121 570 106 119 105 121 131 114 108 91 89 85 63 98 119 12.8549
1487 122 472 107 118 104 121 131 113 108 92 90 85 63 98 120 13.2107
1004 122 508 106 119 105 121 132 114 109 92 90 85 63 99 119 13.5693
1332 123 845 107 121 106 122 132 115 109 92 90 86 64 100 120 13.9867
1025 121 592 107 119 105 121 131 114 109 91 90 84 63 98 120 14.3496
1142 121 477 107 119 105 120 132 114 109 92 90 85 63 98 119 14.7283
1446 121 719 107 120 105 121 132 114 109 92 90 85 63 99 119 15.0069
1323 121 591 106 120 105 121 131 114 109 91 89 85 63 99 119 15.3597
1098 122 582 107 120 105 121 132 115 109 92 90 85 63 99 119 15.7132
1365 122 503 107 120 106 122 132 115 110 93 91 86 64 100 120 16.1206
892 123 728 108 121 106 122 133 115 110 92 91 87 64 100 121 16.4782
1207 122 602 108 120 105 122 132 114 110 91 90 85 63 99 120 16.7533
879 122 467 107 120 105 120 132 114 109 92 90 85 63 99 119 17.1149
1027 122 492 106 119 104 121 132 114 109 92 90 85 63 99 119 17.4722
1129 122 619 107 119 104 121 132 113 109 92 89 84 63 99 119 17.7922
1342 122 660 107 120 105 121 132 114 109 92 90 85 63 99 120 18.1187
1679 122 481 107 120 104 121 131 114 109 92 90 85 63 99 119 18.4009
1450 122 477 107 120 105 121 132 114 109 91 90 85 63 98 119 18.5675
1031 123 583 108 120 106 122 132 115 110 92 91 86 64 100 120 18.9791
990 122 473 106 118 105 120 131 113 108 91 90 84 62 98 119 19.2532
1205 122 467 107 120 105 121 132 115 109 92 90 85 63 100 119 19.6062
1073 121 599 107 120 104 121 132 114 109 92 90 85 63 99 119 19.8858
1320 122 678 107 119 104 121 132 114 109 91 90 85 63 99 119 20.2428
1068 121 518 107 120 104 120 132 114 109 91 89 85 63 99 119 20.5963
1790 121 475 107 119 105 121 131 114 108 92 90 85 63 99 119 20.9186
1267 122 477 107 120 105 122 133 115 110 92 91 86 64 100 120 21.2779
1558 121 573 106 119 104 121 131 113 109 91 89 85 63 99 119 21.733
1207 122 1083 107 120 105 121 132 114 109 92 90 85 63 99 119 22.0873
910 122 580 107 119 105 121 132 114 109 91 90 85 63 99 119 22.4426
1368 120 748 106 119 104 121 131 113 108 91 90 84 63 98 119 22.8585
1169 121 788 107 119 104 122 131 114 110 92 90 85 63 99 119 23.2157
990 122 521 108 120 105 122 133 115 110 93 91 86 64 100 121 23.6053
1139 122 685 107 120 104 121 132 114 109 91 90 85 64 99 119 23.8817
739 122 700 107 120 105 121 131 114 109 92 90 85 63 99 119 24.2391
1184 122 837 107 121 105 122 132 115 109 92 90 85 63 99 120 24.5979
