ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
1102 122 462 107 121 106 122 133 115 110 93 91 86 64 100 121 0.538401
784 123 479 108 121 106 123 133 116 109 93 91 86 64 100 121 0.892732
962 122 508 107 120 104 121 132 114 109 92 90 85 64 99 120 1.24453
945 124 494 108 121 106 122 133 116 110 93 91 86 65 100 121 1.66316
1334 122 536 106 119 104 120 131 114 108 91 90 84 63 98 119 1.97846
988 122 467 106 119 105 122 131 114 109 92 90 85 63 99 119 2.30199
811 122 480 107 120 105 121 131 114 108 91 90 84 63 99 120 2.64686
697 122 610 107 120 105 121 132 114 109 92 90 85 64 99 120 2.99343
851 122 580 107 119 105 121 132 113 109 91 90 84 63 99 119 3.41664
921 123 484 107 119 105 121 132 114 109 91 90 85 63 99 120 3.68467
852 122 902 107 120 105 120 132 113 109 91 90 85 63 98 120 3.96088
1053 122 514 107 119 104 121 132 114 109 92 90 85 63 99 119 4.12222
1226 122 480 107 119 104 120 132 114 108 91 90 84 63 98 119 4.53358
1191 122 1923 106 120 104 122 132 114 109 92 90 85 63 99 119 4.80959
1020 122 621 106 119 104 121 131 114 108 91 90 84 63 98 119 5.1633
817 122 629 108 119 105 121 132 114 109 92 90 85 64 99 120 5.43983
1119 124 474 108 121 106 122 133 115 110 93 92 86 64 100 121 5.80178
1488 122 982 107 120 105 122 132 113 109 92 91 85 63 98 120 6.16773
1187 122 742 107 119 105 121 132 113 109 92 90 85 63 99 120 6.49233
1694 122 582 107 120 105 121 132 114 108 91 90 84 63 99 119 6.92072
1400 122 472 107 120 104 121 132 114 109 91 90 84 63 99 119 7.28157
702 122 444 106 119 105 121 132 114 109 91 90 85 63 99 120 7.67091
700 122 511 108 120 105 121 133 114 109 92 90 85 64 99 120 8.02685
989 121 450 107 119 104 121 131 113 108 91 90 85 63 98 119 8.42647
1096 122 484 106 119 104 121 132 114 108 91 90 85 63 99 119 22.8893
1284 122 475 106 119 104 121 132 113 108 91 90 85 64 98 120 23.7869
983 122 487 107 119 105 121 132 114 109 91 90 84 63 99 120 24.1536
1033 122 525 106 119 105 121 132 113 109 91 90 85 63 98 119 24.5435
896 121 518 106 119 104 121 131 113 109 91 89 84 62 98 119 24.8203
977 122 602 106 119 105 121 132 114 109 91 90 85 63 98 119 25.1751
1007 122 502 107 119 105 121 132 113 109 91 90 84 63 98 120 25.5355
951 121 618 107 119 104 120 131 113 108 91 89 85 63 98 119 25.8565
2257 121 475 106 120 104 121 131 114 109 91 89 85 64 99 119 26.1834
856 121 485 106 119 104 120 131 114 108 91 90 84 63 98 119 26.535
694 122 465 106 119 105 121 132 114 109 92 90 84 62 99 119 26.8456
1388 121 478 107 120 105 121 132 114 109 92 89 85 63 99 119 27.1907
1269 122 480 107 119 105 121 132 113 109 91 90 85 63 99 119 27.5395
964 122 441 106 119 104 120 132 113 109 91 90 85 63 98 119 27.8054
728 121 547 107 119 105 121 132 114 109 91 90 85 63 99 119 28.0356
1090 122 902 106 120 105 121 132 114 109 91 89 84 63 98 119 28.2387
840 122 487 107 119 105 121 132 114 109 91 89 85 63 99 119 28.6595
1856 122 476 106 119 105 121 132 113 108 91 90 84 63 98 119 28.9706
851 122 646 107 119 105 121 132 114 109 91 90 85 63 98 120 29.3186
896 122 457 107 119 104 121 132 114 109 91 90 84 64 99 120 29.6666
1267 122 479 107 119 105 121 132 114 110 92 90 85 64 100 120 29.9409
754 122 472 107 119 105 121 132 114 109 92 91 85 64 99 120 30.2951
1577 121 770 106 120 104 121 131 114 109 91 89 84 63 98 119 30.6496
684 122 1135 107 120 105 121 132 114 109 91 91 85 63 99 119 31.0036
1081 122 844 107 121 105 121 132 114 110 91 90 85 63 99 119 31.4181
874 122 484 107 119 105 121 132 114 109 92 90 85 63 99 120 31.6936
834 123 574 107 120 105 121 132 114 109 92 90 85 64 99 119 32.0503
757 122 489 107 119 105 121 132 114 110 92 91 85 64 99 120 32.4067
1231 122 502 107 120 104 121 132 113 108 91 90 84 63 99 119 32.7912
978 122 487 106 120 105 121 132 114 109 91 90 85 63 99 120 33.0675
1085 122 474 107 119 105 121 132 114 109 92 90 85 63 98 119 33.4215
864 123 638 108 121 107 122 133 116 112 94 92 87 65 100 121 33.773
1249 122 613 107 121 106 122 132 114 110 91 91 85 63 99 120 34.1308
990 122 460 107 120 105 121 132 114 110 92 91 85 64 99 120 34.5514
1512 121 601 107 119 104 121 131 114 108 92 90 85 63 99 119 34.9138
823 121 472 107 119 105 121 131 114 109 91 90 86 63 99 120 35.1876
846 122 456 107 119 104 121 131 114 109 91 90 85 63 99 119 35.5383
1388 122 668 106 120 105 121 132 114 109 92 90 85 63 98 119 35.8605
875 121 1098 107 120 105 121 132 114 110 91 90 85 64 99 119 36.1293
910 121 508 107 120 105 121 132 114 109 91 90 85 63 99 120 36.5375
864 122 629 107 119 105 121 132 113 109 92 90 85 63 99 119 36.8516
1057 121 1509 107 120 105 121 132 114 110 91 90 85 63 99 120 37.1964
931 122 498 107 120 105 121 132 114 109 91 90 85 64 99 119 37.5427
