ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
665 123 103 107 119 106 122 133 115 110 92 91 86 64 99 121 0.481286
852 122 102 107 119 105 120 132 114 109 91 90 85 63 98 119 0.937413
848 122 102 107 119 105 121 132 113 109 91 90 85 63 99 120 1.26205
550 122 102 106 119 105 121 132 114 108 92 90 85 63 99 119 1.69233
715 122 101 106 118 105 121 132 113 109 91 90 84 63 98 119 2.05188
605 122 102 108 119 105 121 132 114 109 92 90 85 64 99 120 2.44267
687 122 102 106 120 105 121 132 113 109 92 90 85 63 99 120 2.80445
652 122 102 107 119 105 121 132 113 109 91 90 85 63 98 119 3.08519
1433 122 102 107 119 104 121 132 114 109 91 90 85 63 98 120 3.31879
1158 122 103 107 119 105 121 132 113 109 91 90 84 63 98 119 3.52751
684 122 102 107 119 105 121 131 114 109 91 90 85 63 99 119 3.94008
688 122 102 108 120 105 122 132 114 109 91 91 85 64 98 120 4.30111
722 122 102 107 118 104 120 131 113 108 91 89 84 63 98 119 4.68665
930 122 102 107 119 105 120 131 114 109 91 90 84 63 98 119 4.96464
707 122 101 106 118 105 121 131 113 108 91 90 85 63 98 119 5.32372
570 122 102 107 118 105 121 132 113 108 92 90 85 63 98 120 5.68424
856 122 102 106 119 105 121 132 113 109 91 91 85 64 99 119 5.96784
665 122 102 107 119 105 121 132 114 110 91 90 84 63 99 120 6.32646
644 122 102 107 119 105 121 132 114 109 92 90 85 63 99 119 6.68547
666 123 102 107 119 105 121 132 113 109 91 90 84 63 98 119 6.94994
696 122 103 108 120 106 121 132 114 110 92 90 85 64 99 120 7.30714
1427 122 103 106 119 105 121 132 114 109 91 89 85 64 99 119 7.62678
687 122 103 107 119 105 121 132 114 109 92 91 85 63 99 120 7.94951
653 121 101 106 118 104 121 131 113 108 91 90 84 63 98 119 8.30961
826 122 102 107 119 105 121 132 114 109 92 91 85 63 98 120 8.58885
980 122 103 107 119 105 121 132 113 109 92 90 85 63 98 120 8.95243
704 122 102 107 119 105 121 133 113 109 91 91 85 65 99 120 9.31504
648 123 102 108 120 106 122 133 114 110 92 91 86 65 100 121 9.67657
680 123 102 107 119 105 121 132 113 109 91 90 85 63 99 120 10.0663
855 122 102 107 119 105 121 132 114 109 92 90 85 64 99 120 10.429
579 122 102 107 119 105 121 132 113 109 92 90 85 63 99 119 10.8186
697 121 102 107 119 105 121 131 113 109 90 89 84 63 98 119 11.1841
576 122 102 107 119 105 121 132 114 110 92 90 85 63 98 120 11.358
1130 122 102 107 119 105 122 132 115 110 92 90 85 63 99 119 11.6487
577 121 102 106 119 105 121 131 114 109 91 90 85 63 99 119 12.0685
800 122 102 107 119 105 121 132 114 110 92 90 85 63 98 121 12.4259
519 122 102 107 119 105 121 132 114 110 91 90 85 64 99 119 12.8128
643 122 102 106 119 105 121 132 114 109 91 90 85 63 98 119 13.1724
566 123 103 109 121 106 123 134 116 111 93 92 87 65 100 121 13.5626
968 123 104 108 120 106 122 134 115 111 92 91 86 64 100 120 13.9236
565 122 102 107 119 105 121 132 115 110 91 91 85 63 98 120 14.3054
687 122 102 107 119 105 121 132 114 110 92 90 85 63 99 119 14.5726
679 122 102 108 119 105 121 132 115 109 92 90 85 63 100 120 14.9233
668 121 102 107 119 104 121 132 114 109 92 90 84 63 98 119 15.2695
537 123 103 107 120 106 122 133 115 110 93 91 85 64 100 120 15.6843
668 121 102 107 118 105 121 132 114 109 91 90 85 63 99 120 15.9517
537 122 102 107 119 106 121 132 114 110 92 91 85 64 99 120 16.289
762 121 102 107 119 104 121 132 114 109 92 90 85 63 99 120 16.6778
765 122 102 107 119 105 121 132 114 110 91 90 84 63 99 119 16.9567
622 122 102 106 119 105 121 132 114 109 92 90 85 63 98 120 17.3155
611 122 102 106 118 105 121 132 114 110 91 90 84 63 99 119 17.6709
597 122 102 107 118 105 121 132 114 110 91 91 85 63 98 120 18.0643
821 121 102 107 118 105 121 132 114 109 91 90 84 63 98 119 18.3863
669 122 102 106 119 105 120 132 114 109 90 90 84 63 98 119 18.8285
642 121 102 107 119 105 121 132 114 110 92 90 85 63 99 119 19.1915
649 121 101 106 119 105 121 132 114 109 91 90 84 64 98 119 19.3575
822 121 101 107 118 105 120 132 114 109 92 90 85 64 99 119 19.6444
666 122 101 107 119 105 120 132 114 109 91 90 85 63 99 119 20.0624
685 122 102 107 119 105 121 132 114 110 92 90 85 64 99 119 20.4204
559 122 102 107 119 105 121 132 114 109 91 90 84 63 98 120 20.7786
2775 122 104 107 120 105 121 132 114 109 92 90 85 64 99 120 21.1964
669 122 102 106 119 105 121 132 114 109 91 90 85 64 99 119 21.5612
557 123 104 109 120 106 123 134 116 111 93 92 87 65 100 121 21.839
554 122 102 107 119 105 121 132 114 110 92 90 85 64 99 120 22.2002
689 122 102 107 119 105 121 132 114 109 92 90 85 63 98 120 22.5598
662 122 102 107 119 105 121 132 114 109 92 91 84 63 99 120 22.8381
707 122 102 107 119 105 121 132 114 110 91 90 85 63 99 119 23.1912
584 121 102 107 118 105 121 132 114 110 91 90 85 63 98 120 23.5473
1125 122 102 107 119 105 120 131 114 110 91 91 84 63 99 120 23.9394
686 122 102 107 119 106 121 132 115 110 91 91 85 64 99 120 24.2961
666 122 102 108 119 105 121 132 114 110 92 91 85 64 99 120 24.6723
567 121 102 108 119 105 121 132 114 110 92 90 85 64 99 120 25.0634
829 122 102 106 119 105 121 131 114 110 91 90 84 63 99 120 25.4272
669 122 102 107 118 105 121 132 114 110 91 90 85 63 99 120 25.7196
657 122 102 107 119 105 120 132 114 109 91 90 85 64 98 119 26.0491
805 122 102 107 119 105 121 131 114 109 91 90 85 63 99 119 26.4435
531 122 101 107 119 105 121 132 114 109 91 90 85 63 98 120 26.7981
666 122 102 107 119 105 121 132 115 109 92 90 85 64 99 119 27.1914
859 123 102 107 119 105 121 133 114 110 91 90 86 64 99 120 27.3569
896 122 102 107 119 106 120 132 113 109 92 89 84 63 98 119 27.6505
1104 122 102 107 119 105 121 132 114 110 92 91 85 64 98 120 28.0686
669 122 102 107 119 105 120 132 113 109 91 90 85 64 99 119 28.4244
755 121 101 107 118 105 120 131 114 109 92 90 84 63 98 119 28.81
551 122 103 107 119 105 121 132 114 110 92 91 85 64 99 120 29.0915
