ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
321 122 422 108 120 106 122 132 115 110 92 91 85 64 99 121 0.444595
320 121 433 106 119 104 120 131 113 109 91 90 84 63 98 120 0.714697
307 122 412 107 118 105 120 132 114 109 92 90 84 64 99 120 1.06289
344 120 576 106 118 103 120 130 113 109 91 89 84 62 98 119 1.40895
324 121 419 107 119 104 121 132 114 108 91 90 85 63 99 119 1.824
308 122 521 107 119 104 121 131 114 109 91 90 84 63 99 119 2.09101
305 121 417 106 119 104 120 131 113 109 91 90 84 63 98 119 2.44123
322 122 405 107 120 105 121 131 114 109 92 91 85 63 100 120 2.79296
320 121 439 106 119 104 121 131 113 108 91 90 84 62 98 119 3.20071
303 121 423 107 119 104 121 131 114 109 91 89 85 63 98 119 3.48327
322 122 526 107 118 105 121 132 114 109 92 91 85 63 99 120 3.84467
334 122 436 107 119 106 121 132 113 109 91 90 85 64 99 120 4.1993
301 123 417 107 119 105 121 132 114 109 92 90 85 64 99 120 4.36529
325 122 424 107 120 105 121 132 114 109 92 90 85 63 99 120 4.654
315 123 435 106 119 104 121 131 113 108 91 90 84 62 98 119 5.08068
325 122 640 107 120 104 120 132 113 109 91 90 85 64 98 119 5.44018
319 122 398 106 119 105 120 132 114 108 91 90 85 63 98 120 5.82873
335 123 431 107 120 105 122 132 115 109 92 91 86 64 100 120 6.10604
303 121 522 107 120 105 120 132 114 109 92 90 85 63 98 119 6.45998
328 122 793 106 120 105 121 131 113 109 91 89 85 63 98 120 6.89214
324 121 441 106 119 104 121 130 113 109 91 89 84 63 98 119 7.33302
308 122 769 106 119 104 121 131 113 108 91 90 84 62 97 119 7.68735
315 121 394 106 119 105 121 131 113 109 91 90 85 63 99 119 8.11365
332 122 426 107 120 105 121 132 114 109 92 90 84 63 99 120 8.34798
314 122 895 107 120 105 121 133 114 109 92 90 84 63 99 120 8.70725
315 122 395 107 119 105 121 132 114 109 92 90 85 63 99 120 9.0655
318 122 748 107 120 105 121 132 114 109 92 90 85 64 99 120 9.45237
328 122 418 107 119 105 121 132 114 109 91 90 85 63 99 119 9.72506
306 122 436 108 120 106 122 133 114 109 92 91 86 64 99 120 10.0837
333 121 541 107 119 104 120 131 113 108 91 90 84 63 98 119 10.4412
324 122 401 107 120 105 121 132 113 109 92 90 85 63 99 120 10.8303
321 121 882 107 120 105 121 132 114 109 92 90 85 64 99 119 11.194
305 121 385 107 118 104 120 131 114 109 91 90 84 63 98 119 11.4719
317 121 415 106 118 104 120 131 114 109 91 90 85 63 98 119 11.8249
324 121 531 107 119 105 121 132 115 110 92 90 85 64 99 119 12.101
328 121 878 107 120 104 121 131 114 110 92 90 84 63 99 119 12.3371
325 121 463 107 120 105 122 132 115 110 91 90 85 63 99 119 12.5463
335 121 451 107 120 106 122 133 114 110 91 90 85 64 100 120 12.9062
297 121 411 107 119 105 121 132 114 110 92 90 85 63 99 120 13.3262
323 121 412 107 119 105 121 132 113 109 91 90 84 63 98 120 13.6052
333 121 543 107 119 104 121 132 114 110 91 90 85 64 99 119 13.9619
312 122 525 107 119 105 121 132 114 110 92 90 85 64 99 120 14.2801
311 121 756 107 119 105 121 132 115 110 92 90 85 64 99 120 14.7075
319 121 432 107 119 105 121 132 114 109 91 89 85 63 99 119 15.0631
313 121 686 107 119 105 121 132 114 109 92 90 85 63 99 120 15.4498
315 122 422 107 118 105 121 132 114 109 92 90 85 63 99 119 15.729
307 121 416 107 119 105 121 132 114 110 92 91 85 63 99 120 16.0851
305 122 635 107 119 105 121 132 114 110 92 90 85 63 99 120 16.4426
323 121 431 107 119 105 122 132 114 110 91 90 85 64 99 120 16.829
327 121 407 107 118 104 120 131 114 109 92 90 85 63 98 120 17.1843
336 122 413 107 119 104 121 132 114 109 91 90 84 63 98 119 17.538
343 122 642 107 120 105 121 132 114 110 92 91 85 63 99 120 17.957
331 121 520 108 119 105 121 132 114 110 91 91 84 63 99 119 18.3176
325 122 411 107 120 105 122 132 115 109 92 91 85 63 99 119 18.7012
323 122 413 108 120 106 122 132 115 111 92 91 86 64 100 120 18.9762
324 121 510 106 119 105 121 132 114 109 92 90 84 63 98 119 19.3315
322 122 1237 107 120 105 121 132 114 109 92 90 84 63 99 120 19.6826
338 121 501 107 119 104 121 132 114 110 91 90 84 63 98 119 20.0759
329 122 388 107 119 105 121 132 114 109 92 90 85 63 99 120 20.3075
330 122 544 107 119 105 121 132 114 109 92 91 85 63 99 120 20.5876
321 121 408 107 119 104 121 132 114 109 92 90 85 63 99 119 20.9468
324 121 417 107 119 105 121 132 114 110 91 91 85 63 99 120 21.2265
319 121 560 107 119 105 121 132 114 110 92 90 85 64 99 120 21.5846
315 121 1054 106 119 104 121 132 114 109 92 90 85 64 99 120 21.9448
317 122 403 107 120 104 121 132 115 109 92 90 85 63 99 119 22.2217
322 121 401 107 119 105 121 132 114 110 91 90 85 64 99 119 22.5809
321 123 433 108 120 106 122 133 115 111 92 91 86 64 100 121 22.9379
326 122 438 107 119 104 121 132 114 109 91 90 85 62 99 119 23.329
326 122 415 107 119 104 120 132 114 109 91 90 84 63 98 120 23.604
331 122 492 107 119 105 121 132 114 109 92 90 85 63 99 119 23.9595
334 123 436 108 120 106 122 134 115 111 92 91 86 64 100 120 24.3182
320 122 541 107 120 105 121 132 114 110 92 90 85 63 99 120 24.7005
323 122 406 107 119 105 121 131 114 109 91 91 84 63 99 119 24.9764
329 120 535 106 119 104 121 131 114 108 91 89 84 64 98 120 25.3279
336 121 522 107 119 105 121 131 115 109 92 90 85 63 99 119 25.604
343 121 581 107 119 105 120 131 115 110 92 90 85 64 99 120 25.9596
328 122 433 108 119 105 120 132 115 110 92 90 85 64 99 120 26.3103
326 123 400 108 121 106 122 133 115 110 92 91 86 64 100 120 26.7457
302 123 1114 107 119 105 121 132 114 110 92 91 85 64 99 120 27.102
311 122 448 107 119 105 121 132 114 109 92 90 85 63 99 119 27.4575
305 122 430 108 119 104 121 132 114 110 92 90 85 64 99 120 27.8229
314 122 424 107 119 105 121 132 114 109 91 91 85 64 99 120 28.1022
300 122 402 107 119 105 121 132 114 109 91 90 84 63 99 119 28.3377
298 122 417 108 119 105 121 132 114 109 92 91 85 64 99 120 28.5486
317 122 554 107 119 104 121 132 114 110 91 90 84 64 99 120 28.9063
320 122 480 108 119 105 121 132 114 110 92 91 85 64 99 120 29.3247
314 122 406 107 120 105 121 132 114 109 92 90 84 63 99 120 29.6038
323 122 414 107 119 106 121 132 114 110 91 91 85 63 98 120 29.9586
324 122 422 108 119 105 121 132 115 110 92 90 86 64 99 121 30.3109
335 122 552 107 119 105 121 132 114 109 91 90 85 63 99 120 30.6671
308 122 666 107 119 105 121 132 114 109 91 90 84 63 98 120 31.0809
317 122 658 108 120 106 122 132 114 110 91 90 85 64 99 120 31.4414
327 122 518 107 119 106 121 132 115 110 92 91 85 64 99 120 31.8243
313 121 646 107 119 105 121 132 114 109 91 90 85 64 99 120 32.1507
333 122 641 107 119 105 121 132 114 109 92 90 85 63 98 119 32.576
337 121 419 107 119 105 121 132 113 109 91 90 84 63 98 119 32.8976
310 121 544 107 119 104 121 131 114 109 91 90 84 63 98 120 33.2326
319 121 462 107 119 105 121 132 114 109 92 90 85 63 98 120 33.5822
319 122 504 107 119 105 121 132 115 110 91 90 85 63 99 120 33.9398
332 123 518 107 120 105 121 133 114 110 92 91 86 64 100 120 34.3284
330 122 556 107 119 105 121 132 114 110 91 90 85 64 99 120 34.6515
301 122 418 106 118 105 121 132 114 109 91 90 84 63 98 119 35.077
319 122 428 107 119 105 121 132 114 110 92 90 85 63 99 120 35.3978
326 122 653 107 119 105 121 132 114 110 92 91 85 64 98 120 35.8278
310 122 764 108 119 104 121 132 114 109 91 90 85 64 98 119 36.1053
305 122 995 107 119 106 121 132 114 110 91 91 85 64 99 120 36.3372
304 121 685 107 119 105 120 132 114 109 91 90 85 64 98 119 36.5471
314 122 390 107 120 105 121 132 115 110 92 90 85 64 99 120 36.8954
340 122 386 108 120 105 121 132 115 110 91 90 85 64 99 119 37.2454
328 122 416 107 119 105 121 132 114 110 91 90 85 63 100 120 37.7061
331 122 445 108 119 105 121 132 115 110 92 90 85 64 100 121 38.0567
332 122 828 107 119 105 121 132 114 109 92 91 85 63 98 119 38.4046
306 121 384 107 118 104 121 132 114 110 91 89 84 64 99 120 38.8263
322 122 402 107 119 105 121 132 114 110 92 90 84 64 99 120 39.0927
333 123 436 107 121 106 122 134 115 110 92 91 86 63 100 120 39.4455
335 122 397 107 119 105 121 132 114 109 92 90 85 63 98 121 39.7644
319 122 416 107 119 105 121 132 114 110 92 90 84 64 98 119 40.1143
334 122 402 107 119 104 120 132 115 109 92 90 85 64 99 120 40.5792
316 122 531 107 119 105 121 132 113 108 91 90 84 63 98 120 40.9362
320 122 402 107 119 105 121 132 115 110 92 91 85 64 99 120 41.3294
331 122 408 108 119 105 120 132 115 109 91 90 84 63 98 120 41.6006
323 122 803 107 119 105 121 132 114 110 92 91 85 63 99 120 41.9671
332 122 914 107 118 105 121 132 114 110 91 90 85 63 98 120 42.3311
321 123 377 108 120 106 122 134 115 110 92 90 86 64 100 119 42.6867
325 122 636 107 119 104 121 132 115 109 91 90 85 63 99 120 43.045
307 121 399 107 119 104 121 132 114 110 91 90 85 64 99 120 43.4644
340 120 437 106 118 104 120 131 113 109 92 90 84 63 98 119 43.824
331 121 659 107 119 104 121 132 115 109 91 90 85 63 99 120 44.1032
308 121 401 106 118 104 120 131 114 109 91 90 84 63 98 120 44.3356
348 122 429 107 119 105 121 133 114 110 91 91 85 64 99 120 44.5437
322 122 518 108 120 105 121 132 114 110 92 90 85 64 99 119 44.9013
349 122 512 107 119 105 122 132 114 109 92 90 85 63 99 120 45.3263
325 122 398 106 119 105 121 133 114 109 92 90 85 64 98 120 45.6022
338 122 483 107 119 105 121 132 114 110 92 91 85 63 99 120 45.9572
334 122 402 107 119 105 121 132 115 110 92 90 85 64 99 120 46.3064
330 122 396 107 119 105 121 132 114 110 92 90 85 64 99 120 46.6587
296 122 532 108 119 106 121 132 115 111 91 91 85 64 99 120 47.0777
300 122 460 108 120 106 122 133 115 111 92 91 86 64 100 120 47.4344
323 121 433 107 119 105 121 131 114 110 92 90 85 64 98 119 47.7885
326 122 429 107 119 105 121 132 114 110 91 90 85 63 99 120 48.2105
310 122 437 107 119 105 120 132 114 110 91 91 85 64 99 120 48.5724
309 122 634 106 119 104 121 131 114 109 91 90 84 63 98 119 48.8516
317 121 540 107 119 105 121 132 114 109 92 90 84 63 98 119 49.2088
332 122 545 107 119 105 121 132 115 110 91 90 85 63 99 120 49.5754
317 121 424 106 119 104 121 131 113 109 91 89 84 63 98 119 49.8518
312 122 420 107 120 105 121 132 114 110 92 90 85 64 99 119 50.2086
326 121 416 107 119 104 121 131 114 109 92 90 85 63 98 119 50.5595
336 121 617 106 119 105 121 132 114 109 91 90 84 63 98 119 50.918
310 121 403 106 119 104 121 132 114 108 91 90 85 62 98 119 51.3317
320 121 762 107 119 104 121 131 114 109 91 89 84 63 98 119 51.6808
321 121 395 107 119 104 121 131 113 108 92 90 84 63 99 119 52.0409
321 121 653 106 119 104 121 131 114 109 91 89 85 63 98 119 52.3362
343 121 537 106 118 104 120 131 114 108 91 90 84 62 98 119 52.4974
308 122 389 106 119 104 121 131 114 109 92 90 85 63 98 119 52.8596
310 121 409 107 119 104 121 132 114 109 92 90 84 63 99 119 53.2193
335 121 425 107 119 105 121 131 114 109 92 89 85 63 99 119 53.5784
333 122 448 107 119 104 121 132 114 109 91 90 85 62 99 120 53.9396
325 122 759 106 119 105 121 132 114 109 92 90 84 63 98 120 54.3593
323 121 664 106 119 104 121 131 114 109 91 90 85 63 98 119 54.7125
319 121 426 107 118 105 121 131 114 109 91 90 85 63 98 119 55.0717
308 121 429 107 119 105 120 132 114 109 91 90 85 63 99 119 55.3959
321 119 412 105 118 104 121 131 115 109 92 89 84 63 98 119 55.7462
320 121 431 106 119 105 120 132 114 109 92 90 85 63 99 119 56.2045
326 121 421 106 119 104 121 131 114 109 91 89 84 62 98 119 56.4625
310 122 436 106 119 105 121 132 114 109 92 90 86 63 99 120 56.8214
302 121 668 107 120 104 121 132 114 109 91 90 85 63 99 119 57.0967
332 121 428 106 120 104 121 132 114 109 92 91 85 63 99 120 57.4502
331 121 433 106 119 105 121 131 115 110 92 90 85 63 99 119 57.7285
330 121 423 107 119 105 121 132 114 109 91 90 84 63 99 120 58.0862
331 121 409 107 119 104 121 132 114 110 91 90 85 63 99 119 58.4492
320 121 393 107 120 104 121 132 114 109 92 90 85 63 99 119 58.7267
312 121 431 107 119 105 121 132 114 109 92 90 84 63 98 119 59.0824
319 122 401 107 120 105 121 132 114 109 91 90 85 64 99 119 59.4345
323 121 415 107 119 104 121 131 114 109 91 90 85 63 99 119 59.7881
310 121 428 107 120 105 122 132 115 110 92 90 85 63 100 119 60.2096
314 122 762 106 119 105 121 132 114 109 91 90 85 63 99 120 60.3768
286 122 518 107 119 104 122 132 114 109 91 90 85 62 99 119 60.6634
320 122 542 106 119 104 121 131 114 108 92 90 85 62 98 119 61.0829
335 121 402 106 119 104 121 131 114 109 91 89 85 63 98 119 61.4329
332 121 411 106 119 104 120 131 114 109 92 90 85 62 98 120 61.7906
314 121 397 106 119 104 122 131 114 109 92 90 85 63 98 119 62.2151
315 122 505 107 120 105 122 132 115 110 91 90 85 63 99 119 62.5743
319 121 1003 107 119 105 121 132 115 110 91 90 85 63 99 119 62.8515
304 121 402 106 120 105 121 132 114 109 92 90 85 63 99 119 63.2013
313 122 419 106 119 105 121 132 115 108 91 90 85 62 99 119 63.4812
333 122 406 106 119 105 121 131 114 109 92 90 85 63 99 120 63.8397
319 122 517 107 119 105 121 131 115 109 92 90 84 63 99 119 64.1988
327 122 418 107 119 105 121 131 114 109 92 89 85 64 99 119 64.4781
335 122 419 107 120 105 121 132 115 110 92 90 85 64 99 119 64.8358
330 122 488 107 120 105 121 132 114 109 92 90 84 63 98 120 65.1882
339 121 398 106 119 104 120 131 114 109 92 89 84 62 98 119 65.5802
333 122 431 107 119 105 121 132 115 109 91 90 85 63 99 119 65.9346
326 121 418 107 119 105 121 132 114 109 92 91 85 64 99 119 66.2863
319 121 1291 107 120 105 121 132 114 110 91 89 85 63 99 120 66.7108
290 121 435 107 119 105 121 131 114 109 92 90 85 63 99 119 67.064
307 121 427 107 119 105 121 132 114 109 91 90 85 62 98 120 67.4548
294 121 492 107 119 105 121 132 113 109 92 90 85 64 99 120 67.8113
320 122 428 106 119 105 121 132 115 109 91 90 85 63 99 119 68.2082
309 121 388 106 119 104 120 131 114 109 92 90 85 62 98 119 68.375
322 121 467 106 119 104 121 131 114 109 92 90 85 63 98 119 68.6636
322 121 436 107 119 105 121 132 114 110 92 90 84 64 99 120 69.0871
315 121 686 107 119 104 121 131 114 109 91 90 85 64 99 119 69.4407
304 122 415 107 119 105 121 131 114 109 92 90 84 63 99 120 69.828
321 121 412 106 118 104 120 131 114 109 91 89 84 62 98 119 70.1035
304 122 396 107 120 105 121 132 115 109 92 91 86 63 100 119 70.4584
319 121 541 106 119 104 121 132 113 109 91 90 85 62 99 119 70.8232
329 121 722 107 119 104 121 131 114 110 92 90 84 63 99 119 71.1009
316 122 413 106 119 104 120 131 114 109 91 90 85 64 99 120 71.4498
326 122 536 106 119 105 121 131 114 109 91 90 84 63 98 119 71.7279
318 123 574 108 120 106 122 133 115 110 93 91 86 64 100 121 72.0824
302 121 638 106 119 105 120 132 114 109 92 90 85 63 98 119 72.4365
336 121 440 107 119 105 121 131 114 109 92 90 85 62 99 120 72.7938
