ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
335 123 547 109 121 106 123 134 116 111 93 91 86 64 100 121 0.539342
337 122 1155 107 120 105 121 131 114 109 92 90 85 63 99 120 0.888958
339 121 554 106 119 104 120 131 113 108 91 89 85 63 98 119 1.23737
335 122 426 107 119 105 121 132 114 109 92 90 84 63 99 119 1.65533
332 122 413 106 119 105 121 132 114 109 92 90 85 63 99 120 1.92623
340 122 399 107 119 105 121 132 113 109 92 90 85 63 99 120 2.27653
330 122 406 108 120 106 121 133 115 110 92 91 86 65 100 120 2.72072
325 122 694 107 119 105 120 132 114 109 93 90 85 63 99 120 3.1605
324 121 514 106 119 105 121 131 114 108 92 90 84 63 99 119 3.31902
330 121 414 107 119 105 120 132 114 109 92 91 85 63 98 121 3.87094
344 122 931 106 120 105 121 132 114 109 92 90 85 64 99 119 4.4134
339 122 440 107 120 105 121 131 114 109 92 90 85 63 99 120 4.90783
329 121 405 107 118 105 120 132 114 109 93 90 85 64 99 120 5.22485
344 121 432 107 119 105 121 131 114 109 91 90 85 63 99 119 5.57677
326 123 397 108 120 105 121 133 114 109 92 91 86 64 100 120 5.92689
341 121 1404 107 120 106 120 132 114 109 92 90 85 64 99 120 6.28034
344 122 425 107 120 105 121 132 114 109 92 90 85 64 99 120 6.67066
323 123 636 107 119 106 121 133 114 109 92 90 85 64 99 120 7.03403
349 122 425 107 119 104 121 131 114 108 91 90 85 63 99 119 7.30764
340 122 405 107 119 104 121 132 114 109 92 90 85 63 99 119 7.66731
333 121 516 107 120 104 122 132 114 109 92 90 85 63 99 119 8.02714
333 121 420 106 118 105 121 132 113 108 92 90 84 63 99 119 8.4167
343 121 409 108 120 105 122 132 114 109 92 90 85 63 100 120 8.77436
332 122 527 107 120 105 121 132 114 110 92 91 85 64 99 120 9.13626
326 122 411 107 119 105 121 131 114 108 91 90 85 63 99 119 9.54443
337 121 510 107 120 105 121 132 113 108 91 90 85 63 98 119 9.90018
335 121 472 107 119 105 121 133 113 110 92 90 86 64 100 119 10.291
331 122 396 107 119 105 121 132 113 109 92 90 85 63 99 120 10.5709
340 121 643 106 119 105 120 131 113 108 92 90 84 63 98 119 10.9309
337 121 430 107 119 104 121 131 113 108 91 90 84 63 98 119 11.2203
339 122 391 107 119 104 121 132 113 108 91 90 85 63 99 119 11.3868
342 122 498 107 119 105 121 132 113 108 91 90 85 64 99 119 11.8277
323 121 562 106 119 104 120 131 114 109 92 90 85 63 99 119 12.1808
326 122 569 108 121 105 122 132 114 110 92 90 86 64 100 119 12.5403
341 121 429 107 119 104 121 131 114 109 91 90 85 63 98 119 12.8152
324 122 803 107 120 105 121 131 114 110 91 90 85 63 99 119 13.1695
333 122 960 107 120 105 121 132 114 110 91 90 85 63 99 119 13.5301
325 122 458 107 120 104 121 132 114 109 92 90 85 64 99 119 13.9168
334 122 778 106 119 105 122 132 114 109 91 90 85 63 99 119 14.2698
332 122 429 106 119 105 121 131 115 109 92 90 85 63 99 120 14.625
323 121 414 106 119 105 121 131 114 109 92 90 85 63 98 119 15.0472
313 122 816 106 119 104 121 132 114 109 92 90 85 63 99 119 15.4044
324 121 409 107 119 105 121 132 114 109 91 89 85 63 98 119 15.7903
328 122 602 106 119 105 121 131 114 109 91 90 86 63 99 119 16.1134
318 121 501 106 118 104 120 131 114 108 92 90 84 63 98 120 16.5406
325 122 406 106 119 105 121 132 114 109 91 90 85 63 98 120 16.8194
335 122 411 106 119 105 121 132 114 109 91 90 85 63 99 119 17.1682
342 122 414 108 119 105 121 132 114 109 92 90 85 63 99 120 17.5198
349 121 826 107 119 105 121 131 114 109 91 90 85 63 98 119 17.874
337 122 426 107 120 105 121 132 115 110 92 90 85 63 99 119 18.2959
341 121 1278 107 120 105 121 132 115 109 92 90 85 63 98 119 18.6522
344 122 537 108 121 106 122 132 115 110 91 90 85 63 100 120 19.04
334 121 631 107 119 104 120 132 114 109 91 90 85 63 99 119 19.2727
326 122 542 106 119 105 121 131 114 109 92 90 85 63 98 119 19.5501
314 122 445 108 121 106 122 133 115 110 93 91 86 64 100 121 19.9029
323 122 460 107 119 105 122 132 114 110 92 90 85 63 99 120 20.288
325 121 403 106 119 104 121 132 114 110 91 90 84 63 99 119 20.563
316 121 471 107 119 104 120 132 114 109 92 90 85 63 98 120 20.9197
312 122 754 107 119 105 122 132 114 109 92 90 85 63 99 119 21.272
319 122 620 106 119 104 121 132 114 109 91 90 84 63 98 119 21.6627
328 121 411 107 120 104 121 131 114 110 92 90 85 63 99 120 21.9363
