ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
329 122 430 108 120 107 122 133 116 111 94 91 87 65 101 121 0.399972
320 123 593 108 121 106 123 134 116 111 93 91 86 65 100 121 0.79564
326 122 453 107 119 105 121 131 113 109 91 90 84 63 98 119 1.06218
321 122 461 108 120 105 121 133 114 109 92 90 85 64 99 119 1.41169
338 121 479 107 119 104 121 132 113 109 91 90 84 63 99 119 1.68067
313 123 505 108 120 106 121 133 114 110 92 91 85 64 99 120 2.03413
340 121 458 107 119 105 121 132 113 108 92 90 85 63 98 120 2.30192
316 122 456 107 119 106 121 132 114 109 92 90 85 64 99 120 2.65014
320 123 442 107 120 105 121 133 114 109 92 90 85 64 99 120 3.00429
334 122 452 107 119 105 122 131 114 109 91 90 85 63 99 120 3.43458
317 122 822 107 118 104 120 131 113 108 90 90 84 63 98 120 3.7959
326 122 805 107 119 105 121 132 113 109 92 90 85 63 98 120 4.07352
329 122 564 107 120 105 121 132 114 109 92 91 85 64 99 120 4.42976
326 123 438 108 120 106 121 132 114 109 92 91 85 64 99 120 4.59725
330 122 475 106 119 104 121 132 114 109 92 90 85 63 99 120 4.92599
314 123 517 108 120 106 122 133 115 110 92 91 87 65 100 120 5.28239
330 122 480 107 119 105 120 131 114 109 91 90 85 63 99 119 5.67024
299 122 569 107 119 105 121 132 114 109 92 90 85 65 99 120 5.94946
315 123 525 108 119 106 121 133 114 109 92 91 85 64 100 120 6.3103
334 123 626 107 119 105 122 131 114 109 92 90 85 64 98 120 6.67006
327 121 440 107 119 105 121 132 114 109 92 90 85 63 99 120 7.02586
327 122 585 107 120 105 121 132 113 109 92 90 84 63 99 120 7.42203
328 122 681 106 121 104 122 132 114 108 91 90 85 62 99 119 7.69907
323 121 437 107 120 105 121 132 114 108 92 90 85 64 99 119 8.05417
315 122 437 107 119 104 121 131 113 109 92 90 85 63 99 119 8.41089
314 121 455 107 119 106 121 132 113 109 93 91 85 63 99 120 8.6751
344 121 470 106 120 104 121 132 114 109 91 90 85 63 99 119 9.03069
318 122 428 107 120 105 121 132 114 109 92 90 85 64 99 119 11.5846
342 122 822 107 120 104 121 131 114 109 92 90 85 63 99 119 11.9399
326 121 833 106 119 104 121 131 113 108 91 89 84 62 99 118 12.2981
318 122 422 107 119 105 121 132 114 109 92 90 85 64 99 120 12.5327
330 121 599 106 119 104 120 131 113 108 91 90 84 62 97 118 12.8102
308 122 470 107 119 104 121 132 113 109 91 90 84 63 98 119 13.1745
328 121 562 107 119 104 121 132 114 109 92 89 84 64 98 119 13.5354
322 121 459 106 119 104 121 132 114 109 92 90 85 63 99 119 13.9365
326 121 505 107 120 105 122 132 114 109 92 90 85 63 99 119 14.2887
329 121 427 106 119 104 121 132 114 109 91 90 85 63 99 118 14.5474
325 121 463 107 119 105 121 132 114 109 91 90 85 64 99 120 14.91
343 121 477 107 119 105 122 132 115 110 92 89 84 63 98 120 15.2939
318 121 435 106 119 104 121 131 114 108 91 90 85 63 98 118 15.5681
317 123 842 108 121 106 123 133 115 111 92 91 86 64 100 121 15.9255
321 122 589 107 120 105 121 132 114 109 92 90 85 63 98 120 16.2879
320 121 470 107 120 105 122 132 115 110 92 91 85 63 99 119 16.6094
307 121 440 107 119 104 121 132 114 110 92 90 85 63 100 120 16.9338
326 121 459 107 120 105 122 132 115 109 92 90 85 64 99 119 17.2891
315 122 443 107 119 105 121 131 114 109 92 90 85 63 99 120 17.6166
323 122 696 107 120 105 122 132 114 110 92 89 86 63 99 119 18.046
337 121 450 106 119 105 121 132 114 109 91 90 84 63 99 119 18.3247
346 121 820 107 119 105 122 132 114 109 92 90 85 63 99 119 18.6819
327 123 446 108 121 106 122 133 115 111 93 91 86 65 100 121 19.0448
318 121 419 106 118 105 121 132 114 109 92 90 86 63 99 119 19.4058
323 122 686 107 119 105 121 131 114 109 92 90 85 63 99 120 19.7951
348 122 823 107 120 105 122 132 114 110 92 90 86 64 100 119 20.1496
340 121 660 107 119 104 121 132 115 109 92 90 84 63 99 120 20.4317
326 121 451 106 119 104 121 132 114 109 91 89 85 63 99 119 20.601
327 121 545 107 119 104 121 132 114 109 91 90 85 63 98 119 20.92
329 121 718 107 120 104 122 131 114 109 92 90 84 63 98 119 21.1967
319 121 597 106 119 105 121 132 114 109 92 90 85 63 99 119 21.5524
313 121 441 106 119 105 121 132 114 109 91 90 85 63 98 120 21.9164
320 122 470 107 119 105 121 132 115 109 92 90 85 63 99 120 22.1924
325 121 819 107 119 104 121 131 115 109 91 90 85 63 99 119 22.5489
313 121 801 106 119 105 121 131 114 109 91 90 84 63 98 119 22.9082
311 121 439 106 119 105 121 131 114 109 92 90 85 63 99 119 23.2965
320 121 437 107 120 104 121 132 115 110 92 91 85 63 99 119 23.6612
344 122 454 106 119 105 121 131 114 109 92 90 84 63 99 120 23.9864
340 120 467 106 118 104 120 130 114 108 92 89 85 63 98 119 24.3097
340 121 448 106 119 104 121 132 114 109 92 90 85 63 99 119 24.6667
348 122 480 107 119 105 122 132 115 109 91 90 85 63 99 120 24.9474
344 122 481 107 120 105 121 132 114 110 91 90 85 63 99 119 25.3035
326 120 683 106 119 104 121 131 115 109 92 90 84 63 98 120 25.6655
323 122 747 107 119 105 121 132 114 110 92 90 85 63 99 120 25.9458
308 122 445 106 119 105 121 132 115 110 92 90 85 63 99 120 26.2996
325 121 456 107 119 105 121 132 115 110 92 89 85 63 99 120 26.6576
326 121 521 107 119 104 121 132 114 110 91 90 85 63 99 119 27.042
307 121 1165 107 119 104 121 131 114 109 92 90 84 63 98 119 27.3193
321 122 593 107 120 105 122 132 114 110 92 90 85 63 99 120 27.6766
319 122 460 107 119 104 121 132 114 109 92 90 85 63 99 120 28.028
321 121 588 106 119 105 121 131 114 109 92 90 85 64 99 120 28.3833
314 121 432 107 119 105 121 132 114 109 92 90 85 63 99 120 28.7527
312 121 442 107 120 106 121 131 114 109 92 90 85 63 99 119 29.1685
310 121 577 107 119 105 121 132 114 110 92 90 85 63 99 120 29.4469
325 122 591 106 119 105 121 131 114 109 92 90 85 63 99 120 29.8021
320 122 462 107 119 105 121 132 114 109 92 90 85 63 99 120 30.1576
324 122 488 108 120 105 122 132 114 110 92 90 85 63 99 120 30.5438
298 122 1020 107 119 105 121 131 114 109 92 90 85 63 99 119 30.8214
323 122 735 107 120 105 121 131 114 109 92 90 84 63 99 119 31.1757
340 121 448 107 119 105 121 132 114 109 92 90 85 63 99 120 31.5296
314 122 555 107 119 104 121 133 114 109 92 90 85 63 99 119 31.919
321 121 469 107 119 104 121 132 114 108 91 90 85 62 99 119 32.1953
328 121 435 107 119 105 122 132 115 110 92 90 85 64 98 120 32.5483
331 121 549 107 119 105 121 131 114 109 92 90 85 63 99 119 32.9025
341 122 520 107 119 104 121 132 114 109 92 89 85 63 98 119 33.2567
338 121 484 107 120 105 121 132 115 109 93 90 86 63 99 120 33.6732
334 121 454 107 119 105 121 132 114 110 92 90 85 63 99 120 34.0281
315 122 441 107 119 105 121 132 115 110 92 90 85 63 99 120 34.3828
302 121 468 106 119 104 121 131 113 109 92 90 85 63 98 119 34.8054
303 122 446 107 120 105 121 132 115 110 92 90 85 63 100 120 35.1625
306 122 536 108 120 105 122 133 115 110 93 91 85 64 100 120 35.4432
313 121 465 107 120 105 121 132 114 109 92 90 85 63 99 119 35.7968
308 122 594 106 119 105 121 132 114 109 92 90 86 63 99 119 36.1525
321 122 756 107 119 105 121 131 114 109 92 90 85 63 99 119 36.4376
318 122 440 107 119 105 121 132 114 109 92 90 85 64 99 120 36.6028
338 121 938 106 118 104 120 132 114 109 91 90 85 63 98 119 36.9205
340 122 445 107 119 105 121 132 114 110 92 90 85 63 98 120 37.2759
313 121 453 107 119 104 120 132 114 109 92 90 85 63 99 119 37.6321
331 122 687 107 119 105 121 132 114 109 91 90 84 63 99 119 38.0505
333 122 489 107 119 104 121 131 114 109 91 90 84 63 98 119 38.4064
331 121 676 107 119 105 121 132 115 109 92 90 85 63 99 119 38.7991
322 122 462 107 119 105 121 131 114 110 91 90 85 64 98 119 39.1537
315 122 572 107 119 105 121 132 115 110 92 90 85 63 99 120 39.5085
307 121 534 106 119 104 120 131 113 109 92 90 84 63 98 119 39.9297
315 121 558 107 119 104 121 132 114 109 92 90 84 63 99 119 40.2904
325 121 491 107 119 105 121 132 114 110 92 90 85 63 99 119 40.5656
335 121 456 106 118 104 120 130 113 108 91 90 84 63 98 119 40.9223
331 122 484 107 119 104 121 132 114 109 91 90 85 63 99 119 41.2792
326 121 495 107 119 105 121 132 114 109 92 90 84 63 99 119 41.6711
325 121 453 106 119 105 121 131 114 108 91 90 84 63 98 119 42.0299
329 121 480 106 119 105 121 131 114 109 92 90 85 63 98 119 42.4247
337 121 551 107 119 104 121 132 114 109 91 89 84 63 98 119 42.7831
335 122 550 107 119 105 121 132 114 110 92 90 85 64 99 119 43.1779
343 122 495 107 119 105 122 133 115 110 91 90 85 63 99 119 43.5408
319 120 468 105 118 104 120 131 114 108 91 90 84 63 98 119 43.8332
341 121 466 106 119 104 120 131 114 109 91 90 84 63 98 119 44.1985
330 121 561 106 119 105 121 131 114 109 92 90 85 63 99 120 44.4901
342 121 455 107 119 105 120 132 114 109 91 90 85 64 98 119 44.7036
328 122 505 106 119 105 121 131 114 109 91 90 85 63 99 120 45.0605
338 122 451 106 119 105 121 132 114 109 91 90 84 64 98 119 45.4184
338 122 538 107 120 105 121 132 114 109 92 90 85 63 99 120 45.6944
323 121 689 107 120 104 122 132 114 109 91 89 85 64 99 119 46.0499
312 121 1311 107 120 104 121 132 114 109 91 90 84 63 99 119 46.4049
323 122 459 107 119 105 121 132 114 109 92 91 86 63 100 120 46.7867
321 122 689 107 120 105 122 132 115 110 92 90 85 63 99 120 47.0565
321 122 465 107 120 106 122 132 115 110 92 91 86 64 100 120 47.4053
295 122 442 107 119 104 121 132 115 109 92 90 85 63 99 119 47.7488
317 122 549 107 119 105 121 132 115 110 92 90 85 63 98 120 48.1684
313 121 478 107 119 104 121 132 115 109 92 91 84 63 98 120 48.4339
315 121 514 107 118 104 121 132 114 109 92 90 85 63 99 119 48.7796
324 122 593 106 120 105 122 132 115 109 92 90 85 63 99 119 49.1264
330 121 700 107 119 105 121 132 113 109 91 89 84 63 98 119 49.5455
312 122 587 107 119 105 121 133 114 109 92 90 85 64 99 119 49.8229
317 121 668 107 119 105 121 132 114 109 92 90 85 64 98 119 50.1779
330 121 767 107 119 104 121 131 114 110 92 90 85 63 99 120 50.54
335 121 467 107 119 105 121 132 114 109 91 90 85 63 98 119 50.8159
321 121 452 107 119 105 121 131 114 110 91 89 85 63 99 120 51.17
333 121 471 108 119 104 120 132 115 110 92 90 84 63 99 119 51.4474
325 121 466 106 119 105 121 131 114 109 92 90 85 63 99 120 51.8034
338 121 608 107 119 105 121 132 114 109 92 90 85 63 99 119 52.1617
319 122 470 107 119 105 121 132 114 109 92 90 84 64 99 119 52.4679
418 140 667 124 137 123 138 149 132 128 109 108 103 80 117 137 52.6352
336 122 447 107 119 105 121 132 114 109 92 90 85 63 99 120 53.0461
325 121 551 107 120 105 121 132 114 109 91 90 84 63 99 119 53.3196
305 122 696 106 119 105 121 131 114 109 92 89 84 63 99 119 53.6761
314 122 450 108 121 106 123 133 115 111 92 90 86 63 100 120 54.0284
296 122 428 107 120 105 122 133 115 110 92 90 86 63 100 120 54.381
315 122 469 107 119 105 122 132 114 109 92 90 85 63 99 120 54.7979
315 122 484 106 119 105 121 132 114 109 91 90 85 63 99 119 55.1533
307 121 433 107 119 105 121 132 114 110 92 90 84 63 98 119 55.5437
336 122 470 107 119 105 122 133 114 110 92 90 85 64 99 120 55.8211
340 121 441 107 119 105 121 132 114 110 92 90 85 64 99 119 56.1741
328 122 471 107 120 105 121 132 114 110 92 90 85 63 99 119 56.5284
338 122 564 107 120 105 122 132 115 110 92 91 85 64 99 121 56.8832
335 121 672 107 120 105 121 132 114 110 91 90 84 63 98 120 57.2997
319 122 615 107 120 105 121 132 115 110 92 90 86 64 100 120 57.6573
334 121 455 107 119 105 121 131 114 109 92 90 85 63 99 120 58.0433
328 122 460 106 119 105 121 131 115 109 91 91 85 63 99 119 58.3177
324 120 554 106 119 104 120 131 113 109 92 89 84 63 98 119 58.6702
322 122 625 107 120 105 121 132 115 110 92 90 85 64 99 121 58.9458
322 121 878 107 119 105 121 131 114 109 91 90 84 63 99 120 59.3007
321 123 678 107 120 105 121 132 115 110 92 91 85 63 100 120 59.6587
320 121 704 106 119 104 121 132 114 109 92 90 85 63 99 119 60.0463
325 121 556 107 119 104 121 131 114 109 91 90 84 63 99 119 60.4034
301 121 452 107 119 104 121 132 114 110 92 90 84 63 99 120 60.5727
316 121 556 107 120 104 121 132 114 109 91 90 85 63 99 119 60.9196
317 122 467 107 120 105 121 132 114 110 92 90 85 64 99 120 61.1942
320 121 570 107 119 103 120 131 114 109 91 90 84 63 98 119 61.5513
336 123 484 108 120 106 122 133 114 110 92 91 85 64 100 120 61.9119
312 122 472 107 120 105 121 133 114 110 91 91 85 63 99 120 62.1886
333 122 444 107 119 105 121 132 114 109 92 90 85 63 98 119 62.5438
318 122 802 107 120 105 121 132 114 110 92 90 85 63 99 120 62.8223
318 122 607 107 120 105 122 132 115 110 92 90 85 64 99 120 63.1762
330 122 453 108 120 105 121 132 114 110 92 90 84 64 99 120 63.5327
355 122 484 108 120 105 121 132 115 110 92 90 85 64 99 120 63.9198
322 121 449 107 119 104 120 132 114 109 92 89 84 63 98 119 64.1964
330 121 1028 108 119 104 121 132 114 109 91 90 85 64 99 120 64.5464
346 121 466 105 119 104 120 131 114 108 92 90 84 63 98 119 64.901
352 121 470 107 119 105 121 132 114 110 92 89 85 64 99 120 65.2919
329 121 461 107 119 105 121 132 114 110 92 90 85 64 99 119 65.5713
315 121 435 108 119 105 121 132 114 110 92 90 85 63 99 120 65.927
304 122 465 107 119 105 121 132 114 109 91 90 84 63 99 120 66.2869
320 122 572 108 120 105 122 132 114 110 93 90 85 63 99 120 66.6351
325 122 461 107 119 105 121 132 115 109 92 90 85 64 99 120 67.0452
309 122 798 107 119 105 121 132 114 109 91 90 84 63 99 120 67.4036
319 121 493 107 118 104 120 132 114 109 92 90 84 64 99 119 67.795
341 122 481 106 119 105 121 132 115 110 92 91 86 63 99 119 68.1546
330 122 451 107 120 105 121 132 114 110 91 91 85 64 99 119 68.4731
310 121 546 107 119 105 121 132 114 109 92 90 85 63 99 119 68.6395
327 121 460 107 119 105 120 131 114 109 91 90 84 63 98 119 68.9993
319 122 557 107 119 105 121 132 115 109 92 90 84 63 99 119 69.4252
333 121 534 106 119 105 121 132 114 109 91 90 85 63 98 119 69.7599
330 122 468 107 120 105 121 132 114 110 92 90 85 63 99 120 70.1687
334 121 464 107 119 105 121 132 114 110 92 90 85 64 99 119 70.4442
329 121 480 107 119 104 121 131 114 110 92 90 84 63 98 120 70.7963
331 122 470 107 119 105 122 132 114 110 92 91 85 63 99 120 71.1516
315 122 587 107 119 105 121 132 115 109 92 90 85 63 99 119 71.5072
324 122 473 107 119 105 120 132 114 109 92 91 85 63 99 119 71.9236
325 122 553 107 120 105 121 132 114 109 92 90 85 63 99 120 72.2825
329 121 702 107 119 104 121 132 114 109 91 90 85 64 99 120 72.672
326 122 531 107 119 104 121 132 114 109 92 90 85 63 98 120 73.0245
336 122 445 107 119 105 121 132 114 110 92 90 85 64 99 119 73.3809
326 122 439 107 119 105 121 132 114 109 92 90 84 63 98 119 73.8021
320 122 456 107 119 105 121 132 114 109 92 90 85 64 99 119 74.1639
312 122 471 108 120 105 121 132 114 110 91 90 85 63 99 119 74.4376
307 121 558 107 119 104 121 132 113 109 92 89 84 63 99 119 74.7942
309 122 468 107 119 105 121 132 114 110 92 90 85 64 99 120 75.1204
309 121 677 107 119 105 121 132 114 110 91 90 85 64 98 120 75.5533
313 122 531 107 119 106 121 132 114 110 92 90 85 64 99 120 75.9174
305 122 578 107 119 105 121 132 114 110 92 90 85 64 99 120 76.1935
330 122 1625 107 120 104 122 132 114 109 92 90 85 63 99 119 76.4764
