ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
528 123 465 107 120 106 122 133 115 109 93 91 87 64 101 120 0.411695
605 122 467 107 120 104 121 131 114 109 92 90 85 64 99 119 0.77194
1295 122 489 107 120 105 122 132 114 109 92 90 85 64 99 119 1.00593
517 121 490 106 119 104 121 131 113 108 92 89 85 63 99 119 1.25097
781 122 836 106 120 105 121 132 114 109 92 90 85 63 99 119 1.61262
470 122 795 107 119 105 121 131 113 109 92 90 85 63 98 119 1.88942
1014 123 514 107 120 105 121 132 113 109 91 90 85 63 99 120 2.24515
448 121 490 106 118 104 120 132 112 108 92 90 84 62 98 119 2.60325
462 122 463 107 120 105 121 132 114 108 92 90 85 63 99 120 2.98918
435 122 568 107 120 104 121 132 114 109 92 90 85 63 99 120 3.31559
443 122 486 107 119 104 121 131 113 109 92 90 85 63 99 120 3.73834
422 121 863 107 119 104 120 131 113 109 91 90 84 64 98 119 4.05731
466 122 465 106 119 104 121 132 113 109 92 90 85 63 99 119 4.48849
432 122 475 107 119 105 121 131 114 109 91 90 85 63 99 120 4.76647
525 122 474 106 119 104 121 132 113 108 91 90 85 64 99 119 5.11434
374 122 468 107 119 104 121 132 114 108 92 90 84 63 99 119 5.51435
496 122 479 107 119 105 121 132 114 109 92 90 85 63 99 119 5.86385
498 122 658 107 119 105 121 132 114 109 92 90 86 63 100 119 6.131
454 122 498 106 119 105 121 132 114 109 91 90 84 63 98 120 6.47907
408 122 590 107 119 104 121 132 113 109 92 90 84 63 99 119 6.83394
803 122 521 107 119 104 121 131 113 109 92 90 85 63 98 119 7.27041
555 122 477 107 119 105 121 132 114 109 92 90 85 63 99 120 7.63165
370 122 475 106 119 104 121 131 113 109 91 90 85 63 99 120 7.99158
483 122 495 107 119 105 121 132 113 108 92 90 85 63 99 120 8.3483
498 122 719 107 120 104 121 132 114 109 92 90 85 63 99 120 8.62974
472 121 504 107 119 104 121 131 114 109 92 90 85 63 99 120 8.9197
350 123 372 107 119 105 121 132 114 110 92 91 85 64 99 120 9.08845
474 122 599 107 119 105 121 132 113 109 92 90 85 63 99 120 9.44567
437 123 1326 107 120 105 121 132 114 109 92 91 84 63 99 120 9.87014
448 122 485 107 119 105 121 132 114 109 92 90 85 63 99 119 10.2261
602 122 616 107 120 104 122 132 114 109 92 90 85 64 99 120 10.6043
732 123 482 107 119 105 122 132 113 109 92 90 84 63 99 120 10.9941
555 122 460 107 119 105 121 131 114 109 92 90 85 64 99 120 11.3533
529 123 489 107 120 105 121 132 114 109 92 90 85 64 99 119 11.7438
480 122 746 107 119 105 121 131 114 109 92 90 85 64 99 120 12.1057
484 122 468 106 119 104 121 132 114 109 92 90 85 64 99 120 12.4952
515 121 597 107 120 104 122 132 114 109 92 90 85 63 98 119 12.8553
353 121 979 106 119 104 120 131 114 109 91 90 85 63 98 119 13.2422
412 122 463 106 119 104 121 131 113 109 91 89 85 63 99 119 13.6011
685 122 597 107 120 105 121 132 114 109 92 90 85 63 99 120 13.996
448 123 500 107 120 106 122 132 115 109 92 91 85 64 100 121 14.3536
418 122 440 107 120 105 121 131 113 108 91 90 85 63 99 120 14.7466
449 122 637 106 119 105 121 132 114 109 91 89 84 63 99 119 15.1023
498 121 972 106 120 105 121 132 114 110 92 90 85 63 99 120 15.4933
572 122 497 107 120 104 121 132 114 109 92 90 85 63 99 119 15.8518
526 122 478 108 119 104 121 132 114 109 92 90 85 63 99 120 16.2415
598 122 535 107 119 105 121 132 114 109 92 90 85 63 98 119 16.5977
644 123 493 107 120 105 121 132 114 109 92 91 85 63 99 120 16.8814
477 122 489 106 119 104 121 132 114 108 91 89 85 63 99 119 17.0479
466 122 505 107 120 104 121 132 114 109 92 90 85 63 99 119 17.3665
582 121 470 107 119 105 121 132 113 109 91 89 85 63 98 119 17.7232
491 122 870 107 119 104 121 132 114 108 92 90 85 63 99 119 18.0772
467 122 707 106 120 104 121 132 114 109 91 90 84 63 99 120 18.4995
540 122 627 107 119 104 121 132 113 109 91 90 85 63 98 119 18.8641
1019 122 495 107 119 105 121 132 114 109 92 90 85 63 99 119 19.1447
471 122 494 107 119 105 121 131 114 109 92 90 85 62 99 119 19.4978
480 121 484 107 119 104 121 131 114 109 92 90 84 63 98 119 19.853
586 123 839 107 120 105 122 132 114 109 92 91 85 64 100 119 20.2418
487 122 713 107 119 105 121 132 115 110 92 90 85 63 99 119 20.5993
463 122 567 107 120 105 121 132 113 109 91 90 84 63 99 120 20.9582
728 121 500 106 119 104 120 131 114 109 91 90 84 63 98 120 21.3742
600 123 906 107 120 105 122 132 114 109 92 91 85 64 100 120 21.736
477 122 475 106 118 105 121 131 113 108 92 90 84 63 98 120 22.0153
438 121 546 107 119 104 122 132 114 110 91 90 85 63 99 120 22.3711
789 122 810 107 120 105 121 132 115 109 92 90 84 64 99 119 22.729
564 121 942 107 121 105 121 132 114 109 92 90 85 63 99 120 23.1164
717 122 593 106 120 105 121 131 113 108 91 90 84 63 98 119 23.4737
484 122 476 107 119 105 121 132 114 109 92 90 84 64 99 120 23.8661
478 122 486 107 119 105 121 132 114 108 92 90 85 63 99 120 24.2206
499 122 484 107 119 105 121 132 114 109 91 91 85 63 99 120 24.5765
492 123 441 108 120 106 122 133 115 109 93 91 86 64 100 121 24.9237
508 122 482 107 120 104 122 132 114 109 92 90 85 63 99 120 25.133
514 122 437 107 119 105 121 132 114 110 92 90 85 63 99 120 25.6317
521 121 490 107 120 105 121 132 114 109 91 90 85 63 99 119 25.9916
447 121 457 107 119 105 120 131 114 109 91 90 85 64 99 120 26.268
515 124 465 108 121 107 122 133 115 110 92 91 86 64 100 121 26.6238
584 122 897 107 119 105 121 131 114 109 92 90 85 64 99 120 26.9871
595 122 873 107 119 105 121 131 114 109 91 90 85 63 98 119 27.3105
422 122 600 107 119 104 121 132 114 109 92 90 85 63 99 120 27.7419
817 122 483 107 120 104 121 132 113 109 91 90 85 64 99 120 28.1099
470 122 482 107 119 105 121 131 114 109 92 90 85 62 99 119 28.3905
549 122 459 107 119 105 121 131 114 110 92 90 84 63 99 120 28.7451
444 122 478 107 120 105 121 132 114 110 91 90 85 63 99 120 29.1055
488 121 504 106 119 105 121 132 114 110 91 90 84 63 98 120 29.4904
719 122 466 107 119 105 122 132 114 109 92 91 85 63 99 120 29.7704
495 122 496 107 120 105 121 132 114 110 92 90 85 63 99 120 30.1365
789 122 483 107 120 105 121 132 114 109 92 90 85 63 99 120 30.4878
559 124 1428 108 121 107 122 133 115 110 93 91 86 65 100 121 30.7643
467 121 544 107 119 105 121 132 113 108 92 90 85 63 99 120 31.1199
673 122 745 107 120 105 121 132 114 109 92 90 85 63 99 119 31.4857
651 122 618 107 119 105 121 132 114 110 91 90 85 64 99 120 31.7623
404 122 487 107 120 105 121 132 114 109 91 90 85 63 99 120 32.1185
500 122 602 107 120 105 121 132 114 109 91 90 85 63 99 120 32.4771
596 123 505 108 121 106 122 133 116 111 92 92 86 65 101 121 32.8654
529 122 495 107 119 104 121 131 113 109 92 90 84 63 99 119 33.031
388 123 478 108 120 106 122 132 115 110 92 91 85 64 99 120 33.3186
631 122 540 106 119 104 121 132 113 109 92 90 85 64 99 119 33.7771
726 122 500 107 119 105 121 132 114 109 92 90 85 63 99 120 34.1399
536 122 524 107 119 104 121 132 113 109 92 90 85 63 99 120 34.4971
573 124 489 109 121 106 122 133 115 111 93 92 86 65 101 121 34.8617
485 122 459 107 119 104 121 132 113 108 91 90 85 63 99 119 35.1851
627 123 489 108 121 106 122 133 114 110 92 91 86 64 99 121 35.6161
699 122 482 107 119 105 121 132 114 109 91 90 85 63 98 119 35.8901
590 122 472 107 120 105 121 132 115 109 92 90 85 64 99 120 36.244
561 122 457 107 119 105 121 132 114 109 92 90 84 63 99 120 36.6032
372 122 476 107 119 105 121 132 114 109 92 90 85 63 99 120 36.9944
457 122 469 107 119 104 121 131 114 109 92 90 85 64 99 119 37.3589
563 123 482 107 120 105 121 132 114 109 92 90 85 64 99 120 38.0157
866 122 458 107 120 105 121 132 114 110 92 91 85 64 99 120 38.6594
416 121 504 106 118 104 120 131 113 108 91 90 84 63 97 119 39.135
635 122 796 107 120 105 121 132 114 109 92 90 85 63 100 120 39.5857
416 122 556 107 119 105 121 132 114 109 92 90 84 63 99 120 40.0292
374 124 602 108 120 106 123 133 115 110 93 91 85 65 100 121 40.437
397 122 588 106 119 104 120 131 113 108 90 90 84 62 98 119 40.89
489 122 473 107 119 105 121 132 113 109 91 90 84 63 98 119 41.0945
422 122 734 106 119 105 121 132 114 109 92 90 84 63 99 120 41.379
485 123 877 107 119 105 122 132 114 110 92 91 85 63 99 120 41.7459
505 122 489 107 120 105 121 132 114 110 92 91 85 64 100 120 42.1038
577 122 478 107 119 105 121 132 114 109 92 90 85 63 99 120 42.4925
571 123 486 108 120 105 121 132 114 109 92 91 85 63 100 120 42.8501
