ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
666 123 520 107 121 106 122 133 115 110 93 91 86 64 100 121 0.408705
584 122 467 107 120 105 121 132 114 109 92 91 85 64 99 120 0.72092
679 122 590 108 120 105 121 132 114 109 92 90 85 63 99 120 1.0635
534 123 691 107 120 105 121 132 114 109 92 91 85 63 99 120 1.35144
597 122 495 107 120 106 121 132 114 109 91 90 85 63 99 120 1.70201
862 122 522 108 120 105 122 132 114 109 92 91 86 64 100 120 2.05059
702 123 920 107 120 105 121 132 114 109 92 90 85 64 99 119 2.32696
448 122 485 107 119 105 121 131 114 109 91 90 85 63 98 120 2.68334
514 123 483 107 119 105 121 132 113 109 92 91 85 63 98 120 2.96059
501 122 499 107 120 105 122 132 114 109 92 90 85 64 99 120 3.31596
1646 123 903 107 120 106 122 132 114 109 92 90 85 63 99 120 3.67303
1015 123 723 108 120 105 122 132 114 109 92 90 85 64 99 120 4.06669
527 123 508 107 120 105 120 131 114 109 92 91 85 63 99 120 4.29976
595 123 505 108 120 105 121 132 114 109 92 90 85 64 99 120 4.57114
465 123 650 108 120 106 121 133 114 110 92 91 85 64 100 120 4.92962
494 123 498 107 120 105 122 132 114 109 92 91 85 64 99 120 5.24948
623 122 497 108 119 105 121 132 114 109 92 90 85 64 99 120 5.60016
826 122 720 107 120 105 121 132 114 109 92 90 85 64 99 119 5.96177
594 123 475 107 120 106 121 132 114 109 92 90 85 64 99 119 6.32144
777 124 501 109 121 106 123 134 115 111 93 92 87 66 101 121 6.68454
456 122 622 107 119 105 122 132 113 109 92 90 84 64 99 119 6.96342
916 122 491 108 118 105 121 132 114 110 93 90 85 64 98 120 7.32021
743 122 615 107 119 105 121 132 113 108 91 90 85 63 99 120 7.67958
887 122 643 107 120 105 121 132 114 109 92 90 85 64 99 120 8.00312
584 122 507 106 119 105 121 132 114 108 92 91 85 63 99 120 8.3634
578 122 490 107 119 105 121 132 114 109 92 90 85 64 98 120 8.8212
484 123 616 107 120 105 122 132 114 109 92 90 85 63 99 120 9.18592
