ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
138 123 102 109 339 106 967 133 116 111 92 91 86 65 100 121 0.543877
136 121 100 107 1483 104 430 132 114 108 91 90 84 63 99 119 0.899904
137 122 101 108 794 105 378 132 114 109 92 91 85 64 99 120 1.34838
137 122 101 107 521 106 678 132 114 109 92 90 85 64 99 120 1.81249
137 121 100 107 481 105 418 132 113 110 91 90 84 63 98 120 2.17481
136 122 101 107 482 105 391 132 114 109 92 90 84 63 99 120 2.53456
138 123 101 107 613 104 409 131 113 108 91 90 85 62 99 119 2.91404
137 121 101 108 446 105 362 132 114 109 92 91 85 64 99 120 3.18528
137 122 100 106 352 104 828 132 114 108 92 90 85 63 99 119 3.61227
136 121 100 106 524 104 407 131 113 109 91 90 84 62 99 119 3.95834
137 121 100 107 560 104 378 132 115 109 92 90 85 64 99 119 4.30651
138 122 101 107 492 106 392 132 114 109 91 90 86 64 99 119 4.50786
139 123 102 109 463 106 377 134 116 110 93 90 86 65 101 121 4.9159
137 122 101 107 485 105 384 132 115 109 92 91 86 63 100 120 5.23474
164 149 127 133 1768 130 885 158 142 136 118 117 112 90 127 146 5.58932
136 122 100 107 546 105 565 131 114 109 91 90 85 63 99 119 5.9519
136 121 100 106 372 104 716 130 114 108 91 89 84 62 98 118 6.31243
137 122 101 107 455 105 344 132 114 109 92 91 85 63 98 120 6.67166
136 122 100 106 521 104 400 132 113 108 91 89 85 63 98 119 6.94482
137 122 101 107 461 104 370 132 114 109 92 90 85 63 99 119 7.30162
138 123 102 109 447 106 360 133 115 110 93 91 85 65 100 120 7.66107
136 120 101 107 477 105 412 131 114 108 92 90 84 63 98 119 8.05388
137 122 101 107 484 105 385 132 114 109 91 90 85 63 99 119 8.4128
137 121 100 107 761 104 465 131 114 109 91 89 85 63 99 119 8.80569
136 121 100 106 699 104 394 131 113 108 91 89 84 62 98 119 9.16499
137 122 101 107 647 105 483 132 114 110 91 90 85 63 99 120 9.5483
137 122 101 106 447 105 378 131 114 109 91 90 85 63 99 119 9.91329
137 122 101 107 500 105 444 131 114 109 91 90 85 63 100 119 10.3094
137 122 101 107 332 105 667 132 114 109 92 91 85 64 99 120 10.6682
138 122 101 107 838 105 379 132 114 109 92 91 85 63 99 119 10.9907
137 122 101 106 506 105 390 132 114 108 91 90 85 62 98 119 11.3437
137 122 100 107 511 105 408 132 114 108 91 90 85 63 98 119 11.8046
137 120 101 106 356 104 561 131 114 109 91 89 85 63 98 119 12.1669
136 121 100 107 601 104 360 132 114 109 92 90 84 63 98 119 12.3564
136 121 100 107 852 104 390 131 114 109 92 90 85 63 99 119 12.5719
137 121 101 107 337 104 1168 131 115 110 92 89 85 63 99 119 12.9312
137 121 100 106 385 105 586 131 114 108 91 90 84 62 99 119 13.2974
137 122 101 107 472 104 595 132 115 109 91 90 84 63 99 120 13.6593
137 121 101 107 463 105 392 131 114 110 92 90 85 63 99 119 14.0479
137 121 101 107 480 105 381 131 115 110 92 90 85 63 99 119 14.3255
137 121 101 107 357 105 980 132 115 110 92 90 85 63 99 119 14.6598
180 166 144 149 924 147 1172 175 160 154 135 135 130 108 144 163 15.049
137 121 101 107 335 104 699 132 115 109 91 90 85 63 98 119 15.4091
136 121 100 107 455 105 645 131 114 109 91 90 85 63 99 119 15.7998
136 122 101 107 357 105 715 132 115 109 91 90 85 63 98 119 16.158
137 121 100 106 467 105 370 131 114 109 91 90 85 63 98 119 16.5529
137 122 101 107 347 105 850 132 115 109 91 90 85 63 99 119 16.9113
136 122 101 106 359 104 599 131 115 109 92 90 85 63 99 119 17.2993
136 121 100 106 440 105 378 131 114 109 91 89 85 62 98 119 17.6561
137 122 100 106 830 105 603 132 114 109 92 89 85 63 98 119 18.0085
136 121 100 106 486 104 396 131 115 109 92 90 85 63 98 119 18.4253
136 121 100 106 693 104 376 131 114 109 92 90 85 63 99 119 18.7797
137 122 101 107 711 105 410 132 115 110 92 90 85 63 99 119 19.1743
136 121 100 106 464 104 385 131 114 109 91 90 85 63 99 119 19.45
137 121 100 107 346 105 686 132 114 109 92 90 85 63 99 119 19.8049
136 122 101 107 488 104 364 132 114 109 92 90 84 63 99 119 20.1628
180 166 144 148 722 146 1591 174 160 154 134 134 129 107 143 162 20.3309
137 122 102 107 319 105 852 132 115 110 91 90 85 63 99 120 20.6726
136 121 100 106 869 104 377 131 114 108 91 89 84 62 98 119 20.9475
137 122 101 107 480 105 524 132 115 110 92 90 85 64 99 120 21.3061
136 122 101 107 612 105 393 132 115 109 91 90 85 63 99 120 21.6688
136 121 101 106 592 104 402 132 114 109 92 90 84 63 98 119 21.9494
137 122 101 107 487 105 387 132 115 110 92 91 85 64 99 120 22.3049
137 122 101 107 833 104 391 132 115 110 92 90 85 63 99 119 22.6606
164 149 128 133 779 131 1000 158 142 138 118 118 113 90 127 146 23.0487
137 122 101 107 992 105 381 132 114 110 91 90 85 63 99 119 23.4116
136 121 101 106 463 105 408 131 114 110 92 90 84 63 98 119 23.8007
138 122 102 108 378 105 869 133 115 110 92 91 86 63 100 120 24.1559
136 121 101 107 332 104 663 131 115 109 91 90 84 62 98 119 24.5487
136 121 101 107 480 104 370 131 114 109 92 89 85 63 99 119 24.828
137 122 101 107 472 106 429 132 115 110 92 90 85 63 100 120 25.1807
137 122 101 107 479 105 402 132 115 110 92 90 85 63 99 119 25.5366
137 122 100 106 348 105 697 131 115 110 91 90 85 63 99 120 25.9218
137 122 101 107 601 105 371 132 114 110 91 91 85 63 99 120 26.2468
137 123 101 107 593 105 394 133 115 110 92 91 86 63 99 119 26.6722
136 121 101 107 592 105 400 131 114 109 92 90 85 63 99 120 26.9991
183 169 147 151 784 150 1176 177 162 157 137 138 132 110 146 165 27.4211
136 121 100 107 486 105 400 131 115 109 92 90 85 63 99 120 27.7408
136 121 101 107 1218 105 370 131 114 109 92 91 84 63 98 119 28.0954
138 122 102 108 489 105 456 133 115 110 91 91 86 63 99 119 28.503
136 122 100 106 476 105 365 131 114 110 92 90 85 63 99 119 28.9259
136 121 101 106 333 105 1134 131 114 109 91 90 84 63 99 119 29.2812
136 122 101 107 365 105 870 132 115 110 92 90 85 63 99 120 29.6424
137 121 101 107 345 105 689 132 114 109 91 90 85 63 98 119 30.055
139 123 102 108 640 106 413 133 115 111 91 90 86 63 100 120 30.4114
137 123 102 109 356 107 569 133 116 112 93 92 86 65 101 122 30.7983
137 121 101 108 354 105 674 131 115 110 92 90 85 63 99 120 31.0722
137 122 101 107 328 105 795 132 115 109 92 90 85 63 99 120 31.429
137 122 101 107 644 105 569 131 115 110 92 90 85 63 99 119 31.786
136 122 101 107 477 105 385 132 114 109 91 90 85 63 99 120 32.1738
137 122 101 107 580 105 557 132 115 110 92 90 85 63 99 119 32.5339
136 121 100 106 733 105 373 132 114 109 92 90 85 63 99 120 32.9256
136 121 100 107 690 105 380 132 115 110 92 90 85 63 99 119 33.2777
137 122 101 107 494 105 387 132 115 109 91 90 85 64 99 119 33.6321
138 123 102 108 523 105 417 133 115 110 92 90 85 63 99 120 34.0572
137 122 101 107 474 104 441 132 115 109 91 90 85 63 99 119 34.4164
137 121 101 106 461 105 401 131 114 109 92 90 85 64 99 120 34.6938
136 121 100 106 335 105 943 132 115 110 92 90 85 63 99 119 35.0473
137 120 100 105 497 104 379 131 114 109 91 90 85 63 98 119 35.4103
137 122 101 107 452 105 389 132 115 109 92 90 85 63 100 119 35.8292
135 121 99 106 466 104 374 131 114 109 91 90 84 63 98 119 36.1853
136 121 101 107 328 104 669 132 115 109 92 89 84 63 98 119 36.3498
137 122 101 106 360 105 684 132 115 109 92 90 85 63 98 120 36.673
136 121 100 106 482 104 432 131 115 109 92 91 84 63 98 119 36.9505
138 122 102 108 471 106 393 133 115 111 92 91 86 64 99 121 37.3061
137 122 101 107 573 105 375 131 114 109 92 89 85 63 99 119 37.6551
136 121 100 107 329 104 658 132 114 109 91 90 85 63 98 119 38.0102
136 121 100 107 583 104 381 132 114 109 91 90 84 63 98 119 38.4346
137 121 101 106 815 105 392 132 115 110 92 90 85 63 99 119 38.788
137 121 101 106 498 105 433 132 114 109 92 90 85 63 99 119 39.1773
137 121 101 107 440 104 658 131 115 110 91 89 85 63 99 119 39.5381
136 121 100 106 371 104 1306 131 116 109 91 90 85 63 98 120 39.924
169 155 133 139 767 137 919 164 149 144 123 123 119 97 133 152 40.2864
137 122 100 107 341 104 640 132 114 109 91 90 85 64 98 119 40.677
137 122 101 106 461 105 411 132 115 109 92 90 84 63 99 120 41.0402
138 123 102 108 451 106 394 133 115 111 92 91 86 64 99 120 41.3214
136 121 100 106 341 105 782 131 115 109 92 89 84 63 98 119 41.6835
138 122 101 107 497 105 424 132 115 109 92 90 85 64 99 119 42.0518
137 122 101 107 353 105 1120 132 116 110 91 90 85 64 99 119 42.4186
137 121 100 107 348 105 565 131 114 109 91 90 84 63 99 120 42.6947
137 122 100 107 348 105 675 131 115 109 92 90 85 63 98 119 43.0672
136 121 100 107 447 105 381 131 115 109 91 90 85 63 98 120 43.4259
137 122 101 106 324 104 852 132 114 109 92 90 85 63 99 119 43.7815
137 122 101 107 502 104 403 132 115 109 92 91 85 64 100 119 44.0647
137 121 101 107 483 105 382 132 115 110 92 90 85 63 99 120 44.2997
135 121 100 107 340 104 538 131 114 109 91 90 85 64 98 119 44.5071
137 121 101 107 349 104 681 132 115 109 91 90 85 63 99 119 44.9217
137 121 101 107 367 104 1120 132 115 109 92 90 85 63 99 119 45.1987
137 122 101 107 707 105 394 132 115 110 91 90 85 63 99 119 45.5515
138 122 102 108 489 105 846 133 115 111 91 90 86 64 100 120 45.9104
137 122 101 107 694 105 389 132 114 110 92 90 85 63 99 120 46.2974
136 122 100 107 504 104 403 132 114 109 92 90 85 63 98 119 46.5715
136 121 100 106 473 104 384 131 114 109 91 90 85 63 98 119 46.932
136 121 100 106 444 104 392 131 114 109 91 90 85 63 98 119 47.1996
136 122 100 107 485 105 369 132 114 109 91 90 85 63 99 120 47.5527
137 122 100 107 492 105 385 132 114 109 92 90 85 63 98 120 47.9043
137 122 101 107 511 105 438 132 115 110 92 90 84 63 99 120 48.2572
135 121 100 106 494 104 382 131 114 109 91 89 84 62 98 119 48.6764
137 121 100 107 1345 105 389 131 114 109 91 90 84 62 99 119 49.0371
136 122 100 106 498 104 389 132 114 110 92 90 85 63 98 120 49.4263
136 122 101 107 488 105 401 131 114 110 91 90 85 63 99 119 49.7841
137 122 101 107 535 105 397 132 115 110 91 90 86 63 99 120 50.2051
136 121 101 107 338 104 664 132 115 110 92 89 85 63 99 119 50.5619
137 122 101 107 479 105 401 131 114 110 92 90 84 63 99 119 50.9195
136 122 101 107 334 105 869 132 116 110 91 90 86 63 99 120 51.1985
137 122 101 107 366 105 811 132 115 109 92 90 85 63 98 119 51.5571
137 122 102 108 345 106 574 133 115 111 92 91 86 63 100 120 51.9124
138 122 101 107 493 106 370 132 114 110 92 91 85 63 99 120 52.2241
136 121 101 106 341 105 803 132 114 109 91 90 85 63 99 119 52.388
136 121 100 106 704 104 394 131 114 109 91 90 84 62 98 119 52.8016
137 122 101 107 367 105 847 132 115 109 92 90 85 63 99 119 53.158
137 122 101 107 360 105 548 131 114 110 92 90 85 63 98 120 53.5481
137 122 101 107 448 105 415 132 114 109 92 90 85 63 99 120 53.8226
137 122 100 106 449 105 489 132 114 109 91 90 84 63 99 120 54.1803
137 121 101 107 459 104 380 131 114 109 91 90 84 64 99 120 54.5352
137 122 100 106 335 104 967 132 115 109 91 91 85 63 99 119 54.9259
136 122 101 107 490 105 383 131 115 109 91 90 85 63 99 120 55.284
137 122 101 107 883 105 428 132 115 109 92 90 85 63 99 120 55.6717
137 122 101 107 477 105 383 132 115 109 92 90 85 64 99 119 55.9477
137 122 101 108 609 105 380 132 115 110 91 91 85 64 100 119 56.3014
136 122 100 106 469 105 378 132 114 109 91 90 84 63 98 120 56.6534
136 122 101 107 337 104 827 132 114 110 92 89 85 64 99 119 57.0096
136 121 100 106 476 104 368 132 114 110 92 90 84 63 98 119 57.4288
137 122 101 107 350 106 1387 132 115 110 92 90 85 64 99 120 57.7861
137 122 100 107 523 105 410 132 115 110 91 91 84 64 99 119 58.196
136 121 100 106 570 104 507 132 114 109 91 90 84 64 98 119 58.5521
136 122 100 106 463 105 386 132 114 109 91 90 85 63 98 119 58.9082
136 122 100 106 586 105 723 131 115 109 92 90 85 63 99 119 59.2983
