ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
597 123 668 108 121 106 122 133 114 110 93 91 86 65 100 122 0.419117
639 122 878 107 120 105 121 132 113 109 91 91 85 64 99 120 0.786149
592 122 1025 107 119 105 121 131 113 109 91 90 84 64 99 120 1.14914
449 122 684 108 119 104 121 132 114 109 92 90 85 64 99 119 1.49699
680 122 1364 107 120 105 122 132 113 109 91 90 84 63 98 119 1.9143
499 122 696 108 119 105 121 132 113 109 92 90 85 63 99 120 2.07882
459 122 652 108 120 106 122 133 114 110 92 91 85 64 100 120 2.35435
485 122 723 107 119 105 121 132 114 109 92 90 84 63 98 120 2.70274
796 123 762 107 120 105 121 132 114 109 91 90 85 63 98 120 3.16067
446 123 558 107 119 106 122 133 114 110 92 91 85 64 100 120 3.43422
477 123 997 107 119 104 122 132 114 109 92 90 85 64 99 119 3.77786
841 122 603 107 120 105 122 132 114 109 91 90 85 64 99 119 4.05339
502 123 833 107 119 104 122 132 114 109 91 90 85 63 99 120 4.4101
480 123 587 107 119 104 122 132 114 109 91 90 85 64 99 120 4.7649
461 122 876 107 119 105 121 132 114 109 92 90 85 63 99 119 5.12538
607 122 1440 107 119 104 121 132 113 109 91 90 85 63 98 120 5.54504
515 122 580 107 119 105 121 132 113 109 91 90 84 63 98 120 5.90355
634 122 783 107 119 105 121 132 113 108 91 90 85 64 98 120 6.17947
595 122 647 107 119 105 122 132 114 109 91 90 85 63 98 120 6.53736
616 123 991 107 119 105 122 132 114 109 91 91 85 64 98 119 6.86104
607 122 860 107 119 105 121 132 113 109 91 90 85 64 98 120 7.28874
632 123 566 108 120 106 123 134 115 110 93 91 86 65 100 121 7.64752
572 122 686 108 119 105 122 132 114 109 91 90 84 64 99 120 8.03574
735 122 555 107 119 105 122 131 113 109 92 90 85 63 99 120 8.31053
714 123 748 108 119 105 122 132 114 110 91 90 84 63 98 119 8.66367
479 123 616 107 119 105 121 132 114 109 92 91 85 64 99 120 9.01701
460 122 660 107 119 105 121 132 113 109 91 90 85 63 98 119 9.37489
593 122 578 106 120 104 122 132 114 108 92 90 85 63 99 119 9.79767
492 122 1006 106 120 104 122 132 114 108 91 90 84 63 98 119 10.031
457 122 890 107 119 104 122 132 113 108 91 90 85 63 99 119 10.2322
520 121 832 106 119 104 120 130 112 108 90 89 84 62 98 118 10.6564
467 122 663 107 119 104 121 132 114 109 91 90 85 64 99 120 10.9251
696 122 710 107 119 104 121 131 114 108 92 90 85 62 99 119 11.2801
583 122 1004 106 119 104 121 131 113 109 91 90 85 63 99 119 11.5564
454 122 695 106 119 104 121 131 113 108 91 90 84 63 98 119 11.9128
591 121 988 106 119 104 121 131 113 108 91 89 84 62 98 119 12.2338
473 122 1026 107 120 104 121 132 114 109 92 90 85 63 98 119 12.6575
873 122 545 107 119 104 121 132 113 109 92 90 85 63 99 120 12.9753
510 122 987 106 119 104 122 132 114 109 92 90 85 63 99 119 13.2931
485 122 584 106 118 104 122 131 113 109 92 90 85 63 99 119 13.644
499 122 857 106 119 105 121 131 113 109 92 90 84 63 98 119 14.033
489 121 952 107 119 105 122 131 114 109 91 90 85 63 98 118 14.35
467 123 586 108 119 105 122 132 114 110 92 90 85 64 99 120 14.7392
517 122 1317 107 120 105 122 131 114 109 92 90 85 63 99 119 15.1059
585 123 725 108 120 106 123 133 115 110 93 91 86 64 100 120 15.5366
474 123 574 108 120 105 122 132 115 109 92 91 86 64 99 120 15.8141
612 121 716 107 119 105 121 131 114 109 91 90 85 63 98 119 16.1701
506 122 820 107 119 105 122 132 113 109 91 90 85 63 99 119 16.5309
638 121 839 107 119 104 121 131 114 109 91 90 84 63 98 119 16.9801
484 122 774 107 120 105 122 132 114 109 92 90 85 63 99 119 17.4191
609 122 754 106 119 104 122 132 114 109 91 90 85 63 99 119 17.7806
594 121 494 107 119 104 121 132 113 109 92 90 86 63 99 119 18.018
606 123 682 108 120 105 122 133 115 110 92 91 86 64 100 120 18.3024
513 122 863 106 119 104 122 131 114 109 92 90 85 63 99 119 18.6685
489 121 722 107 118 104 121 131 114 109 91 89 85 64 98 119 19.0323
458 122 612 106 119 104 121 131 113 108 91 90 85 63 98 119 19.3173
604 122 675 107 119 105 121 131 113 109 92 90 85 63 98 120 19.6775
645 122 876 107 119 105 122 132 114 109 92 90 85 63 99 119 20.0444
590 121 786 106 119 104 121 131 114 109 92 89 85 62 99 119 20.4136
571 122 1382 107 120 105 121 132 114 109 92 91 85 63 99 119 20.7787
720 122 679 107 119 104 122 131 114 109 91 90 85 63 98 119 21.0651
476 121 1035 106 119 104 122 131 114 109 91 89 85 63 98 119 21.4293
476 123 892 108 120 105 123 133 115 110 92 90 86 64 100 120 21.7912
520 122 709 106 119 105 122 132 113 109 91 90 85 63 99 119 22.1604
459 122 786 106 120 104 122 132 114 109 92 90 85 63 99 119 22.5272
487 122 1143 107 120 104 122 132 114 109 92 90 85 63 99 120 22.8119
425 123 1196 108 121 105 123 133 115 109 93 91 86 65 100 120 23.171
576 122 745 106 119 104 121 131 113 108 91 89 84 63 98 119 23.537
824 122 692 106 119 105 122 131 113 108 91 90 85 63 99 120 23.8988
598 122 587 107 119 105 121 132 114 109 92 90 85 63 99 119 24.2968
925 122 1211 107 120 104 122 131 114 109 92 90 84 63 99 119 24.6615
729 122 586 107 120 104 121 131 114 109 92 90 85 63 99 120 25.0277
486 122 706 106 119 104 121 131 114 109 92 90 85 62 99 119 25.4197
511 121 538 106 119 105 121 131 114 109 91 89 85 62 99 119 25.7906
570 122 602 107 119 105 122 131 114 109 92 90 86 63 99 119 26.0323
607 122 916 107 119 105 121 131 114 109 91 90 85 63 98 119 26.2475
1026 122 2064 107 121 105 122 131 115 109 92 90 85 63 99 120 26.6695
437 123 1077 108 121 106 123 133 115 110 93 91 86 65 100 120 27.0293
930 121 506 107 119 104 121 131 114 109 91 90 84 64 98 119 27.3081
562 121 1443 108 120 104 121 132 114 109 92 90 85 63 99 120 27.6318
791 122 628 106 119 104 122 132 114 109 91 90 85 62 98 119 28.0418
520 122 858 106 120 105 121 132 114 109 92 90 86 63 99 120 28.4002
587 121 727 106 119 105 121 132 114 109 91 90 85 63 99 119 28.7905
479 122 736 107 120 105 122 132 114 110 92 90 86 63 100 120 29.1569
471 124 766 108 121 106 123 133 115 110 93 92 87 65 101 121 29.4393
483 123 578 107 120 106 123 133 115 110 92 91 86 64 100 120 29.8037
510 122 700 107 119 105 121 132 114 109 91 90 85 63 98 119 30.162
486 121 608 107 119 104 121 132 114 109 92 90 85 63 99 119 30.5197
716 122 682 106 119 105 121 132 113 109 92 90 85 63 99 119 30.8809
674 123 885 107 119 104 121 132 114 109 91 89 84 63 99 119 31.296
453 122 547 106 119 104 121 131 113 109 92 89 85 63 98 119 31.6587
464 122 630 107 119 104 121 131 113 109 91 89 84 63 98 119 31.942
840 122 659 106 119 105 121 131 114 109 92 90 84 63 99 119 32.3008
499 121 563 107 119 105 122 131 114 109 92 90 85 63 99 119 32.6689
647 121 1145 106 120 104 121 131 114 108 91 89 85 63 98 119 33.0277
1057 121 1007 107 120 105 122 132 114 109 92 90 85 64 99 119 33.3153
501 122 769 106 119 104 121 131 114 109 92 89 84 63 99 119 33.6775
489 122 588 107 119 105 122 132 114 109 92 90 85 62 99 119 33.9734
489 122 694 107 119 105 122 132 113 109 92 91 85 63 99 120 34.2136
491 122 821 107 120 105 121 132 115 110 92 90 85 63 99 120 34.67
594 122 717 106 119 104 122 131 114 108 92 90 85 63 99 119 35.0338
606 122 1020 107 120 105 122 132 114 109 92 90 85 63 99 119 35.3168
574 122 650 107 119 105 121 132 114 110 91 91 85 63 99 120 35.6833
908 122 691 106 119 105 121 131 113 109 92 90 85 63 98 119 36.0431
933 121 713 107 119 105 121 131 113 109 92 90 85 63 98 119 36.3746
601 122 1114 108 120 105 121 132 114 109 92 90 86 64 99 119 36.7897
592 121 581 107 119 105 121 131 114 109 92 90 85 63 99 120 37.1506
461 122 679 106 119 105 122 131 114 109 92 90 85 63 99 119 37.5395
603 122 572 106 118 105 121 131 113 109 92 90 84 63 98 119 37.9057
464 121 831 107 119 105 122 132 114 109 91 90 85 63 99 119 38.1926
481 122 936 106 120 105 121 132 113 109 91 90 85 63 98 120 38.5575
757 122 697 107 119 104 122 132 114 109 92 90 85 63 99 119 38.9335
472 122 695 107 119 105 122 131 113 109 91 90 84 63 99 120 39.3107
441 122 1036 106 119 105 121 131 113 109 91 90 85 63 98 119 39.6847
599 122 2244 107 121 105 122 132 114 109 91 90 85 63 99 119 40.0599
474 122 764 107 119 105 121 132 113 109 91 90 85 63 99 120 40.441
496 121 909 107 120 105 121 132 114 109 91 90 84 63 99 120 40.8096
725 122 1415 106 120 104 121 132 113 109 91 90 84 63 99 119 41.1863
467 122 682 107 119 105 122 133 114 109 92 90 85 64 99 120 41.5724
887 122 729 107 119 105 121 132 114 109 91 89 86 63 99 119 41.9427
995 122 688 107 120 104 121 132 114 109 92 90 85 63 99 119 42.1413
763 122 669 107 119 104 121 131 113 109 92 90 85 63 99 119 42.5074
612 122 713 106 119 105 122 132 114 108 91 90 84 64 98 119 42.9271
611 122 847 107 119 104 122 132 113 109 91 90 85 63 98 119 43.2934
482 122 1072 107 120 105 122 132 114 110 92 91 85 63 99 120 43.6596
510 122 723 106 118 104 121 131 114 109 92 90 84 63 98 119 44.0228
613 121 729 106 119 104 122 132 114 108 91 89 85 63 98 119 44.419
581 122 693 106 119 105 121 132 114 109 91 90 85 63 98 119 44.7822
478 122 811 108 119 105 123 132 115 110 92 91 86 64 99 120 45.0688
606 122 817 106 119 104 121 131 113 109 91 90 84 63 98 119 45.4248
614 122 808 106 119 104 121 131 114 109 91 90 85 63 99 119 45.7915
768 122 690 107 119 105 121 132 114 109 92 90 85 63 99 119 46.1544
593 122 1223 107 120 105 122 131 114 109 92 90 84 63 99 119 46.4391
602 121 841 106 119 104 121 131 114 109 91 89 84 63 98 119 46.792
1045 122 633 106 120 105 122 132 114 109 91 91 86 63 99 120 47.1529
479 121 869 106 119 104 121 131 114 108 91 90 85 62 98 119 47.5286
480 122 856 107 119 105 121 131 113 109 92 90 85 63 99 119 47.7999
459 122 686 107 120 105 121 131 114 109 91 90 85 64 99 120 48.1527
660 122 2238 107 121 105 122 132 114 109 92 90 86 63 99 119 48.4341
438 124 1021 108 121 107 123 133 115 111 93 92 86 64 100 121 48.7949
949 122 869 107 120 104 121 132 114 109 91 90 84 63 99 119 49.1483
614 122 558 107 119 105 121 132 113 109 92 90 84 63 98 120 49.5103
466 122 685 106 118 104 121 131 113 109 91 90 84 63 98 119 49.9308
482 122 601 107 119 104 121 131 113 110 92 90 85 63 99 120 50.103
482 123 631 107 120 106 122 133 115 110 92 91 85 64 100 121 50.3202
493 122 599 107 119 105 121 132 114 109 92 90 85 63 99 120 50.6851
683 122 917 107 119 104 121 131 113 109 91 90 84 62 98 120 51.0478
720 122 604 107 119 104 122 132 114 109 91 90 85 64 98 119 51.4079
452 121 710 107 119 104 121 131 114 109 91 90 85 64 98 119 51.6914
484 122 668 106 118 104 121 131 114 109 91 90 85 63 99 119 52.0616
472 122 815 107 119 105 121 132 114 110 91 90 85 63 98 120 52.4242
713 121 604 107 119 104 122 131 114 109 91 89 84 63 98 119 52.7868
958 121 598 107 119 104 122 131 114 109 91 89 85 63 99 118 53.1448
468 124 584 108 120 106 123 133 115 111 93 92 86 65 100 121 53.5045
616 122 697 106 119 105 121 132 114 109 91 90 84 63 98 119 53.9273
613 122 684 107 119 104 121 131 113 108 91 90 84 63 98 119 54.2803
467 122 643 107 119 104 121 132 113 108 91 90 85 63 98 119 54.548
574 122 609 107 119 104 121 131 114 109 91 90 84 63 99 120 54.9003
585 122 729 107 119 105 122 132 114 110 91 90 85 63 99 120 55.2444
480 122 554 107 120 105 122 132 113 109 92 91 85 63 99 120 55.6605
520 122 1015 107 120 106 122 132 114 109 92 91 85 63 99 120 55.9749
483 122 1458 107 120 105 121 132 114 109 92 90 85 63 98 119 56.3244
595 121 683 107 119 105 121 132 114 109 91 90 85 63 98 119 56.7891
473 122 542 107 119 105 121 132 113 109 91 90 85 63 98 119 57.0574
589 122 573 107 119 105 122 132 114 109 92 90 85 64 99 120 57.4055
483 122 706 107 119 105 121 131 114 109 92 90 85 63 99 119 57.834
460 123 679 107 119 105 121 132 114 109 92 90 85 64 98 120 58.2459
457 122 712 107 119 104 121 132 113 109 92 90 85 63 99 120 58.6616
472 122 642 107 120 105 122 132 115 110 92 90 86 64 99 120 58.9382
596 122 677 106 119 105 121 132 113 109 91 90 85 63 98 119 59.2937
593 122 732 107 119 104 121 132 114 109 92 90 85 63 99 119 59.6546
452 123 585 107 119 105 121 132 114 109 91 91 85 63 99 120 59.9764
