ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
257 122 603 108 120 106 122 133 115 110 92 91 86 64 100 121 0.546396
255 122 800 107 119 105 121 132 114 109 92 91 85 63 100 119 0.901527
305 122 1020 107 119 105 121 132 114 109 91 90 85 63 99 120 1.2462
269 121 669 107 119 104 120 132 113 109 92 90 84 64 98 119 1.66211
577 122 431 107 119 106 122 132 114 109 93 91 85 64 100 120 1.97871
271 121 585 106 118 105 121 131 113 108 90 90 85 63 98 119 2.32176
634 123 443 108 120 106 122 133 115 109 93 90 86 64 99 121 2.66961
444 123 464 108 122 107 124 134 115 110 93 91 86 64 100 120 3.01715
247 122 924 108 120 106 122 133 114 110 92 90 85 65 100 120 3.36826
728 122 774 108 119 106 121 133 114 109 92 91 86 64 99 120 3.79228
347 121 729 106 118 104 121 131 113 108 91 90 84 62 98 118 4.14687
589 123 452 108 121 106 123 133 115 110 94 91 87 65 100 121 4.30687
371 121 706 106 119 105 121 132 113 109 92 90 84 63 99 120 4.70574
574 122 466 107 118 104 121 132 114 108 92 90 85 63 98 119 5.0576
249 122 940 107 119 104 121 132 114 109 92 90 85 64 99 120 5.4143
232 122 587 107 119 106 122 132 114 109 92 91 86 63 99 120 5.68735
293 123 941 109 121 107 123 133 115 110 94 91 86 65 101 120 6.04509
262 122 571 107 119 105 121 132 114 109 91 91 85 64 99 120 6.39705
262 121 643 107 119 105 121 132 113 109 91 90 85 63 98 119 6.74753
253 123 559 107 120 105 122 133 113 110 92 91 85 64 100 120 7.17154
247 122 557 107 120 106 122 132 114 109 93 90 85 64 99 120 7.52669
275 122 1236 107 120 105 121 131 114 109 92 90 85 63 98 120 7.91611
575 121 532 106 118 104 121 131 113 108 91 89 84 62 98 118 8.27328
247 121 662 107 118 105 122 131 114 109 92 90 85 64 98 119 8.62535
271 123 568 108 119 106 122 133 115 110 92 91 86 64 100 120 9.04397
262 122 607 107 119 105 122 132 113 109 92 90 85 63 99 119 9.39975
381 121 602 106 119 104 121 132 113 109 91 89 85 63 99 119 9.79022
244 121 570 106 118 104 121 131 113 108 91 90 84 63 98 119 10.0617
555 123 451 108 120 106 123 133 114 110 92 91 85 64 100 120 10.4155
234 122 574 107 119 105 122 132 114 109 93 91 85 64 99 120 10.6939
317 123 691 108 120 105 122 132 114 109 92 90 85 64 100 120 11.0567
765 122 452 108 119 105 122 132 114 109 92 90 86 64 99 120 11.8582
461 121 468 106 119 105 121 132 114 109 91 90 85 63 98 119 12.2129
274 121 716 107 119 104 121 132 114 109 91 90 84 63 98 119 12.4909
255 121 704 107 119 104 121 132 114 110 91 90 85 64 99 119 12.9185
428 122 470 107 119 105 121 132 114 109 92 90 85 63 99 119 13.2716
250 121 675 106 119 104 121 132 114 109 91 90 84 64 98 118 13.6253
612 122 557 107 119 105 121 132 114 110 91 90 85 63 98 120 14.0466
243 122 818 107 119 105 121 132 114 109 92 90 85 63 99 119 14.4024
456 123 479 108 120 106 122 133 115 110 92 90 86 64 99 120 14.791
247 121 696 107 119 105 121 132 114 110 92 90 84 64 99 119 15.0652
267 121 618 106 118 105 121 132 114 109 91 90 85 63 99 120 15.416
264 121 714 106 118 104 121 132 114 109 92 89 84 63 98 119 15.7747
439 122 492 108 120 106 122 132 114 111 91 91 85 63 100 120 16.1652
246 122 768 106 119 105 121 132 114 109 92 90 85 63 98 120 16.5229
324 121 589 106 119 105 122 132 114 109 92 90 85 63 99 119 16.9201
283 122 703 107 119 104 121 132 114 109 92 90 84 63 99 120 17.2443
854 122 477 107 119 105 121 132 114 109 92 91 85 63 98 119 17.6668
262 122 612 107 119 105 121 132 114 109 92 90 84 63 98 119 17.942
779 122 450 106 119 104 121 132 114 109 92 90 85 63 98 119 18.2977
648 121 454 107 119 104 121 132 114 109 91 90 84 63 98 119 18.6506
585 122 454 107 119 104 122 131 114 109 91 90 85 63 98 119 19.0423
581 122 473 108 119 105 121 132 114 110 91 90 85 63 99 120 19.3968
590 122 460 107 119 104 121 132 114 109 91 90 84 63 99 119 19.7499
291 121 601 107 119 105 121 132 115 110 92 90 85 64 99 120 20.1729
1047 122 681 107 120 105 121 132 114 109 92 90 85 63 99 120 20.3382
236 122 832 107 120 105 121 132 114 109 92 90 85 63 99 119 20.6254
