ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
337 122 1275 107 121 106 122 132 114 110 92 91 86 64 99 121 0.423835
238 122 1171 107 120 104 121 132 113 109 92 90 85 63 99 119 0.868187
253 123 593 106 119 105 121 132 114 109 92 90 85 63 99 120 1.28494
298 122 1352 107 120 104 121 132 113 109 91 89 85 64 99 119 1.55754
242 123 576 107 119 105 121 132 114 109 91 90 85 63 99 120 1.90765
274 121 595 107 120 104 121 132 114 109 92 90 84 63 99 120 2.21997
289 122 620 107 119 105 121 132 113 109 92 90 85 63 99 120 2.59767
235 122 758 107 119 105 121 131 113 109 92 90 85 63 98 119 2.96433
180 122 590 106 119 104 121 131 113 108 91 89 85 63 99 119 3.42551
403 122 728 107 119 105 121 132 113 109 91 90 85 63 99 119 3.78825
223 122 620 107 119 104 121 132 113 108 92 90 85 63 99 119 4.10839
254 122 711 107 119 105 121 132 114 109 92 90 85 64 99 120 4.42989
266 122 634 107 119 105 121 132 113 109 91 90 85 63 99 120 4.59881
383 122 678 107 119 104 121 132 114 109 91 90 85 64 99 120 4.91863
218 122 736 107 118 104 121 132 113 108 91 90 84 63 98 120 5.19307
255 122 826 107 119 105 121 132 114 109 92 90 85 63 99 120 5.55283
225 122 704 106 119 105 121 132 113 108 91 90 85 63 98 119 5.91707
405 122 602 106 120 105 120 132 114 109 91 90 85 63 98 119 6.19252
253 122 593 107 119 105 121 132 113 109 91 90 85 64 99 120 6.55038
270 123 1028 107 120 105 122 132 113 109 92 91 85 63 99 120 6.92152
302 122 597 106 118 104 120 131 113 108 91 90 84 63 98 119 7.29453
270 122 944 108 120 105 121 131 114 110 92 90 85 64 99 120 7.56618
247 122 911 107 119 104 121 131 114 109 91 90 85 64 99 119 7.92905
341 122 695 107 120 105 121 132 114 109 91 90 85 64 99 120 8.29295
285 122 621 107 119 105 121 132 114 109 92 91 85 64 100 119 8.62629
399 122 585 107 119 105 121 132 113 109 91 90 85 63 99 119 9.05121
255 123 732 107 119 106 121 132 114 109 92 91 85 64 99 121 9.41667
278 122 659 107 119 105 121 132 113 109 91 90 85 63 98 120 9.6917
254 122 590 107 119 105 121 132 114 110 92 90 84 64 100 120 10.0451
283 122 1077 106 119 104 120 132 113 109 92 90 84 63 98 119 10.3993
301 122 930 107 119 105 121 132 114 109 91 90 85 64 99 120 10.7988
304 122 578 107 119 105 121 132 113 109 91 90 85 64 99 120 11.1531
310 123 693 107 120 105 121 132 114 109 92 91 85 63 99 120 11.5433
286 122 812 107 120 105 121 131 113 108 92 90 85 64 99 120 11.9094
253 122 581 107 119 105 122 132 114 109 91 90 85 64 99 120 12.2933
276 122 726 108 119 105 121 132 114 109 92 90 85 63 98 119 12.5275
264 123 603 108 120 105 121 132 114 109 92 91 85 64 99 120 12.8026
230 125 813 109 121 107 123 134 115 111 93 92 87 65 101 121 13.1587
228 123 668 107 119 105 121 132 113 109 91 90 85 64 99 120 13.5446
257 122 580 107 119 105 121 131 114 109 92 90 85 63 98 120 13.9111
301 122 788 107 119 105 121 132 114 110 92 90 85 64 99 120 14.1865
288 122 791 107 119 104 121 132 114 110 92 90 84 64 99 120 14.5489
284 122 590 107 119 104 121 132 113 109 91 90 85 63 98 119 14.9155
189 122 830 107 119 105 121 132 113 109 91 90 84 64 98 120 15.1956
300 122 807 107 119 105 121 132 113 109 91 90 85 63 99 120 15.5606
412 122 568 106 119 105 121 132 113 108 92 90 85 63 98 119 15.9223
263 123 581 108 120 106 121 132 114 110 93 91 85 64 100 121 16.2777
320 122 586 107 119 105 121 131 113 109 91 90 85 63 99 119 16.6683
271 123 591 107 119 105 121 132 114 109 92 91 84 64 98 120 17.0247
245 122 820 107 120 105 121 133 114 109 91 90 85 63 98 119 17.3853
267 123 1778 107 120 105 121 132 114 109 92 90 85 63 99 120 17.8029
261 123 575 107 119 105 121 132 114 109 92 91 85 63 99 120 18.1637
229 122 908 107 119 105 120 132 113 109 92 91 85 63 99 119 18.4873
290 122 883 107 119 105 121 132 114 109 92 90 84 63 99 119 18.8047
266 122 843 107 119 105 121 132 114 109 91 90 85 63 99 120 19.1643
503 122 776 107 119 105 121 133 115 109 92 91 85 64 99 120 19.4404
258 121 708 107 119 104 120 132 114 109 92 90 84 63 99 119 19.7979
247 122 610 107 118 105 121 131 114 109 91 90 85 63 99 120 20.1542
216 122 578 106 119 105 121 132 114 109 91 90 84 63 99 120 20.4725
283 122 1286 107 119 104 121 132 114 109 91 90 85 63 99 119 20.6372
249 122 585 107 119 105 121 132 113 109 92 91 85 63 99 120 20.9938
313 122 579 107 119 104 121 132 113 110 91 90 85 63 98 120 21.4159
261 123 706 107 119 105 121 132 114 109 92 91 85 64 99 120 21.6961
238 122 586 108 119 104 120 132 113 109 92 90 84 63 99 119 22.0549
485 123 803 107 119 105 121 132 113 109 92 91 84 63 98 120 22.4131
219 123 611 107 119 105 120 132 114 109 91 90 85 63 98 120 22.6871
238 123 1059 108 120 105 121 133 114 110 92 90 85 64 99 120 23.0426
276 124 597 108 121 107 123 135 116 112 94 93 87 65 101 122 23.4011
398 122 819 107 120 105 121 132 114 109 92 91 85 64 99 120 23.7525
317 123 737 109 120 105 122 133 115 111 93 91 86 65 100 121 24.1777
306 122 617 107 119 106 121 131 114 109 92 90 85 64 98 120 24.5365
312 122 685 107 119 105 121 132 113 109 91 91 85 64 98 120 24.8156
224 122 626 107 119 105 121 132 114 109 92 90 85 64 99 120 25.1709
325 122 697 107 119 105 121 132 115 110 92 90 85 64 99 120 25.5275
204 122 636 107 119 104 121 132 114 109 92 90 84 64 99 120 25.8825
253 122 925 107 119 105 121 132 114 109 91 90 85 63 99 119 26.2968
263 122 653 107 119 104 121 132 114 109 92 91 86 63 98 120 26.5693
367 122 590 107 119 105 121 132 114 109 91 91 85 64 99 120 26.9238
251 122 836 107 120 104 121 132 114 109 92 90 85 63 99 119 27.2767
358 122 791 107 119 105 121 132 114 110 92 90 85 64 99 120 27.631
264 122 589 107 119 105 121 132 114 110 92 90 84 64 99 120 28.0497
309 123 598 107 120 105 121 132 114 109 92 90 85 64 99 120 28.4154
308 121 601 107 120 104 120 131 114 110 91 90 85 63 99 120 28.5808
261 122 602 107 119 105 121 132 114 110 91 90 85 63 99 120 28.8715
270 123 737 109 121 106 123 133 115 111 93 91 86 65 100 121 29.2924
370 122 587 107 119 105 121 132 114 110 92 91 85 64 99 119 29.5738
247 122 583 108 119 105 121 133 114 110 92 90 85 64 99 120 29.9291
304 121 594 107 119 104 120 132 114 109 92 90 84 64 99 120 30.2889
283 123 708 107 119 105 121 132 114 110 91 90 85 64 99 120 30.5727
214 123 614 107 120 105 121 132 114 109 92 91 85 64 99 120 30.9357
278 123 586 107 119 105 121 132 114 110 91 91 85 64 98 120 31.2945
213 123 714 107 119 105 122 132 114 110 91 91 85 64 99 121 31.6489
237 122 583 107 119 105 121 132 114 109 91 90 85 63 99 120 32.0064
232 123 596 108 120 106 122 133 115 110 93 91 86 64 99 121 32.4249
200 122 578 107 119 104 121 132 114 109 92 90 85 63 99 120 32.7802
265 122 732 106 119 104 121 132 114 109 91 90 85 62 98 119 33.173
228 122 566 106 118 104 121 131 113 108 92 89 84 62 99 119 33.5296
212 122 804 107 120 104 121 132 113 108 92 90 85 63 99 120 33.9188
294 121 726 106 119 104 121 132 114 108 91 90 84 63 99 119 34.1955
443 121 719 106 119 104 121 131 113 108 92 90 85 63 98 119 34.5511
273 122 583 106 119 104 121 131 113 109 91 90 84 63 99 119 34.9064
228 121 685 106 119 104 121 130 113 108 91 90 84 62 98 119 35.2937
289 122 693 106 119 104 120 132 113 108 91 89 85 63 98 119 35.5747
