ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
495 123 1043 107 121 106 122 132 115 110 92 90 85 64 99 120 0.555542
764 122 391 107 119 104 121 131 113 108 91 90 84 63 99 119 0.906341
869 121 640 107 119 105 121 131 113 109 91 90 84 63 98 119 1.25501
274 122 295 106 119 104 121 132 114 109 91 90 85 63 98 119 1.67691
463 122 1029 106 119 104 121 131 113 108 91 90 84 62 98 119 1.98681
346 122 988 106 119 105 121 132 114 108 91 90 85 62 98 119 2.26387
372 122 307 106 117 104 119 132 113 108 92 90 84 63 97 119 2.70124
359 122 480 106 118 104 121 132 113 108 91 90 85 63 98 119 3.04787
458 122 729 107 119 105 121 132 113 108 91 90 85 63 98 120 3.32526
467 122 506 107 119 105 121 132 114 109 92 90 84 62 98 120 3.67189
613 121 501 107 119 104 120 132 113 108 92 90 84 62 98 119 3.99031
1361 122 517 107 120 105 121 131 114 109 92 90 85 63 99 119 4.34081
373 122 665 107 119 105 121 132 114 109 91 90 85 63 98 119 4.68618
477 123 417 106 119 105 121 133 114 109 91 90 86 63 99 120 5.03801
430 122 517 107 119 105 121 132 114 108 91 90 85 63 99 119 5.39308
284 122 326 107 119 105 121 131 114 109 91 90 84 64 99 120 5.80153
897 122 544 107 119 105 121 131 113 109 91 90 84 63 98 120 6.11156
450 122 484 107 119 105 121 131 114 109 91 89 84 63 98 119 6.45919
412 122 520 107 119 105 121 131 114 109 92 90 84 63 98 120 6.80247
436 122 417 107 119 105 121 132 113 109 92 91 85 63 99 119 7.06959
327 130 391 114 127 112 127 139 121 116 98 98 93 71 106 127 7.346
454 123 494 106 119 105 121 132 114 108 92 90 85 62 98 119 7.50628
489 123 538 106 119 105 120 132 114 108 91 90 84 63 98 119 7.92132
1648 122 700 107 119 104 121 131 114 109 92 90 85 63 99 120 8.1899
1219 122 731 107 119 104 120 132 113 108 91 90 84 63 98 119 8.53714
463 122 523 107 119 105 120 132 113 109 91 90 84 63 98 120 8.88089
475 121 513 106 118 104 120 131 113 108 91 89 84 63 98 119 9.17532
728 123 483 107 119 105 120 132 114 109 92 90 85 64 99 119 9.4497
456 122 505 106 119 105 121 131 113 109 91 90 85 63 98 120 9.80654
420 122 877 107 119 105 121 132 114 109 92 91 85 64 98 119 10.1586
594 122 634 107 119 104 120 132 113 108 91 89 84 63 98 119 10.604
706 129 399 114 127 111 127 138 120 116 97 96 91 70 106 126 11.016
431 122 484 106 119 104 121 131 113 109 91 90 84 62 98 120 11.2492
603 123 643 107 119 105 120 132 113 108 91 90 84 63 98 119 11.5889
939 122 521 107 119 104 121 131 113 108 91 90 84 63 99 119 11.9464
575 122 535 107 119 105 120 131 114 109 91 90 85 62 99 119 12.2594
1180 123 714 107 120 106 121 132 114 109 92 91 85 63 99 120 12.705
