ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
364 123 313 107 119 105 121 133 114 109 92 91 85 64 99 120 0.401676
378 121 656 106 119 104 121 131 114 108 91 89 84 63 98 119 0.82872
467 121 994 106 119 104 121 131 114 109 92 90 84 63 98 119 1.18783
599 121 491 106 119 104 121 131 114 109 91 89 84 63 98 120 1.57772
392 122 539 106 119 104 121 131 114 108 91 90 84 63 98 119 1.92195
623 120 507 105 117 103 119 130 112 107 91 89 83 62 97 118 2.21182
349 122 476 106 119 105 120 131 113 108 91 90 84 62 98 119 2.46048
469 122 480 107 120 105 120 131 114 108 92 90 85 63 99 119 2.82578
367 122 312 106 119 105 121 132 113 109 92 91 85 63 99 119 3.10144
404 120 286 105 117 103 120 130 113 107 92 89 83 61 97 118 3.4493
508 121 655 106 119 104 121 131 114 108 91 89 85 62 99 119 3.81342
523 122 311 106 119 105 121 132 114 108 91 90 85 63 99 119 4.20653
1018 121 445 107 119 104 121 132 113 107 91 90 85 63 98 119 4.57322
344 121 459 107 118 104 120 131 113 108 91 89 84 63 98 119 4.92994
625 121 477 106 119 104 121 131 113 109 91 89 85 63 99 119 5.28891
470 122 536 106 119 104 120 131 113 108 91 90 84 62 98 119 5.70821
601 122 633 107 119 104 121 132 113 108 91 90 85 63 98 119 6.07335
364 122 468 107 120 105 121 131 113 109 92 90 85 63 98 120 6.43386
499 122 483 106 119 105 120 132 114 109 91 90 84 63 98 119 6.82496
329 130 361 114 127 112 129 140 122 117 99 98 93 71 107 128 7.10489
456 123 626 106 120 105 121 132 114 109 92 90 85 63 99 120 7.40242
460 122 310 106 119 105 120 131 113 108 91 90 84 62 98 119 7.74581
753 122 501 107 119 104 121 131 113 108 92 90 85 63 98 119 8.10732
455 123 312 108 119 106 121 133 114 109 92 90 86 64 99 120 8.47099
589 122 1793 108 121 105 121 132 114 109 91 90 85 63 99 119 8.82946
463 122 447 106 119 105 121 131 113 108 92 90 85 63 99 119 9.18991
478 122 468 107 119 105 120 131 114 109 91 90 85 63 98 119 9.57874
309 124 320 108 119 106 121 133 114 110 93 91 86 64 99 121 9.91775
386 122 643 107 120 105 121 132 114 108 92 90 85 63 99 120 10.2117
761 122 859 106 119 104 121 131 114 108 91 90 84 62 98 119 10.4628
449 122 496 106 120 105 121 132 114 109 92 90 85 63 98 119 10.8228
273 123 285 107 119 105 122 132 114 109 92 91 85 64 99 120 11.0986
1280 122 959 107 120 105 121 131 114 108 91 90 85 63 99 120 11.3146
463 122 461 107 119 104 121 132 114 108 91 90 84 63 99 119 11.6038
583 122 321 106 119 104 121 131 113 108 92 90 85 63 99 120 11.9476
462 122 313 106 118 104 120 132 113 108 91 90 84 62 98 119 12.2681
457 122 824 105 118 105 121 131 113 108 91 90 84 62 98 119 12.6045
458 121 466 106 119 105 121 131 114 109 92 90 85 63 99 119 12.9621
506 122 1258 106 119 104 121 131 114 109 92 90 85 62 98 119 13.3295
361 121 1297 106 119 104 121 131 113 108 91 90 85 63 99 119 13.6973
603 122 499 107 119 105 121 132 113 108 92 90 85 63 98 120 14.0206
339 122 495 106 119 105 121 131 114 109 92 90 85 63 99 119 14.3608
600 122 516 106 119 104 121 131 113 108 92 90 84 63 98 120 14.7256
968 121 652 106 119 104 120 131 114 108 91 90 85 62 98 118 15.0686
763 122 343 107 119 104 121 131 113 109 91 90 85 63 98 119 15.4554
431 122 663 106 118 104 120 131 113 108 91 90 84 62 98 119 15.8184
721 122 526 107 119 104 121 131 113 108 92 90 84 63 99 119 16.2074
742 122 846 106 119 104 121 132 114 109 91 90 85 62 99 118 16.5642
453 121 329 106 119 104 120 131 114 108 91 90 85 63 98 119 16.8729
582 122 510 106 119 104 121 131 114 109 91 90 85 63 99 119 17.2076
661 122 658 106 119 105 120 131 113 108 92 90 85 62 98 119 17.572
598 122 339 106 119 105 120 131 114 109 91 90 85 63 98 119 17.8496
891 122 1018 107 119 104 121 131 114 108 91 90 84 62 98 119 18.1274
462 121 492 106 119 105 121 131 114 109 92 90 85 63 98 119 18.2942
904 122 479 107 119 105 121 131 114 109 91 90 85 63 99 120 18.7056
360 122 597 107 119 104 120 132 113 108 91 90 84 63 98 120 19.0671
598 121 461 106 119 104 120 131 113 109 91 89 84 63 98 119 19.4321
468 122 364 106 119 105 121 132 113 108 91 90 84 63 98 119 19.7884
459 122 473 106 119 104 121 131 114 108 92 90 85 63 99 118 20.2021
450 121 957 106 119 105 120 132 114 109 92 89 84 62 98 119 20.5633
420 121 500 106 118 104 120 131 114 108 91 89 84 63 98 119 20.9624
434 122 588 107 119 104 120 131 114 109 91 90 84 63 98 119 21.3338
608 121 531 106 119 104 121 132 113 108 91 90 84 62 98 119 21.7006
363 121 718 106 118 104 121 131 113 108 91 90 85 63 98 118 22.0597
588 121 517 106 119 104 121 131 113 108 91 89 84 63 98 120 22.4567
629 121 1179 106 119 104 121 131 113 108 91 90 84 63 98 119 22.815
456 121 500 106 119 104 121 131 114 108 91 90 85 63 98 119 23.1646
465 122 501 106 119 105 121 131 113 108 92 90 84 62 99 119 23.5745
615 122 350 107 119 105 121 132 114 109 92 90 85 63 98 119 23.9299
606 122 489 106 118 104 121 132 113 108 91 90 84 62 98 119 24.2889
331 121 635 106 119 104 120 131 114 108 91 90 83 62 97 119 24.7126
443 122 816 106 119 104 120 130 113 108 91 89 84 62 97 118 25.0835
475 122 647 106 119 104 121 131 113 108 91 89 84 63 98 120 25.4449
433 122 344 106 119 104 120 132 114 109 92 90 85 64 99 120 25.7286
490 122 684 106 119 104 121 132 114 109 91 90 85 63 98 119 26.064
355 122 568 107 119 105 120 132 113 109 92 90 85 63 98 119 26.2334
599 121 335 106 118 104 120 131 113 108 91 89 84 62 98 119 26.5818
477 122 416 106 118 104 121 132 113 108 91 90 84 62 98 119 26.9341
356 122 671 106 118 105 121 131 114 108 91 90 85 63 99 119 27.3634
491 122 505 106 118 105 120 131 113 108 91 89 84 62 98 119 27.7166
906 121 1170 106 119 104 121 132 114 109 91 90 85 63 98 119 28.083
466 121 328 107 119 104 121 131 113 108 91 89 84 63 98 119 28.4416
446 122 654 106 118 104 120 131 114 108 91 90 84 62 97 119 28.8312
