ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
231 123 348 108 120 105 122 133 114 109 92 91 85 64 99 120 0.486718
231 122 370 106 119 105 121 131 114 109 91 90 84 63 98 119 0.752485
230 122 359 106 119 105 120 132 114 109 91 90 84 63 98 120 1.09641
225 122 351 106 117 104 119 130 112 108 91 89 84 62 97 119 1.44106
229 121 355 106 118 105 121 132 113 109 92 90 84 63 98 119 1.78668
228 122 353 107 119 104 121 132 114 109 92 89 83 63 99 119 1.94619
229 122 382 107 119 104 121 132 113 109 92 90 85 63 99 119 2.18377
230 122 373 106 118 105 121 132 113 109 92 90 84 63 98 119 2.6097
227 123 398 106 119 105 121 132 113 108 91 90 85 63 99 120 2.96763
228 122 336 107 119 105 120 132 114 109 92 90 85 64 99 120 3.28373
225 122 380 107 118 104 120 132 113 109 91 90 84 63 98 119 3.6232
226 122 376 107 118 105 121 131 113 109 91 90 84 63 98 119 3.99092
234 122 404 106 119 105 121 131 114 108 91 90 84 63 99 119 4.35237
231 122 390 107 118 104 120 131 113 109 91 89 84 63 98 119 4.63522
228 122 373 106 119 105 121 132 114 108 91 90 85 63 99 119 4.97692
231 122 383 107 118 104 121 131 114 109 91 90 84 63 99 119 5.37119
223 122 362 106 117 104 119 131 112 108 91 90 83 63 98 118 5.73474
231 123 333 107 119 105 121 132 114 109 92 91 85 63 99 120 6.09347
231 122 334 107 119 104 121 132 114 109 92 90 85 63 99 120 6.4932
228 122 391 107 119 105 121 132 114 109 91 90 84 63 98 119 6.85891
232 123 339 107 119 105 121 132 114 109 91 90 85 64 98 119 7.19815
231 122 342 107 119 105 121 131 114 109 91 90 85 63 98 120 7.61958
234 124 342 108 120 106 123 133 114 110 93 91 86 64 101 121 7.95707
230 122 347 107 118 105 121 131 114 109 92 90 85 63 99 119 8.36992
231 122 357 107 119 105 120 132 114 108 91 90 84 63 99 120 8.72451
231 122 334 107 118 104 121 132 114 109 92 90 84 63 98 120 9.09829
234 123 397 107 119 105 120 131 114 109 91 90 85 63 98 120 9.3737
231 122 332 107 119 105 121 132 113 109 92 90 84 63 98 120 9.63235
232 122 388 107 118 105 121 132 114 109 91 90 85 63 98 119 9.84628
229 121 357 106 117 103 120 131 113 107 91 90 84 63 97 119 10.1263
230 122 392 107 119 104 121 132 114 109 91 90 85 63 99 119 10.3861
231 122 375 106 118 104 120 132 113 108 91 90 84 63 98 119 10.7205
228 122 345 107 119 105 121 132 114 109 91 90 85 63 99 119 10.9627
229 122 347 107 118 105 120 132 113 108 91 90 85 63 98 119 11.3655
226 122 363 107 119 105 121 132 114 109 91 90 85 63 99 119 11.7303
230 122 364 107 118 105 121 132 114 109 91 90 85 64 98 120 12.0535
229 122 392 107 119 105 121 132 114 108 91 90 84 63 99 120 12.3901
231 122 404 107 118 104 121 132 113 109 91 90 85 64 99 119 12.7466
227 122 383 107 118 105 121 132 114 109 92 90 85 63 99 119 13.11
