ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
604 122 677 107 120 106 122 132 115 110 93 91 85 64 99 120 0.480161
832 132 1269 116 130 115 131 142 125 119 102 101 95 74 109 130 0.818482
454 122 976 106 119 105 121 132 113 108 91 90 84 62 98 120 1.19745
1052 122 922 106 118 105 122 132 113 108 91 90 84 63 98 119 1.55907
1137 122 810 107 119 105 121 131 114 109 91 90 85 63 98 119 1.94971
543 121 634 107 119 104 121 132 113 108 92 90 84 63 98 119 2.22485
548 122 683 107 119 104 121 132 114 108 91 90 85 63 99 119 2.58151
467 121 677 107 119 105 121 130 113 108 91 90 85 63 98 119 3.39208
508 122 627 106 119 104 121 132 114 108 92 90 85 63 98 119 3.64488
362 121 509 106 118 104 121 131 114 108 91 90 84 62 97 119 4.09206
463 122 720 107 119 104 121 131 113 109 91 90 84 63 98 120 4.45663
1535 122 843 106 119 104 121 131 113 108 91 90 85 63 98 119 4.80959
574 122 692 106 119 104 121 132 113 109 91 90 84 63 98 119 5.19917
542 122 682 106 119 105 122 131 114 109 91 90 84 63 98 119 5.52038
443 122 713 107 119 104 121 132 114 109 91 90 84 63 98 119 5.95372
492 123 835 106 119 105 121 131 114 109 92 90 85 63 98 119 6.30873
681 122 757 106 119 105 122 131 114 109 91 90 86 63 98 119 6.70083
625 122 798 107 118 105 121 131 113 109 91 89 84 63 98 120 7.0339
1221 122 622 106 119 104 121 132 114 108 92 90 85 63 98 119 7.45143
517 123 813 107 119 104 122 132 114 108 91 90 85 64 98 120 7.80648
482 122 1113 107 120 105 121 133 113 109 92 91 84 63 99 119 8.15723
1201 122 650 106 119 105 121 131 113 108 91 90 85 63 98 120 8.57603
414 122 659 107 119 104 121 132 114 109 91 89 86 64 97 119 8.94023
415 123 718 108 120 106 122 132 114 110 92 91 86 64 99 120 9.32469
437 122 971 107 119 104 122 132 114 109 91 90 85 63 98 120 9.68966
533 122 703 107 119 105 121 132 114 108 91 90 84 63 98 119 9.99265
461 122 674 107 119 105 121 132 114 109 91 91 85 63 98 120 10.1719
663 122 793 107 119 104 121 131 113 109 91 90 84 63 98 119 10.5846
703 122 660 107 119 105 121 132 114 109 92 90 85 63 99 119 10.9652
484 121 698 107 119 104 121 131 114 109 92 90 85 64 98 118 11.3285
444 122 801 107 119 104 121 132 113 109 91 90 85 64 98 119 11.5595
457 122 815 107 119 105 121 131 113 109 91 90 84 63 98 119 11.8334
516 121 833 107 119 104 121 131 113 109 91 90 85 62 98 119 12.1868
468 122 683 107 119 105 122 132 114 109 92 90 85 63 99 120 12.5731
1157 121 601 106 118 104 120 131 114 109 91 90 84 63 97 120 12.8921
469 122 708 108 119 105 122 132 115 110 92 91 85 64 98 120 13.2488
835 122 1007 107 119 105 121 132 114 109 92 90 85 64 99 120 13.7095
624 122 796 106 119 105 121 132 113 109 91 89 85 63 98 120 14.0718
687 122 648 106 119 105 121 132 115 110 92 90 85 63 98 120 14.3497
475 122 663 107 119 105 122 132 114 109 91 91 85 63 98 120 14.7012
699 122 632 107 118 105 121 131 114 109 91 90 84 63 98 119 15.0209
447 122 797 107 119 105 121 132 114 109 91 90 85 63 99 119 15.4507
675 122 630 107 118 105 121 132 114 109 91 90 84 63 98 119 15.7712
599 122 792 107 119 105 121 132 114 109 92 90 85 63 99 120 16.1987
546 123 604 107 120 105 122 133 115 109 92 91 86 63 99 120 16.5195
528 122 641 108 119 105 121 132 114 110 92 90 85 64 99 120 16.9603
769 122 1216 107 120 104 121 132 115 109 92 90 85 63 98 120 17.3184
492 121 614 107 118 105 121 132 114 110 92 90 85 63 99 119 17.6443
497 121 651 106 118 105 120 131 114 109 92 89 84 63 98 120 17.9303
485 122 687 107 118 105 122 132 114 109 92 90 85 63 99 120 18.2123
727 122 1164 107 120 105 122 132 115 110 91 90 85 63 98 119 18.5696
642 122 681 107 119 104 122 132 114 109 91 90 85 63 99 119 18.8917
463 121 671 107 119 104 121 132 114 109 92 90 84 63 99 119 19.1535
629 122 1025 108 119 105 122 132 114 110 91 90 85 63 99 120 19.313
655 121 664 107 119 105 121 132 114 109 91 90 85 63 99 120 19.4729
1602 122 1187 107 119 105 122 132 114 109 91 90 85 63 99 119 19.6379
560 121 658 107 119 104 121 132 114 109 91 90 84 63 98 119 19.8306
438 121 1444 106 119 104 121 132 114 108 91 89 84 63 98 119 20.1818
1482 121 795 106 119 105 121 131 114 109 91 90 85 63 98 119 20.577
700 122 636 107 118 104 121 132 114 109 92 90 85 63 98 119 20.9015
453 121 569 107 118 105 121 131 114 109 92 90 84 64 98 119 21.326
444 121 660 107 119 104 121 132 114 109 91 90 85 64 99 120 21.6021
709 121 798 107 119 104 121 132 114 109 91 90 85 63 99 120 21.9572
465 122 583 107 119 105 122 131 114 110 91 90 85 63 99 120 22.3137
1290 122 973 108 120 105 122 131 114 110 92 90 85 63 99 120 22.7019
730 122 621 107 119 105 122 131 115 109 92 90 85 63 99 120 22.9818
627 122 805 107 119 105 121 131 114 109 92 90 84 63 98 119 23.3364
415 122 654 106 119 105 121 131 113 108 91 90 85 63 98 118 23.6086
705 122 703 107 119 105 122 132 114 109 91 90 85 63 98 119 23.8247
460 121 669 107 118 105 122 132 114 110 92 90 84 63 98 119 24.1835
585 122 717 107 119 105 121 132 114 110 92 90 85 64 99 120 24.5399
465 122 679 107 118 105 121 132 114 108 91 90 85 63 98 119 24.9573
490 122 695 108 119 105 121 132 114 109 91 90 85 64 99 120 25.3111
544 122 857 107 119 105 122 132 114 109 92 91 85 63 98 120 25.7008
724 122 679 107 119 105 121 132 114 110 92 90 85 63 99 119 26.0236
478 122 635 107 119 105 122 132 114 110 93 91 86 64 99 119 26.2132
566 121 619 107 118 104 121 132 114 109 91 90 84 64 98 119 26.5412
450 122 628 107 119 105 121 132 114 109 92 90 84 63 98 119 26.9548
486 121 905 107 119 105 121 132 114 109 91 90 85 64 98 120 27.2344
529 121 631 106 118 104 121 132 114 109 91 90 85 62 99 119 27.5005
543 122 800 107 119 105 122 132 114 109 91 90 85 64 99 120 27.6609
766 121 659 107 119 105 121 132 114 109 91 90 85 64 98 120 28.0013
487 122 625 107 119 105 121 132 114 110 92 90 85 64 99 120 28.4574
501 123 605 107 119 104 121 132 114 109 91 90 84 63 98 119 28.821
852 123 608 107 119 105 121 132 114 110 91 91 84 64 98 120 29.146
494 122 672 107 119 105 122 131 114 110 91 90 85 64 99 119 29.48
437 122 648 107 119 104 121 131 113 108 91 90 84 63 98 119 29.8344
1201 122 654 107 120 105 122 132 114 109 92 90 85 63 98 119 30.1945
510 122 630 107 119 106 122 132 115 110 92 90 85 63 99 120 30.5144
737 122 705 107 119 104 121 132 114 109 91 90 85 63 98 120 30.8642
577 122 683 107 119 105 121 132 114 109 91 90 85 63 98 120 31.2211
1387 121 847 107 120 104 121 132 114 110 91 90 85 64 98 119 31.559
708 121 871 107 118 105 120 131 114 110 92 90 85 64 98 119 31.9081
495 122 712 107 119 105 122 132 114 109 92 91 85 63 98 120 32.3388
688 122 645 107 119 105 121 132 114 109 91 90 84 63 98 119 32.6996
712 122 603 107 119 105 121 133 114 109 91 91 85 63 98 119 32.9651
524 122 649 108 119 106 121 132 115 110 92 91 85 64 100 120 33.2696
779 122 673 108 119 104 121 132 113 109 91 90 85 63 98 120 33.4699
523 122 1162 108 120 106 121 132 114 110 92 91 85 64 99 120 33.8082
853 122 616 107 118 105 121 132 114 110 92 90 84 63 98 119 34.1593
531 121 777 107 119 104 121 132 114 110 92 90 85 63 99 120 34.5806
