ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
299 123 511 108 121 106 122 133 116 111 93 91 86 64 100 121 0.538874
266 122 495 107 119 105 122 132 114 109 91 90 85 63 99 120 0.810711
504 122 478 108 119 106 123 134 114 110 93 91 86 65 100 120 1.12883
425 122 536 107 119 105 122 132 114 109 92 91 85 63 99 120 1.4102
612 123 480 109 122 107 125 134 116 111 93 91 87 65 101 121 1.56651
384 122 743 107 120 105 122 131 114 109 92 90 85 62 99 120 1.90874
362 121 515 107 118 105 121 132 113 108 91 90 85 63 98 119 2.21886
355 121 507 107 119 105 122 132 114 109 92 90 85 63 99 120 2.56714
293 122 477 107 119 105 122 132 114 109 92 90 85 64 99 119 2.92206
310 121 525 107 119 104 122 131 114 109 91 90 85 63 98 119 3.27759
293 122 510 107 119 105 122 132 114 109 92 90 85 63 99 120 3.66654
317 123 494 109 120 106 122 134 115 110 92 91 87 64 100 120 3.94342
299 121 510 107 119 105 121 131 114 109 91 89 84 62 98 119 4.30066
286 123 495 109 121 106 124 135 115 110 93 91 86 64 100 120 4.64937
425 123 565 109 122 107 124 134 115 111 93 91 86 65 101 121 5.04215
302 123 522 106 119 105 121 132 114 109 91 90 85 64 98 119 5.39672
662 122 528 106 119 104 121 132 114 108 90 90 85 63 98 119 5.75035
336 121 547 107 118 104 121 131 113 109 91 90 84 63 98 119 6.17501
429 122 515 107 119 106 122 132 114 109 91 90 85 63 98 120 6.53694
316 122 718 108 119 105 121 133 114 109 92 90 85 64 99 120 6.86106
467 122 708 107 120 105 122 132 114 109 92 91 84 63 99 120 7.33237
323 122 502 106 119 105 122 132 114 109 92 90 85 63 99 119 7.69233
316 122 518 107 119 105 122 132 114 109 92 91 85 63 99 120 8.05318
291 122 532 106 118 104 122 132 114 109 91 90 84 63 98 120 8.41033
324 121 547 107 118 105 121 131 114 109 91 90 84 63 98 118 8.73153
