ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
307 124 728 107 120 105 122 133 115 109 92 91 86 64 99 120 0.469438
359 123 495 106 119 105 121 132 114 109 91 91 85 63 98 120 0.809825
489 123 459 106 119 105 121 131 114 109 91 90 84 63 98 119 1.08113
283 122 478 106 119 105 121 132 113 108 91 90 85 63 99 119 1.27739
645 123 613 107 119 105 122 132 114 109 92 91 85 63 98 120 1.69952
461 122 476 107 119 105 121 131 114 109 91 90 84 63 98 120 2.05139
321 121 304 106 117 103 119 131 113 107 91 89 84 63 97 119 2.39486
434 122 1032 106 119 104 121 132 114 108 91 90 85 63 98 120 2.74307
322 122 628 106 119 105 121 131 114 109 92 90 85 63 98 120 3.20261
395 122 645 107 120 105 121 132 114 110 91 90 85 64 98 120 3.63884
409 122 389 107 119 104 121 132 114 108 92 90 85 63 99 119 4.06466
276 122 294 107 119 105 121 132 114 109 91 90 85 63 98 119 4.37531
443 122 478 107 119 105 121 132 113 109 91 90 85 63 98 119 4.72669
418 123 519 107 119 105 121 132 114 109 92 90 85 63 99 120 4.95824
303 124 307 108 119 106 123 132 113 110 93 92 85 65 100 121 5.16649
765 122 480 106 118 105 120 131 113 109 91 90 84 62 98 119 5.51911
564 123 482 106 119 105 121 131 114 109 91 90 85 63 98 120 5.74851
597 122 1171 107 120 104 120 131 114 108 91 90 84 63 98 119 6.09996
429 123 418 107 119 105 121 132 114 109 91 90 85 63 99 120 6.4551
359 122 311 106 119 105 121 131 113 109 90 89 84 63 98 119 6.81204
298 122 492 107 119 105 121 132 114 109 91 90 85 63 98 119 7.19574
330 122 401 107 119 104 121 131 114 108 91 90 84 63 98 119 7.51247
291 122 362 106 119 104 121 131 113 108 92 90 84 63 98 119 7.86597
327 122 509 107 119 105 121 132 114 109 92 90 84 63 99 120 8.16023
351 134 576 117 130 115 132 143 125 120 102 101 96 75 110 130 8.50785
339 122 505 107 119 105 121 131 114 109 91 90 85 63 99 119 8.86139
658 122 514 107 119 105 121 132 114 108 92 90 85 63 99 119 9.20267
422 122 494 107 119 105 121 132 114 108 91 90 85 63 98 119 9.55599
750 123 993 106 119 105 121 132 113 109 91 90 85 63 98 119 9.906
314 125 355 109 121 107 124 134 116 111 93 92 88 65 101 122 10.324
591 122 406 107 119 105 121 132 113 109 92 90 85 63 98 119 10.6386
456 122 514 106 119 105 121 131 114 108 91 90 85 63 98 120 10.9901
436 122 699 106 118 104 121 132 113 108 91 90 84 62 98 119 11.448
724 122 478 107 119 104 121 132 114 109 92 90 85 64 98 119 11.7732
625 121 717 106 119 105 121 132 114 108 91 90 85 63 99 119 12.1116
492 122 517 107 119 105 121 132 114 109 91 90 85 63 98 119 12.4644
590 122 508 107 119 105 121 132 114 109 91 90 85 64 99 119 12.8154
302 123 691 106 119 105 121 131 114 109 91 90 84 63 98 120 12.9802
532 122 531 107 119 104 121 131 114 108 91 90 84 63 98 119 13.3138
468 122 872 107 120 105 121 132 113 109 91 90 84 62 98 119 13.5885
562 122 537 107 119 105 122 132 114 109 92 91 85 63 99 120 14.0242
606 122 1018 107 120 105 120 131 114 109 91 90 84 63 98 119 14.4416
450 121 698 106 119 105 122 131 114 109 92 90 84 62 99 120 14.7858
654 122 393 106 119 104 121 132 113 108 91 90 84 63 98 119 15.2432
753 122 500 106 119 105 121 131 113 108 91 89 84 63 98 120 15.5349
595 122 691 107 119 104 121 132 114 109 92 90 85 64 98 119 15.7524
336 122 507 106 119 105 121 132 114 109 92 90 85 63 98 119 16.0889
448 122 488 107 118 105 121 132 113 109 91 90 85 63 97 119 16.4421
337 121 648 107 119 105 121 132 113 109 92 90 84 63 98 119 16.8045
470 122 491 106 119 104 121 131 113 109 91 90 85 63 98 119 17.1486
391 122 766 106 119 104 121 131 114 108 91 90 85 63 98 119 17.5781
456 122 671 107 119 105 121 131 114 109 91 90 85 63 99 119 17.8264
446 122 905 107 119 105 121 132 114 109 91 90 85 63 98 119 18.0893
461 121 407 106 119 105 121 131 114 109 92 91 85 63 98 119 18.4312
603 122 503 107 119 105 121 131 114 109 92 90 85 63 98 120 18.7791
915 121 537 107 119 105 121 132 113 108 91 90 84 63 98 118 19.1998
375 123 395 107 118 105 121 132 114 109 92 90 85 63 99 119 19.5571
473 122 550 107 119 105 121 131 113 109 91 90 84 63 98 119 19.8981
907 122 509 106 119 105 122 132 115 109 92 90 86 63 99 119 20.3169
1045 122 528 107 119 105 121 132 114 109 91 91 86 63 99 119 20.6012
449 123 865 108 119 105 122 133 114 109 92 91 85 64 99 120 20.8308
610 122 422 106 119 105 121 132 114 109 91 90 84 63 99 120 20.9909
459 122 683 107 119 105 121 132 113 109 91 90 85 63 97 119 21.2751
602 122 519 107 119 104 120 131 113 108 91 90 84 63 98 120 21.6144
495 121 808 106 119 105 121 132 114 108 91 89 85 62 98 119 21.9508
497 122 522 107 119 105 121 131 114 108 91 90 84 63 98 119 22.2661
467 122 500 106 119 105 121 132 113 108 91 90 85 63 98 120 22.6139
298 122 861 107 119 105 121 132 114 110 92 91 85 63 98 120 22.9593
477 122 455 106 118 104 121 132 114 108 91 90 84 62 98 119 23.3067
565 122 514 107 119 105 121 132 114 109 91 90 85 63 99 120 23.6542
1203 122 463 106 119 105 121 132 113 109 91 90 84 63 98 119 24.034
320 122 466 107 119 104 121 132 113 109 91 90 84 63 98 119 24.329
594 122 361 107 119 105 121 131 114 109 91 90 84 63 97 119 24.5938
445 122 501 107 119 105 121 132 114 109 91 90 84 63 98 120 24.9308
1274 122 700 107 119 105 122 132 114 110 92 90 85 63 99 120 25.2824
570 122 718 107 119 105 121 132 114 109 91 90 85 63 98 119 25.7003
383 122 543 106 118 105 121 131 113 108 92 90 85 63 99 120 26.0235
480 121 881 107 120 104 120 131 113 109 91 90 84 63 99 119 26.36
1169 122 411 106 119 104 121 132 114 109 92 90 85 63 99 119 26.709
386 122 1012 107 119 105 120 132 114 108 91 90 84 63 98 119 27.0176
442 123 565 106 120 105 121 132 114 109 92 91 85 63 99 120 27.3526
245 122 472 107 119 105 121 132 114 109 92 90 85 64 98 119 27.6949
420 122 498 107 119 106 121 131 114 109 92 90 84 63 98 120 28.0085
413 122 1279 107 120 105 121 132 114 109 91 90 85 63 98 120 28.3475
324 122 535 107 119 105 121 132 114 109 91 90 85 63 98 119 28.6971
507 122 519 107 119 105 120 132 113 109 92 90 86 64 98 119 28.9234
1438 122 695 107 119 105 121 131 114 109 92 90 85 63 98 119 29.1542
639 122 486 107 119 105 121 132 114 109 91 90 85 63 98 120 29.5714
400 122 470 108 120 105 122 133 115 110 93 91 86 64 99 120 29.9084
325 122 584 107 119 105 120 132 113 109 91 90 85 63 98 120 30.3284
1022 121 642 106 118 105 120 131 113 109 91 90 84 62 98 119 30.5961
413 123 470 107 119 105 121 132 113 109 91 90 85 64 99 120 31.6351
298 121 707 107 119 104 120 132 113 109 91 90 84 63 98 119 31.9937
443 122 513 107 119 104 121 132 113 108 91 90 85 63 98 120 32.442
407 122 487 107 120 106 121 133 114 109 92 91 85 64 99 120 32.7695
993 122 556 107 119 104 121 132 114 109 91 90 84 63 99 119 33.1172
326 122 528 107 119 105 121 132 113 108 92 90 84 63 98 119 33.4398
588 122 507 107 119 105 121 132 114 109 91 90 84 64 99 119 33.6825
343 122 876 107 119 105 121 131 113 109 92 90 84 63 98 119 34.0188
632 123 554 106 118 105 121 132 114 109 91 90 85 63 99 119 34.3576
643 123 789 107 119 105 121 132 114 109 91 90 85 63 99 119 34.7044
449 123 546 106 119 105 121 132 114 109 92 91 85 63 99 120 35.0564
620 121 531 107 119 105 121 132 113 109 92 90 85 63 98 119 35.4473
494 122 794 107 119 105 121 132 113 110 91 91 84 63 98 120 35.7985
457 122 529 107 119 105 121 132 114 109 91 91 85 63 98 120 36.1104
597 122 1231 107 119 104 120 132 114 109 91 90 84 63 97 119 36.4627
476 121 491 107 119 104 121 131 113 109 91 90 84 63 98 119 36.8127
439 122 548 107 118 104 120 132 114 108 91 90 85 63 98 119 36.9689
345 122 521 107 119 105 122 132 114 110 92 91 85 63 99 120 37.319
897 122 502 107 119 105 121 131 113 109 92 90 85 63 98 120 37.6629
444 122 1203 106 119 104 121 131 114 108 91 90 84 63 98 119 38.0716
596 121 400 106 118 104 121 132 114 109 91 90 84 62 98 119 38.3924
451 122 503 106 119 105 120 131 114 109 91 90 85 63 98 120 38.7269
724 122 518 107 119 104 121 132 114 109 91 90 85 63 98 119 39.0727
601 123 729 107 120 106 121 132 114 109 91 91 85 63 98 120 39.424
796 122 770 107 119 105 121 132 114 109 91 90 85 63 99 120 39.7775
585 122 702 107 119 105 121 131 113 109 91 90 84 63 98 120 40.1959
444 123 602 107 119 105 121 132 114 109 91 91 85 64 98 120 40.507
315 123 525 106 119 105 121 132 114 109 91 90 85 63 98 120 40.8511
323 122 535 106 118 105 121 132 114 108 91 90 85 62 98 119 41.2013
414 123 527 107 119 105 121 132 114 109 92 91 85 63 99 120 41.551
462 122 421 107 119 105 121 132 114 109 92 90 85 63 98 120 41.9205
514 122 401 107 119 105 122 132 113 109 92 91 85 63 98 120 42.2391
511 121 500 107 119 105 121 132 114 110 91 90 85 64 99 120 42.6986
447 122 490 106 119 105 121 132 114 108 92 91 85 63 99 120 43.0474
521 123 535 107 119 105 121 132 114 109 92 91 85 63 98 120 43.3946
428 123 467 107 118 105 121 132 114 109 91 90 85 63 98 120 43.8196
293 122 532 107 119 105 121 131 114 109 91 90 84 63 98 119 44.0913
614 121 497 107 119 104 121 131 113 108 91 90 84 63 98 119 44.4301
