ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
1023 123 499 108 121 106 122 133 115 109 93 92 86 64 100 120 0.480185
325 122 630 106 119 105 123 132 114 109 92 90 84 64 98 120 0.78439
637 122 646 107 119 105 121 131 114 109 91 91 85 63 99 120 1.07026
449 122 483 106 119 105 121 132 114 109 92 90 85 64 99 120 1.47456
459 122 486 107 118 104 120 131 114 109 91 90 85 63 98 119 1.70234
505 122 537 107 119 105 121 131 114 109 91 90 85 63 98 119 2.03413
441 123 657 107 119 105 121 132 113 109 92 91 85 63 99 120 2.47565
255 123 318 107 121 105 121 132 114 109 92 91 86 64 99 120 2.74322
438 122 499 106 119 105 121 131 113 109 91 90 85 63 98 119 3.08979
508 122 461 106 119 105 120 132 113 109 91 90 85 63 98 119 3.35433
457 122 660 107 119 105 121 132 114 108 92 90 85 63 98 119 3.70528
394 123 460 107 119 105 121 132 114 109 91 90 85 64 99 119 3.99101
341 122 314 106 119 105 121 132 113 109 92 90 85 63 98 120 4.3405
516 166 584 149 160 146 163 174 155 154 133 134 129 106 144 162 4.61424
485 122 489 107 119 104 121 131 113 108 91 90 85 63 99 119 4.88039
452 123 480 107 119 105 120 131 113 109 91 90 85 63 98 119 5.21848
633 122 530 107 119 105 121 131 113 109 91 90 85 64 99 120 5.60576
454 122 867 107 119 104 121 132 113 109 92 91 85 63 98 119 5.88331
427 122 703 107 119 104 121 132 113 109 91 90 85 64 99 120 6.23735
470 122 815 107 120 105 121 132 114 109 92 91 85 63 99 120 6.59484
511 122 484 107 119 105 121 131 114 109 92 90 84 63 98 119 6.98177
669 122 649 106 119 105 121 131 113 109 91 90 85 63 98 119 7.25321
310 123 446 106 119 105 121 132 113 108 91 90 85 63 98 119 7.5012
592 177 785 158 172 156 172 182 168 164 142 143 138 117 154 172 7.84629
1298 123 651 106 119 105 121 132 114 108 91 90 84 63 98 119 8.23105
442 122 463 106 119 105 121 131 113 109 91 90 84 63 98 120 8.58862
485 123 667 107 119 105 121 131 114 109 91 90 85 63 99 120 8.87407
1210 122 473 107 119 105 121 131 114 109 92 90 84 63 99 120 9.0335
354 122 476 107 119 105 121 132 114 109 91 90 84 63 98 120 9.3163
632 123 495 107 119 105 121 132 114 109 91 90 85 63 99 119 9.74483
767 123 503 106 119 104 121 132 113 109 91 90 85 63 98 120 10.1048
598 123 614 107 119 105 121 132 114 108 91 90 85 62 98 119 10.4232
586 122 524 106 119 105 121 131 114 109 91 90 85 63 98 120 10.7664
511 163 745 146 159 143 159 170 154 150 130 130 126 103 140 159 11.1204
452 123 899 107 120 105 121 132 114 109 91 91 85 64 99 120 11.4815
1069 122 1009 107 120 105 121 132 114 109 92 91 85 63 99 120 11.7509
337 121 620 107 119 105 121 132 114 110 91 90 85 63 98 120 12.0897
364 123 376 107 119 105 120 132 114 109 92 90 84 63 99 120 12.4369
475 121 508 106 119 105 121 131 114 109 91 90 85 63 98 119 12.8557
469 122 487 107 119 105 121 132 115 109 92 90 84 63 99 119 13.1331
596 122 665 107 119 105 121 132 115 110 92 90 85 63 98 120 13.4788
466 122 491 106 119 104 120 132 113 108 91 90 84 62 98 119 13.8151
453 122 531 106 119 104 121 132 114 109 92 90 85 64 99 120 14.2368
499 122 544 107 119 105 121 132 114 109 91 90 85 63 98 119 14.5987
346 122 523 106 119 104 121 132 113 108 91 90 85 63 98 119 14.9765
457 122 522 106 119 105 121 132 114 109 91 89 84 63 98 120 15.2555
474 122 389 106 118 105 120 131 113 108 91 90 85 63 97 119 15.6017
