ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
337 122 102 107 120 106 121 133 115 110 92 91 86 64 99 121 0.493188
340 122 101 107 119 105 121 132 113 109 91 89 85 63 99 119 0.938624
341 122 100 107 118 104 121 131 114 109 92 90 84 63 98 120 1.23549
341 122 101 106 118 105 120 131 113 108 91 90 85 63 98 119 1.50283
336 122 100 106 118 105 120 132 114 108 91 90 85 63 98 119 1.95747
341 122 101 106 118 105 121 131 113 108 91 90 84 62 98 119 2.32425
339 122 101 107 119 105 121 132 113 108 92 90 85 63 99 119 2.65547
336 121 101 106 119 105 121 131 113 108 91 90 85 63 98 119 2.83669
338 121 100 106 118 104 120 131 113 108 90 89 84 63 98 119 3.19947
340 122 100 106 118 105 120 131 113 108 91 90 84 63 98 119 3.55624
340 121 101 107 118 104 121 131 113 108 91 90 85 63 98 119 3.93969
340 122 101 107 118 105 120 131 113 109 91 90 84 63 98 119 4.25937
338 121 100 106 118 104 120 131 113 108 91 90 84 63 98 119 4.54865
341 122 102 106 119 105 120 132 114 108 91 90 85 63 98 119 4.90753
339 122 101 106 118 105 120 132 113 108 91 90 84 63 99 119 5.26275
339 122 101 106 119 105 121 132 114 108 91 90 84 63 99 119 5.61514
334 121 99 106 118 105 119 131 112 108 92 89 84 63 98 118 6.07425
335 122 101 107 119 105 121 131 114 109 91 90 85 63 98 119 6.43538
339 123 101 107 119 105 121 132 114 109 92 90 85 64 99 120 6.82189
342 122 101 107 119 104 121 132 113 108 92 90 84 63 99 119 7.18219
339 122 101 106 118 105 121 132 114 108 91 90 85 63 98 119 7.56876
337 122 100 106 118 105 120 131 112 108 91 90 85 63 98 118 7.89444
338 122 101 107 119 105 121 132 113 109 92 91 85 63 98 119 8.32041
335 121 100 106 116 104 120 131 112 108 90 89 84 63 97 118 8.67413
341 122 101 106 118 105 121 131 114 108 91 90 85 63 98 119 9.03217
337 122 101 107 118 104 121 132 113 108 91 90 84 63 98 119 9.45295
337 122 101 106 118 104 121 131 113 109 91 90 84 63 98 119 9.80443
327 122 101 107 119 106 122 132 114 110 92 90 85 64 99 120 10.1921
339 122 101 106 118 104 121 131 113 108 91 90 85 62 98 119 10.4232
337 122 101 107 118 105 121 132 114 109 92 90 85 64 98 119 10.6297
334 122 101 107 119 104 120 132 114 108 92 90 85 63 98 119 10.8357
337 121 98 105 117 104 117 130 112 107 90 89 82 62 96 118 11.0796
335 122 101 106 118 105 121 132 113 108 92 90 85 63 98 119 11.3382
335 122 101 106 119 104 121 132 113 108 91 91 84 63 98 120 11.676
336 121 101 106 118 104 120 131 113 108 91 89 84 63 98 119 12.0748
337 122 100 106 118 104 121 131 114 108 92 89 85 63 99 119 12.4297
336 122 101 107 119 105 121 131 114 109 91 90 84 63 99 120 12.8188
335 122 100 106 119 105 121 131 113 109 91 90 85 63 98 119 13.1461
336 122 101 106 118 105 120 132 114 109 92 90 84 62 99 119 13.57
338 122 101 106 119 105 120 131 113 109 91 90 84 63 98 119 13.9283
336 122 100 107 119 105 121 132 114 109 91 90 85 63 98 119 14.2822
339 121 100 106 118 104 120 131 114 109 91 89 84 63 98 119 14.7006
338 121 101 107 119 105 121 132 114 109 92 89 85 63 98 120 15.0573
339 122 101 107 119 105 120 131 114 109 91 90 85 63 98 119 15.4463
340 122 101 107 119 104 120 131 114 109 91 90 85 63 99 119 15.7297
338 122 101 107 118 105 121 132 114 109 91 90 84 63 98 120 15.989
338 121 101 106 118 105 121 131 114 108 91 90 85 63 98 119 16.3286
338 122 100 106 118 104 120 131 113 108 92 89 85 63 99 119 16.6539
336 122 101 106 119 104 121 132 114 109 91 90 84 63 98 120 17.0658
338 122 101 107 119 105 121 132 114 109 91 89 85 63 98 119 17.3974
338 122 100 106 119 105 120 131 113 108 92 89 85 63 99 119 17.8216
