ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
474 163 1044 145 158 143 159 171 153 150 130 131 125 103 140 159 0.403308
974 161 597 144 157 142 158 170 153 149 130 129 124 103 139 158 0.74608
632 162 930 145 157 142 159 169 153 149 129 130 124 103 138 158 1.1277
797 162 794 144 157 142 158 169 153 149 129 130 124 102 138 157 1.42044
1041 162 749 144 157 142 158 169 153 149 128 129 124 102 138 158 1.76656
848 162 744 144 157 142 158 170 153 149 129 129 124 103 139 158 2.01912
1050 162 828 144 157 142 158 169 152 148 128 129 124 102 138 158 2.2955
621 164 755 147 158 144 161 171 155 151 132 132 127 105 141 160 2.45565
1052 161 801 144 157 140 159 169 152 148 129 129 124 101 138 157 2.65768
598 161 805 145 157 142 158 169 153 148 128 129 124 102 138 157 2.99762
479 161 740 143 157 141 158 168 153 149 129 129 123 101 138 157 3.26494
630 161 733 144 158 141 159 169 153 148 128 129 124 101 138 157 3.62399
641 160 1038 144 157 141 158 168 153 147 128 128 124 102 138 156 3.96138
1253 160 956 143 157 141 158 169 152 148 129 129 124 102 138 156 4.41489
523 161 973 143 157 141 157 169 152 148 129 128 123 102 138 157 4.69301
654 161 1750 144 158 141 158 169 152 148 128 129 124 101 138 157 5.01385
810 161 998 144 157 141 158 169 153 148 129 129 124 102 139 157 5.37603
639 161 1011 143 157 141 158 168 153 148 128 129 124 101 138 157 5.65376
518 160 984 143 156 141 157 168 152 148 128 128 123 101 138 156 5.96685
458 160 697 143 157 141 157 168 152 148 129 129 123 101 138 157 6.42724
663 161 1899 143 157 141 158 169 152 148 129 129 123 101 137 156 6.7645
512 161 1204 143 157 141 158 168 152 148 128 128 123 101 138 156 7.08128
524 161 1015 144 157 141 159 169 153 148 129 129 123 102 138 158 7.2843
514 160 844 143 157 141 158 169 152 148 128 129 124 101 137 156 7.62943
653 161 1036 144 157 141 158 169 153 148 129 129 124 102 138 157 7.98188
495 162 964 145 159 142 159 170 154 149 130 130 125 102 139 159 8.32874
674 161 1185 143 157 141 157 168 152 147 128 129 123 101 138 157 8.63224
675 161 814 144 157 141 158 168 152 148 129 129 123 101 138 157 8.98222
869 161 612 144 156 142 158 170 152 148 129 129 124 102 139 158 9.3211
1019 160 1011 143 157 140 157 168 152 148 128 128 123 101 138 156 9.76047
597 159 993 143 156 141 157 168 151 147 128 128 123 101 137 156 10.1151
825 161 787 144 157 141 158 169 152 148 128 129 124 101 138 157 10.3908
541 162 802 143 157 141 158 169 153 148 128 128 124 102 138 156 10.6027
594 161 797 143 157 141 157 168 152 148 129 129 124 101 138 157 10.9543
696 161 666 143 156 140 158 169 152 147 128 128 123 101 137 157 11.1435
622 160 1665 143 157 141 157 168 152 148 128 128 122 101 137 157 11.4849
604 161 1000 143 157 141 158 169 152 148 129 129 124 101 138 158 11.8434
678 161 1021 144 158 141 158 169 153 149 129 129 123 102 138 157 12.2544
639 161 753 143 156 141 157 169 152 148 128 129 123 101 138 157 12.5317
710 161 656 144 157 140 158 169 152 148 128 128 124 101 138 156 12.8719
1119 161 771 143 157 141 158 168 152 147 129 129 123 101 138 157 13.2532
823 161 699 144 157 141 158 168 152 148 129 129 123 101 138 157 13.6072
814 161 1138 143 158 141 158 169 153 148 129 129 123 101 138 157 13.9604
470 161 728 143 157 142 158 169 152 148 129 129 124 101 138 157 14.3811
682 161 1567 144 158 141 158 169 153 149 129 129 124 102 138 157 14.7164
680 161 763 143 156 141 158 169 152 148 128 128 123 102 137 157 15.1325
492 160 705 143 156 141 157 168 152 148 128 129 123 101 137 157 15.4482
663 161 1215 144 158 141 158 169 153 149 128 129 124 102 138 157 15.7937
610 160 722 143 157 140 157 168 152 148 129 128 123 101 138 156 16.1418
670 160 960 144 156 141 158 168 152 147 128 129 123 101 137 157 16.4975
640 161 638 143 156 141 157 168 152 147 128 128 123 101 137 156 16.88
768 161 755 144 156 141 157 169 152 148 129 129 124 101 137 157 17.2322
665 160 869 143 156 140 158 168 152 148 129 128 123 101 137 156 17.5849
1025 162 898 143 157 141 158 169 152 148 128 129 123 101 138 157 18.0017
448 160 779 144 157 141 158 168 152 148 128 129 123 101 138 157 18.2762
1427 161 786 144 157 141 158 169 153 148 129 129 124 102 138 157 18.4413
662 161 835 143 157 142 158 169 152 148 129 129 124 101 138 157 18.7595
709 161 795 144 157 141 158 169 153 148 129 129 124 102 138 157 19.0251
818 160 878 144 157 141 158 169 153 147 129 129 124 102 138 157 19.4628
673 160 1298 144 157 141 158 168 152 148 129 129 123 101 138 157 19.8791
854 161 777 143 157 141 158 169 152 148 129 129 124 102 138 157 20.2011
676 161 935 143 156 142 158 168 152 148 129 128 123 101 137 157 20.5041
1211 160 729 143 157 141 157 168 152 148 128 128 123 101 137 157 20.8409
706 161 793 144 157 141 158 169 153 149 129 129 124 102 138 157 21.2606
718 161 974 144 157 141 158 169 152 148 129 129 124 102 138 157 21.5909
782 160 686 143 156 140 158 168 152 148 129 128 123 101 138 156 22.0046
1018 161 1842 143 158 141 158 169 152 147 129 129 124 101 138 157 22.3622
1244 161 707 143 157 141 158 169 152 148 129 128 123 101 138 157 22.7163
1053 161 1170 144 158 142 158 169 153 148 128 129 124 102 138 157 23.127
2064 161 841 144 158 142 159 169 153 148 129 129 124 102 139 158 23.4056
660 161 723 143 157 141 158 169 152 148 129 128 123 101 138 157 23.7534
655 159 1764 142 157 139 157 168 151 147 127 127 122 101 136 155 24.0886
638 160 745 143 156 141 157 168 152 148 129 129 123 101 137 156 24.4226
803 160 1217 143 157 140 157 168 151 147 128 128 123 101 137 155 24.8853
1247 161 1014 143 157 141 158 169 152 148 128 129 124 101 137 157 25.2108
675 161 875 144 156 141 158 168 152 148 128 129 123 101 138 157 25.6312
1583 161 948 143 157 141 158 169 152 148 128 129 123 101 137 157 25.9455
801 160 790 143 156 141 158 168 152 148 128 128 123 101 137 157 26.3172
666 160 761 143 156 141 158 168 152 148 128 128 123 101 137 157 26.5239
654 161 770 143 156 141 157 169 152 148 128 128 123 102 138 157 26.8804
1235 160 675 143 157 141 157 168 152 148 128 128 123 102 137 156 27.2433
