ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
111 94 75 81 92 79 95 106 87 81 66 63 57 36 71 93 0.53961
110 94 74 80 91 78 94 104 86 80 65 62 57 35 70 92 1.54503
110 94 73 80 91 78 94 104 86 80 64 62 57 35 70 92 2.54759
111 94 74 80 92 79 95 105 86 81 66 63 57 36 71 93 3.69337
110 94 74 81 91 78 94 105 86 80 65 62 57 35 70 92 4.52874
110 94 74 80 92 78 94 104 86 80 65 62 57 35 70 92 5.54944
110 93 74 80 91 78 94 105 86 79 64 62 57 35 70 92 6.54146
110 94 74 80 91 78 94 104 86 81 65 62 56 35 70 91 7.5377
110 94 73 80 91 78 93 104 86 80 64 62 57 35 69 92 8.54389
110 94 74 80 91 78 94 105 86 80 65 62 57 35 70 91 9.54434
111 95 74 80 92 78 95 106 86 80 65 62 56 35 70 92 10.5561
111 94 74 80 91 78 94 105 86 80 65 62 56 35 70 92 11.5495
110 94 74 80 91 77 94 104 86 80 64 62 56 35 70 92 12.6877
110 94 74 80 91 78 94 105 86 80 64 62 57 35 70 92 13.5482
110 94 74 80 92 78 95 104 86 80 65 62 57 34 69 92 14.538
111 94 74 79 91 78 94 105 86 80 64 62 56 35 70 92 15.5447
111 94 73 80 91 78 94 104 85 79 64 62 56 34 70 92 16.6415
110 93 74 80 91 79 94 104 86 80 64 62 56 35 70 92 17.5388
111 94 74 80 92 78 94 105 86 80 65 62 56 35 70 92 18.546
110 94 73 80 91 78 94 104 86 80 64 61 57 35 70 92 19.5545
111 94 74 80 94 77 95 105 86 80 64 62 56 35 70 92 20.6167
111 94 74 80 92 78 94 105 86 81 65 61 57 35 70 92 21.5387
110 94 74 80 92 78 94 105 86 80 64 62 56 35 70 92 22.5375
110 94 74 80 91 78 94 104 86 80 64 62 56 35 70 92 23.5291
110 94 73 80 91 78 94 105 86 80 65 62 56 35 70 93 24.5382
110 94 74 80 91 78 94 105 86 80 65 62 56 35 70 91 25.4685
111 93 74 80 91 78 94 105 86 79 64 61 56 34 70 92 26.6554
110 94 74 80 92 78 94 105 86 80 64 62 57 35 70 91 27.635
110 93 74 80 92 78 94 104 86 81 65 62 57 35 70 92 28.5405
111 94 74 80 91 78 95 105 86 80 64 62 57 35 70 92 29.5437
111 94 74 80 91 78 94 105 86 80 64 62 56 35 70 92 30.5401
111 95 74 80 92 78 94 105 86 80 65 62 57 35 70 92 31.5784
111 95 74 80 92 79 95 105 87 81 65 63 57 36 70 92 32.5607
110 94 74 80 91 78 94 104 86 80 65 62 56 35 70 93 33.5375
111 94 74 80 91 78 94 104 86 80 64 61 56 35 69 92 34.5374
111 94 74 80 91 78 94 105 86 80 64 62 56 35 70 92 35.5414
110 94 74 80 92 78 94 105 86 80 64 62 56 35 70 92 36.5344
111 94 73 80 91 78 94 104 85 80 65 62 57 34 70 92 37.5532
111 94 74 80 92 79 94 105 86 80 65 62 57 35 70 92 38.5348
111 94 74 80 91 78 94 104 85 80 65 62 57 35 69 92 39.5777
110 94 74 79 91 78 94 104 85 81 64 62 56 34 69 92 40.5937
111 94 74 80 92 78 94 105 86 80 65 62 56 35 70 92 41.5364
110 94 74 80 92 78 94 105 86 81 65 62 57 35 70 92 42.6031
110 93 73 80 91 78 94 104 86 80 64 62 56 35 70 93 43.6337
110 94 73 80 91 78 94 105 86 81 64 61 57 35 69 91 44.5393
110 94 74 80 91 78 94 105 86 80 64 62 56 35 70 92 45.5351
110 94 73 81 92 78 94 105 86 80 65 62 57 35 70 92 46.5423
110 94 73 79 91 78 94 104 85 80 64 62 56 35 69 92 47.5325
110 94 74 80 92 79 94 105 86 80 65 62 56 34 69 92 48.5318
111 93 74 81 91 78 95 104 85 81 65 62 57 35 70 92 49.5551
111 94 74 80 92 79 94 105 86 80 65 62 56 35 70 93 50.573
111 94 74 81 91 78 94 104 86 80 65 62 56 35 70 92 51.5382
111 94 75 81 91 78 94 105 86 81 65 62 57 35 71 92 52.5389
111 95 74 81 92 79 95 105 87 81 65 62 57 36 70 92 53.5448
111 94 74 80 91 78 94 104 86 80 65 62 56 35 70 92 54.5563
111 94 74 80 92 78 95 105 86 80 64 62 56 34 70 92 55.694
111 94 74 80 91 78 94 105 86 81 64 62 56 35 70 91 56.4319
111 94 74 80 91 78 94 105 87 81 65 62 56 36 70 92 57.5412
110 95 74 80 91 78 94 105 86 80 64 62 56 35 69 92 58.6837
