ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
654 122 103 108 120 106 122 133 116 111 93 92 86 64 100 121 0.502515
862 123 103 108 120 105 122 133 115 110 92 91 86 64 99 120 0.791962
1178 122 103 107 119 105 122 132 114 109 92 90 85 63 98 119 0.958881
745 122 102 106 119 104 121 132 114 109 91 89 85 63 98 119 1.36847
1066 122 103 107 119 105 121 131 114 109 91 90 85 63 99 119 1.71436
865 122 103 107 119 105 122 132 114 109 92 90 85 64 99 119 2.05938
1389 122 103 107 119 104 122 131 114 109 91 90 85 63 99 119 2.48324
768 121 103 107 119 105 121 132 114 109 91 90 85 63 99 119 2.83078
1046 122 102 107 119 104 121 132 114 109 91 90 85 63 98 119 3.16269
857 122 103 107 119 105 122 132 114 109 92 90 84 63 98 119 3.60926
791 123 103 108 120 107 122 133 115 110 92 91 85 64 99 120 3.95772
917 121 102 107 119 105 121 132 114 109 91 90 84 63 98 119 4.30862
1219 123 103 107 119 105 122 132 114 109 92 90 85 64 99 120 4.72673
731 122 102 108 119 106 122 132 114 110 92 91 85 64 99 120 5.04843
804 122 102 106 119 104 121 131 114 108 91 90 85 62 98 119 5.38893
874 122 102 107 119 106 121 131 114 109 92 90 85 63 99 120 5.74311
1340 122 102 107 119 105 122 131 114 109 91 90 85 63 99 119 6.09448
723 122 103 107 119 106 122 133 114 109 92 90 85 64 99 120 6.44183
715 122 102 107 119 105 121 132 113 108 92 90 85 63 99 119 6.86236
722 121 102 107 119 105 121 132 114 109 92 89 85 64 99 118 7.22507
861 122 103 107 120 105 122 132 114 110 92 91 85 64 99 120 7.60511
747 121 102 106 118 104 121 131 113 108 91 90 85 62 98 119 7.92727
833 123 103 107 120 106 122 133 114 109 92 91 86 64 99 120 8.27502
790 121 102 107 119 104 122 132 114 108 91 90 85 63 98 119 8.74052
762 123 102 107 118 104 121 132 114 109 92 90 85 64 99 119 8.90595
731 121 102 107 118 104 122 132 113 108 91 90 84 63 99 119 9.21448
703 122 102 106 119 105 122 132 114 108 92 90 85 63 98 119 9.58532
1509 122 103 107 119 105 121 132 114 109 92 91 85 63 99 119 9.87365
724 122 102 106 119 105 122 131 114 109 92 90 85 63 98 119 10.192
437 122 102 107 118 105 121 132 114 109 91 90 85 64 99 120 10.6116
755 122 102 106 118 104 121 131 113 108 91 90 85 63 98 118 10.8813
583 122 102 106 119 105 121 132 114 109 92 91 85 63 98 119 11.2277
913 135 116 120 133 118 135 145 128 124 105 104 98 77 113 133 11.6079
735 122 103 107 119 105 122 132 115 109 92 91 86 64 98 120 11.9665
743 122 102 106 118 105 121 131 115 109 92 90 85 63 98 119 12.3679
1052 122 102 106 118 104 121 132 114 109 91 90 84 63 98 119 12.7262
855 121 103 107 119 105 121 132 115 109 92 90 85 64 99 120 13.0638
901 122 102 107 119 104 122 132 115 109 92 90 85 63 99 119 13.378
853 122 102 107 119 104 122 132 114 109 91 90 85 63 98 119 13.7113
1013 122 103 107 119 105 122 132 114 109 91 90 85 64 99 120 14.0746
712 122 102 107 119 105 122 132 114 109 92 90 85 63 99 120 14.4853
900 121 101 107 119 105 121 132 114 109 92 90 84 63 98 119 14.8401
1239 122 103 107 119 105 122 131 114 109 92 90 85 64 99 120 15.2008
884 121 102 105 118 104 120 131 113 108 91 89 84 63 98 119 15.5787
1468 121 103 107 118 104 122 132 114 109 91 90 85 63 98 119 15.9321
1333 121 103 107 119 105 121 131 114 109 91 89 85 64 99 120 16.3611
877 122 102 106 119 105 121 131 114 110 92 90 85 64 97 119 16.7195
757 122 103 106 119 105 121 132 114 110 91 90 85 63 98 119 16.878
707 122 102 107 119 104 121 132 114 109 92 90 85 64 99 120 17.123
1076 122 103 107 118 105 122 131 115 110 92 90 85 63 98 119 17.4838
759 122 102 107 118 105 122 131 114 109 91 90 85 63 98 120 17.8354
1510 122 103 107 119 105 122 132 115 109 92 90 84 64 99 119 18.1651
1072 122 102 107 119 105 121 132 114 109 92 90 85 63 99 120 18.6106
722 121 102 107 118 105 121 132 114 109 92 90 84 63 98 120 18.9579
733 122 102 107 118 105 122 132 114 109 92 89 85 64 99 119 19.2387
894 121 102 107 119 105 121 132 114 109 92 90 84 63 98 119 19.5913
709 121 101 106 118 105 121 132 114 109 91 90 85 63 98 119 19.9224
716 122 102 106 119 105 121 132 114 109 91 90 85 63 98 119 20.2729
696 122 102 107 119 105 122 131 114 109 92 90 85 64 98 119 20.7305
904 122 103 107 119 105 121 132 115 110 92 90 85 64 98 120 21.0378
727 121 101 106 118 105 121 132 114 109 92 90 84 63 98 120 21.389
625 122 102 107 118 105 121 131 114 110 92 90 85 63 99 119 21.6371
1099 121 102 107 119 105 121 132 114 109 92 90 85 63 98 119 21.9843
1341 122 103 106 118 105 121 132 115 110 92 90 85 63 98 120 22.3494
758 122 102 107 118 105 121 132 114 110 92 90 85 64 98 120 22.7329
915 121 102 107 118 105 121 131 114 109 91 90 85 63 99 119 23.0577
761 122 102 107 119 104 121 132 115 109 92 90 84 64 99 119 23.41
1791 122 104 106 119 105 122 132 114 110 91 90 85 63 98 120 23.8684
748 122 103 107 120 105 122 132 115 111 92 90 85 64 99 120 24.2253
1027 122 103 108 119 105 122 132 115 110 93 90 85 64 99 119 24.6098
764 122 102 106 119 105 122 132 114 109 92 90 84 62 98 119 24.8494
743 122 102 107 119 105 121 132 114 109 92 90 85 64 98 120 25.0889
752 121 102 107 118 105 121 132 114 109 92 90 85 63 99 119 25.3748
912 121 103 107 119 105 121 132 115 110 92 90 85 64 99 120 25.7222
1037 122 103 107 119 106 122 133 114 110 92 91 86 64 99 119 26.1061
828 122 103 107 119 105 121 132 114 110 92 90 85 63 99 120 26.4642
737 121 102 106 118 105 121 132 114 109 91 90 85 63 98 119 26.8141
747 122 102 107 118 105 122 132 115 109 92 90 85 63 99 120 27.266
729 122 102 107 119 105 122 132 114 110 92 90 85 63 99 120 27.6215
746 122 103 107 119 105 121 132 114 109 92 90 85 63 98 120 27.9487
903 122 103 107 119 105 122 132 114 109 92 90 85 63 99 118 28.3614
