ch0 ch8 ch1 ch9 ch2 ch10 ch3 ch11 ch4 ch12 ch5 ch13 ch6 ch14 ch7 ch15 time
479 124 470 108 120 106 123 133 115 110 93 91 86 65 100 121 0.424092
451 123 456 107 119 105 122 133 114 109 92 91 85 64 99 120 0.692943
459 122 463 107 119 104 121 132 115 109 92 90 85 64 98 121 0.853372
437 122 443 107 119 105 121 133 114 110 92 90 85 64 99 120 1.18054
741 161 810 144 156 141 155 167 151 147 126 128 122 100 137 156 1.54174
466 123 468 108 120 106 122 133 115 110 92 91 86 65 100 120 1.79692
736 160 794 143 155 140 155 167 151 147 127 128 122 101 137 156 2.15215
445 122 454 107 119 104 121 132 114 109 92 91 85 64 99 119 2.40224
445 122 473 107 119 106 122 132 114 109 92 90 85 63 99 120 2.75842
439 123 436 108 117 104 121 132 113 109 90 91 85 64 98 120 3.14671
441 122 478 107 118 104 122 132 113 109 91 90 84 63 98 120 3.4686
443 121 464 107 117 105 121 131 113 108 91 90 84 62 97 119 3.81899
454 122 457 106 119 105 121 132 113 108 92 90 85 63 98 120 4.27693
765 162 794 144 158 142 159 170 152 149 129 129 125 103 138 157 4.6334
436 122 442 107 118 105 121 132 114 109 92 90 85 63 99 120 5.06071
442 121 460 105 118 104 121 131 113 109 89 89 83 62 97 119 5.29512
450 124 450 108 120 106 123 134 115 111 93 92 86 65 100 121 5.64321
745 160 819 143 154 140 157 168 149 148 126 129 123 102 137 156 5.91663
454 122 433 107 118 105 122 133 114 109 91 91 85 63 99 120 6.27026
770 164 828 148 157 144 159 172 156 151 132 133 127 105 142 161 6.62518
433 122 467 106 119 105 121 132 114 109 92 91 85 63 99 120 6.94383
1175 215 1332 194 208 191 208 219 205 202 180 183 177 155 192 209 7.29882
888 180 951 162 175 159 175 187 171 168 147 148 142 121 157 176 7.65905
462 122 438 107 118 104 121 132 114 109 92 90 85 63 99 120 8.00766
447 124 448 108 120 106 123 133 114 110 93 91 86 65 100 121 8.28831
409 123 431 107 119 105 122 132 114 109 92 90 85 64 98 120 8.63287
1396 247 1559 225 239 222 240 250 236 235 211 214 209 186 225 240 8.7983
457 123 465 107 119 105 121 132 114 109 92 90 85 64 98 119 9.03198
760 163 819 145 158 143 158 170 154 150 129 131 124 105 140 159 9.3843
432 122 451 107 119 105 121 132 114 109 92 90 85 63 98 120 9.77098
426 124 460 109 120 106 123 134 114 110 91 92 88 64 100 121 10.1238
440 122 453 107 119 105 121 132 114 109 91 90 85 63 98 119 10.4706
442 122 442 108 121 106 121 133 113 109 92 90 85 65 99 120 10.9033
456 122 464 107 119 105 121 133 114 109 92 90 85 64 99 119 11.2584
423 123 411 106 118 104 120 131 115 108 90 90 83 63 97 119 11.6452
453 122 444 107 118 105 121 132 113 109 91 90 84 63 98 120 11.9588
711 161 762 143 155 140 157 168 152 147 127 128 122 100 136 156 12.3095
451 124 468 109 120 106 122 133 115 110 92 92 86 65 100 121 12.6679
451 121 457 106 117 104 119 130 112 107 91 89 84 63 97 120 13.0262
434 125 437 109 121 106 124 134 115 111 94 93 87 65 101 122 13.3786
428 123 441 107 119 105 121 132 114 109 92 90 85 64 98 120 13.7315
776 166 821 148 160 145 162 174 156 153 133 134 128 108 142 162 14.1517
457 123 469 107 118 105 122 132 114 109 92 91 85 64 99 120 14.5109
449 121 446 106 117 104 119 130 113 109 89 89 83 63 98 118 14.8576
459 122 450 107 118 104 121 132 114 109 92 90 85 63 99 119 15.1675
447 121 441 107 118 105 120 131 110 109 91 90 83 63 97 119 15.5122
450 123 453 107 119 105 122 132 114 109 92 91 85 64 98 119 15.7779
445 123 446 107 119 105 120 132 113 108 90 90 85 63 98 120 16.1255
458 123 464 107 119 105 122 132 114 109 92 91 85 64 99 120 16.4541
433 121 465 106 117 104 119 131 113 108 89 90 84 62 98 120 16.7716
464 122 452 108 119 105 121 132 114 110 92 90 85 64 98 120 16.958
852 177 977 160 173 158 173 184 168 165 143 145 139 118 154 173 17.2977
444 122 466 107 118 104 121 132 114 109 92 90 85 63 98 120 17.597
449 122 463 106 117 104 120 131 112 108 88 90 84 62 97 119 18.0168
451 121 456 106 119 104 120 131 111 108 90 89 84 63 97 119 18.2935
445 123 467 107 119 106 123 133 114 109 92 91 85 64 99 121 18.6453
787 163 885 145 159 144 160 171 154 151 132 132 127 105 140 159 18.9151
459 122 490 106 119 104 121 131 114 109 91 90 85 64 98 120 19.2622
744 161 836 143 156 142 156 169 151 148 128 129 123 102 137 157 19.6469
433 123 456 108 119 105 122 132 115 109 92 91 85 64 99 120 20.0026
466 121 472 107 119 105 122 132 113 109 92 91 85 63 98 120 20.3572
466 122 493 107 119 105 121 132 113 109 91 90 85 63 98 119 20.7768
466 122 459 107 119 105 121 132 113 109 92 90 84 64 99 120 21.1358
435 122 459 108 119 105 121 132 114 109 92 90 85 63 98 120 21.5248
756 165 841 147 160 145 158 171 156 152 131 133 126 106 141 161 21.8337
446 122 463 107 118 104 121 132 113 109 92 90 84 64 99 119 22.1816
450 122 485 107 119 105 122 132 114 110 92 91 85 64 99 120 22.5043
473 123 486 108 120 106 122 133 115 111 92 92 86 65 100 121 22.8514
463 123 471 107 119 104 122 132 114 109 92 90 84 64 98 120 23.267
478 121 480 106 117 104 119 131 113 108 90 89 83 62 98 119 23.5896
467 122 478 107 119 105 121 132 114 109 92 90 84 63 98 120 23.9388
473 122 450 106 119 104 121 132 114 109 92 90 85 63 98 119 24.2704
426 122 477 107 119 105 122 131 113 109 92 90 85 64 99 119 24.5968
453 121 449 106 118 104 121 132 114 108 91 90 84 63 98 119 24.8094
448 121 443 107 119 105 121 132 113 108 92 89 84 63 98 119 25.1476
445 124 452 108 120 106 123 133 115 110 93 91 86 64 100 121 25.5045
469 122 459 106 119 104 121 131 114 109 91 90 85 63 98 119 25.8576
483 123 490 108 120 106 122 133 115 110 93 91 86 64 100 121 26.279
484 123 493 107 119 105 122 132 115 109 92 90 86 63 99 120 26.6407
452 122 464 107 119 105 121 131 114 109 92 90 84 62 99 119 27.0188
562 133 557 117 129 115 131 142 124 119 102 101 95 73 109 130 27.3814
455 122 462 106 119 104 121 131 113 108 92 90 85 62 98 119 27.7796
468 124 490 108 120 106 123 133 116 111 93 92 87 65 100 121 28.0462
447 121 462 105 117 103 120 130 110 107 89 89 83 62 97 118 28.3915
433 122 460 106 118 105 122 132 114 108 92 90 85 64 99 119 28.7097
444 123 459 107 120 106 123 132 115 109 93 91 86 64 100 121 29.0705
464 122 470 107 119 105 122 131 114 109 92 91 85 64 98 120 29.5344
1204 214 1258 193 207 190 207 218 206 201 179 181 176 153 191 208 29.8963
479 122 459 106 119 104 122 131 114 108 92 90 85 63 98 119 30.2544
834 170 863 152 164 150 166 177 161 157 138 138 133 111 147 166 30.5998
444 122 458 107 119 105 121 132 114 109 92 90 84 64 99 119 31.06
457 122 450 107 119 104 121 132 114 108 92 91 85 63 99 119 31.415
943 181 1002 163 177 161 178 188 173 169 148 149 144 121 159 177 31.7713
453 121 448 106 118 104 121 131 113 108 92 90 84 62 98 119 32.1086
418 121 420 106 118 104 120 131 111 108 91 89 84 62 97 119 32.526
448 122 439 107 119 104 122 131 114 109 92 91 85 63 99 119 32.7567
